,회사명,거래소코드,회계년도,부채(IFRS연결),자본(IFRS연결),부채(IFRS개별),자본(IFRS개별),부채비율(개별),부채비율(연결)
101,(주)가비아,79940,Dec-13,22631067.0,68600227.0,17328806.0,34822978.0,49.762561949756275,32.98978442155884
102,(주)가비아,79940,Dec-14,23034370.0,75509702.0,17836566.0,38147677.0,46.75662426312355,30.50517932119504
103,(주)가비아,79940,Dec-15,20985420.0,84096148.0,15187159.0,42470259.0,35.759515853199765,24.95407994192552
104,(주)가비아,79940,Dec-16,29844914.0,95951841.0,15747269.0,45413712.0,34.67514172811947,31.104055627239084
105,(주)가비아,79940,Dec-17,33486064.0,99896520.0,17323452.0,47662984.0,36.34571431784464,33.52075127341773
106,(주)가비아,79940,Dec-18,37253015.0,114187490.0,19483076.0,49832912.0,39.09680413619016,32.624427597103676
107,(주)가비아,79940,Dec-19,64956993.0,134959139.0,28880845.0,54084066.0,53.39991449607358,48.130859074315815
108,(주)강스템바이오텍,217730,Dec-15,,,3745591.0,21237036.0,17.63707044617714,
109,(주)강스템바이오텍,217730,Dec-16,,,24464858.0,22976911.0,106.47583567695413,
110,(주)강스템바이오텍,217730,Dec-17,22716816.0,24482163.0,19840601.0,24668128.0,80.43010397870482,92.78925232219065
111,(주)강스템바이오텍,217730,Dec-18,25612644.0,47581374.0,18239878.0,47944961.0,38.04336810285444,53.82913910808881
112,(주)강스템바이오텍,217730,Dec-19,44924460.0,68719236.0,27780716.0,70845209.0,39.21325999616996,65.37392237597054
113,(주)강원랜드,35250,Dec-11,454039086.0,2257362696.0,452081605.0,2278202202.0,19.843787553322713,20.11369669590748
114,(주)강원랜드,35250,Dec-12,534628331.0,2372026990.0,532225153.0,2383160603.0,22.332743849911655,22.538880596801302
115,(주)강원랜드,35250,Dec-13,584340350.0,2517696496.0,581467261.0,2523962938.0,23.037868434817725,23.209324512639746
116,(주)강원랜드,35250,Dec-14,669769805.0,2705357485.0,664286664.0,2716175018.0,24.456695890279335,24.757164578565853
117,(주)강원랜드,35250,Dec-15,693036625.0,2997755205.0,690617690.0,2997442337.0,23.040232716910477,23.118519612411113
118,(주)강원랜드,35250,Dec-16,726260115.0,3252727459.0,723241827.0,3252738063.0,22.23486222966734,22.327727242886724
119,(주)강원랜드,35250,Dec-17,684421554.0,3501235933.0,681737727.0,3500789656.0,19.47382716443904,19.547998680956074
120,(주)강원랜드,35250,Dec-18,644464265.0,3586777089.0,643178007.0,3586452533.0,17.933542994977092,17.967781353808018
121,(주)강원랜드,35250,Dec-19,720360229.0,3717759076.0,718028952.0,3718433001.0,19.309987615936606,19.37619448366858
122,(주)강원에너지,114190,Nov-11,,,29216633.0,24502434.0,119.23971716442539,
123,(주)강원에너지,114190,Dec-12,,,53150277.0,36107930.0,147.19834950383475,
124,(주)강원에너지,114190,Dec-13,,,26564178.0,45877155.0,57.90284510885647,
125,(주)강원에너지,114190,Dec-14,,,16592147.0,50445491.0,32.8912389811014,
126,(주)강원에너지,114190,Dec-15,28873556.0,56583901.0,26058095.0,54880924.0,47.48115210305133,51.027863914861584
127,(주)강원에너지,114190,Dec-16,22097916.0,55088690.0,17103781.0,53746356.0,31.823145368218082,40.11334449956969
128,(주)강원에너지,114190,Dec-17,44876384.0,48303010.0,40664397.0,47117020.0,86.30511225030784,92.90597832309001
129,(주)강원에너지,114190,Dec-18,43641869.0,50203707.0,40333396.0,49286354.0,81.83481374986675,86.92957474235916
130,(주)강원에너지,114190,Dec-19,35477506.0,21124556.0,32201998.0,22904034.0,140.59531172543666,167.944386618114
131,(주)갤럭시아에스엠,11420,Dec-11,19836339.0,25274017.0,16172356.0,24539613.0,65.90306049243728,78.48510586979506
132,(주)갤럭시아에스엠,11420,Dec-12,18071820.0,25907252.0,15016475.0,25153401.0,59.699580983104426,69.75583516152157
133,(주)갤럭시아에스엠,11420,Dec-13,16143563.0,21493102.0,11686248.0,22472626.0,52.002146967604055,75.11043775812351
134,(주)갤럭시아에스엠,11420,Dec-14,22068570.0,23205508.0,17125782.0,23402468.0,73.17938432818282,95.1005683650623
135,(주)갤럭시아에스엠,11420,Dec-15,18947950.0,49739042.0,16531335.0,50665218.0,32.62856778786583,38.09472245163065
136,(주)갤럭시아에스엠,11420,Dec-16,13597774.0,44846832.0,10978725.0,44846832.0,24.480491732392604,30.320478378495054
137,(주)갤럭시아에스엠,11420,Dec-17,9336773.0,40494336.0,8463792.0,40494336.0,20.901174919870275,23.056985055885345
138,(주)갤럭시아에스엠,11420,Dec-18,6781168.0,26472162.0,6540360.0,26797332.0,24.406758105620366,25.61622280794444
139,(주)갤럭시아에스엠,11420,Dec-19,6442848.0,21798750.0,6442848.0,21798750.0,29.556043351109583,29.556043351109583
140,(주)경농,2100,Dec-11,30787882.0,142986220.0,30724888.0,146016982.0,21.041996334371575,21.532062320411015
141,(주)경농,2100,Dec-12,117673838.0,151738994.0,51967451.0,151500247.0,34.3018919302488,77.5501635393734
142,(주)경농,2100,Dec-13,92827213.0,163157512.0,52292130.0,162696463.0,32.14091384395984,56.89423175317848
143,(주)경농,2100,Dec-14,115707163.0,168915900.0,61871897.0,168998955.0,36.61081632131985,68.49986472558237
144,(주)경농,2100,Dec-15,141674205.0,174667648.0,92052914.0,173056378.0,53.19244229184087,81.11073036261415
145,(주)경농,2100,Dec-16,136946019.0,183969132.0,89899537.0,176722752.0,50.87038085509216,74.43967230328619
146,(주)경농,2100,Dec-17,143720912.0,192152986.0,86007852.0,182959158.0,47.00931778446422,74.79504481913177
147,(주)경농,2100,Dec-18,155806650.0,201453891.0,97965187.0,187066687.0,52.369124920676015,77.34109737299639
148,(주)경농,2100,Dec-19,168988819.0,201885272.0,106304474.0,190892614.0,55.68810221227313,83.70537252464855
149,(주)경동나비엔,9450,Dec-11,95096442.0,168114574.0,81105376.0,143268094.0,56.61091296433385,56.56644735631308
150,(주)경동나비엔,9450,Dec-12,123854443.0,175875394.0,102426119.0,152201349.0,67.29645937632262,70.42170037725687
151,(주)경동나비엔,9450,Dec-13,167498879.0,187280988.0,139981016.0,161494784.0,86.67835117201061,89.43720384473836
152,(주)경동나비엔,9450,Dec-14,211637077.0,190021880.0,163104762.0,167984480.0,97.09513759842577,111.37510954001719
153,(주)경동나비엔,9450,Dec-15,196007760.0,206076609.0,139640734.0,185208256.0,75.39660327021275,95.1140262600109
154,(주)경동나비엔,9450,Dec-16,190992511.0,238762190.0,137450753.0,210193123.0,65.39260230697462,79.99277900742995
155,(주)경동나비엔,9450,Dec-17,247190712.0,256506497.0,169371998.0,222028494.0,76.28390165092954,96.36820700101019
156,(주)경동나비엔,9450,Dec-18,303492202.0,280103616.0,200157710.0,240355951.0,83.27553745486418,108.34997646013966
157,(주)경동나비엔,9450,Dec-19,308765719.0,301042624.0,207047496.0,254559521.0,81.33559302227002,102.56544900432438
158,(주)경동도시가스,267290,Dec-17,415948312.0,294331882.0,415288491.0,292628586.0,141.91658329647944,141.3194891336984
159,(주)경동도시가스,267290,Dec-18,457779539.0,320490074.0,457120376.0,318760537.0,143.40557344461996,142.83735320926039
160,(주)경동도시가스,267290,Dec-19,410387431.0,339612043.0,409752242.0,337701666.0,121.33557019526222,120.84007015028027
161,(주)경동인베스트,12320,Dec-11,593628327.0,407862543.0,528263966.0,412912132.0,127.93616972242414,145.54617411876433
162,(주)경동인베스트,12320,Dec-12,763415214.0,446509347.0,699478024.0,468921996.0,149.16724529168812,170.97407235239803
163,(주)경동인베스트,12320,Dec-13,706267792.0,498740561.0,644593509.0,516833582.0,124.71974179882142,141.61025736184308
164,(주)경동인베스트,12320,Dec-14,713337643.0,607451423.0,540269309.0,560802056.0,96.3386819323644,117.43122429067057
165,(주)경동인베스트,12320,Dec-15,591340081.0,576479441.0,377864242.0,548528455.0,68.88689885741661,102.57782653518774
166,(주)경동인베스트,12320,Dec-16,538198062.0,587924566.0,347571082.0,556247783.0,62.48493793996839,91.5420264986852
167,(주)경동인베스트,12320,Dec-17,198873241.0,400403090.0,8242347.0,309789000.0,2.660632559580876,49.6682583044002
168,(주)경동인베스트,12320,Dec-18,194135226.0,397867310.0,8354115.0,310422538.0,2.691207621013652,48.79396248965516
169,(주)경동인베스트,12320,Dec-19,190933746.0,414533638.0,8263326.0,308309156.0,2.680207784682204,46.059892008088376
170,(주)경방,50,Dec-11,722619941.0,629704391.0,655306746.0,676624221.0,96.84943660921651,114.7554235492063
171,(주)경방,50,Dec-12,714335725.0,620704205.0,631984460.0,669735441.0,94.36329949276195,115.08472461532624
172,(주)경방,50,Dec-13,660550587.0,636438555.0,575688238.0,685569176.0,83.97230478751862,103.78858757229126
173,(주)경방,50,Dec-14,654172565.0,647668814.0,623437994.0,651570419.0,95.68236614498609,101.0041785028729
174,(주)경방,50,Dec-15,655690395.0,662952918.0,587741479.0,671770865.0,87.49136195419848,98.90451903856015
175,(주)경방,50,Dec-16,622067560.0,679843399.0,546778844.0,690245544.0,79.215121162738,91.501595943274
176,(주)경방,50,Dec-17,574908164.0,699134073.0,488098740.0,710964923.0,68.65299879217811,82.23146120357947
177,(주)경방,50,Dec-18,593023494.0,708769347.0,497359673.0,729185709.0,68.20754532916936,83.66946123024138
178,(주)경방,50,Dec-19,629189292.0,741553199.0,555533558.0,740731873.0,74.99792816394711,84.84749210824994
179,(주)경보제약,214390,Dec-15,,,72671307.0,122817151.0,59.17032467232528,
180,(주)경보제약,214390,Dec-16,,,74333640.0,129402340.0,57.44381438542765,
181,(주)경보제약,214390,Dec-17,,,63359803.0,141509596.0,44.77420951721182,
182,(주)경보제약,214390,Dec-18,,,72610828.0,149012165.0,48.728120955762236,
183,(주)경보제약,214390,Dec-19,,,88653237.0,149163504.0,59.43359777871671,
184,(주)경인양행,12610,Dec-11,143304448.0,176292506.0,86943667.0,158882273.0,54.72206896234422,81.28788412594237
185,(주)경인양행,12610,Dec-12,112463993.0,174988685.0,78932783.0,162112825.0,48.690029922061996,64.26929432608742
186,(주)경인양행,12610,Dec-13,127200482.0,189744314.0,96496450.0,178074513.0,54.188804660664715,67.0378359796331
187,(주)경인양행,12610,Dec-14,114800458.0,198238667.0,80897578.0,186433506.0,43.3921883119014,57.91022495122004
188,(주)경인양행,12610,Dec-15,125562133.0,201125304.0,87875136.0,185903130.0,47.26931493837678,62.42980395942621
189,(주)경인양행,12610,Dec-16,136005319.0,208293196.0,99013669.0,191021720.0,51.833722887638125,65.29513282805455
190,(주)경인양행,12610,Dec-17,147016537.0,210934933.0,106064982.0,190844102.0,55.57676705146487,69.69757683522245
191,(주)경인양행,12610,Dec-18,189237207.0,223759383.0,146670857.0,198237400.0,73.98748016267365,84.57174151217605
192,(주)경인양행,12610,Dec-19,234647863.0,237433141.0,179977211.0,201086327.0,89.50246080132538,98.82692113313702
193,(주)고려시멘트,198440,Dec-14,,,,,,
194,(주)고려시멘트,198440,Dec-15,,,,,,
195,(주)고려시멘트,198440,Dec-16,,,,,,
196,(주)고려시멘트,198440,Dec-17,,,38487512.0,77394108.0,49.729253291477946,
197,(주)고려시멘트,198440,Dec-18,,,41025871.0,86510962.0,47.42274279645625,
198,(주)고려시멘트,198440,Dec-19,,,38590195.0,88445378.0,43.63166948079525,
199,(주)고영테크놀러지,98460,Dec-11,17383474.0,69622726.0,16635495.0,70382391.0,23.635876479388145,24.96810308748899
200,(주)고영테크놀러지,98460,Dec-12,19950870.0,83401095.0,18928736.0,84090906.0,22.50984904360526,23.921592396358825
201,(주)고영테크놀러지,98460,Dec-13,22632008.0,98319609.0,21277632.0,100051693.0,21.266638636489642,23.018814080108882
202,(주)고영테크놀러지,98460,Dec-14,25885224.0,115835240.0,23524948.0,118348519.0,19.877686851324267,22.34658813673628
203,(주)고영테크놀러지,98460,Dec-15,27381980.0,131475647.0,26600137.0,133570714.0,19.914647607558646,20.826655448974517
204,(주)고영테크놀러지,98460,Dec-16,37853661.0,157267580.0,36760049.0,157572806.0,23.32892961238502,24.069589549225594
205,(주)고영테크놀러지,98460,Dec-17,43890214.0,161317171.0,40860118.0,164836232.0,24.788311103835472,27.2074037301336
206,(주)고영테크놀러지,98460,Dec-18,53192797.0,225866639.0,50714272.0,229271175.0,22.11977672291338,23.550532843409425
207,(주)고영테크놀러지,98460,Dec-19,61812656.0,243668528.0,55999383.0,252020628.0,22.220158502263555,25.367517302029256
208,(주)골드앤에스,35290,Dec-11,24240316.0,22436829.0,23709321.0,22637807.0,104.73329417465216,108.03806545033613
209,(주)골드앤에스,35290,Dec-12,26432789.0,25517817.0,24809934.0,26252682.0,94.50437863834256,103.58562019627307
210,(주)골드앤에스,35290,Dec-13,38315150.0,13127355.0,24695648.0,9813150.0,251.6587232438106,291.8725821005069
211,(주)골드앤에스,35290,Dec-14,34445853.0,12082621.0,19800028.0,9084260.0,217.95972374194488,285.0859345832332
212,(주)골드앤에스,35290,Dec-15,8941840.0,15160254.0,8605906.0,14991660.0,57.40462363740907,58.982125233521806
213,(주)골드앤에스,35290,Dec-16,4403117.0,14268527.0,4193998.0,14102143.0,29.74014658623161,30.85894570616855
214,(주)골드앤에스,35290,Dec-17,3827858.0,13346076.0,3890051.0,13104737.0,29.684311863717678,28.681524067448738
215,(주)골드앤에스,35290,Dec-18,28693062.0,13779569.0,28605618.0,13867013.0,206.2853622478035,208.22902370894184
216,(주)골드앤에스,35290,Dec-19,21187743.0,-5091573.0,21097263.0,-5001092.0,-421.85312727700267,-416.1335406562962
217,(주)골드퍼시픽,38530,Dec-11,,,5643796.0,21829724.0,25.853721283878805,
218,(주)골드퍼시픽,38530,Dec-12,,,6933139.0,22928402.0,30.23821285059465,
219,(주)골드퍼시픽,38530,Dec-13,17496573.0,16190999.0,13401333.0,17116411.0,78.29522789561433,108.0635790293113
220,(주)골드퍼시픽,38530,Dec-14,25380917.0,16567915.0,15034120.0,16902289.0,88.94724258945045,153.19318695200934
221,(주)골드퍼시픽,38530,Dec-15,7380179.0,21193149.0,7380179.0,20115559.0,36.688908322159975,34.82341864344935
222,(주)골드퍼시픽,38530,Dec-16,,,9232425.0,1889641.0,488.580899758208,
223,(주)골드퍼시픽,38530,Dec-17,,,21203473.0,5364494.0,395.25578740511224,
224,(주)골드퍼시픽,38530,Dec-18,17738744.0,20086698.0,17201663.0,20086698.0,85.63708679246335,88.31090107493029
225,(주)골드퍼시픽,38530,Dec-19,,,51876425.0,21069318.0,246.2178652389223,
226,(주)골프존,215000,Dec-15,69278343.0,108853909.0,66566259.0,105063093.0,63.35836600584375,63.643413118035106
227,(주)골프존,215000,Dec-16,67265600.0,120648626.0,61749251.0,115886579.0,53.28421248848842,55.75330795727421
228,(주)골프존,215000,Dec-17,64290538.0,189381881.0,57616911.0,181394935.0,31.763241349599973,33.947565448460196
229,(주)골프존,215000,Dec-18,59138246.0,194919561.0,57141835.0,197436844.0,28.941829621223082,30.339821050592246
230,(주)골프존,215000,Dec-19,112544404.0,200042879.0,99331248.0,205529589.0,48.329414992407735,56.260140107261705
231,(주)골프존뉴딘홀딩스,121440,Dec-11,29085545.0,348968757.0,25141723.0,348104397.0,7.222466368329155,8.334713184653374
232,(주)골프존뉴딘홀딩스,121440,Dec-12,129285917.0,411636973.0,101615001.0,410999847.0,24.723853729317813,31.40775136348114
233,(주)골프존뉴딘홀딩스,121440,Dec-13,213296141.0,424543916.0,162390400.0,427556455.0,37.98104276077413,50.24124312265494
