,회사명,거래소코드,회계년도,유동자산(IFRS연결),유동부채(IFRS연결),유동자산(IFRS개별),유동부채(IFRS개별),유동비율(개별),유동비율(연결)
198,(주)고려시멘트,198440,Dec-19,,,46591282.0,27999091.0,166.40283786355778,
199,(주)고영테크놀러지,98460,Dec-11,63304178.0,14902695.0,61560094.0,14154716.0,434.9087187620013,424.78342340093513
200,(주)고영테크놀러지,98460,Dec-12,77857574.0,15604806.0,75787332.0,14596799.0,519.2051490193159,498.93330298370904
201,(주)고영테크놀러지,98460,Dec-13,94895999.0,17831243.0,93556579.0,16476867.0,567.8056331947087,532.1894777610288
202,(주)고영테크놀러지,98460,Dec-14,108649874.0,20476391.0,107119140.0,18713887.0,572.4045464205271,530.6104674402828
203,(주)고영테크놀러지,98460,Dec-15,121834639.0,21007557.0,124933566.0,20345674.0,614.0546929042508,579.9562462213003
204,(주)고영테크놀러지,98460,Dec-16,154891864.0,27477608.0,156029191.0,26393379.0,591.1679251072779,563.7021388470205
205,(주)고영테크놀러지,98460,Dec-17,161356541.0,32283948.0,159374622.0,29687984.0,536.8320799418377,499.80424017533414
206,(주)고영테크놀러지,98460,Dec-18,227563739.0,40471875.0,231667150.0,38506988.0,601.6236585421847,562.2762449231719
207,(주)고영테크놀러지,98460,Dec-19,225797248.0,38413935.0,229213476.0,34506180.0,664.2678963594348,587.800359426859
208,(주)골드앤에스,35290,Dec-11,23477041.0,21734828.0,23165184.0,21203833.0,109.2499832459537,108.0157662163234
209,(주)골드앤에스,35290,Dec-12,26661256.0,20697748.0,27310447.0,19364629.0,141.03263739263997,128.8123519524926
210,(주)골드앤에스,35290,Dec-13,15792977.0,29802347.0,17985887.0,22293201.0,80.67879978294728,52.99239351853732
211,(주)골드앤에스,35290,Dec-14,15072221.0,25047175.0,15782408.0,14232991.0,110.88609555082274,60.17533314635283
212,(주)골드앤에스,35290,Dec-15,15364121.0,7942854.0,15122533.0,7606920.0,198.79968502363636,193.43325459589212
213,(주)골드앤에스,35290,Dec-16,8660668.0,3670098.0,8552277.0,3460979.0,247.10571777523066,235.97920273518582
214,(주)골드앤에스,35290,Dec-17,10831000.0,3198537.0,10974294.0,3260731.0,336.55931752726616,338.62356446087693
215,(주)골드앤에스,35290,Dec-18,21031370.0,28003279.0,21031370.0,27915835.0,75.3384951587513,75.1032405883611
216,(주)골드앤에스,35290,Dec-19,3910189.0,21055498.0,3910189.0,20965017.0,18.651017549854597,18.57086923329954
217,(주)골드퍼시픽,38530,Dec-11,,,15105931.0,2479288.0,609.2850447386508,
218,(주)골드퍼시픽,38530,Dec-12,,,19029706.0,3581856.0,531.2805986616994,
219,(주)골드퍼시픽,38530,Dec-13,16708814.0,10776770.0,15961156.0,8833269.0,180.69364807071992,155.04473047118944
220,(주)골드퍼시픽,38530,Dec-14,23894969.0,17941676.0,15761409.0,8600544.0,183.26060537565996,133.18136499622443
221,(주)골드퍼시픽,38530,Dec-15,14304863.0,4089090.0,14304863.0,4089090.0,349.8299866229405,349.8299866229405
222,(주)골드퍼시픽,38530,Dec-16,,,5438550.0,6684024.0,81.36640442942755,
223,(주)골드퍼시픽,38530,Dec-17,,,17215160.0,20748043.0,82.97245190787392,
224,(주)골드퍼시픽,38530,Dec-18,23990386.0,12191199.0,22006122.0,11654119.0,188.82698898132068,196.78446722098457
225,(주)골드퍼시픽,38530,Dec-19,,,28455147.0,50456375.0,56.39554367510547,
226,(주)골프존,215000,Dec-15,81295773.0,50803120.0,71290784.0,48712106.0,146.35126635666296,160.0212211375994
227,(주)골프존,215000,Dec-16,89781733.0,56451253.0,75788492.0,51807444.0,146.28880745400215,159.04294099548153
228,(주)골프존,215000,Dec-17,160591890.0,51918381.0,142686039.0,45867329.0,311.084255636512,309.3160589888194
229,(주)골프존,215000,Dec-18,145265354.0,54339957.0,134088763.0,52508860.0,255.3640718918674,267.3269579510341
230,(주)골프존,215000,Dec-19,81730468.0,61066134.0,70491340.0,54396575.0,129.58782791012118,133.83927006088186
231,(주)골프존뉴딘홀딩스,121440,Dec-11,276277197.0,27175102.0,249046740.0,23959622.0,1039.4435271140756,1016.6556026174254
232,(주)골프존뉴딘홀딩스,121440,Dec-12,267312187.0,127906398.0,267719852.0,100380679.0,266.7045637338237,208.99047364307765
233,(주)골프존뉴딘홀딩스,121440,Dec-13,280228001.0,210617017.0,315880696.0,158799918.0,198.91741757700402,133.0509780223504
