,회사명,거래소코드,회계년도,유동자산(IFRS연결),유동부채(IFRS연결),자산(IFRS연결),유동자산(IFRS개별),유동부채(IFRS개별),자산(IFRS개별),순운전자본대총자산(개별),순운전자본대총자산(연결)
132,(주)갤럭시아에스엠,11420,Dec-12,24752609.0,13440442.0,43979072.0,21665386.0,12435097.0,40169876.0,22.978136651454935,25.721704632603437
133,(주)갤럭시아에스엠,11420,Dec-13,19899780.0,13503615.0,37636664.0,15680160.0,9491278.0,34158874.0,18.117933278479846,16.994505676698658
134,(주)갤럭시아에스엠,11420,Dec-14,26742964.0,17868979.0,45274078.0,21910144.0,14705118.0,40528250.0,17.777787099122218,19.600586896545966
135,(주)갤럭시아에스엠,11420,Dec-15,44426010.0,16873228.0,68686992.0,40480215.0,14961439.0,67196553.0,37.976317029238096,40.11353707263815
136,(주)갤럭시아에스엠,11420,Dec-16,37929417.0,12464561.0,58444606.0,33508731.0,9845511.0,55825556.0,42.38779099665393,43.57092594652789
137,(주)갤럭시아에스엠,11420,Dec-17,28750883.0,8744690.0,49831109.0,25522603.0,7871709.0,48958128.0,36.05304108032889,40.14799871301279
138,(주)갤럭시아에스엠,11420,Dec-18,14251248.0,6670268.0,33253331.0,14317048.0,6429460.0,33337692.0,23.659670261516606,22.797655970164314
139,(주)갤럭시아에스엠,11420,Dec-19,13644588.0,6311576.0,28241598.0,13644588.0,6311576.0,28241598.0,25.965287091757343,25.965287091757343
140,(주)경농,2100,Dec-11,94363834.0,24871768.0,173774102.0,85897543.0,24782041.0,176741869.0,34.57896102705579,39.98988641011651
141,(주)경농,2100,Dec-12,142516976.0,102878086.0,269412832.0,88973571.0,45244293.0,203467698.0,21.49200016997293,14.713066822295978
142,(주)경농,2100,Dec-13,129526582.0,72472377.0,255984725.0,90491612.0,40577371.0,214988593.0,23.217157851719136,22.288128715492693
143,(주)경농,2100,Dec-14,139646908.0,90426180.0,284623063.0,92163573.0,46610936.0,230870852.0,19.73078741009714,17.29330275670598
144,(주)경농,2100,Dec-15,161184139.0,114383542.0,316341853.0,110823037.0,75250424.0,265109291.0,13.41809367216783,14.794310824246198
145,(주)경농,2100,Dec-16,156061222.0,112348070.0,320915151.0,113338004.0,75688103.0,266622289.0,14.1210628493254,13.621404867855553
146,(주)경농,2100,Dec-17,163437464.0,121066567.0,335873898.0,114661596.0,78430974.0,268967010.0,13.470284701458368,12.6151205116868
147,(주)경농,2100,Dec-18,169982099.0,128301300.0,357260541.0,124295854.0,86896477.0,285031873.0,13.12112101933246,11.66677934353797
148,(주)경농,2100,Dec-19,185020093.0,122608005.0,370874091.0,138697201.0,80682497.0,297197088.0,19.520616568086965,16.828376399040504
149,(주)경동나비엔,9450,Dec-11,129512842.0,81664623.0,263211016.0,109967953.0,74711381.0,224373470.0,15.713342580118765,18.17865366242878
150,(주)경동나비엔,9450,Dec-12,145371681.0,100189444.0,299729837.0,123218302.0,87833093.0,254627468.0,13.896854600148636,15.074320745718753
151,(주)경동나비엔,9450,Dec-13,134043087.0,149468556.0,354779867.0,104914630.0,132677192.0,301475800.0,-9.20888575467749,-4.3478986365367795
152,(주)경동나비엔,9450,Dec-14,159947056.0,186324883.0,401658957.0,134136648.0,156677220.0,331089242.0,-6.808004954748725,-6.567219911393635
153,(주)경동나비엔,9450,Dec-15,158254944.0,177125715.0,402084368.0,129837058.0,136609355.0,324848990.0,-2.0847523644755674,-4.6932366691758585
154,(주)경동나비엔,9450,Dec-16,175420277.0,177489101.0,429754702.0,145915928.0,135099803.0,347643876.0,3.1112657943095767,-0.4813964781239322
155,(주)경동나비엔,9450,Dec-17,230894567.0,219839746.0,503697210.0,175839342.0,159637322.0,391400492.0,4.139499139924433,2.194735404629301
156,(주)경동나비엔,9450,Dec-18,287001959.0,275122471.0,583595818.0,209454208.0,191253920.0,440513661.0,4.131605807339537,2.0355677051818764
157,(주)경동나비엔,9450,Dec-19,274279157.0,270253541.0,609808343.0,214093729.0,183748685.0,461607017.0,6.573783084410954,0.6601444611590038
158,(주)경동도시가스,267290,Dec-17,376858740.0,334894003.0,710280194.0,374489353.0,334399752.0,707917077.0,5.663036293726815,5.908194731387934
159,(주)경동도시가스,267290,Dec-18,444232799.0,375912237.0,778269612.0,441723742.0,375445868.0,775880913.0,8.542274064164278,8.77852108659743
160,(주)경동도시가스,267290,Dec-19,395154174.0,321180745.0,749999474.0,392458231.0,320773519.0,747453908.0,9.590519392936267,9.863130784009057
161,(주)경동인베스트,12320,Dec-11,610411619.0,488755455.0,1001490869.0,563584969.0,450578763.0,941176098.0,12.006914140737134,12.14750605978815
162,(주)경동인베스트,12320,Dec-12,814034002.0,649801248.0,1209924561.0,753036515.0,612902677.0,1168400020.0,11.993652482135357,13.57380115205381
163,(주)경동인베스트,12320,Dec-13,778164231.0,596199441.0,1205008353.0,724069045.0,555649865.0,1161427092.0,14.501054879818492,15.100707770778415
164,(주)경동인베스트,12320,Dec-14,766552554.0,550250914.0,1320789066.0,631297926.0,449400573.0,1101071366.0,16.520032998478683,16.37669826076528
165,(주)경동인베스트,12320,Dec-15,571798491.0,392919112.0,1167819522.0,459634757.0,294859087.0,926392697.0,17.786805804234444,15.317382149396883
166,(주)경동인베스트,12320,Dec-16,508994824.0,337654347.0,1126122628.0,394847821.0,259946634.0,903818865.0,14.925688345750562,15.215081620755782
167,(주)경동인베스트,12320,Dec-17,238339688.0,77526863.0,599276331.0,110951332.0,615156.0,318031347.0,34.69349076460693,26.834502996581723
168,(주)경동인베스트,12320,Dec-18,188460289.0,78414333.0,592002536.0,44742051.0,424952.0,318776653.0,13.902241140601976,18.5887642886719
169,(주)경동인베스트,12320,Dec-19,236475693.0,84662496.0,605467383.0,44653640.0,7787239.0,316572482.0,11.645485029870663,25.07372011482904
170,(주)경방,50,Dec-11,138673371.0,406687562.0,1352324332.0,123787600.0,362096037.0,1331930968.0,-17.891951063938322,-19.81878049946971
171,(주)경방,50,Dec-12,123685731.0,164949423.0,1335039930.0,101710997.0,121339742.0,1301719900.0,-1.5079084985948206,-3.0908208116292073
172,(주)경방,50,Dec-13,103410904.0,135215333.0,1296989142.0,79482802.0,88576434.0,1261257414.0,-0.7209973078501166,-2.4521738825782706
173,(주)경방,50,Dec-14,101229398.0,409405729.0,1301841379.0,83665762.0,388656785.0,1275008413.0,-23.920706709878,-23.67234103717946
174,(주)경방,50,Dec-15,108093423.0,185946014.0,1318643312.0,83760073.0,143915877.0,1259512344.0,-4.776118653109445,-5.903991647439531
175,(주)경방,50,Dec-16,106002223.0,155435755.0,1301910960.0,80538917.0,120641481.0,1237024388.0,-3.241857184791413,-3.796997914511757
176,(주)경방,50,Dec-17,90254697.0,319476563.0,1274042237.0,71472590.0,249334914.0,1199063663.0,-14.833434578027072,-17.991700694299666
177,(주)경방,50,Dec-18,120711492.0,163151849.0,1301792841.0,88159568.0,102888605.0,1226545382.0,-1.2008554445806883,-3.260146750184809
178,(주)경방,50,Dec-19,264861016.0,192380293.0,1370742491.0,223798878.0,150525799.0,1296265431.0,5.652629256916441,5.287697979444923
179,(주)경보제약,214390,Dec-15,,,,105108130.0,64542191.0,195488457.0,20.751066135838396,
180,(주)경보제약,214390,Dec-16,,,,102226920.0,72716830.0,203735980.0,14.484476428758436,
181,(주)경보제약,214390,Dec-17,,,,110638039.0,60379395.0,204869399.0,24.532040531831697,
182,(주)경보제약,214390,Dec-18,,,,128936315.0,69317865.0,221622993.0,26.90084146639063,
183,(주)경보제약,214390,Dec-19,,,,124176490.0,83814952.0,237816742.0,16.971697476202074,
