,회사명,거래소코드,회계년도,재고자산(IFRS연결),유동자산(IFRS연결),재고자산(IFRS개별),유동자산(IFRS개별),재고자산_유동자산비율(개별),재고자산_유동자산비율(연결)
90,(주)TCC스틸,2710,Dec-11,79633257.0,183481284.0,76580688.0,163515113.0,46.83401221757404,48.70085433632058
91,(주)TCC스틸,2710,Dec-12,100648536.0,218440703.0,75866000.0,168674581.0,44.97773141052,59.670245156856204
92,(주)TCC스틸,2710,Dec-13,117184576.0,220034732.0,62722660.0,150092488.0,41.789339916865124,78.07491071771693
93,(주)TCC스틸,2710,Dec-14,124343812.0,233224033.0,59114758.0,141191905.0,41.868376235875566,88.06723869898914
94,(주)TCC스틸,2710,Dec-15,48965898.0,240184174.0,45683627.0,202116240.0,22.602650336261945,24.226602473903135
95,(주)TCC스틸,2710,Dec-16,51850499.0,120777516.0,44890754.0,97007914.0,46.275352338779285,53.4497618410803
96,(주)TCC스틸,2710,Dec-17,52771855.0,120243911.0,48077587.0,101914014.0,47.174657451918236,51.78076392909027
97,(주)TCC스틸,2710,Dec-18,69197191.0,152165969.0,62280830.0,128625665.0,48.42022002374098,53.797343632781214
98,(주)TCC스틸,2710,Dec-19,72619098.0,148991647.0,67392895.0,121879909.0,55.29450715293856,59.582501001046865
99,(주)가비아,79940,Dec-11,14450.0,28837190.0,14450.0,9245779.0,0.156287534019578,0.156287534019578
100,(주)가비아,79940,Dec-12,248459.0,31997486.0,92459.0,9613034.0,0.9618087276087862,2.584605442985014
101,(주)가비아,79940,Dec-13,93612.0,37411881.0,81039.0,10360239.0,0.7822116844987842,0.9035698886869309
102,(주)가비아,79940,Dec-14,0.0,41920706.0,0.0,14916105.0,0.0,0.0
103,(주)가비아,79940,Dec-15,0.0,52239105.0,0.0,17436488.0,0.0,0.0
104,(주)가비아,79940,Dec-16,1363738.0,60241586.0,0.0,12237594.0,0.0,11.143840856299041
105,(주)가비아,79940,Dec-17,1675464.0,66113388.0,0.0,15116578.0,0.0,11.083619586390519
106,(주)가비아,79940,Dec-18,1982294.0,78058272.0,0.0,18388749.0,0.0,10.77992853129922
107,(주)가비아,79940,Dec-19,2643604.0,86880807.0,0.0,13602872.0,0.0,19.43416066842355
108,(주)강스템바이오텍,217730,Dec-15,,,334913.0,18896590.0,1.7723462275468747,
109,(주)강스템바이오텍,217730,Dec-16,,,582808.0,37966496.0,1.535058700176071,
110,(주)강스템바이오텍,217730,Dec-17,1725225.0,25246012.0,1725225.0,24316617.0,7.094839713928956,7.094839713928956
111,(주)강스템바이오텍,217730,Dec-18,1918575.0,48992790.0,501972.0,44071609.0,1.1389917713238016,4.353312809614008
