,회사명,거래소코드,회계년도,장기차입금(IFRS연결),단기차입금(IFRS연결),회사채(IFRS연결),자산(IFRS연결),장기차입금(IFRS개별),단기차입금(IFRS개별),회사채(IFRS개별),자산(IFRS개별),차입금의존도(개별),차입금의존도(연결)
10533,무림에스피(주),1810,Dec-13,7873509.0,23801400.0,0.0,278109598.0,5697736.0,15293372.0,0.0,29530651.0,71.08244244259973,11.389362045678121
10534,무림에스피(주),1810,Dec-14,2038049.0,30539976.0,0.0,298154541.0,498429.0,21388477.0,0.0,16415973.0,133.32688839095923,10.926556708052956
10535,무림에스피(주),1810,Dec-15,2388310.0,33957103.0,0.0,295833576.0,224600.0,25262951.0,0.0,14956921.0,170.40640249420318,12.285763330663995
10536,무림에스피(주),1810,Dec-16,2198350.0,28486285.0,0.0,283841869.0,112500.0,19944708.0,0.0,16165012.0,124.0779035610985,10.81046820474537
10537,무림에스피(주),1810,Dec-17,5030000.0,33565188.0,0.0,305110804.0,5030000.0,24714748.0,0.0,16670532.0,178.4271071853016,12.649564516895968
10538,무림에스피(주),1810,Dec-18,10000000.0,46105407.0,0.0,321892003.0,10000000.0,34288915.0,0.0,20325288.0,217.9005532418532,17.429885327098358
10539,무림에스피(주),1810,Dec-19,15000000.0,26791081.0,0.0,298741272.0,15000000.0,26791081.0,0.0,26825938.0,155.78609404077503,13.989055050953924
10540,무림페이퍼(주),9200,Dec-11,495413739.0,530082176.0,0.0,2257628667.0,86629645.0,160325357.0,0.0,49454967.0,499.3532843728316,45.423586703596726
10541,무림페이퍼(주),9200,Dec-12,343596663.0,416439222.0,0.0,2224876903.0,39420002.0,91291054.0,0.0,65686253.0,198.9930160881608,34.160806109100946
10542,무림페이퍼(주),9200,Dec-13,431826444.0,444936666.0,0.0,2279635167.0,87483820.0,122581940.0,0.0,53177781.0,395.02543364868876,38.460676633350076
10543,무림페이퍼(주),9200,Dec-14,475406961.0,380863273.0,0.0,2157864369.0,153358101.0,88248563.0,0.0,60607812.0,398.63947571643075,39.68137415405833
10544,무림페이퍼(주),9200,Dec-15,316539074.0,453918632.0,0.0,2170261009.0,129949869.0,159854177.0,0.0,60063788.0,482.49378810407364,35.500693363836774
10545,무림페이퍼(주),9200,Dec-16,311065902.0,432527357.0,0.0,1904532338.0,117315492.0,115356561.0,0.0,53078214.0,438.3569744829772,39.04335170180765
10546,무림페이퍼(주),9200,Dec-17,239348105.0,376344675.0,0.0,1915712278.0,220287338.0,109411601.0,0.0,51911958.0,635.1117386094356,32.13910497263097
10547,무림페이퍼(주),9200,Dec-18,418832130.0,339214185.0,0.0,2014259668.0,232654321.0,116817623.0,0.0,51898719.0,673.372967066875,37.63399163687172
10548,무림페이퍼(주),9200,Dec-19,523916254.0,418321531.0,0.0,2158547900.0,274152630.0,97373612.0,0.0,70357034.0,528.0584198589156,43.65146518175483
10549,무림피앤피(주),9580,Dec-11,296735235.0,214052978.0,0.0,1218780361.0,296735235.0,214052978.0,0.0,,,41.909783693995706
10550,무림피앤피(주),9580,Dec-12,244571516.0,186270302.0,0.0,1237616644.0,244571516.0,185570302.0,0.0,,,34.81221912203049
10551,무림피앤피(주),9580,Dec-13,201576911.0,201430733.0,0.0,1231080132.0,201576912.0,200730733.0,0.0,,,32.736101698374256
10552,무림피앤피(주),9580,Dec-14,227980290.0,158946142.0,0.0,1149695432.0,228010289.0,158746142.0,0.0,,,33.654689862245185
10553,무림피앤피(주),9580,Dec-15,147204727.0,170196500.0,0.0,1168025790.0,142133728.0,170196500.0,0.0,,,27.17416256707825
10554,무림피앤피(주),9580,Dec-16,149332396.0,184204719.0,0.0,1095295628.0,149332396.0,184204719.0,0.0,56311794.0,592.3041894207811,30.451789131034495
10555,무림피앤피(주),9580,Dec-17,158312903.0,148234748.0,0.0,1102417266.0,158312903.0,148234748.0,0.0,52551300.0,583.3302905922403,27.80686228838509
10556,무림피앤피(주),9580,Dec-18,167810519.0,221899450.0,0.0,1355957771.0,156652241.0,110241400.0,0.0,64219924.0,415.5932059340338,28.740568278361227
10557,무림피앤피(주),9580,Dec-19,242131025.0,195092312.0,0.0,1350311527.0,193046501.0,94292312.0,0.0,51443709.0,558.5499540867087,32.3794419478432
10558,문배철강(주),8420,Dec-11,,,,,0.0,34478893.0,0.0,56558734.0,60.96121776700306,
10559,문배철강(주),8420,Dec-12,,,,,0.0,26867580.0,0.0,88640737.0,30.310645995644194,
10560,문배철강(주),8420,Dec-13,,,,,0.0,20759913.0,0.0,85160079.0,24.377517310663837,
10561,문배철강(주),8420,Dec-14,,,,,0.0,10162204.0,0.0,94541904.0,10.748888662111142,
10562,문배철강(주),8420,Dec-15,,,,,0.0,6197481.0,0.0,119567692.0,5.183240469340163,
10563,문배철강(주),8420,Dec-16,,,,,0.0,6072303.0,0.0,220028621.0,2.7597786926092676,
10564,문배철강(주),8420,Dec-17,,,,,20000000.0,11531810.0,0.0,137564509.0,22.92147170023338,
10565,문배철강(주),8420,Dec-18,,,,,20000000.0,2118100.0,0.0,131381485.0,16.83502055103122,
10566,문배철강(주),8420,Dec-19,,,,,21578000.0,21130464.0,0.0,136782015.0,31.223742390401256,
10567,미디어젠(주),279600,Dec-19,6301500.0,800000.0,0.0,30458965.0,6301500.0,800000.0,0.0,237872431.0,2.9854237290743457,23.314974753738348
10568,미래나노텍(주),95500,Dec-11,17825000.0,42850000.0,0.0,268784807.0,17825000.0,42400000.0,0.0,351329619.0,17.142021834487004,22.57382055080219
10569,미래나노텍(주),95500,Dec-12,15952666.0,11729.0,0.0,344989371.0,6425000.0,0.0,0.0,390424459.0,1.64564484931514,4.627503436910234
10570,미래나노텍(주),95500,Dec-13,40627476.0,14047.0,0.0,341727066.0,34960000.0,0.0,0.0,503143005.0,6.94832277356216,11.892977479284594
10571,미래나노텍(주),95500,Dec-14,28347428.0,14898.0,0.0,273884267.0,23274850.0,0.0,0.0,569712213.0,4.085369677690235,10.355587895087089
10572,미래나노텍(주),95500,Dec-15,19108250.0,17000.0,0.0,286696422.0,17908250.0,0.0,0.0,22842330054.0,0.07839940127677134,6.6709064126374065
10573,미래나노텍(주),95500,Dec-16,16470725.0,150000.0,0.0,298437466.0,8641650.0,0.0,0.0,24802591031.0,0.03484172274259196,5.569248802025413
10574,미래나노텍(주),95500,Dec-17,7900000.0,68382289.0,0.0,284168144.0,7900000.0,62000000.0,0.0,26332000497.0,0.265456473798729,26.844067715063797
10575,미래나노텍(주),95500,Dec-18,0.0,71145513.0,0.0,303408549.0,0.0,63000000.0,0.0,26817978671.0,0.2349170337290407,23.448750285543206
10576,미래나노텍(주),95500,Dec-19,16000000.0,64773921.0,0.0,315964482.0,16000000.0,56500000.0,0.0,26020706391.0,0.2786242575838609,25.56424079336867
10577,미래산업(주),25560,Dec-11,2000000.0,43451461.0,0.0,126114458.0,2000000.0,43451461.0,0.0,25982810067.0,0.17492896604638833,36.039849610264355
10578,미래산업(주),25560,Dec-12,5000000.0,30797761.0,0.0,96187992.0,5000000.0,30797761.0,0.0,22820866673.0,0.15686416082678106,37.216455251503746
