,회사명,거래소코드,회계년도,당기유형자산(IFRS연결),전기유형자산(IFRS연결),당기유형자산(IFRS개별),전기유형자산(IFRS개별),유형자산증가율(개별),유형자산증가율(연결)
165,(주)경동인베스트,12320,Dec-15,478535233.0,478535233.0,317414775.0,317414775.0,0.0,-33.66950788344565
166,(주)경동인베스트,12320,Dec-16,490371394.0,490371394.0,320740081.0,320740081.0,0.0,-34.59241609024201
167,(주)경동인베스트,12320,Dec-17,177264156.0,177264156.0,9664453.0,9664453.0,0.0,-94.54799367335154
168,(주)경동인베스트,12320,Dec-18,176391871.0,186791214.0,12131746.0,12131746.0,0.0,-93.50518381448069
169,(주)경동인베스트,12320,Dec-19,170491064.0,170491064.0,2798610.0,2798610.0,0.0,-98.35850047835939
170,(주)경방,50,Dec-11,308454057.0,308454057.0,307701501.0,307701501.0,0.0,-0.24397669050597415
171,(주)경방,50,Dec-12,324064120.0,324064120.0,301773723.0,301773723.0,0.0,-6.878390918439223
172,(주)경방,50,Dec-13,306515477.0,306515477.0,280675994.0,280675994.0,0.0,-8.430074478751365
173,(주)경방,50,Dec-14,307855729.0,307855729.0,269480797.0,269480797.0,0.0,-12.465232375129844
174,(주)경방,50,Dec-15,325770660.0,325770660.0,258275719.0,258275719.0,0.0,-20.718545064801106
175,(주)경방,50,Dec-16,315500908.0,315500908.0,248710695.0,248710695.0,0.0,-21.169578694207743
176,(주)경방,50,Dec-17,310601150.0,310601150.0,229435458.0,229435458.0,0.0,-26.131806659440898
177,(주)경방,50,Dec-18,285829683.0,285829683.0,214332809.0,214332809.0,0.0,-25.013803062574155
178,(주)경방,50,Dec-19,145683128.0,145683128.0,64860661.0,64860661.0,0.0,-55.47826169685209
179,(주)경보제약,214390,Dec-15,,,74892236.0,74892236.0,0.0,
180,(주)경보제약,214390,Dec-16,,,83949070.0,83949070.0,0.0,
181,(주)경보제약,214390,Dec-17,,,78497115.0,78497115.0,0.0,
182,(주)경보제약,214390,Dec-18,,,76497132.0,76497132.0,0.0,
183,(주)경보제약,214390,Dec-19,,,88116421.0,88116421.0,0.0,
184,(주)경인양행,12610,Dec-11,136165573.0,130087093.0,69431560.0,69431560.0,0.0,-46.62686481894095
185,(주)경인양행,12610,Dec-12,124092900.0,124092900.0,67259638.0,67259638.0,0.0,-45.798963518460766
186,(주)경인양행,12610,Dec-13,127667556.0,127667556.0,72282759.0,72282759.0,0.0,-43.38204531776264
187,(주)경인양행,12610,Dec-14,135555605.0,135555605.0,77811393.0,77811393.0,0.0,-42.59817364246945
188,(주)경인양행,12610,Dec-15,136115404.0,136115404.0,76154669.0,76154669.0,0.0,-44.051395534924175
189,(주)경인양행,12610,Dec-16,137784128.0,137784128.0,77953872.0,77953872.0,0.0,-43.42318441787432
190,(주)경인양행,12610,Dec-17,149692038.0,149692038.0,86525558.0,86525558.0,0.0,-42.19762175994959
191,(주)경인양행,12610,Dec-18,155376235.0,155376235.0,90678289.0,90678289.0,0.0,-41.63953773239517
192,(주)경인양행,12610,Dec-19,194110502.0,194110502.0,119519529.0,119519529.0,0.0,-38.42706717640656
193,(주)고려시멘트,198440,Dec-14,,,,,,
194,(주)고려시멘트,198440,Dec-15,,,,,,
195,(주)고려시멘트,198440,Dec-16,,,,,,
196,(주)고려시멘트,198440,Dec-17,,,47901220.0,47901220.0,0.0,
197,(주)고려시멘트,198440,Dec-18,,,48776544.0,48776544.0,0.0,
198,(주)고려시멘트,198440,Dec-19,,,51139394.0,51139394.0,0.0,
199,(주)고영테크놀러지,98460,Dec-11,15041656.0,15041656.0,14869610.0,14869610.0,0.0,-1.143796932997276
200,(주)고영테크놀러지,98460,Dec-12,15547786.0,15547786.0,15336664.0,15336664.0,0.0,-1.3578910849428922
201,(주)고영테크놀러지,98460,Dec-13,14825443.0,14825443.0,14690294.0,14690294.0,0.0,-0.9116017646150567
202,(주)고영테크놀러지,98460,Dec-14,19958721.0,19958721.0,19812580.0,19812580.0,0.0,-0.7322162577451792
203,(주)고영테크놀러지,98460,Dec-15,19713468.0,19713468.0,19340953.0,19340953.0,0.0,-1.889647219860052
204,(주)고영테크놀러지,98460,Dec-16,23842197.0,23842197.0,23462507.0,23462507.0,0.0,-1.5925126363145097
205,(주)고영테크놀러지,98460,Dec-17,25337806.0,25337806.0,24158929.0,24158929.0,0.0,-4.6526404061977615
206,(주)고영테크놀러지,98460,Dec-18,33117594.0,33117594.0,32377941.0,32377941.0,0.0,-2.233414057796594
207,(주)고영테크놀러지,98460,Dec-19,37283940.0,37283940.0,35418136.0,35418136.0,0.0,-5.004310166790319
208,(주)골드앤에스,35290,Dec-11,1027834.0,1027834.0,995140.0,995140.0,0.0,-3.180863835989072
209,(주)골드앤에스,35290,Dec-12,988045.0,988045.0,851327.0,851327.0,0.0,-13.837224013076337
210,(주)골드앤에스,35290,Dec-13,23605894.0,23605894.0,810357.0,810357.0,0.0,-96.56714124023432
211,(주)골드앤에스,35290,Dec-14,22767398.0,22767398.0,502559.0,502559.0,0.0,-97.79263752493807
212,(주)골드앤에스,35290,Dec-15,330937.0,330937.0,299779.0,299779.0,0.0,-9.41508504639856
213,(주)골드앤에스,35290,Dec-16,204183.0,204183.0,193816.0,193816.0,0.0,-5.077308101066208
214,(주)골드앤에스,35290,Dec-17,338535.0,338535.0,336869.0,336869.0,0.0,-0.49212046021828826
