,회사명,거래소코드,회계년도,매출액(IFRS연결),매출원가(IFRS연결),판관비(IFRS연결),매출액(IFRS개별),매출원가(IFRS개별),판관비(IFRS개별),매출액영업이익률(개별),매출액영업이익률(연결)
4340,(주)에스피지,58610,Dec-11,105205996.0,84070321.0,15839909.0,97093450.0,81095448.0,11877700.0,4.243645683617174,5.033711196460704
4341,(주)에스피지,58610,Dec-12,106313494.0,85067101.0,16698178.0,101170038.0,84932733.0,12425796.0,3.7674286531354273,4.278116379092949
4342,(주)에스피지,58610,Dec-13,115621668.0,93073260.0,16672864.0,109140421.0,93093716.0,12017172.0,3.6920629067391997,5.08169800836985
4343,(주)에스피지,58610,Dec-14,135091429.0,108969292.0,17511462.0,124483645.0,105988704.0,12850008.0,4.534678431050119,6.373961000886295
4344,(주)에스피지,58610,Dec-15,138807894.0,112022810.0,18835003.0,119890864.0,102321325.0,13536090.0,3.364267188866034,5.727398327936594
4345,(주)에스피지,58610,Dec-16,152272422.0,122924045.0,23211575.0,133513413.0,113181091.0,18591846.0,1.3035963660070617,4.030146706407546
4346,(주)에스피지,58610,Dec-17,295751093.0,239431475.0,49946290.0,238208029.0,207318554.0,30603712.0,0.1199636306129715,2.154963464496816
4347,(주)에스피지,58610,Dec-18,305413294.0,246405866.0,46906896.0,226742282.0,199407743.0,22088356.0,2.3137206495963554,3.9620187587512152
4348,(주)에스피지,58610,Dec-19,315161067.0,255745605.0,49120432.0,219560002.0,195036281.0,24315065.0,0.09503370290550463,3.2665932051816537
4349,(주)에쎈테크,43340,Dec-11,,,,93076543.0,89366974.0,9560725.0,-6.286391620711569,
4350,(주)에쎈테크,43340,Dec-12,,,,76589961.0,69681977.0,5917648.0,1.2930363027603577,
4351,(주)에쎈테크,43340,Dec-13,,,,85545931.0,79326692.0,3759722.0,2.8750835618353374,
4352,(주)에쎈테크,43340,Dec-14,,,,83537987.0,76137018.0,4593487.0,3.360724983713098,
4353,(주)에쎈테크,43340,Dec-15,,,,72002464.0,65317798.0,4727387.0,2.718350027576834,
4354,(주)에쎈테크,43340,Dec-16,,,,72916738.0,64992502.0,5114526.0,3.8533128017877045,
4355,(주)에쎈테크,43340,Dec-17,,,,66131227.0,60416302.0,5126445.0,0.8898670517636093,
4356,(주)에쎈테크,43340,Dec-18,,,,58791068.0,51869745.0,4224586.0,4.586984199708704,
4357,(주)에쎈테크,43340,Dec-19,,,,51708136.0,47946958.0,3313345.0,0.8660784059204918,
4358,(주)에이디칩스,54630,Dec-11,66926705.0,54328057.0,11975080.0,23015482.0,16383460.0,6370490.0,1.136330753359847,0.9317177649788675
4359,(주)에이디칩스,54630,Dec-12,45600047.0,36031675.0,10887508.0,20880350.0,15365891.0,7068101.0,-7.440689452044626,-2.8928391236087982
4360,(주)에이디칩스,54630,Dec-13,43041906.0,33928700.0,11087960.0,21951350.0,16059002.0,7859061.0,-8.959417074576278,-4.58797990962575
4361,(주)에이디칩스,54630,Dec-14,26185290.0,21180757.0,8457545.0,15460811.0,11857672.0,6894936.0,-21.29123110036078,-13.186838870220646
4362,(주)에이디칩스,54630,Dec-15,13172615.0,9506431.0,5225163.0,13010871.0,9425199.0,5113303.0,-11.741189348507106,-11.835000111974729
4363,(주)에이디칩스,54630,Dec-16,25298566.0,19714021.0,3721382.0,22952939.0,17730184.0,3504893.0,7.48427902849391,7.364698062332861
4364,(주)에이디칩스,54630,Dec-17,,,,18617247.0,14453126.0,2992335.0,6.294088486874563,
4365,(주)에이디칩스,54630,Dec-18,,,,12629866.0,12480365.0,3975157.0,-30.290550984468084,
4366,(주)에이디칩스,54630,Dec-19,,,,17668070.0,16005708.0,4352735.0,-15.227316848982372,
4367,(주)에이디테크놀로지,200710,Dec-14,68482209.0,52766359.0,5071493.0,66410213.0,51244230.0,4555254.0,15.97755604247196,15.54324423150544
4368,(주)에이디테크놀로지,200710,Dec-15,35797490.0,28761631.0,5069796.0,33175505.0,26635195.0,4609972.0,5.818564027887443,5.492181155717901
4369,(주)에이디테크놀로지,200710,Dec-16,22667923.0,21873302.0,4281821.0,21413544.0,20902034.0,3981612.0,-16.205173697543948,-15.383853209665482
4370,(주)에이디테크놀로지,200710,Dec-17,,,,32204669.0,28585351.0,3998661.0,-1.1779130535389137,
4371,(주)에이디테크놀로지,200710,Dec-18,110264723.0,92261217.0,5904152.0,110264723.0,92261217.0,5926429.0,10.95280219404351,10.9730053917607
4372,(주)에이디테크놀로지,200710,Dec-19,225809534.0,207922950.0,5728351.0,225809534.0,207922950.0,5691033.0,5.400813147242933,5.384286829979464
4373,(주)에이루트,96690,Dec-11,,,,27440456.0,20555717.0,3567477.0,12.088946335294136,
4374,(주)에이루트,96690,Dec-12,26937127.0,20977755.0,4473335.0,25634609.0,19947532.0,4051632.0,6.379832046589827,5.516687061689987
4375,(주)에이루트,96690,Dec-13,31403847.0,22953878.0,5413945.0,29504788.0,21786409.0,4570971.0,10.667448279919856,9.667681797074097
4376,(주)에이루트,96690,Dec-14,,,,27782702.0,21253895.0,5028317.0,5.400806588214494,
4377,(주)에이루트,96690,Dec-15,,,,29335971.0,21643216.0,4725151.0,10.11592218986036,
4378,(주)에이루트,96690,Dec-16,33960104.0,24810433.0,20118569.0,33833694.0,24810433.0,17846715.0,-26.07889638063169,-32.29936516095474
4379,(주)에이루트,96690,Dec-17,36658646.0,26513733.0,11571921.0,36423753.0,26513733.0,10057205.0,-0.40409070421710797,-3.8926915085734484
4380,(주)에이루트,96690,Dec-18,22194327.0,18726448.0,8823461.0,22056403.0,18626337.0,7375645.0,-17.888587726656972,-24.13040954114085
4381,(주)에이루트,96690,Dec-19,31253724.0,24359627.0,7912269.0,24873110.0,19660312.0,4318972.0,3.593543388824317,-3.257762178996653
4382,(주)에이블씨엔씨,78520,Dec-11,330258882.0,93274634.0,203409926.0,305625810.0,93674817.0,178598191.0,10.912953326814904,10.166061786644091
4383,(주)에이블씨엔씨,78520,Dec-12,452287073.0,130651055.0,267994135.0,425058057.0,129731626.0,243673386.0,12.151997626997105,11.860140650095476
4384,(주)에이블씨엔씨,78520,Dec-13,442423818.0,141429539.0,287813964.0,401312951.0,134886074.0,261289105.0,1.2802407665134137,2.9791151524306043
4385,(주)에이블씨엔씨,78520,Dec-14,438349537.0,141250543.0,290350026.0,398501004.0,131707265.0,263405989.0,0.8501233286729687,1.5396316022571732
4386,(주)에이블씨엔씨,78520,Dec-15,407879121.0,149665899.0,240110475.0,356180641.0,128014673.0,213859736.0,4.0165664141190645,4.43826272735348
4387,(주)에이블씨엔씨,78520,Dec-16,434555619.0,166099503.0,244155957.0,383561723.0,147381526.0,213383218.0,5.943496869733271,5.591955997697041
4388,(주)에이블씨엔씨,78520,Dec-17,373285260.0,151371091.0,210684608.0,332201323.0,133121525.0,191418530.0,2.306212368696677,3.0083054980526156
4389,(주)에이블씨엔씨,78520,Dec-18,345522432.0,144551800.0,219929424.0,308390623.0,127921131.0,197488822.0,-5.518757293732631,-5.486993099191893
4390,(주)에이블씨엔씨,78520,Dec-19,422205555.0,168852823.0,251518620.0,320030440.0,132979651.0,189857126.0,-0.8768968976826078,0.43441209578590223
4391,(주)에이비프로바이오,195990,Dec-15,77101167.0,54752457.0,9640195.0,71451964.0,51459058.0,7496575.0,17.48913577798925,16.482908747671743
4392,(주)에이비프로바이오,195990,Dec-16,49520835.0,35711926.0,12759310.0,43802072.0,32117535.0,8421431.0,7.4496612854296025,2.1195098992171677
4393,(주)에이비프로바이오,195990,Dec-17,45943801.0,43914499.0,13698711.0,24935559.0,28150931.0,7783781.0,-44.11031250592778,-25.399311215021154
4394,(주)에이비프로바이오,195990,Dec-18,58911297.0,50030506.0,14305830.0,21595116.0,23677809.0,5671249.0,-35.90599837481771,-9.208826279957815
4395,(주)에이비프로바이오,195990,Dec-19,31930109.0,44610195.0,17234800.0,8808808.0,21061775.0,9046847.0,-241.80131976993934,-93.68864353078156
4396,(주)에이스침대,3800,Dec-11,189094755.0,95746013.0,50597667.0,186183956.0,94161787.0,49305985.0,22.942999449426242,22.60828175800011
4397,(주)에이스침대,3800,Dec-12,178410865.0,89221089.0,52005424.0,176863925.0,88362848.0,50742062.0,21.349189779656875,20.841977308949204
4398,(주)에이스침대,3800,Dec-13,164783680.0,84682691.0,50917911.0,163315061.0,83742587.0,49807804.0,18.22530623798377,17.70993219716904
4399,(주)에이스침대,3800,Dec-14,169261600.0,84976696.0,57053156.0,167816260.0,84090410.0,56109176.0,16.456494740140197,16.08855641208638
4400,(주)에이스침대,3800,Dec-15,192732968.0,87944761.0,70420316.0,191613994.0,87208230.0,69523770.0,18.204304013411463,17.831869325023835
4401,(주)에이스침대,3800,Dec-16,203651325.0,90081163.0,77776386.0,202862486.0,89450182.0,77043881.0,17.927623641563773,17.57600938761385
4402,(주)에이스침대,3800,Dec-17,206082706.0,90955276.0,83689076.0,205743807.0,90612775.0,82761757.0,15.732806480051185,15.25521214768987
4403,(주)에이스침대,3800,Dec-18,,,,225765097.0,95879957.0,89627462.0,17.831665981566672,
4404,(주)에이스침대,3800,Dec-19,,,,277433284.0,107116423.0,120404435.0,17.990785128723054,
4405,(주)에이스테크놀로지,88800,Dec-11,154628013.0,141691740.0,26382332.0,148003970.0,131516066.0,15804999.0,0.461409920287949,-8.695745834876634
4406,(주)에이스테크놀로지,88800,Dec-12,285344564.0,249274683.0,45910168.0,180471561.0,161596407.0,15723230.0,1.7464934544451576,-3.4485629801589632
4407,(주)에이스테크놀로지,88800,Dec-13,315608452.0,243170288.0,52394047.0,239955035.0,186587466.0,34484816.0,7.869288093913094,6.350944302340801
4408,(주)에이스테크놀로지,88800,Dec-14,427492116.0,339272779.0,63095927.0,284885547.0,224016954.0,42592628.0,6.415195573259461,5.876929435582854
4409,(주)에이스테크놀로지,88800,Dec-15,421924400.0,339623647.0,67224671.0,274135345.0,217642692.0,43403348.0,4.774760073349899,3.57317140227017
