,회사명,거래소코드,회계년도,당기재고자산(IFRS연결),전기재고자산(IFRS연결),당기재고자산(IFRS개별),전기재고자산(IFRS개별),재고자산증가율(개별),재고자산증가율(연결)
100,(주)가비아,79940,Dec-12,248459.0,248459.0,92459.0,92459.0,0.0,-62.78701918626413
101,(주)가비아,79940,Dec-13,93612.0,93612.0,81039.0,81039.0,0.0,-13.430970388411751
102,(주)가비아,79940,Dec-14,0.0,0.0,0.0,0.0,,
103,(주)가비아,79940,Dec-15,0.0,0.0,0.0,0.0,,
104,(주)가비아,79940,Dec-16,1363738.0,1363738.0,0.0,0.0,,-100.0
105,(주)가비아,79940,Dec-17,1675464.0,1675464.0,0.0,0.0,,-100.0
106,(주)가비아,79940,Dec-18,1982294.0,1982294.0,0.0,0.0,,-100.0
107,(주)가비아,79940,Dec-19,2643604.0,2643604.0,0.0,0.0,,-100.0
108,(주)강스템바이오텍,217730,Dec-15,,,334913.0,334913.0,0.0,
109,(주)강스템바이오텍,217730,Dec-16,,582808.0,582808.0,582808.0,0.0,0.0
110,(주)강스템바이오텍,217730,Dec-17,1725225.0,1725225.0,1725225.0,1725225.0,0.0,0.0
111,(주)강스템바이오텍,217730,Dec-18,1918575.0,1918575.0,501972.0,501972.0,0.0,-73.83620655955592
112,(주)강스템바이오텍,217730,Dec-19,266393.0,266393.0,34319.0,34319.0,0.0,-87.11715397927122
113,(주)강원랜드,35250,Dec-11,2245975.0,2245975.0,2245975.0,2245975.0,0.0,0.0
114,(주)강원랜드,35250,Dec-12,1200611.0,1200611.0,1200611.0,1200611.0,0.0,0.0
115,(주)강원랜드,35250,Dec-13,1493306.0,1493306.0,1493306.0,1493306.0,0.0,0.0
116,(주)강원랜드,35250,Dec-14,1204918.0,1204918.0,1204918.0,1204918.0,0.0,0.0
117,(주)강원랜드,35250,Dec-15,1621646.0,1621646.0,1621646.0,1621646.0,0.0,0.0
118,(주)강원랜드,35250,Dec-16,1309513.0,1309513.0,1309513.0,1309513.0,0.0,0.0
119,(주)강원랜드,35250,Dec-17,1299617.0,1299617.0,1299617.0,1299617.0,0.0,0.0
120,(주)강원랜드,35250,Dec-18,1148805.0,1148805.0,1143581.0,1143581.0,0.0,-0.4547333968776286
121,(주)강원랜드,35250,Dec-19,3636529.0,3636529.0,3631307.0,3631307.0,0.0,-0.14359846985958313
122,(주)강원에너지,114190,Nov-11,,,3989692.0,3989692.0,0.0,
123,(주)강원에너지,114190,Dec-12,,,3808870.0,3808870.0,0.0,
124,(주)강원에너지,114190,Dec-13,,,2086978.0,2086978.0,0.0,
125,(주)강원에너지,114190,Dec-14,,1736909.0,1736909.0,1736909.0,0.0,0.0
126,(주)강원에너지,114190,Dec-15,1233999.0,1233999.0,1233999.0,1233999.0,0.0,0.0
127,(주)강원에너지,114190,Dec-16,335220.0,335220.0,335220.0,335220.0,0.0,0.0
128,(주)강원에너지,114190,Dec-17,361382.0,361382.0,361382.0,361382.0,0.0,0.0
129,(주)강원에너지,114190,Dec-18,543737.0,543737.0,543737.0,543737.0,0.0,0.0
130,(주)강원에너지,114190,Dec-19,118784.0,118784.0,118784.0,118784.0,0.0,0.0
131,(주)갤럭시아에스엠,11420,Dec-11,20209.0,20209.0,0.0,0.0,,-100.0
132,(주)갤럭시아에스엠,11420,Dec-12,37487.0,37487.0,0.0,0.0,,-100.0
133,(주)갤럭시아에스엠,11420,Dec-13,126351.0,126351.0,0.0,0.0,,-100.0
134,(주)갤럭시아에스엠,11420,Dec-14,508736.0,508736.0,404356.0,404356.0,0.0,-20.517517926783242
135,(주)갤럭시아에스엠,11420,Dec-15,11280.0,11280.0,0.0,0.0,,-100.0
136,(주)갤럭시아에스엠,11420,Dec-16,0.0,0.0,0.0,0.0,,
137,(주)갤럭시아에스엠,11420,Dec-17,0.0,0.0,0.0,0.0,,
138,(주)갤럭시아에스엠,11420,Dec-18,0.0,0.0,0.0,0.0,,
