,회사명,거래소코드,회계년도,매출액(IFRS연결),매출채권(IFRS연결),재고자산(IFRS연결),매출액(IFRS개별),매출채권(IFRS개별),재고자산(IFRS개별),운전자본회전비율(개별),운전자본회전비율(연결)
88,(주)STX,11810,Dec-18,1502985000.0,168448000.0,129417000.0,1329890000.0,124416000.0,89120000.0,622.7942829312153,504.58597015426454
89,(주)STX,11810,Dec-19,1471164000.0,184444000.0,118778000.0,1237876000.0,149459000.0,89664000.0,517.6733312981186,485.17719690523774
90,(주)TCC스틸,2710,Dec-11,514424043.0,80665225.0,79633257.0,456928069.0,67618018.0,76580688.0,316.87390384765314,320.9163534062662
91,(주)TCC스틸,2710,Dec-12,501337475.0,71112902.0,100648536.0,440568155.0,65092634.0,75866000.0,312.55137943518946,291.88011048207454
92,(주)TCC스틸,2710,Dec-13,500832754.0,68316114.0,117184576.0,419483813.0,56753518.0,62722660.0,351.10247082058487,269.98969869060863
93,(주)TCC스틸,2710,Dec-14,518995240.0,86970515.0,124343812.0,401323585.0,60593854.0,59114758.0,335.2503869980549,245.60343227461337
94,(주)TCC스틸,2710,Dec-15,495795871.0,67719623.0,48965898.0,350074629.0,42872200.0,45683627.0,395.3151823651311,424.89922207229125
95,(주)TCC스틸,2710,Dec-16,444453635.0,57654611.0,51850499.0,317235565.0,48126701.0,44890754.0,341.04949979549536,405.8747897700847
96,(주)TCC스틸,2710,Dec-17,391370092.0,48408783.0,52771855.0,333762378.0,43217757.0,48077587.0,365.5853227301493,386.8033447268834
97,(주)TCC스틸,2710,Dec-18,413176279.0,42246665.0,69197191.0,351301866.0,41140973.0,62280830.0,339.6787290587073,370.7483694749399
98,(주)TCC스틸,2710,Dec-19,437173902.0,45242999.0,72619098.0,339334364.0,33268239.0,67392895.0,337.1056439717836,370.9198403283118
99,(주)가비아,79940,Dec-11,52838864.0,4866865.0,14450.0,33792831.0,1964346.0,14450.0,1707.747084590832,1082.4719158669334
100,(주)가비아,79940,Dec-12,69058144.0,6524566.0,248459.0,38482449.0,2041083.0,92459.0,1803.688373605957,1019.6056267325162
101,(주)가비아,79940,Dec-13,70675565.0,6448247.0,93612.0,40507693.0,1986939.0,81039.0,1958.8067668031285,1080.3590386157819
