,회사명,거래소코드,회계년도,이자비용(IFRS연결),장기차입금(IFRS연결),단기차입금(IFRS연결),회사채(IFRS연결),이자비용(IFRS개별),장기차입금(IFRS개별),단기차입금(IFRS개별),회사채(IFRS개별),차입금평균이자율(개별),차입금평균이자율(연결)
127,(주)강원에너지,114190,Dec-16,0.0,10004000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,(주)강원에너지,114190,Dec-17,0.0,7200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,(주)강원에너지,114190,Dec-18,0.0,0.0,7200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,(주)강원에너지,114190,Dec-19,0.0,3320000.0,7200000.0,0.0,0.0,3320000.0,0.0,0.0,0.0,0.0
131,(주)갤럭시아에스엠,11420,Dec-11,0.0,0.0,1900000.0,0.0,0.0,0.0,1900000.0,0.0,0.0,0.0
132,(주)갤럭시아에스엠,11420,Dec-12,0.0,2050000.0,1400000.0,0.0,0.0,0.0,1400000.0,0.0,0.0,0.0
133,(주)갤럭시아에스엠,11420,Dec-13,0.0,444977.0,3450000.0,0.0,0.0,0.0,1400000.0,0.0,0.0,0.0
134,(주)갤럭시아에스엠,11420,Dec-14,0.0,1778928.0,1400000.0,0.0,0.0,0.0,1400000.0,0.0,0.0,0.0
135,(주)갤럭시아에스엠,11420,Dec-15,0.0,478600.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,(주)갤럭시아에스엠,11420,Dec-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,(주)갤럭시아에스엠,11420,Dec-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,(주)갤럭시아에스엠,11420,Dec-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,(주)갤럭시아에스엠,11420,Dec-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,(주)경농,2100,Dec-11,0.0,57682.0,0.0,0.0,0.0,57682.0,0.0,0.0,0.0,0.0
141,(주)경농,2100,Dec-12,0.0,48203.0,70186128.0,0.0,0.0,48203.0,15672000.0,0.0,0.0,0.0
142,(주)경농,2100,Dec-13,0.0,6635226.0,39252112.0,0.0,0.0,6635226.0,8962308.0,0.0,0.0,0.0
143,(주)경농,2100,Dec-14,0.0,9302713.0,52465899.0,0.0,0.0,9302713.0,12647505.0,0.0,0.0,0.0
144,(주)경농,2100,Dec-15,0.0,10653500.0,63164557.0,0.0,0.0,10653500.0,36640787.0,0.0,0.0,0.0
145,(주)경농,2100,Dec-16,0.0,6789500.0,62069012.0,0.0,0.0,6779500.0,35583115.0,0.0,0.0,0.0
146,(주)경농,2100,Dec-17,0.0,7131800.0,65173878.0,0.0,0.0,2905500.0,13876102.0,0.0,0.0,0.0
147,(주)경농,2100,Dec-18,0.0,4600000.0,79960501.0,0.0,0.0,0.0,23632398.0,0.0,0.0,0.0
148,(주)경농,2100,Dec-19,0.0,23600000.0,65326303.0,0.0,0.0,16000000.0,35282865.0,0.0,0.0,0.0
149,(주)경동나비엔,9450,Dec-11,0.0,8450997.0,6919800.0,0.0,0.0,112800.0,0.0,0.0,0.0,0.0
150,(주)경동나비엔,9450,Dec-12,0.0,18461243.0,6133169.0,0.0,0.0,7460000.0,0.0,0.0,0.0,0.0
151,(주)경동나비엔,9450,Dec-13,0.0,14132101.0,33221200.0,0.0,0.0,2219700.0,25000000.0,0.0,0.0,0.0
152,(주)경동나비엔,9450,Dec-14,0.0,19525050.0,82110660.0,0.0,0.0,1331820.0,68900000.0,0.0,0.0,0.0
153,(주)경동나비엔,9450,Dec-15,0.0,15959718.0,47715339.0,0.0,0.0,443940.0,31402650.0,0.0,0.0,0.0
154,(주)경동나비엔,9450,Dec-16,0.0,10988469.0,18305153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,(주)경동나비엔,9450,Dec-17,0.0,17554750.0,38519282.0,0.0,0.0,0.0,15250000.0,0.0,0.0,0.0
156,(주)경동나비엔,9450,Dec-18,0.0,18171374.0,97542506.0,0.0,0.0,0.0,52900000.0,0.0,0.0,0.0
157,(주)경동나비엔,9450,Dec-19,0.0,23688184.0,64709266.0,0.0,0.0,10000000.0,29500000.0,0.0,0.0,0.0
