,회사명,거래소코드,회계년도,부채(IFRS연결),자산(IFRS연결),부채(IFRS개별),자산(IFRS개별),타인자본구성비율(개별),타인자본구성비율(연결)
87,(주)STX,11810,Dec-17,584982000.0,627542000.0,475683000.0,520393000.0,91.4084163315033,93.21798381622266
88,(주)STX,11810,Dec-18,490033000.0,554061000.0,384545000.0,446758000.0,86.07456385783803,88.44387170365718
89,(주)STX,11810,Dec-19,503816000.0,560107000.0,412118000.0,462734000.0,89.06153427238975,89.9499559905518
90,(주)TCC스틸,2710,Dec-11,228887542.0,454329510.0,202126588.0,407743559.0,49.57198796609317,50.379193286388116
91,(주)TCC스틸,2710,Dec-12,321015196.0,547013976.0,228887219.0,438642951.0,52.18075851400151,58.68500807738046
92,(주)TCC스틸,2710,Dec-13,337970494.0,543708595.0,234118683.0,444204925.0,52.70510744562321,62.16022647204979
93,(주)TCC스틸,2710,Dec-14,361962559.0,551000563.0,251203934.0,461297588.0,54.45593918865234,65.69186736021538
94,(주)TCC스틸,2710,Dec-15,290382095.0,376394571.0,254095791.0,330651742.0,76.84695367490306,77.14832183379181
95,(주)TCC스틸,2710,Dec-16,179577101.0,282914735.0,158254682.0,250878191.0,63.080286639981395,63.47393005175217
96,(주)TCC스틸,2710,Dec-17,177776736.0,278692540.0,159269192.0,248896237.0,63.99019684656784,63.78955676388037
97,(주)TCC스틸,2710,Dec-18,192535369.0,304781579.0,169783970.0,268135677.0,63.320171302679725,63.171589842048824
98,(주)TCC스틸,2710,Dec-19,197366953.0,314210087.0,172763630.0,270265082.0,63.923770219047384,62.81369095575853
99,(주)가비아,79940,Dec-11,16288697.0,64954440.0,12997135.0,37295822.0,34.848769387627385,25.07711097193664
100,(주)가비아,79940,Dec-12,26299269.0,85244515.0,20630538.0,51795749.0,39.83056215675151,30.851567399967024
101,(주)가비아,79940,Dec-13,22631067.0,91231294.0,17328806.0,52151784.0,33.22763800371623,24.806254529284654
102,(주)가비아,79940,Dec-14,23034370.0,98544072.0,17836566.0,55984243.0,31.85997531483993,23.374688636775634
103,(주)가비아,79940,Dec-15,20985420.0,105081568.0,15187159.0,57657418.0,26.34033837588773,19.97060036256787
104,(주)가비아,79940,Dec-16,29844914.0,125796754.0,15747269.0,61160981.0,25.74724725229636,23.72470914472086
105,(주)가비아,79940,Dec-17,33486064.0,133382584.0,17323452.0,64986436.0,26.65702732182451,25.1052746136632
106,(주)가비아,79940,Dec-18,37253015.0,151440505.0,19483076.0,69315988.0,28.107622154934873,24.59910906926783
107,(주)가비아,79940,Dec-19,64956993.0,199916131.0,28880845.0,82964911.0,34.81091542423278,32.49212190886187
108,(주)강스템바이오텍,217730,Dec-15,,,3745591.0,24982626.0,14.99278338474106,
109,(주)강스템바이오텍,217730,Dec-16,,,24464858.0,47441769.0,51.568182459638045,
110,(주)강스템바이오텍,217730,Dec-17,22716816.0,47198979.0,19840601.0,44508729.0,44.576876144901824,48.1298885723778
111,(주)강스템바이오텍,217730,Dec-18,25612644.0,73194018.0,18239878.0,66184838.0,27.55899772694163,34.99281047803661
112,(주)강스템바이오텍,217730,Dec-19,44924460.0,113643697.0,27780716.0,98625925.0,28.16776217814941,39.53097372395409
113,(주)강원랜드,35250,Dec-11,454039086.0,2711401782.0,452081605.0,2730283806.0,16.558044405732375,16.745547967630568
114,(주)강원랜드,35250,Dec-12,534628331.0,2906655321.0,532225153.0,2915385756.0,18.25573689192436,18.39324832006801
115,(주)강원랜드,35250,Dec-13,584340350.0,3102036846.0,581467261.0,3105430200.0,18.72420964412596,18.83731170870818
116,(주)강원랜드,35250,Dec-14,669769805.0,3375127289.0,664286664.0,3380461682.0,19.650767453958675,19.844282826987623
117,(주)강원랜드,35250,Dec-15,693036625.0,3690791830.0,690617690.0,3688060027.0,18.725771406756987,18.777450935237386
118,(주)강원랜드,35250,Dec-16,726260115.0,3978987574.0,723241827.0,3975979890.0,18.190278799423204,18.25238459515732
