,회사명,거래소코드,회계년도,유동부채(IFRS연결),부채(IFRS연결),유동부채(IFRS개별),부채(IFRS개별),유동부채(개별),유동부채(연결)
159,(주)경동도시가스,267290,Dec-18,375912237.0,457779539.0,375445868.0,457120376.0,82.1328227118889,82.11643487193953
160,(주)경동도시가스,267290,Dec-19,321180745.0,410387431.0,320773519.0,409752242.0,78.28475017837731,78.2628123423205
161,(주)경동인베스트,12320,Dec-11,488755455.0,593628327.0,450578763.0,528263966.0,85.29424530159984,82.33358025045864
162,(주)경동인베스트,12320,Dec-12,649801248.0,763415214.0,612902677.0,699478024.0,87.62286390286937,85.11767070966442
163,(주)경동인베스트,12320,Dec-13,596199441.0,706267792.0,555649865.0,644593509.0,86.20159173833692,84.41549335156431
164,(주)경동인베스트,12320,Dec-14,550250914.0,713337643.0,449400573.0,540269309.0,83.18084435183046,77.13751256500002
165,(주)경동인베스트,12320,Dec-15,392919112.0,591340081.0,294859087.0,377864242.0,78.033074905246,66.44554032859477
166,(주)경동인베스트,12320,Dec-16,337654347.0,538198062.0,259946634.0,347571082.0,74.78948838442204,62.737934385204085
167,(주)경동인베스트,12320,Dec-17,77526863.0,198873241.0,615156.0,8242347.0,7.463359647440225,38.98305403490659
168,(주)경동인베스트,12320,Dec-18,78414333.0,194135226.0,424952.0,8354115.0,5.086738691052254,40.39160466426634
169,(주)경동인베스트,12320,Dec-19,84662496.0,190933746.0,7787239.0,8263326.0,94.23855479016561,44.341295226041396
170,(주)경방,50,Dec-11,406687562.0,722619941.0,362096037.0,655306746.0,55.25596054217943,56.27959303713707
171,(주)경방,50,Dec-12,164949423.0,714335725.0,121339742.0,631984460.0,19.19979836213061,23.09130248245669
172,(주)경방,50,Dec-13,135215333.0,660550587.0,88576434.0,575688238.0,15.386180948862812,20.470095048148067
173,(주)경방,50,Dec-14,409405729.0,654172565.0,388656785.0,623437994.0,62.340888547129516,62.58375097096896
174,(주)경방,50,Dec-15,185946014.0,655690395.0,143915877.0,587741479.0,24.486254950877818,28.35881315601703
175,(주)경방,50,Dec-16,155435755.0,622067560.0,120641481.0,546778844.0,22.064036003558325,24.98695720445541
176,(주)경방,50,Dec-17,319476563.0,574908164.0,249334914.0,488098740.0,51.082884172165656,55.570016744448246
177,(주)경방,50,Dec-18,163151849.0,593023494.0,102888605.0,497359673.0,20.686961686980197,27.511869369546428
178,(주)경방,50,Dec-19,192380293.0,629189292.0,150525799.0,555533558.0,27.095716691159815,30.575900678233413
179,(주)경보제약,214390,Dec-15,,,64542191.0,72671307.0,88.81385744169978,
180,(주)경보제약,214390,Dec-16,,,72716830.0,74333640.0,97.82492825590137,
181,(주)경보제약,214390,Dec-17,,,60379395.0,63359803.0,95.29605860674788,
182,(주)경보제약,214390,Dec-18,,,69317865.0,72610828.0,95.46491468187087,
183,(주)경보제약,214390,Dec-19,,,83814952.0,88653237.0,94.54246098199437,
184,(주)경인양행,12610,Dec-11,107188765.0,143304448.0,64682274.0,86943667.0,74.395612966267,74.79793299926042
185,(주)경인양행,12610,Dec-12,94090486.0,112463993.0,70551008.0,78932783.0,89.38112317666538,83.66276484598943
186,(주)경인양행,12610,Dec-13,108289018.0,127200482.0,88530619.0,96496450.0,91.74494916652374,85.13255319268366
187,(주)경인양행,12610,Dec-14,86323503.0,114800458.0,64009841.0,80897578.0,79.12454560753352,75.19438903283819
188,(주)경인양행,12610,Dec-15,109310448.0,125562133.0,81834318.0,87875136.0,93.12568005584652,87.05685813731756
