,회사명,거래소코드,회계년도,매출채권(IFRS연결)(천원),매입채무(IFRS연결)(천원),매출채권(IFRS)(천원),매입채무(IFRS)(천원),매출채권대매입채무비율(개별),매출채권대매입채무비율(연결)
127,(주)강원에너지,114190,2016/12,28125754.0,5273337.0,28125754.0,5273337.0,533.35779602176,533.35779602176
128,(주)강원에너지,114190,2017/12,47160876.0,15372002.0,47160876.0,15372002.0,306.7972278431918,306.7972278431918
129,(주)강원에너지,114190,2018/12,43399528.0,11107883.0,43399528.0,11107883.0,390.70926476269153,390.70926476269153
130,(주)강원에너지,114190,2019/12,20063616.0,7904034.0,20063616.0,7904034.0,253.84020362260586,253.84020362260586
131,(주)갤럭시아에스엠,11420,2011/12,7628919.0,1441017.0,6130238.0,1078148.0,568.5896555945936,529.4121443397268
132,(주)갤럭시아에스엠,11420,2012/12,4791513.0,1958766.0,5251377.0,1557553.0,337.15558956902265,244.6189590793387
133,(주)갤럭시아에스엠,11420,2013/12,4956683.0,1576120.0,4769683.0,1162739.0,410.21097597999204,314.48639697484964
134,(주)갤럭시아에스엠,11420,2014/12,6615820.0,2389683.0,6620157.0,1548854.0,427.422920430202,276.84927247672596
135,(주)갤럭시아에스엠,11420,2015/12,4611248.0,2901363.0,6445375.0,2140769.0,301.0775567097618,158.93385281331567
136,(주)갤럭시아에스엠,11420,2016/12,6431047.0,4302476.0,6515454.0,3486270.0,186.88896729168997,149.47316382473718
137,(주)갤럭시아에스엠,11420,2017/12,7542791.0,2973757.0,7481985.0,2970352.0,251.8888333773236,253.64517006601415
138,(주)갤럭시아에스엠,11420,2018/12,5719635.0,1700468.0,5719122.0,1695454.0,337.3209771542017,336.35652067548466
139,(주)갤럭시아에스엠,11420,2019/12,5897430.0,1350936.0,5897430.0,1350936.0,436.5439961626605,436.5439961626605
140,(주)경농,2100,2011/12,9818596.0,16144137.0,9714905.0,16127481.0,60.23820459004106,60.818339190258364
141,(주)경농,2100,2012/12,18805441.0,19656950.0,11173839.0,19491642.0,57.32630939969039,95.6681529942336
142,(주)경농,2100,2013/12,22766814.0,17503694.0,13260133.0,17851709.0,74.27934770839028,130.06862437151838
143,(주)경농,2100,2014/12,26488328.0,22336952.0,15336315.0,20530569.0,74.69990237484406,118.5852393827054
144,(주)경농,2100,2015/12,29950451.0,23122407.0,19475979.0,21943145.0,88.7565524449663,129.5299879463241
145,(주)경농,2100,2016/12,33292892.0,28340442.0,20474340.0,25261354.0,81.05004981126507,117.47485095680584
146,(주)경농,2100,2017/12,34293741.0,29526311.0,21342674.0,25446317.0,83.87333223900339,116.14637873319155
147,(주)경농,2100,2018/12,34470614.0,24114639.0,24098405.0,20300908.0,118.70604506951116,142.94476479618874
148,(주)경농,2100,2019/12,34654361.0,27979140.0,22948270.0,23604107.0,97.22151318836167,123.85784909757768
149,(주)경동나비엔,9450,2011/12,36210869.0,41324370.0,45321567.0,42204733.0,107.38503428039694,87.6259432388201
150,(주)경동나비엔,9450,2012/12,37720771.0,56130651.0,52865768.0,54234882.0,97.47558407152061,67.2017343964174
151,(주)경동나비엔,9450,2013/12,38993744.0,50650491.0,56666418.0,51433487.0,110.17417115817949,76.98591510198786
152,(주)경동나비엔,9450,2014/12,41167793.0,54242303.0,77167697.0,46764099.0,165.0148268653695,75.89610087167574
153,(주)경동나비엔,9450,2015/12,40720959.0,65252087.0,80824192.0,54566199.0,148.12135256113405,62.40560397708046
154,(주)경동나비엔,9450,2016/12,51051560.0,83657318.0,85914718.0,76535655.0,112.25450151305296,61.02461950788334
155,(주)경동나비엔,9450,2017/12,78968890.0,92109771.0,99173501.0,86703690.0,114.38209953924682,85.73345600870074
156,(주)경동나비엔,9450,2018/12,94866914.0,77239026.0,120493677.0,69560024.0,173.22259262015206,122.82251461845209
157,(주)경동나비엔,9450,2019/12,96284740.0,92666117.0,143343920.0,80630620.0,177.77851639984908,103.90501201210363
158,(주)경동도시가스,267290,2017/12,263647773.0,295055522.0,263643633.0,295055522.0,89.35390573710394,89.35530886285193
159,(주)경동도시가스,267290,2018/12,249114243.0,328641465.0,249117109.0,328641465.0,75.80209301951597,75.80122094453297
160,(주)경동도시가스,267290,2019/12,201864420.0,273615670.0,201833997.0,273615670.0,73.76551094460343,73.77662982533127
161,(주)경동인베스트,12320,2011/12,352420975.0,422528843.0,337190982.0,411238914.0,81.99393844328652,83.4075544991848
162,(주)경동인베스트,12320,2012/12,429513466.0,590272557.0,413063519.0,574143486.0,71.94430121950387,72.76527782063228
163,(주)경동인베스트,12320,2013/12,377298441.0,534969558.0,370673340.0,520836292.0,71.16887699523059,70.52708614122675
164,(주)경동인베스트,12320,2014/12,346363738.0,420962238.0,306852953.0,410419461.0,74.76569270188676,82.27905183267293
165,(주)경동인베스트,12320,2015/12,258223845.0,252287992.0,210450343.0,245967803.0,85.56011820782902,102.35280837305962
166,(주)경동인베스트,12320,2016/12,259424655.0,229971708.0,205523295.0,227515846.0,90.3336179054535,112.80720452795872
167,(주)경동인베스트,12320,2017/12,66718773.0,2330818.0,65907.0,0.0,inf,2862.4617194478506
168,(주)경동인베스트,12320,2018/12,56884735.0,6953228.0,842694.0,0.0,inf,818.1054180878291
169,(주)경동인베스트,12320,2019/12,63713573.0,6446931.0,844080.0,0.0,inf,988.2775695908643
170,(주)경방,50,2011/12,31118341.0,19598113.0,32135932.0,1642636.0,1956.363552241641,158.78233276846603
171,(주)경방,50,2012/12,31458436.0,20758100.0,31453366.0,3879239.0,810.8127908592381,151.54776207841758
172,(주)경방,50,2013/12,34166562.0,20361220.0,31058761.0,3610545.0,860.2236227494741,167.8021356284152
173,(주)경방,50,2014/12,35219398.0,18551019.0,32233594.0,18354028.0,175.6213622426641,189.85155478521153
174,(주)경방,50,2015/12,37901704.0,17651694.0,31721636.0,16820107.0,188.5935446189492,214.7199243313418
175,(주)경방,50,2016/12,38823607.0,19400284.0,31731834.0,16642486.0,190.667632227541,200.11875599346897
176,(주)경방,50,2017/12,34640336.0,18728926.0,27595270.0,15212310.0,181.40091807227174,184.95633972818302
177,(주)경방,50,2018/12,42175729.0,18980495.0,29371128.0,16114137.0,182.26932041101549,222.20563267712458
178,(주)경방,50,2019/12,37797870.0,18966096.0,24474870.0,16840264.0,145.3354294208214,199.29177833962245
179,(주)경보제약,214390,2015/12,,,46116955.0,16602104.0,277.7777744314817,
180,(주)경보제약,214390,2016/12,,,50452400.0,15716878.0,321.00777266324775,
181,(주)경보제약,214390,2017/12,,,55984549.0,15450647.0,362.34436654982795,
182,(주)경보제약,214390,2018/12,,,67195051.0,15020329.0,447.36071360354356,
183,(주)경보제약,214390,2019/12,,,52833419.0,15296391.0,345.3979373304461,
184,(주)경인양행,12610,2011/12,58900677.0,22641016.0,47702972.0,9018541.0,528.9433401699898,260.15032629277766
185,(주)경인양행,12610,2012/12,56308561.0,14019539.0,0.0,7778437.0,0.0,401.6434563219232
186,(주)경인양행,12610,2013/12,69253772.0,18002898.0,0.0,14114039.0,0.0,384.6812440974781
187,(주)경인양행,12610,2014/12,64789479.0,11497378.0,40378430.0,5356136.0,753.8723811344596,563.5152553912727
188,(주)경인양행,12610,2015/12,60317420.0,14596934.0,40536511.0,7495266.0,540.8281840831265,413.21978985449954
189,(주)경인양행,12610,2016/12,64396864.0,25656675.0,44658202.0,17120817.0,260.8415357748406,250.99458133214844
190,(주)경인양행,12610,2017/12,68522442.0,15841108.0,45961158.0,7614574.0,603.5946068683553,432.5609168247575
191,(주)경인양행,12610,2018/12,82567584.0,19996296.0,61097103.0,16868009.0,362.2069623036127,412.9143917453512
192,(주)경인양행,12610,2019/12,80961683.0,16457652.0,55723288.0,14147013.0,393.8873032773773,491.9394516301597
193,(주)고려시멘트,198440,2014/12,,,,,,
194,(주)고려시멘트,198440,2015/12,,,,,,
195,(주)고려시멘트,198440,2016/12,,,,,,
196,(주)고려시멘트,198440,2017/12,,,30481250.0,5866237.0,519.6048165118457,
197,(주)고려시멘트,198440,2018/12,,,32476313.0,4413490.0,735.8419980559603,
198,(주)고려시멘트,198440,2019/12,,,25700956.0,3352457.0,766.6304444769911,
199,(주)고영테크놀러지,98460,2011/12,23215229.0,8131221.0,25227493.0,6712506.0,375.82823762094216,285.5072934310849
200,(주)고영테크놀러지,98460,2012/12,29150759.0,7066055.0,31988780.0,6921841.0,462.14265828989716,412.5464491855781
201,(주)고영테크놀러지,98460,2013/12,32324265.0,10669475.0,38176088.0,9720309.0,392.74562156408814,302.9602206294124
202,(주)고영테크놀러지,98460,2014/12,38484841.0,8710906.0,47690802.0,8064380.0,591.3759272256516,441.8006691841239
203,(주)고영테크놀러지,98460,2015/12,47462104.0,10193418.0,64256973.0,8691822.0,739.2808205230158,465.6152038501708
204,(주)고영테크놀러지,98460,2016/12,57993580.0,13904087.0,84100616.0,11628501.0,723.2283507564732,417.09736137295454
205,(주)고영테크놀러지,98460,2017/12,72204125.0,16233234.0,103464560.0,14022036.0,737.8711622192384,444.7919927723582
206,(주)고영테크놀러지,98460,2018/12,87348349.0,15677316.0,107503723.0,14095316.0,762.6911166801794,557.1639239778033
207,(주)고영테크놀러지,98460,2019/12,85250616.0,13515704.0,111177420.0,11824330.0,940.2428721119928,630.75231597259
208,(주)골드앤에스,35290,2011/12,8521200.0,1050496.0,8521199.0,1050496.0,811.1595855671987,811.1596807603265
209,(주)골드앤에스,35290,2012/12,7648183.0,608923.0,7648184.0,608923.0,1256.0182486127144,1256.0180843883381
