,회사명,거래소코드,회계년도,당기자산(IFRS연결),전기자산(IFRS연결),당기자산(IFRS개별),전기자산(IFRS개별),총자산증가율(개별),총자산증가율(연결)
170,(주)경방,50,Dec-11,1352324332.0,1352324332.0,1331930968.0,1331930968.0,0.0,-1.5080231507658794
171,(주)경방,50,Dec-12,1335039930.0,1335039930.0,1301719900.0,1301719900.0,0.0,-2.495807747113602
172,(주)경방,50,Dec-13,1296989142.0,1296989142.0,1261257414.0,1261257414.0,0.0,-2.7549751068000887
173,(주)경방,50,Dec-14,1301841379.0,1301841379.0,1275008413.0,1275008413.0,0.0,-2.061154794496673
174,(주)경방,50,Dec-15,1318643312.0,1318643312.0,1259512344.0,1259512344.0,0.0,-4.4842276498801965
175,(주)경방,50,Dec-16,1301910960.0,1301910960.0,1237024388.0,1237024388.0,0.0,-4.983948518261187
176,(주)경방,50,Dec-17,1274042237.0,1274042237.0,1199063663.0,1199063663.0,0.0,-5.885093274187895
177,(주)경방,50,Dec-18,1301792841.0,1301792841.0,1226545382.0,1226545382.0,0.0,-5.780294423972791
178,(주)경방,50,Dec-19,1370742491.0,1370742491.0,1296265431.0,1296265431.0,0.0,-5.433337077459868
179,(주)경보제약,214390,Dec-15,,,195488457.0,195488457.0,0.0,
180,(주)경보제약,214390,Dec-16,,,203735980.0,203735980.0,0.0,
181,(주)경보제약,214390,Dec-17,,,204869399.0,204869399.0,0.0,
182,(주)경보제약,214390,Dec-18,,,221622993.0,221622993.0,0.0,
183,(주)경보제약,214390,Dec-19,,,237816742.0,237816742.0,0.0,
184,(주)경인양행,12610,Dec-11,319596954.0,319686464.0,245825940.0,245825940.0,0.0,-23.104051099267068
185,(주)경인양행,12610,Dec-12,287452678.0,287452678.0,241045608.0,241045608.0,0.0,-16.144246880176922
186,(주)경인양행,12610,Dec-13,316944796.0,316944796.0,274570963.0,274570963.0,0.0,-13.369467975110723
187,(주)경인양행,12610,Dec-14,313039125.0,313039125.0,267331084.0,267331084.0,0.0,-14.601382814368648
188,(주)경인양행,12610,Dec-15,326687437.0,326687437.0,273778266.0,273778266.0,0.0,-16.19565523727195
189,(주)경인양행,12610,Dec-16,344298515.0,344298515.0,290035389.0,290035389.0,0.0,-15.760487959118848
190,(주)경인양행,12610,Dec-17,357951470.0,357951470.0,296909084.0,296909084.0,0.0,-17.053257526781493
191,(주)경인양행,12610,Dec-18,412996589.0,412996589.0,344908257.0,344908257.0,0.0,-16.486415097244304
192,(주)경인양행,12610,Dec-19,472081003.0,472081003.0,381063538.0,381063538.0,0.0,-19.280052453201563
193,(주)고려시멘트,198440,Dec-14,,,,,,
194,(주)고려시멘트,198440,Dec-15,,,,,,
195,(주)고려시멘트,198440,Dec-16,,,,,,
196,(주)고려시멘트,198440,Dec-17,,,115881620.0,115881620.0,0.0,
197,(주)고려시멘트,198440,Dec-18,,,127536833.0,127536833.0,0.0,
198,(주)고려시멘트,198440,Dec-19,,,127035573.0,127035573.0,0.0,
199,(주)고영테크놀러지,98460,Dec-11,87006201.0,87006201.0,87017886.0,87017886.0,0.0,0.013430077242418292
200,(주)고영테크놀러지,98460,Dec-12,103351965.0,103351965.0,103019642.0,103019642.0,0.0,-0.3215449266010637
201,(주)고영테크놀러지,98460,Dec-13,120951617.0,120951617.0,121329325.0,121329325.0,0.0,0.31228024012280287
202,(주)고영테크놀러지,98460,Dec-14,141720465.0,141720465.0,141873467.0,141873467.0,0.0,0.10796041348015706
203,(주)고영테크놀러지,98460,Dec-15,158857627.0,158857627.0,160170850.0,160170850.0,0.0,0.8266666352758847
204,(주)고영테크놀러지,98460,Dec-16,195121241.0,195121241.0,194332855.0,194332855.0,0.0,-0.4040492956889352
205,(주)고영테크놀러지,98460,Dec-17,205207385.0,205207385.0,205696350.0,205696350.0,0.0,0.2382784615670488
206,(주)고영테크놀러지,98460,Dec-18,279059436.0,279059436.0,279985447.0,279985447.0,0.0,0.33183289311887165
207,(주)고영테크놀러지,98460,Dec-19,305481184.0,305481184.0,308020011.0,308020011.0,0.0,0.8310911221294646
208,(주)골드앤에스,35290,Dec-11,46677146.0,46677146.0,46347129.0,46347129.0,0.0,-0.7070205192065515
209,(주)골드앤에스,35290,Dec-12,51950606.0,51950606.0,51062616.0,51062616.0,0.0,-1.7092967115725344
210,(주)골드앤에스,35290,Dec-13,51442505.0,51442505.0,34508798.0,34508798.0,0.0,-32.917734080018064
211,(주)골드앤에스,35290,Dec-14,46528474.0,46528474.0,28884288.0,28884288.0,0.0,-37.921265159050776
212,(주)골드앤에스,35290,Dec-15,24102094.0,24102094.0,23597566.0,23597566.0,0.0,-2.0932952962510143
213,(주)골드앤에스,35290,Dec-16,18671644.0,17865543.0,18296141.0,17490041.0,4.60890857831609,2.4102150155749484
