,회사명,거래소코드,회계년도,당기유동자산(IFRS연결),전기유동자산(IFRS연결),당기유동자산(IFRS개별),전기유동자산(IFRS개별),유동자산증가율(개별),유동자산증가율(연결)
143,(주)경농,2100,Dec-14,139646908.0,139646908.0,92163573.0,92163573.0,0.0,-34.00242488720194
144,(주)경농,2100,Dec-15,161184139.0,161184139.0,110823037.0,110823037.0,0.0,-31.244452656722004
145,(주)경농,2100,Dec-16,156061222.0,156061222.0,113338004.0,113338004.0,0.0,-27.37593455470956
146,(주)경농,2100,Dec-17,163437464.0,163437464.0,114661596.0,114661596.0,0.0,-29.843749900573584
147,(주)경농,2100,Dec-18,169982099.0,169982099.0,124295854.0,124295854.0,0.0,-26.87709192248532
148,(주)경농,2100,Dec-19,185020093.0,185020093.0,138697201.0,138697201.0,0.0,-25.03668182676786
149,(주)경동나비엔,9450,Dec-11,129512842.0,129512842.0,109967953.0,109967953.0,0.0,-15.09108185580547
150,(주)경동나비엔,9450,Dec-12,145371681.0,,123218302.0,123218302.0,0.0,
151,(주)경동나비엔,9450,Dec-13,134043087.0,134043087.0,104914630.0,104914630.0,0.0,-21.73066709512591
152,(주)경동나비엔,9450,Dec-14,159947056.0,159947056.0,134136648.0,134136648.0,0.0,-16.136844681905245
153,(주)경동나비엔,9450,Dec-15,158254944.0,158254944.0,129837058.0,129837058.0,0.0,-17.95702888119564
154,(주)경동나비엔,9450,Dec-16,175420277.0,175420277.0,145915928.0,145915928.0,0.0,-16.819235213042106
155,(주)경동나비엔,9450,Dec-17,230894567.0,230894567.0,175839342.0,175839342.0,0.0,-23.8443137555506
156,(주)경동나비엔,9450,Dec-18,287001959.0,287001959.0,209454208.0,209454208.0,0.0,-27.01993786739274
157,(주)경동나비엔,9450,Dec-19,274279157.0,274279157.0,214093729.0,214093729.0,0.0,-21.943128547678896
158,(주)경동도시가스,267290,Dec-17,376858740.0,376858740.0,374489353.0,374489353.0,0.0,-0.6287201936725779
159,(주)경동도시가스,267290,Dec-18,444232799.0,444232799.0,441723742.0,441723742.0,0.0,-0.5648067872629099
160,(주)경동도시가스,267290,Dec-19,395154174.0,395154174.0,392458231.0,392458231.0,0.0,-0.6822509231548679
161,(주)경동인베스트,12320,Dec-11,610411619.0,610411619.0,563584969.0,563584969.0,0.0,-7.671323504082906
162,(주)경동인베스트,12320,Dec-12,814034002.0,814034002.0,753036515.0,753036515.0,0.0,-7.493235767810106
163,(주)경동인베스트,12320,Dec-13,778164231.0,778164231.0,724069045.0,724069045.0,0.0,-6.9516412917725035
164,(주)경동인베스트,12320,Dec-14,766552554.0,766552554.0,631297926.0,631297926.0,0.0,-17.64453425850826
165,(주)경동인베스트,12320,Dec-15,571798491.0,571798491.0,459634757.0,459634757.0,0.0,-19.615954880160743
166,(주)경동인베스트,12320,Dec-16,508994824.0,508994824.0,394847821.0,394847821.0,0.0,-22.42596537681098
167,(주)경동인베스트,12320,Dec-17,238339688.0,238339688.0,110951332.0,110951332.0,0.0,-53.44823477321998
168,(주)경동인베스트,12320,Dec-18,188460289.0,188460289.0,44742051.0,44742051.0,0.0,-76.25916248064334
169,(주)경동인베스트,12320,Dec-19,236475693.0,236475693.0,44653640.0,44653640.0,0.0,-81.1170275331427
170,(주)경방,50,Dec-11,138673371.0,137246473.0,123787600.0,122350807.0,1.1743224546119961,-9.806352546487659
171,(주)경방,50,Dec-12,123685731.0,123685731.0,101710997.0,101710997.0,0.0,-17.766587804699967
172,(주)경방,50,Dec-13,103410904.0,103410904.0,79482802.0,79482802.0,0.0,-23.138857774611466
173,(주)경방,50,Dec-14,101229398.0,101229398.0,83665762.0,83665762.0,0.0,-17.35033137310566
174,(주)경방,50,Dec-15,108093423.0,108093423.0,83760073.0,83760073.0,0.0,-22.51140663757127
175,(주)경방,50,Dec-16,106002223.0,106002223.0,80538917.0,80538917.0,0.0,-24.02148302116268
176,(주)경방,50,Dec-17,90254697.0,90254697.0,71472590.0,71472590.0,0.0,-20.810115843610888
177,(주)경방,50,Dec-18,120711492.0,120711492.0,88159568.0,88159568.0,0.0,-26.966714983524525
178,(주)경방,50,Dec-19,264861016.0,264861016.0,223798878.0,223798878.0,0.0,-15.50327738680879
179,(주)경보제약,214390,Dec-15,,,105108130.0,105108130.0,0.0,
180,(주)경보제약,214390,Dec-16,,,102226920.0,102226920.0,0.0,
181,(주)경보제약,214390,Dec-17,,,110638039.0,110638039.0,0.0,
182,(주)경보제약,214390,Dec-18,,,128936315.0,128936315.0,0.0,
183,(주)경보제약,214390,Dec-19,,,124176490.0,124176490.0,0.0,
184,(주)경인양행,12610,Dec-11,166259207.0,173436585.0,99039937.0,99039937.0,0.0,-42.8955909158382
185,(주)경인양행,12610,Dec-12,146242797.0,146242797.0,94723927.0,94723927.0,0.0,-35.22831281734854
186,(주)경인양행,12610,Dec-13,175887375.0,175887375.0,123143650.0,123143650.0,0.0,-29.987214829944435
187,(주)경인양행,12610,Dec-14,164606526.0,164606526.0,107227115.0,107227115.0,0.0,-34.858527419502195
188,(주)경인양행,12610,Dec-15,176664098.0,176664098.0,113173448.0,113173448.0,0.0,-35.93862630764967
189,(주)경인양행,12610,Dec-16,191409058.0,191409058.0,126364739.0,126364739.0,0.0,-33.981839563726396
190,(주)경인양행,12610,Dec-17,193184742.0,193184742.0,125062666.0,125062666.0,0.0,-35.26265857994106
191,(주)경인양행,12610,Dec-18,234817064.0,234817064.0,165167110.0,165167110.0,0.0,-29.661368221519027
192,(주)경인양행,12610,Dec-19,251884675.0,251884675.0,172620331.0,172620331.0,0.0,-31.46850597401371
193,(주)고려시멘트,198440,Dec-14,,,,,,
194,(주)고려시멘트,198440,Dec-15,,,,,,
195,(주)고려시멘트,198440,Dec-16,,,,,,
196,(주)고려시멘트,198440,Dec-17,,,38542950.0,38542950.0,0.0,
197,(주)고려시멘트,198440,Dec-18,,,49955334.0,49955334.0,0.0,
198,(주)고려시멘트,198440,Dec-19,,,46591282.0,46591282.0,0.0,
199,(주)고영테크놀러지,98460,Dec-11,63304178.0,63304178.0,61560094.0,61560094.0,0.0,-2.7550851382984547
200,(주)고영테크놀러지,98460,Dec-12,77857574.0,77857574.0,75787332.0,75787332.0,0.0,-2.659011697436142
201,(주)고영테크놀러지,98460,Dec-13,94895999.0,94895999.0,93556579.0,93556579.0,0.0,-1.4114609826700928
202,(주)고영테크놀러지,98460,Dec-14,108649874.0,108649874.0,107119140.0,107119140.0,0.0,-1.4088686379884763
203,(주)고영테크놀러지,98460,Dec-15,121834639.0,121834639.0,124933566.0,124933566.0,0.0,2.543551674167162
204,(주)고영테크놀러지,98460,Dec-16,154891864.0,154891864.0,156029191.0,156029191.0,0.0,0.7342716206191398
