,회사명,거래소코드,회계년도,기계장치(IFRS연결,기계장치(IFRS),합계_기말인원,기계장비율(개별),기계장비율(연결)
457,(주)나이스홀딩스,34310,Dec-11,25326740.0,2236453.0,38.0,58854.02631578947,666493.1578947369
458,(주)나이스홀딩스,34310,Dec-12,26512987.0,1281325.0,41.0,31251.829268292684,646658.2195121951
459,(주)나이스홀딩스,34310,Dec-13,65733766.0,996175.0,39.0,25542.94871794872,1685481.1794871795
460,(주)나이스홀딩스,34310,Dec-14,153041549.0,5769719.0,39.0,147941.5128205128,3924142.282051282
461,(주)나이스홀딩스,34310,Dec-15,100903239.0,4253762.0,45.0,94528.04444444444,2242294.2
462,(주)나이스홀딩스,34310,Dec-16,101463098.0,2874817.0,33.0,87115.66666666667,3074639.3333333335
463,(주)나이스홀딩스,34310,Dec-17,109817059.0,1709197.0,35.0,48834.2,3137630.257142857
464,(주)나이스홀딩스,34310,Dec-18,175099129.0,820078.0,37.0,22164.27027027027,4732408.891891892
465,(주)나이스홀딩스,34310,Dec-19,222480562.0,797862.0,48.0,16622.125,4635011.708333333
466,(주)나인테크,267320,Dec-17,,,4.0,,
467,(주)나인테크,267320,Dec-18,,,4.0,,
468,(주)나인테크,267320,Dec-19,,,4.0,,
469,(주)남선알미늄,8350,Dec-11,15624936.0,15624936.0,670.0,23320.8,23320.8
470,(주)남선알미늄,8350,Dec-12,,17320103.0,655.0,26442.90534351145,
471,(주)남선알미늄,8350,Dec-13,,18197974.0,646.0,28170.23839009288,
472,(주)남선알미늄,8350,Dec-14,,20929721.0,643.0,32550.110419906687,
473,(주)남선알미늄,8350,Dec-15,,22468157.0,586.0,38341.56484641638,
474,(주)남선알미늄,8350,Dec-16,,23740154.0,601.0,39501.08818635607,
475,(주)남선알미늄,8350,Dec-17,,25597112.0,583.0,43905.852487135504,
476,(주)남선알미늄,8350,Dec-18,32267151.0,32267151.0,632.0,51055.61867088608,51055.61867088608
477,(주)남선알미늄,8350,Dec-19,33338449.0,33338449.0,619.0,53858.5605815832,53858.5605815832
478,(주)남성,4270,Dec-11,1596443.0,239457.0,59.0,4058.593220338983,27058.35593220339
479,(주)남성,4270,Dec-12,1601497.0,244511.0,68.0,3595.75,23551.426470588234
480,(주)남성,4270,Dec-13,1609387.0,252401.0,67.0,3767.179104477612,24020.701492537315
481,(주)남성,4270,Dec-14,1609387.0,252401.0,58.0,4351.741379310345,27748.05172413793
482,(주)남성,4270,Dec-15,1609387.0,252401.0,57.0,4428.087719298245,28234.859649122805
483,(주)남성,4270,Dec-16,252401.0,252401.0,62.0,4070.983870967742,4070.983870967742
484,(주)남성,4270,Dec-17,252401.0,252401.0,61.0,4137.7213114754095,4137.7213114754095
485,(주)남성,4270,Dec-18,252401.0,252401.0,57.0,4428.087719298245,4428.087719298245
486,(주)남성,4270,Dec-19,252401.0,252401.0,54.0,4674.092592592592,4674.092592592592
487,(주)내츄럴엔도텍,168330,Dec-13,,448718.0,47.0,9547.191489361701,
488,(주)내츄럴엔도텍,168330,Dec-14,,4566393.0,79.0,57802.443037974685,
489,(주)내츄럴엔도텍,168330,Dec-15,4840093.0,4840093.0,62.0,78066.01612903226,78066.01612903226
490,(주)내츄럴엔도텍,168330,Dec-16,4840093.0,4840093.0,69.0,70146.27536231885,70146.27536231885
491,(주)내츄럴엔도텍,168330,Dec-17,10192876.0,4861193.0,64.0,75956.140625,159263.6875
492,(주)내츄럴엔도텍,168330,Dec-18,12326601.0,4861193.0,68.0,71488.13235294117,181273.54411764705
493,(주)내츄럴엔도텍,168330,Dec-19,12903285.0,5308851.0,75.0,70784.68,172043.8
494,(주)네오리진,94860,Dec-11,2317909.0,0.0,70.0,0.0,33112.985714285714
495,(주)네오리진,94860,Dec-12,,0.0,140.0,0.0,
496,(주)네오리진,94860,Dec-13,,0.0,130.0,0.0,
497,(주)네오리진,94860,Dec-14,,0.0,127.0,0.0,
498,(주)네오리진,94860,Dec-15,,0.0,60.0,0.0,
499,(주)네오리진,94860,Dec-16,,0.0,55.0,0.0,
500,(주)네오리진,94860,Dec-17,0.0,0.0,49.0,0.0,0.0
501,(주)네오리진,94860,Dec-18,,0.0,43.0,0.0,
502,(주)네오리진,94860,Dec-19,,0.0,43.0,0.0,
503,(주)네오셈,253590,Dec-18,,,1.0,,
504,(주)네오셈,253590,Dec-19,1048618.0,1048618.0,81.0,12945.901234567902,12945.901234567902
505,(주)네오오토,212560,Dec-15,,81096864.0,98.0,827519.0204081633,
506,(주)네오오토,212560,Dec-16,,110558469.0,95.0,1163773.3578947368,
507,(주)네오오토,212560,Dec-17,,115895210.0,106.0,1093351.0377358492,
508,(주)네오오토,212560,Dec-18,,127749513.0,104.0,1228360.701923077,
509,(주)네오오토,212560,Dec-19,,140197636.0,109.0,1286216.8440366972,
510,(주)네오위즈,95660,Dec-11,27889085.0,27822833.0,1204.0,23108.665282392027,23163.691860465115
511,(주)네오위즈,95660,Dec-12,24419021.0,23098570.0,900.0,25665.077777777777,27132.245555555557
512,(주)네오위즈,95660,Dec-13,24394197.0,23357551.0,610.0,38291.06721311475,39990.486885245904
513,(주)네오위즈,95660,Dec-14,24667861.0,23625315.0,506.0,46690.34584980237,48750.713438735176
514,(주)네오위즈,95660,Dec-15,20433285.0,19389288.0,416.0,46608.86538461538,49118.473557692305
515,(주)네오위즈,95660,Dec-16,20501864.0,19440522.0,403.0,48239.508684863526,50873.11166253102
516,(주)네오위즈,95660,Dec-17,18759606.0,17668600.0,296.0,59691.21621621621,63377.0472972973
517,(주)네오위즈,95660,Dec-18,19089406.0,17998400.0,353.0,50986.96883852691,54077.637393767705
518,(주)네오위즈,95660,Dec-19,19584041.0,18652553.0,488.0,38222.44467213115,40131.23155737705
519,(주)네오위즈홀딩스,42420,Dec-11,29915376.0,4900.0,10.0,490.0,2991537.6
