,회사명,거래소코드,회계년도,매출액(IFRS연결),부채(IFRS연결),매출액(IFRS개별),부채(IFRS개별),타인자본회전율(개별),타인자본회전율(연결)
142,(주)경농,2100,Dec-13,196358952.0,92827213.0,139237273.0,52292130.0,2.662681229469903,2.1153166798188803
143,(주)경농,2100,Dec-14,188483147.0,115707163.0,134806677.0,61871897.0,2.178803035568798,1.6289669724250346
144,(주)경농,2100,Dec-15,196418710.0,141674205.0,137609256.0,92052914.0,1.494892991654778,1.3864112383761038
145,(주)경농,2100,Dec-16,203984939.0,136946019.0,143209666.0,89899537.0,1.5929967025302922,1.489528067259845
146,(주)경농,2100,Dec-17,206534382.0,143720912.0,143175105.0,86007852.0,1.664674813643759,1.4370517075483071
147,(주)경농,2100,Dec-18,212654617.0,155806650.0,146216658.0,97965187.0,1.492536915179879,1.3648622635811758
148,(주)경농,2100,Dec-19,227510941.0,168988819.0,151342037.0,106304474.0,1.4236657339558445,1.3463076571947639
149,(주)경동나비엔,9450,Dec-11,341246917.0,95096442.0,318269213.0,81105376.0,3.924144473481018,3.5884299120255205
150,(주)경동나비엔,9450,Dec-12,379014259.0,123854443.0,341339118.0,102426119.0,3.3325397987597283,3.060158762330391
151,(주)경동나비엔,9450,Dec-13,414177562.0,167498879.0,371601179.0,139981016.0,2.654654106811169,2.4727184114468015
152,(주)경동나비엔,9450,Dec-14,428985365.0,211637077.0,382392117.0,163104762.0,2.3444570980705026,2.026985871667468
153,(주)경동나비엔,9450,Dec-15,512031120.0,196007760.0,448302084.0,139640734.0,3.2103962157632315,2.6123002477044786
154,(주)경동나비엔,9450,Dec-16,583252904.0,190992511.0,506082201.0,137450753.0,3.6819165406827565,3.053799863388361
155,(주)경동나비엔,9450,Dec-17,684660958.0,247190712.0,569819524.0,169371998.0,3.3643077411178677,2.769768137566593
156,(주)경동나비엔,9450,Dec-18,726741615.0,303492202.0,618058456.0,200157710.0,3.087857350086589,2.3945973247773926
157,(주)경동나비엔,9450,Dec-19,774290704.0,308765719.0,655419303.0,207047496.0,3.1655504928202562,2.5076964713171415
158,(주)경동도시가스,267290,Dec-17,871548284.0,415948312.0,870828897.0,415288491.0,2.0969251878449,2.0953283349302305
159,(주)경동도시가스,267290,Dec-18,1606531867.0,457779539.0,1605687067.0,457120376.0,3.5126132005981723,3.5094007707496075
160,(주)경동도시가스,267290,Dec-19,1422707835.0,410387431.0,1421866212.0,409752242.0,3.4700632876585944,3.466743198087858
161,(주)경동인베스트,12320,Dec-11,1847666903.0,593628327.0,1806174764.0,528263966.0,3.4190762199366063,3.112497869394969
162,(주)경동인베스트,12320,Dec-12,2502642394.0,763415214.0,2403814656.0,699478024.0,3.4365835287485744,3.278219176281703
163,(주)경동인베스트,12320,Dec-13,2788264380.0,706267792.0,2664100017.0,644593509.0,4.132992311903656,3.9478855068616805
164,(주)경동인베스트,12320,Dec-14,2603059058.0,713337643.0,2399450987.0,540269309.0,4.441212830396035,3.649126165629815
165,(주)경동인베스트,12320,Dec-15,1604168482.0,591340081.0,1352478311.0,377864242.0,3.5792704380850093,2.7127680560519964
166,(주)경동인베스트,12320,Dec-16,1181902637.0,538198062.0,1021002691.0,347571082.0,2.9375363598286923,2.196036590336143
167,(주)경동인베스트,12320,Dec-17,195069859.0,198873241.0,612436.0,8242347.0,0.07430359338183651,0.9808753456177647
