,회사명,거래소코드,회계년도,[제조]매출원가(*)(IFRS연결),[제조]매출액(수익)(*)(IFRS연결),[제조]매출원가(*)(IFRS),[제조]매출액(수익)(*)(IFRS),매출원가대매출액비율(개별),매출원가대매출액비율(연결)
96,(주)TCC스틸,2710,2017/12,356978389.0,391370092.0,304470552.0,333762378.0,91.22374841181171,91.21248564900559
97,(주)TCC스틸,2710,2018/12,377890304.0,413176279.0,320798763.0,351301866.0,91.3171246861524,91.45982555305407
98,(주)TCC스틸,2710,2019/12,405618477.0,437173902.0,312320391.0,339334364.0,92.03912840374751,92.78195133432278
99,(주)가비아,79940,2011/12,29173840.0,52838864.0,20761832.0,33792831.0,61.43856961850873,55.212844848443375
100,(주)가비아,79940,2012/12,40302408.0,69058144.0,23494026.0,38482449.0,61.05127560878467,58.3601088381408
101,(주)가비아,79940,2013/12,38882747.0,70675565.0,24558241.0,40507693.0,60.62611613058289,55.01582760604744
102,(주)가비아,79940,2014/12,45275795.0,80432047.0,26874841.0,43906243.0,61.20961203626555,56.29074067952045
103,(주)가비아,79940,2015/12,50078893.0,91648622.0,28806524.0,48446932.0,59.459955070013514,54.642276018072586
104,(주)가비아,79940,2016/12,54998617.0,102178978.0,28802628.0,49430564.0,58.268863774242995,53.82576541331232
105,(주)가비아,79940,2017/12,60313364.0,116217941.0,30561799.0,52365659.0,58.36229235652319,51.89677555894748
106,(주)가비아,79940,2018/12,65751367.0,128728438.0,31654603.0,55197652.0,57.347734646394024,51.07757696865707
107,(주)가비아,79940,2019/12,75650385.0,148306878.0,34532096.0,58254105.0,59.27839076748326,51.00935709805717
108,(주)강스템바이오텍,217730,2015/12,,,252810.0,1484593.0,17.02890960687542,
109,(주)강스템바이오텍,217730,2016/12,,,57688.0,842805.0,6.8447624302181405,
110,(주)강스템바이오텍,217730,2017/12,5874047.0,9132939.0,2402560.0,5394323.0,44.538675196127485,64.31716011680358
111,(주)강스템바이오텍,217730,2018/12,7988195.0,9165454.0,276617.0,1001039.0,27.632989324092268,87.15547533160932
112,(주)강스템바이오텍,217730,2019/12,6428945.0,6004584.0,141439.0,282069.0,50.14340462794564,107.06728392841202
113,(주)강원랜드,35250,2011/12,538388479.0,1265686425.0,530019096.0,1263651213.0,41.94346434738871,42.537272136737975
114,(주)강원랜드,35250,2012/12,647845564.0,1296191223.0,639097544.0,1292896121.0,49.431468902983895,49.98070905777149
115,(주)강원랜드,35250,2013/12,726091776.0,1361286598.0,718286815.0,1356906162.0,52.93562923623896,53.33864133142667
116,(주)강원랜드,35250,2014/12,722297880.0,1496541441.0,713323703.0,1492291312.0,47.80056663628154,48.264475691188025
117,(주)강원랜드,35250,2015/12,759645970.0,1633716839.0,754752007.0,1630976696.0,46.276075485998234,46.498019232327934
118,(주)강원랜드,35250,2016/12,785177091.0,1696532511.0,782103726.0,1694575212.0,46.15337935204023,46.281287621018656
119,(주)강원랜드,35250,2017/12,787533848.0,1604470055.0,785131415.0,1602901764.0,48.98187977788014,49.0837361249475
120,(주)강원랜드,35250,2018/12,729593460.0,1438059299.0,727185671.0,1436042435.0,50.63817428208519,50.73458796221727
121,(주)강원랜드,35250,2019/12,736659054.0,1520080449.0,734363002.0,1517612252.0,48.38936961876873,48.46184650849358
122,(주)강원에너지,114190,2011/11,,,37631683.0,50222892.0,74.92934297770029,
123,(주)강원에너지,114190,2012/12,,,85441450.0,106471214.0,80.2484040428054,
