,회사명,거래소코드,회계년도,부가가치(IFRS연결),기계장치(IFRS연결),부가가치(IFRS개별),기계장치(IFRS개별),기계투자효율(개별),기계투자효율(연결)
150,(주)경동나비엔,9450,Dec-12,68423.43,30992578.0,54692.56,17558925.0,31.148011623718425,22.077359940821957
151,(주)경동나비엔,9450,Dec-13,79237.85,32023532.0,55874.59,17733468.0,31.50798817242065,24.743632276414733
152,(주)경동나비엔,9450,Dec-14,80978.36,50026310.0,56282.59,30248630.0,18.606657557714186,16.187154319397134
153,(주)경동나비엔,9450,Dec-15,107704.21,56774759.0,76567.87,36469813.0,20.994862244015344,18.97043895862244
154,(주)경동나비엔,9450,Dec-16,141866.08,66681622.0,91445.07,40598014.0,22.524518071253436,21.275139347990063
155,(주)경동나비엔,9450,Dec-17,148016.16,71352733.0,88344.03,41689066.0,21.191175163291017,20.744287398213604
156,(주)경동나비엔,9450,Dec-18,164621.76,83467059.0,103466.23,47188057.0,21.926359459979462,19.722961605727598
157,(주)경동나비엔,9450,Dec-19,195347.0,99773692.0,119653.32,48914617.0,24.46166960685801,19.579008863378537
158,(주)경동도시가스,267290,Dec-17,,0.0,,0.0,,
159,(주)경동도시가스,267290,Dec-18,105468.98,0.0,97564.13,0.0,inf,inf
160,(주)경동도시가스,267290,Dec-19,95819.67,0.0,86578.45,0.0,inf,inf
161,(주)경동인베스트,12320,Dec-11,92451.05,0.0,95768.55,0.0,inf,inf
162,(주)경동인베스트,12320,Dec-12,135007.2,0.0,107979.21,0.0,inf,inf
163,(주)경동인베스트,12320,Dec-13,140991.69,0.0,93436.7,0.0,inf,inf
164,(주)경동인베스트,12320,Dec-14,81588.6,0.0,93996.69,0.0,inf,inf
165,(주)경동인베스트,12320,Dec-15,-30690.54,0.0,34539.58,0.0,inf,-inf
166,(주)경동인베스트,12320,Dec-16,26071.34,0.0,72056.94,0.0,inf,inf
167,(주)경동인베스트,12320,Dec-17,58509.5,0.0,-608.84,0.0,-inf,inf
168,(주)경동인베스트,12320,Dec-18,128174.79,0.0,2304.64,0.0,inf,inf
169,(주)경동인베스트,12320,Dec-19,129681.42,0.0,78.98,0.0,inf,inf
170,(주)경방,50,Dec-11,85127.47,92700116.0,79256.78,92574549.0,8.561400606985403,9.18310285609567
171,(주)경방,50,Dec-12,80728.78,106744814.0,75544.51,95699700.0,7.893912938076085,7.562782394280999
172,(주)경방,50,Dec-13,109135.73,109078984.0,99612.08,93720477.0,10.628635618233142,10.005202285345819
173,(주)경방,50,Dec-14,105032.79,110917893.0,97566.02,94243557.0,10.352540068070649,9.469418067651176
174,(주)경방,50,Dec-15,117114.75,143171748.0,107949.86,95135486.0,11.346960481181544,8.180018169506459
175,(주)경방,50,Dec-16,125709.78,143969302.0,109992.25,94580791.0,11.629449155272978,8.731707263538722
176,(주)경방,50,Dec-17,125830.72,136219559.0,109353.53,92317874.0,11.845325857482376,9.23734601137565
177,(주)경방,50,Dec-18,98012.24,139665159.0,88599.95,65861136.0,13.452538990520905,7.01765857009478
178,(주)경방,50,Dec-19,127253.44,135612059.0,80679.67,8914332.0,90.50557013133458,9.383637483153324
179,(주)경보제약,214390,Dec-15,,,64338.21,58569360.0,10.984960395674461,
180,(주)경보제약,214390,Dec-16,,,62027.13,69389415.0,8.938990190362608,
181,(주)경보제약,214390,Dec-17,,,70313.62,73063927.0,9.62357525622733,
182,(주)경보제약,214390,Dec-18,,,68893.82,77841661.0,8.850507442280813,
183,(주)경보제약,214390,Dec-19,,,63450.36,83101809.0,7.6352561711382245,
184,(주)경인양행,12610,Dec-11,55925.52,88239582.0,25633.29,48004655.0,5.339750905406986,6.337917602556187
185,(주)경인양행,12610,Dec-12,50537.66,85704545.0,29938.88,49032355.0,6.105943718183636,5.896730447609284
186,(주)경인양행,12610,Dec-13,60639.47,93022172.0,48021.56,53660408.0,8.949160431281104,6.518818975759887
187,(주)경인양행,12610,Dec-14,73075.28,101194068.0,47119.14,57918598.0,8.135407559416407,7.221300758459479
188,(주)경인양행,12610,Dec-15,67632.25,108358322.0,35639.84,59400729.0,5.999899428843709,6.241537221294364
189,(주)경인양행,12610,Dec-16,75607.0,113307279.0,40282.61,61830122.0,6.515046177654316,6.672739886375702
190,(주)경인양행,12610,Dec-17,77094.24,132573912.0,39415.23,69754089.0,5.65059777355848,5.815189341323805
191,(주)경인양행,12610,Dec-18,98776.24,139396613.0,56886.72,73819470.0,7.706194585249664,7.085985654472108
192,(주)경인양행,12610,Dec-19,111001.57,158731820.0,58827.05,81620191.0,7.207413910609447,6.993025720992804
193,(주)고려시멘트,198440,Dec-14,,,,,,
194,(주)고려시멘트,198440,Dec-15,,,,,,
195,(주)고려시멘트,198440,Dec-16,,,,,,
196,(주)고려시멘트,198440,Dec-17,,,14885.67,15053519.0,9.888498496597373,
197,(주)고려시멘트,198440,Dec-18,,,19051.09,15266113.0,12.479332492822502,
198,(주)고려시멘트,198440,Dec-19,,,16208.11,16701149.0,9.704787377203807,
199,(주)고영테크놀러지,98460,Dec-11,28970.09,0.0,27718.99,0.0,inf,inf
200,(주)고영테크놀러지,98460,Dec-12,32628.63,4182630.0,28550.06,0.0,inf,78.00984069831661
201,(주)고영테크놀러지,98460,Dec-13,31220.69,0.0,28707.49,0.0,inf,inf
202,(주)고영테크놀러지,98460,Dec-14,46699.29,0.0,42596.7,0.0,inf,inf
203,(주)고영테크놀러지,98460,Dec-15,46544.16,0.0,43429.68,0.0,inf,inf
204,(주)고영테크놀러지,98460,Dec-16,62157.4,0.0,52985.52,0.0,inf,inf
205,(주)고영테크놀러지,98460,Dec-17,65695.26,0.0,58409.3,0.0,inf,inf
206,(주)고영테크놀러지,98460,Dec-18,86343.44,0.0,75984.96,0.0,inf,inf
207,(주)고영테크놀러지,98460,Dec-19,80742.92,0.0,73465.3,0.0,inf,inf
208,(주)골드앤에스,35290,Dec-11,15570.49,0.0,14658.86,0.0,inf,inf
209,(주)골드앤에스,35290,Dec-12,7635.89,0.0,7893.95,0.0,inf,inf
210,(주)골드앤에스,35290,Dec-13,1375.8,0.0,-1958.86,0.0,-inf,inf
211,(주)골드앤에스,35290,Dec-14,4010.26,0.0,1806.61,0.0,inf,inf
212,(주)골드앤에스,35290,Dec-15,1377.12,0.0,-3739.74,0.0,-inf,inf
213,(주)골드앤에스,35290,Dec-16,4764.12,0.0,4792.12,0.0,inf,inf
214,(주)골드앤에스,35290,Dec-17,-4291.99,0.0,-4235.05,0.0,-inf,-inf
215,(주)골드앤에스,35290,Dec-18,-311.92,6312785.0,11.61,6312785.0,0.018391248870348032,-0.4941083848095571
216,(주)골드앤에스,35290,Dec-19,-15967.57,5041785.0,-16227.48,5041785.0,-32.185981750510976,-31.670469883186215
217,(주)골드퍼시픽,38530,Dec-11,,,4434.65,8735073.0,5.076832214224196,
218,(주)골드퍼시픽,38530,Dec-12,,,4958.14,8806771.0,5.629918161832527,
219,(주)골드퍼시픽,38530,Dec-13,-4290.42,9852362.0,-3602.2,9148493.0,-3.9374791017493265,-4.354712098479532
220,(주)골드퍼시픽,38530,Dec-14,1554.55,23218426.0,-2264.04,9462293.0,-2.3926969921561296,0.6695328959852834
221,(주)골드퍼시픽,38530,Dec-15,-2786.97,9384643.0,-7836.3,9384643.0,-8.350131166417306,-2.969713392400755
222,(주)골드퍼시픽,38530,Dec-16,,,-19661.53,8456317.0,-23.25070122134731,
223,(주)골드퍼시픽,38530,Dec-17,,,1313.87,1187.0,11068.82898062342,
224,(주)골드퍼시픽,38530,Dec-18,-1488.34,1.0,-1459.51,1.0,-14595100.0,-14883400.0
225,(주)골드퍼시픽,38530,Dec-19,,,-25252.68,1.0,-252526800.0,
226,(주)골프존,215000,Dec-15,,15246397.0,,14772092.0,,
227,(주)골프존,215000,Dec-16,82752.48,8489191.0,69940.02,8016159.0,87.2487933435452,97.47981874833538
228,(주)골프존,215000,Dec-17,86594.02,6366433.0,71718.52,5302425.0,135.25607622927245,136.016541758941
229,(주)골프존,215000,Dec-18,63252.87,10750003.0,60657.91,9375475.0,64.69849260970777,58.83986264934066
230,(주)골프존,215000,Dec-19,99662.42,23070705.0,87478.96,21081631.0,41.495347300216004,43.19868855329735
231,(주)골프존뉴딘홀딩스,121440,Dec-11,68848.89,3740999.0,65510.64,2137988.0,306.4125710714934,184.0387821541786
232,(주)골프존뉴딘홀딩스,121440,Dec-12,121408.57,6741088.0,108386.02,4325719.0,250.5618603520016,180.1023365961103
233,(주)골프존뉴딘홀딩스,121440,Dec-13,104828.51,9468630.0,89965.12,6257588.0,143.76964415042985,110.71138063267864
234,(주)골프존뉴딘홀딩스,121440,Dec-14,165410.32,14665169.0,110458.29,11868301.0,93.0700106106173,112.79128116423342
235,(주)골프존뉴딘홀딩스,121440,Dec-15,25820.5,5486432.0,3300.63,929229.0,35.520092463752206,47.06246245282909
236,(주)골프존뉴딘홀딩스,121440,Dec-16,50468.4,4811532.0,-9300.74,1279019.0,-72.71776259774091,104.89050057237488
237,(주)골프존뉴딘홀딩스,121440,Dec-17,23288.31,3866859.0,-6328.61,1152613.0,-54.90663388318542,60.22539223695511
238,(주)골프존뉴딘홀딩스,121440,Dec-18,60807.94,1045111.0,19639.69,1007080.0,195.0161854073162,581.8323603904274
239,(주)골프존뉴딘홀딩스,121440,Dec-19,30323.24,3905950.0,-17313.43,1063694.0,-162.76701758212417,77.63345664947067
240,(주)광림,14200,Dec-11,,,15697.65,4936148.0,31.80141681327221,
241,(주)광림,14200,Dec-12,,,10280.56,5018088.0,20.487006206347917,
242,(주)광림,14200,Dec-13,,,11826.55,4996916.0,23.667698236272134,
243,(주)광림,14200,Dec-14,34136.72,53846653.0,12621.85,4661089.0,27.07918685955149,6.339617803171536
244,(주)광림,14200,Dec-15,,,46963.35,5377868.0,87.32707831430596,
245,(주)광림,14200,Dec-16,9774.59,81201134.0,12766.74,5131560.0,24.87886724504829,1.2037504303819204
