,회사명,거래소코드,회계년도,부가가치(IFRS연결),유형자산(IFRS연결),건설중인자산(IFRS연결),부가가치(IFRS개별),유형자산(IFRS개별),건설중인자산(IFRS개별),설비투자효율(개별),설비투자효율(연결)
131,(주)갤럭시아에스엠,11420,11-Dec,16289.29,0.0,0.0,14937.6,263856.0,0.0,566.1269783518283,inf
132,(주)갤럭시아에스엠,11420,12-Dec,11304.39,0.0,0.0,9721.11,244196.0,0.0,398.08637324116694,inf
133,(주)갤럭시아에스엠,11420,13-Dec,4540.45,0.0,0.0,3928.36,258052.0,0.0,152.23133321966117,inf
134,(주)갤럭시아에스엠,11420,14-Dec,5477.95,0.0,0.0,3400.02,170073.0,0.0,199.91533047573688,inf
135,(주)갤럭시아에스엠,11420,15-Dec,10705.78,0.0,0.0,10216.63,428742.0,0.0,238.29319264266152,inf
136,(주)갤럭시아에스엠,11420,16-Dec,5657.39,0.0,0.0,5013.27,468225.0,0.0,107.06967803940415,inf
137,(주)갤럭시아에스엠,11420,17-Dec,-161.81,0.0,0.0,-275.92,348574.0,0.0,-7.915679310562464,-inf
138,(주)갤럭시아에스엠,11420,18-Dec,-9771.55,0.0,0.0,-9601.87,251603.0,0.0,-381.62780253017655,-inf
139,(주)갤럭시아에스엠,11420,19-Dec,3529.68,0.0,0.0,3287.96,511985.0,0.0,64.21985019092357,inf
140,(주)경농,2100,11-Dec,26483.85,0.0,0.0,28809.42,47135730.0,0.0,6.112013116164744,inf
141,(주)경농,2100,12-Dec,39063.56,0.0,383245.0,32641.59,51459712.0,83245.0,6.353412740506272,-1019.284269853488
142,(주)경농,2100,13-Dec,53114.35,0.0,8137067.0,42493.74,55088070.0,6326560.0,8.714607074309225,-65.27456391842416
143,(주)경농,2100,14-Dec,47327.34,0.0,9686293.0,38526.79,60743502.0,5476824.0,6.971070343688831,-48.860116042329096
144,(주)경농,2100,15-Dec,46908.64,0.0,3166422.0,36680.28,60862714.0,2761189.0,6.313135498594917,-148.14399344117746
145,(주)경농,2100,16-Dec,48243.41,0.0,11266818.0,37693.81,60986166.0,1112074.0,6.295512589986334,-42.8190195315128
146,(주)경농,2100,17-Dec,55717.38,0.0,4576770.0,45275.0,61075339.0,3321824.0,7.839349691529598,-121.73952372524728
147,(주)경농,2100,18-Dec,57945.41,0.0,213523.0,47204.81,67819776.0,0.0,6.9603311576847435,-2713.7783751633315
148,(주)경농,2100,19-Dec,55965.47,0.0,461623.0,43823.04,64128521.0,458026.0,6.882786131943846,-1212.363118822069
149,(주)경동나비엔,9450,11-Dec,60669.23,0.0,8018545.0,50196.09,71463183.0,7244177.0,7.816391614656883,-75.66114550707142
150,(주)경동나비엔,9450,12-Dec,68423.43,0.0,18288529.0,54692.56,86003940.0,18174812.0,8.063285142041043,-37.41330426301644
151,(주)경동나비엔,9450,13-Dec,79237.85,0.0,72091473.0,55874.59,148703601.0,70075011.0,7.106141671877876,-10.99129296470333
152,(주)경동나비엔,9450,14-Dec,80978.36,4513206.0,7605975.0,56282.59,133081097.0,2466353.0,4.3090533485254925,-261.8312586552697
153,(주)경동나비엔,9450,15-Dec,107704.21,0.0,4694373.0,76567.87,134166342.0,36250.0,5.708478154178855,-229.43257811000532
154,(주)경동나비엔,9450,16-Dec,141866.08,0.0,8583811.0,91445.07,138398427.0,1584336.0,6.68389267009054,-165.27167245411155
155,(주)경동나비엔,9450,17-Dec,148016.16,0.0,15007431.0,88344.03,143721378.0,1229289.0,6.19992524637631,-98.62857940176437
156,(주)경동나비엔,9450,18-Dec,164621.76,0.0,26585282.0,103466.23,157575992.0,2659580.0,6.678842394051833,-61.92214173240668
157,(주)경동나비엔,9450,19-Dec,195347.0,0.0,9108279.0,119653.32,165763623.0,5426129.0,7.462591376163083,-214.47191066501148
158,(주)경동도시가스,267290,17-Dec,,0.0,4158117.0,,316263778.0,4158117.0,,
159,(주)경동도시가스,267290,18-Dec,105468.98,0.0,3393277.0,97564.13,320275132.0,3393277.0,3.078880297516562,-310.8174782076441
160,(주)경동도시가스,267290,19-Dec,95819.67,0.0,8157820.0,86578.45,325567581.0,8157820.0,2.727655561922054,-117.45744573918032
161,(주)경동인베스트,12320,11-Dec,92451.05,0.0,1877929.0,95768.55,265516704.0,1877929.0,3.6325669469523216,-492.30322339129964
162,(주)경동인베스트,12320,12-Dec,135007.2,0.0,3185849.0,107979.21,279769365.0,566219.0,3.8674066373163285,-423.7714970169647
163,(주)경동인베스트,12320,13-Dec,140991.69,0.0,4888482.0,93436.7,293643578.0,1641063.0,3.199859425868301,-288.4160972670044
164,(주)경동인베스트,12320,14-Dec,81588.6,0.0,34044603.0,93996.69,299563689.0,1062458.0,3.148954853053856,-23.965208229921203
165,(주)경동인베스트,12320,15-Dec,-30690.54,0.0,65029399.0,34539.58,317414775.0,1586269.0,1.0936181929062476,0.0
166,(주)경동인베스트,12320,16-Dec,26071.34,0.0,988138.0,72056.94,320740081.0,988138.0,2.2535262592602914,-263.84310693445656
167,(주)경동인베스트,12320,17-Dec,58509.5,0.0,0.0,-608.84,9664453.0,0.0,-0.629978747891888,inf
