,회사명,거래소코드,회계년도,매출액(IFRS연결),매출원가(IFRS연결),매출액(IFRS개별),매출원가(IFRS개별),매출액총이익률(개별),매출액총이익률(연결)
126,(주)강원에너지,114190,Dec-15,46188664.0,38265188.0,48852892.0,40524653.0,17.047586456089437,17.154590139260144
127,(주)강원에너지,114190,Dec-16,42287473.0,35270278.0,44448760.0,37206789.0,16.29285271400147,16.59402773960979
128,(주)강원에너지,114190,Dec-17,82034829.0,81169717.0,83113029.0,82247917.0,1.0408861407277072,1.0545667133651244
129,(주)강원에너지,114190,Dec-18,85905365.0,80012233.0,85905365.0,80012233.0,6.860027892320811,6.860027892320811
130,(주)강원에너지,114190,Dec-19,42549622.0,48688856.0,42549622.0,48688856.0,-14.428410198332667,-14.428410198332667
131,(주)갤럭시아에스엠,11420,Dec-11,47331427.0,38695073.0,31931418.0,26327117.0,17.551055828463365,18.246553183363773
132,(주)갤럭시아에스엠,11420,Dec-12,55049732.0,47555420.0,37398255.0,33745924.0,9.76604657088947,13.613712052222162
133,(주)갤럭시아에스엠,11420,Dec-13,46437304.0,41764586.0,30903637.0,28202016.0,8.742081069616498,10.06242308985035
134,(주)갤럭시아에스엠,11420,Dec-14,43885894.0,40216941.0,33027933.0,31283923.0,5.28040916154214,8.360210230649512
135,(주)갤럭시아에스엠,11420,Dec-15,62472754.0,56009656.0,53784932.0,48457121.0,9.905768775537357,10.345466761398097
136,(주)갤럭시아에스엠,11420,Dec-16,52626331.0,51678856.0,45665676.0,45279432.0,0.8458081295019043,1.800382017891386
137,(주)갤럭시아에스엠,11420,Dec-17,37281280.0,37435336.0,36917656.0,37068260.0,-0.4079457265650886,-0.41322615532513907
138,(주)갤럭시아에스엠,11420,Dec-18,22060413.0,27428110.0,22030258.0,24112403.0,-9.451296485043434,-24.33180648068556
139,(주)갤럭시아에스엠,11420,Dec-19,28732679.0,26937800.0,28732679.0,26937800.0,6.246820910782458,6.246820910782458
140,(주)경농,2100,Dec-11,121253605.0,79220101.0,120728258.0,79073941.0,34.502541236037715,34.66577674123586
141,(주)경농,2100,Dec-12,136970449.0,87614008.0,131021366.0,83085935.0,36.585964918118776,36.03437191039653
142,(주)경농,2100,Dec-13,196358952.0,129161139.0,139237273.0,85548073.0,38.559502669949595,34.22192485525182
143,(주)경농,2100,Dec-14,188483147.0,122779838.0,134806677.0,81145006.0,39.806389560362796,34.85898344004199
144,(주)경농,2100,Dec-15,196418710.0,127105636.0,137609256.0,84402122.0,38.66537436987524,35.2884274619256
145,(주)경농,2100,Dec-16,203984939.0,135371879.0,143209666.0,90377050.0,36.89179472005751,33.6363362591196
146,(주)경농,2100,Dec-17,206534382.0,138859895.0,143175105.0,90974073.0,36.45957305217272,32.76669305355657
147,(주)경농,2100,Dec-18,212654617.0,139911460.0,146216658.0,91408676.0,37.48408885121694,34.20718441302405
148,(주)경농,2100,Dec-19,227510941.0,153098094.0,151342037.0,94631333.0,37.471878351947915,32.70737076332518
149,(주)경동나비엔,9450,Dec-11,341246917.0,251540613.0,318269213.0,246619329.0,22.512351516701678,26.28779910706124
150,(주)경동나비엔,9450,Dec-12,379014259.0,282583068.0,341339118.0,268142768.0,21.443879748936364,25.442628795662277
151,(주)경동나비엔,9450,Dec-13,414177562.0,296168554.0,371601179.0,284158227.0,23.531397891501307,28.492371105318355
152,(주)경동나비엔,9450,Dec-14,428985365.0,313840608.0,382392117.0,293438355.0,23.262446594839194,26.84118536304846
153,(주)경동나비엔,9450,Dec-15,512031120.0,352051189.0,448302084.0,334829527.0,25.311628263588442,31.244181213048144
154,(주)경동나비엔,9450,Dec-16,583252904.0,382333051.0,506082201.0,369054723.0,27.076130662022628,34.44815304340088
