,회사명,거래소코드,회계년도,[제조]   금융비용(IFRS연결),[제조]매출액(수익)(*)(IFRS연결),[제조]   금융비용(IFRS),[제조]매출액(수익)(*)(IFRS),금융비용부담률(개별),금융비용부담률(연결)
147,(주)경농,2100,2018/12,0.0,212654617.0,0.0,146216658.0,0.0,0.0
148,(주)경농,2100,2019/12,0.0,227510941.0,0.0,151342037.0,0.0,0.0
149,(주)경동나비엔,9450,2011/12,0.0,341246917.0,0.0,318269213.0,0.0,0.0
150,(주)경동나비엔,9450,2012/12,0.0,379014259.0,0.0,341339118.0,0.0,0.0
151,(주)경동나비엔,9450,2013/12,0.0,414177562.0,0.0,371601179.0,0.0,0.0
152,(주)경동나비엔,9450,2014/12,0.0,428985365.0,0.0,382392117.0,0.0,0.0
153,(주)경동나비엔,9450,2015/12,0.0,512031120.0,0.0,448302084.0,0.0,0.0
154,(주)경동나비엔,9450,2016/12,0.0,583252904.0,0.0,506082201.0,0.0,0.0
155,(주)경동나비엔,9450,2017/12,0.0,684660958.0,0.0,569819524.0,0.0,0.0
156,(주)경동나비엔,9450,2018/12,0.0,726741615.0,0.0,618058456.0,0.0,0.0
157,(주)경동나비엔,9450,2019/12,0.0,774290704.0,0.0,655419303.0,0.0,0.0
158,(주)경동도시가스,267290,2017/12,0.0,871548284.0,0.0,870828897.0,0.0,0.0
159,(주)경동도시가스,267290,2018/12,0.0,1606531867.0,0.0,1605687067.0,0.0,0.0
160,(주)경동도시가스,267290,2019/12,0.0,1422707835.0,0.0,1421866212.0,0.0,0.0
161,(주)경동인베스트,12320,2011/12,0.0,1847666903.0,0.0,1806174764.0,0.0,0.0
162,(주)경동인베스트,12320,2012/12,0.0,2502642394.0,0.0,2403814656.0,0.0,0.0
163,(주)경동인베스트,12320,2013/12,0.0,2788264380.0,0.0,2664100017.0,0.0,0.0
164,(주)경동인베스트,12320,2014/12,0.0,2603059058.0,0.0,2399450987.0,0.0,0.0
165,(주)경동인베스트,12320,2015/12,0.0,1604168482.0,0.0,1352478311.0,0.0,0.0
166,(주)경동인베스트,12320,2016/12,0.0,1181902637.0,0.0,1021002691.0,0.0,0.0
167,(주)경동인베스트,12320,2017/12,0.0,195069859.0,0.0,612436.0,0.0,0.0
168,(주)경동인베스트,12320,2018/12,0.0,228644016.0,0.0,7460898.0,0.0,0.0
169,(주)경동인베스트,12320,2019/12,0.0,271765025.0,0.0,8641051.0,0.0,0.0
170,(주)경방,50,2011/12,0.0,348136369.0,0.0,275746943.0,0.0,0.0
171,(주)경방,50,2012/12,0.0,333620804.0,0.0,265409209.0,0.0,0.0
172,(주)경방,50,2013/12,0.0,347189559.0,0.0,264782077.0,0.0,0.0
173,(주)경방,50,2014/12,0.0,329036023.0,0.0,256979444.0,0.0,0.0
174,(주)경방,50,2015/12,0.0,357628146.0,0.0,307744480.0,0.0,0.0
175,(주)경방,50,2016/12,0.0,377445013.0,0.0,313876822.0,0.0,0.0
176,(주)경방,50,2017/12,0.0,360788750.0,0.0,288103985.0,0.0,0.0
177,(주)경방,50,2018/12,0.0,351438926.0,0.0,279085217.0,0.0,0.0
178,(주)경방,50,2019/12,0.0,343892085.0,0.0,253552382.0,0.0,0.0
179,(주)경보제약,214390,2015/12,,,0.0,178032632.0,0.0,
180,(주)경보제약,214390,2016/12,,,0.0,186726170.0,0.0,
181,(주)경보제약,214390,2017/12,,,0.0,191661374.0,0.0,
182,(주)경보제약,214390,2018/12,,,0.0,201343596.0,0.0,
183,(주)경보제약,214390,2019/12,,,0.0,191706189.0,0.0,
184,(주)경인양행,12610,2011/12,0.0,233095049.0,0.0,128707611.0,0.0,0.0
185,(주)경인양행,12610,2012/12,0.0,218604655.0,0.0,141304459.0,0.0,0.0
186,(주)경인양행,12610,2013/12,0.0,260808400.0,0.0,183106757.0,0.0,0.0
187,(주)경인양행,12610,2014/12,0.0,277181095.0,0.0,190395047.0,0.0,0.0
188,(주)경인양행,12610,2015/12,0.0,263163677.0,0.0,175006703.0,0.0,0.0
189,(주)경인양행,12610,2016/12,0.0,274873817.0,0.0,179267850.0,0.0,0.0
190,(주)경인양행,12610,2017/12,0.0,299987729.0,0.0,193975818.0,0.0,0.0
191,(주)경인양행,12610,2018/12,0.0,331102011.0,0.0,222659442.0,0.0,0.0
192,(주)경인양행,12610,2019/12,0.0,358802386.0,0.0,245244968.0,0.0,0.0
193,(주)고려시멘트,198440,2014/12,,,,,,
194,(주)고려시멘트,198440,2015/12,,,,,,
195,(주)고려시멘트,198440,2016/12,,,,,,
196,(주)고려시멘트,198440,2017/12,,,0.0,87660276.0,0.0,
197,(주)고려시멘트,198440,2018/12,,,0.0,85775723.0,0.0,
