,회사명,거래소코드,회계년도,부가가치(IFRS연결),매출액(IFRS연결),부가가치(IFRS개별),매출액(IFRS개별),부가가치율(개별),부가가치율(연결)
220,(주)골드퍼시픽,38530,Dec-14,1554.55,16486257.0,-2264.04,4855121.0,-4.663199949084689,0.9429368958642341
221,(주)골드퍼시픽,38530,Dec-15,-2786.97,18635305.0,-7836.3,6121489.0,-12.801297200730083,-1.4955322706014202
222,(주)골드퍼시픽,38530,Dec-16,,,-19661.53,9588100.0,-20.506179535048656,
223,(주)골드퍼시픽,38530,Dec-17,,,1313.87,5031439.0,2.611320538716657,
224,(주)골드퍼시픽,38530,Dec-18,-1488.34,5708281.0,-1459.51,5580994.0,-2.615143467274826,-2.6073348526465323
225,(주)골드퍼시픽,38530,Dec-19,,,-25252.68,11323125.0,-22.301864547110448,
226,(주)골프존,215000,Dec-15,,201560389.0,,184085342.0,,
227,(주)골프존,215000,Dec-16,82752.48,216964342.0,69940.02,196864993.0,3.5526895327703083,3.814105084604179
228,(주)골프존,215000,Dec-17,86594.02,200105321.0,71718.52,171859065.0,4.1731007904645585,4.327422157854563
229,(주)골프존,215000,Dec-18,63252.87,198705194.0,60657.91,191571105.0,3.1663392033991764,3.1832519687432024
230,(주)골프존,215000,Dec-19,99662.42,247018099.0,87478.96,239051647.0,3.659416745202345,4.034620151456999
231,(주)골프존뉴딘홀딩스,121440,Dec-11,68848.89,215793737.0,65510.64,209788389.0,3.122700942233748,3.1904952830025834
232,(주)골프존뉴딘홀딩스,121440,Dec-12,121408.57,289629366.0,108386.02,276341690.0,3.9221740302738977,4.1918598129997635
233,(주)골프존뉴딘홀딩스,121440,Dec-13,104828.51,365126358.0,89965.12,340005073.0,2.6459934613975595,2.8710200647853528
234,(주)골프존뉴딘홀딩스,121440,Dec-14,165410.32,429589619.0,110458.29,387066126.0,2.8537317677858485,3.8504263763412774
