,회사명,거래소코드,회계년도,매출액(IFRS연결),유형자산(IFRS연결),매출액(IFRS개별),유형자산(IFRS개별),유형자산회전율(개별),유형자산회전율(연결)
94,(주)TCC스틸,2710,Dec-15,495795871.0,71859909.0,350074629.0,50635593.0,6.9136077659839,6.899478135993743
95,(주)TCC스틸,2710,Dec-16,444453635.0,64693517.0,317235565.0,43730610.0,7.254313740421183,6.870141794888041
96,(주)TCC스틸,2710,Dec-17,391370092.0,58943990.0,333762378.0,45541678.0,7.3287237681492545,6.639694598210946
97,(주)TCC스틸,2710,Dec-18,413176279.0,55878504.0,351301866.0,43204124.0,8.131211409355274,7.394190062783355
98,(주)TCC스틸,2710,Dec-19,437173902.0,59322335.0,339334364.0,47129444.0,7.200050227624158,7.369465514127183
99,(주)가비아,79940,Dec-11,52838864.0,22149161.0,33792831.0,7163470.0,4.717382916379911,2.385592122428475
100,(주)가비아,79940,Dec-12,69058144.0,37833915.0,38482449.0,23749485.0,1.6203487780892933,1.825297329129169
101,(주)가비아,79940,Dec-13,70675565.0,37047584.0,40507693.0,22732962.0,1.781892434430674,1.9076970039395822
102,(주)가비아,79940,Dec-14,80432047.0,37099200.0,43906243.0,22313113.0,1.9677327408327112,2.1680264534006124
103,(주)가비아,79940,Dec-15,91648622.0,36916970.0,48446932.0,22210592.0,2.1812535208426684,2.4825607843763993
104,(주)가비아,79940,Dec-16,102178978.0,43221838.0,49430564.0,22429866.0,2.2037832950049725,2.3640590666227568
105,(주)가비아,79940,Dec-17,116217941.0,45452326.0,52365659.0,22362004.0,2.34172478459444,2.5569195512678493
106,(주)가비아,79940,Dec-18,128728438.0,49107084.0,55197652.0,24425180.0,2.2598667440731246,2.621382242936681
107,(주)가비아,79940,Dec-19,148306878.0,85359914.0,58254105.0,39724951.0,1.4664361700534256,1.7374300306816148
108,(주)강스템바이오텍,217730,Dec-15,,,1484593.0,2980005.0,0.4981847345893715,
109,(주)강스템바이오텍,217730,Dec-16,,,842805.0,4039297.0,0.20865140642047367,
110,(주)강스템바이오텍,217730,Dec-17,9132939.0,13229478.0,5394323.0,12480829.0,0.43220870985412907,0.6903476463697207
111,(주)강스템바이오텍,217730,Dec-18,9165454.0,15140205.0,1001039.0,14220013.0,0.07039648979223859,0.6053718559292955
112,(주)강스템바이오텍,217730,Dec-19,6004584.0,31219524.0,282069.0,22738650.0,0.012404826144032297,0.1923342585236085
113,(주)강원랜드,35250,Dec-11,1265686425.0,1312308962.0,1263651213.0,1302068954.0,0.9704948490769406,0.9644728959795064
114,(주)강원랜드,35250,Dec-12,1296191223.0,1357670542.0,1292896121.0,1334113267.0,0.9691052124137223,0.9547170560912118
115,(주)강원랜드,35250,Dec-13,1361286598.0,1385719165.0,1356906162.0,1327018456.0,1.022522449378805,0.9823683127020907
116,(주)강원랜드,35250,Dec-14,1496541441.0,1387584592.0,1492291312.0,1284798892.0,1.1614979755135093,1.0785226714307592
117,(주)강원랜드,35250,Dec-15,1633716839.0,1353560925.0,1630976696.0,1253601276.0,1.3010330535113463,1.2069769515546558
118,(주)강원랜드,35250,Dec-16,1696532511.0,1315715882.0,1694575212.0,1254129261.0,1.3511966148120995,1.2894368261490667
119,(주)강원랜드,35250,Dec-17,1604470055.0,1297980610.0,1602901764.0,1253403658.0,1.2788392261098698,1.23612790718037
120,(주)강원랜드,35250,Dec-18,1438059299.0,1314038393.0,1436042435.0,1299058388.0,1.1054487221401168,1.094381493463715
121,(주)강원랜드,35250,Dec-19,1520080449.0,1370568026.0,1517612252.0,1353732478.0,1.1210577249665425,1.1090879257094242
122,(주)강원에너지,114190,Nov-11,,,50222892.0,3912294.0,12.8371978179554,
123,(주)강원에너지,114190,Dec-12,,,106471214.0,4416402.0,24.108134630860143,
124,(주)강원에너지,114190,Dec-13,,,50660659.0,4787448.0,10.581975825116011,
125,(주)강원에너지,114190,Dec-14,,,51481321.0,10004091.0,5.146026860411406,
126,(주)강원에너지,114190,Dec-15,46188664.0,12847843.0,48852892.0,9712091.0,5.030110611607737,3.5950520254645078
127,(주)강원에너지,114190,Dec-16,42287473.0,14792058.0,44448760.0,9490734.0,4.68338486780896,2.858795780816976
128,(주)강원에너지,114190,Dec-17,82034829.0,15392067.0,83113029.0,9242859.0,8.992134251966842,5.329682426668231
129,(주)강원에너지,114190,Dec-18,85905365.0,14771745.0,85905365.0,8853092.0,9.703430733578731,5.815519087284542
130,(주)강원에너지,114190,Dec-19,42549622.0,10387938.0,42549622.0,9089689.0,4.6810866686417985,4.096060450110503
