,회사명,거래소코드,회계년도,부가가치(IFRS연결),자산(IFRS연결),부가가치(IFRS개별),자산(IFRS개별),총자본투자효율(개별),총자본투자효율(연결)
135,(주)갤럭시아에스엠,11420,Dec-15,10705.78,68686992.0,10216.63,67196553.0,1.5204098341175327,1.5586328194427264
136,(주)갤럭시아에스엠,11420,Dec-16,5657.39,58444606.0,5013.27,55825556.0,0.8980241952270034,0.9679918109123706
137,(주)갤럭시아에스엠,11420,Dec-17,-161.81,49831109.0,-275.92,48958128.0,-0.05635836402895143,-0.03247168350196661
138,(주)갤럭시아에스엠,11420,Dec-18,-9771.55,33253331.0,-9601.87,33337692.0,-2.8801843870895447,-2.9385176480515587
139,(주)갤럭시아에스엠,11420,Dec-19,3529.68,28241598.0,3287.96,28241598.0,1.1642259053471409,1.249815962963569
140,(주)경농,2100,Dec-11,26483.85,173774102.0,28809.42,176741869.0,1.6300280269187377,1.524038950291914
141,(주)경농,2100,Dec-12,39063.56,269412832.0,32641.59,203467698.0,1.604263984939762,1.4499517231606844
142,(주)경농,2100,Dec-13,53114.35,255984725.0,42493.74,214988593.0,1.9765578911435548,2.074903102128457
143,(주)경농,2100,Dec-14,47327.34,284623063.0,38526.79,230870852.0,1.6687593806774708,1.66280762708256
144,(주)경농,2100,Dec-15,46908.64,316341853.0,36680.28,265109291.0,1.383590890445254,1.4828464698915447
145,(주)경농,2100,Dec-16,48243.41,320915151.0,37693.81,266622289.0,1.4137531464970658,1.5033073337194978
146,(주)경농,2100,Dec-17,55717.38,335873898.0,45275.0,268967010.0,1.6832919397810162,1.6588779399582876
147,(주)경농,2100,Dec-18,57945.41,357260541.0,47204.81,285031873.0,1.656123910044264,1.6219370277446903
148,(주)경농,2100,Dec-19,55965.47,370874091.0,43823.04,297197088.0,1.4745447303978967,1.5090153601481966
149,(주)경동나비엔,9450,Dec-11,60669.23,263211016.0,50196.09,224373470.0,2.2371668985642557,2.3049654578287107
150,(주)경동나비엔,9450,Dec-12,68423.43,299729837.0,54692.56,254627468.0,2.1479442272897282,2.282836793455434
151,(주)경동나비엔,9450,Dec-13,79237.85,354779867.0,55874.59,301475800.0,1.8533689934648152,2.233437051263115
152,(주)경동나비엔,9450,Dec-14,80978.36,401658957.0,56282.59,331089242.0,1.6999220409583709,2.0160974525460413
153,(주)경동나비엔,9450,Dec-15,107704.21,402084368.0,76567.87,324848990.0,2.3570296462981153,2.6786470345944906
154,(주)경동나비엔,9450,Dec-16,141866.08,429754702.0,91445.07,347643876.0,2.6304237270671784,3.301094306584224
