,회사명,거래소코드,회계년도,자산(IFRS연결),자산(IFRS개별),합계_기말인원,자본집약도(개별),자본집약도(연결)
164,(주)경동인베스트,12320,14-Dec,1320789066.0,1101071366.0,282.0,3904508.390070922,4683649.170212766
165,(주)경동인베스트,12320,15-Dec,1167819522.0,926392697.0,287.0,3227849.118466899,4069057.567944251
166,(주)경동인베스트,12320,16-Dec,1126122628.0,903818865.0,286.0,3160205.821678322,3937491.7062937063
167,(주)경동인베스트,12320,17-Dec,599276331.0,318031347.0,11.0,28911940.636363637,54479666.45454545
168,(주)경동인베스트,12320,18-Dec,592002536.0,318776653.0,13.0,24521281.0,45538656.615384616
169,(주)경동인베스트,12320,19-Dec,605467383.0,316572482.0,12.0,26381040.166666668,50455615.25
170,(주)경방,50,11-Dec,1352324332.0,1331930968.0,593.0,2246089.3220910626,2280479.4806070826
171,(주)경방,50,12-Dec,1335039930.0,1301719900.0,579.0,2248220.8981001726,2305768.445595855
172,(주)경방,50,13-Dec,1296989142.0,1261257414.0,676.0,1865765.4053254437,1918622.9911242602
173,(주)경방,50,14-Dec,1301841379.0,1275008413.0,679.0,1877773.8041237113,1917292.1634756995
174,(주)경방,50,15-Dec,1318643312.0,1259512344.0,615.0,2047987.5512195122,2144135.466666667
175,(주)경방,50,16-Dec,1301910960.0,1237024388.0,574.0,2155094.7526132404,2268137.56097561
176,(주)경방,50,17-Dec,1274042237.0,1199063663.0,503.0,2383824.37972167,2532887.151093439
177,(주)경방,50,18-Dec,1301792841.0,1226545382.0,462.0,2654860.134199134,2817733.422077922
178,(주)경방,50,19-Dec,1370742491.0,1296265431.0,259.0,5004885.833976834,5292442.05019305
179,(주)경보제약,214390,15-Dec,,195488457.0,398.0,491177.02763819095,
180,(주)경보제약,214390,16-Dec,,203735980.0,416.0,489749.95192307694,
181,(주)경보제약,214390,17-Dec,,204869399.0,410.0,499681.4609756098,
182,(주)경보제약,214390,18-Dec,,221622993.0,450.0,492495.54,
183,(주)경보제약,214390,19-Dec,,237816742.0,494.0,481410.40890688257,
184,(주)경인양행,12610,11-Dec,319596954.0,245825940.0,378.0,650333.1746031746,845494.5873015873
185,(주)경인양행,12610,12-Dec,287452678.0,241045608.0,367.0,656800.0217983652,783249.8038147138
186,(주)경인양행,12610,13-Dec,316944796.0,274570963.0,431.0,637055.5986078887,735370.7563805104
187,(주)경인양행,12610,14-Dec,313039125.0,267331084.0,440.0,607570.6454545455,711452.5568181818
188,(주)경인양행,12610,15-Dec,326687437.0,273778266.0,469.0,583748.9680170575,696561.6993603412
189,(주)경인양행,12610,16-Dec,344298515.0,290035389.0,486.0,596780.6358024691,708433.158436214
190,(주)경인양행,12610,17-Dec,357951470.0,296909084.0,517.0,574292.2321083172,692362.6112185686
