,회사명,거래소코드,회계년도,부가가치(IFRS연결),인건비(IFRS연결),부가가치(IFRS개별),인건비(IFRS개별),노동소득분배율(개별),노동소득분배율(연결)
156,(주)경동나비엔,9450,Dec-18,164621.76,108289.85,103466.23,63077.23,0.006096407494503279,0.0065781006107576544
157,(주)경동나비엔,9450,Dec-19,195347.0,116375.39,119653.32,64858.64,0.005420546625868801,0.005957367658576789
158,(주)경동도시가스,267290,Dec-17,,,,,,
159,(주)경동도시가스,267290,Dec-18,105468.98,39859.58,97564.13,32358.48,0.0033166369648353344,0.0037792704546872457
160,(주)경동도시가스,267290,Dec-19,95819.67,40757.24,86578.45,32019.6,0.003698333707752911,0.0042535358345525505
161,(주)경동인베스트,12320,Dec-11,92451.05,33728.32,95768.55,24662.21,0.0025751888276474896,0.003648235471636071
162,(주)경동인베스트,12320,Dec-12,135007.2,47866.61,107979.21,27079.02,0.0025077994180546423,0.0035454857222429613
163,(주)경동인베스트,12320,Dec-13,140991.69,62730.57,93436.7,27891.51,0.0029850701062858597,0.004449238816840908
164,(주)경동인베스트,12320,Dec-14,81588.6,0.0,93996.69,28780.99,0.0030619152653141297,0.0
165,(주)경동인베스트,12320,Dec-15,-30690.54,0.0,34539.58,28090.06,0.008132716147677535,-0.0
166,(주)경동인베스트,12320,Dec-16,26071.34,0.0,72056.94,27886.51,0.0038700658118426897,0.0
167,(주)경동인베스트,12320,Dec-17,58509.5,7050.41,-608.84,1399.49,-0.02298617042244268,0.001205002606414343
168,(주)경동인베스트,12320,Dec-18,128174.79,83935.65,2304.64,2003.61,0.008693809011385726,0.006548530331120495
169,(주)경동인베스트,12320,Dec-19,129681.42,101205.16,78.98,2561.18,0.3242820967333502,0.007804137246492212
170,(주)경방,50,Dec-11,85127.47,23032.44,79256.78,21278.19,0.002684715427500335,0.0027056413164869104
171,(주)경방,50,Dec-12,80728.78,23852.76,75544.51,21214.8,0.002808251718093082,0.0029546786164735797
172,(주)경방,50,Dec-13,109135.73,24075.36,99612.08,20881.07,0.002096238729278618,0.0022060016458404596
173,(주)경방,50,Dec-14,105032.79,24688.43,97566.02,21765.09,0.0022308063811560625,0.0023505450059928905
174,(주)경방,50,Dec-15,117114.75,25022.76,107949.86,21226.96,0.001966372165744356,0.0021366019224734714
175,(주)경방,50,Dec-16,125709.78,24709.64,109992.25,20908.42,0.0019008993815473362,0.0019656099947036737
176,(주)경방,50,Dec-17,125830.72,23975.36,109353.53,19957.79,0.0018250704846930867,0.0019053661935654505
177,(주)경방,50,Dec-18,98012.24,22662.84,88599.95,17620.99,0.0019888261787958123,0.0023122458990836245
178,(주)경방,50,Dec-19,127253.44,19486.66,80679.67,12789.39,0.0015852060376548391,0.0015313267759205567
179,(주)경보제약,214390,Dec-15,,,64338.21,28637.8,0.0044511340927887175,
180,(주)경보제약,214390,Dec-16,,,62027.13,33811.33,0.005451055046396634,
181,(주)경보제약,214390,Dec-17,,,70313.62,32365.53,0.004603024278937708,
182,(주)경보제약,214390,Dec-18,,,68893.82,37461.12,0.005437515295276122,
183,(주)경보제약,214390,Dec-19,,,63450.36,41096.93,0.006477020776556666,
184,(주)경인양행,12610,Dec-11,55925.52,37652.46,25633.29,18151.1,0.0070810652865863095,0.006732607939988756
185,(주)경인양행,12610,Dec-12,50537.66,34371.35,29938.88,19018.18,0.0063523351574942015,0.0068011360241055875
186,(주)경인양행,12610,Dec-13,60639.47,35063.78,48021.56,25768.22,0.005365968952278935,0.005782336158281067
187,(주)경인양행,12610,Dec-14,73075.28,47414.66,47119.14,29061.46,0.006167655012379258,0.0064884677828124645
188,(주)경인양행,12610,Dec-15,67632.25,48524.81,35639.84,28424.51,0.007975487544276294,0.00717480344066625
189,(주)경인양행,12610,Dec-16,75607.0,51587.39,40282.61,29835.91,0.007406647682461489,0.006823097067731824
190,(주)경인양행,12610,Dec-17,77094.24,56209.57,39415.23,32472.31,0.008238518461011136,0.0072910207040110895
191,(주)경인양행,12610,Dec-18,98776.24,63029.21,56886.72,38916.52,0.006841055346485084,0.0063810092386590135
192,(주)경인양행,12610,Dec-19,111001.57,70651.98,58827.05,43175.77,0.00733944163441818,0.006364953216427479
193,(주)고려시멘트,198440,Dec-14,,,,,,
194,(주)고려시멘트,198440,Dec-15,,,,,,
195,(주)고려시멘트,198440,Dec-16,,,,,,
196,(주)고려시멘트,198440,Dec-17,,,14885.67,8722.05,0.005859360042241968,
197,(주)고려시멘트,198440,Dec-18,,,19051.09,8743.08,0.004589280718321104,
198,(주)고려시멘트,198440,Dec-19,,,16208.11,8380.51,0.005170565846357163,
199,(주)고영테크놀러지,98460,Dec-11,28970.09,8767.8,27718.99,6690.97,0.00241385779207684,0.0030265007806327144
200,(주)고영테크놀러지,98460,Dec-12,32628.63,11837.99,28550.06,8955.33,0.0031367114464908303,0.0036280990038502995
201,(주)고영테크놀러지,98460,Dec-13,31220.69,13692.93,28707.49,10299.36,0.003587690877885876,0.004385851177536435
202,(주)고영테크놀러지,98460,Dec-14,46699.29,16791.26,42596.7,13194.58,0.0030975592005953513,0.0035956135521546468
203,(주)고영테크놀러지,98460,Dec-15,46544.16,18860.1,43429.68,13512.06,0.0031112501865083967,0.004052087308053255
204,(주)고영테크놀러지,98460,Dec-16,62157.4,23093.44,52985.52,16203.95,0.003058184575710496,0.0037153162777078834
205,(주)고영테크놀러지,98460,Dec-17,65695.26,29369.15,58409.3,20514.86,0.0035122591779048885,0.004470512788898317
206,(주)고영테크놀러지,98460,Dec-18,86343.44,30314.75,75984.96,20275.12,0.0026683069912782735,0.003510949992263454
207,(주)고영테크놀러지,98460,Dec-19,80742.92,33298.8,73465.3,21332.43,0.0029037423109958037,0.004124051991183871
208,(주)골드앤에스,35290,Dec-11,15570.49,5938.37,14658.86,4985.31,0.0034008851984397154,0.0038138619914980195
209,(주)골드앤에스,35290,Dec-12,7635.89,6427.74,7893.95,6294.9,0.007974334775365945,0.008417800675494278
210,(주)골드앤에스,35290,Dec-13,1375.8,7656.67,-1958.86,5654.24,-0.028864952063955566,0.05565249309492659
211,(주)골드앤에스,35290,Dec-14,4010.26,5593.59,1806.61,4274.77,0.0236618307216278,0.013948197872457147
212,(주)골드앤에스,35290,Dec-15,1377.12,2191.94,-3739.74,2115.25,-0.005656141870825244,0.015916840943418147
213,(주)골드앤에스,35290,Dec-16,4764.12,1986.37,4792.12,2047.12,0.004271846280977939,0.0041694373777318786
214,(주)골드앤에스,35290,Dec-17,-4291.99,2270.57,-4235.05,2208.95,-0.005215877026245263,-0.005290249977283265
215,(주)골드앤에스,35290,Dec-18,-311.92,2918.62,11.61,2908.93,2.505538329026701,-0.09356950500128237
216,(주)골드앤에스,35290,Dec-19,-15967.57,2754.13,-16227.48,2754.13,-0.0016972012906501812,-0.0017248272592510947
217,(주)골드퍼시픽,38530,Dec-11,,,4434.65,2080.02,0.004690381428072115,
218,(주)골드퍼시픽,38530,Dec-12,,,4958.14,2696.95,0.005439438983167073,
219,(주)골드퍼시픽,38530,Dec-13,-4290.42,2751.3,-3602.2,2580.29,-0.007163094775415024,-0.006412658900527221
220,(주)골드퍼시픽,38530,Dec-14,1554.55,5305.8,-2264.04,1953.73,-0.008629397007120015,0.03413077739538773
221,(주)골드퍼시픽,38530,Dec-15,-2786.97,3834.69,-7836.3,1554.28,-0.0019834360603856412,-0.01375935155383804
222,(주)골드퍼시픽,38530,Dec-16,,,-19661.53,1853.8,-0.0009428564308067582,
223,(주)골드퍼시픽,38530,Dec-17,,,1313.87,564.04,0.004292966579646388,
224,(주)골드퍼시픽,38530,Dec-18,-1488.34,1307.33,-1459.51,1327.28,-0.00909401100369302,-0.00878381283846433
225,(주)골드퍼시픽,38530,Dec-19,,,-25252.68,2332.67,-0.0009237316593723914,
226,(주)골프존,215000,Dec-15,,,,,,
227,(주)골프존,215000,Dec-16,82752.48,31654.62,69940.02,20861.4,0.0029827557956088662,0.003825217081107418
228,(주)골프존,215000,Dec-17,86594.02,31373.61,71718.52,22145.86,0.00308788580690176,0.0036230688909003185
229,(주)골프존,215000,Dec-18,63252.87,31880.66,60657.91,28491.93,0.004697149967745344,0.005040191852164178
230,(주)골프존,215000,Dec-19,99662.42,50779.03,87478.96,37812.63,0.00432248280043567,0.005095103048872384
231,(주)골프존뉴딘홀딩스,121440,Dec-11,68848.89,22042.96,65510.64,19119.56,0.0029185426977968772,0.003201643483286368
232,(주)골프존뉴딘홀딩스,121440,Dec-12,121408.57,36337.24,108386.02,27404.01,0.002528371278878955,0.0029929715834722376
233,(주)골프존뉴딘홀딩스,121440,Dec-13,104828.51,38060.57,89965.12,27880.38,0.003099021042821929,0.003630746063260844
234,(주)골프존뉴딘홀딩스,121440,Dec-14,165410.32,51552.38,110458.29,24480.13,0.002216232932811109,0.003116636253409098
235,(주)골프존뉴딘홀딩스,121440,Dec-15,25820.5,31543.66,3300.63,11016.91,0.03337820355507888,0.012216517883077399
236,(주)골프존뉴딘홀딩스,121440,Dec-16,50468.4,30289.74,-9300.74,10072.01,-0.010829256596786923,0.006001723850964168
237,(주)골프존뉴딘홀딩스,121440,Dec-17,23288.31,23218.93,-6328.61,11397.33,-0.018009215293721684,0.009970208228935462
238,(주)골프존뉴딘홀딩스,121440,Dec-18,60807.94,32481.51,19639.69,8276.05,0.004213941258746956,0.005341656040313157
