,회사명,거래소코드,회계년도,당기순이익(IFRS연결),자산(IFRS연결),당기순이익(IFRS개별),자산(IFRS개별),총자산순이익률(개별),총자산순이익률(연결)
110,(주)강스템바이오텍,217730,Dec-17,-11531949.0,47198979.0,-10855842.0,44508729.0,-24.39036621333312,-24.432623849765903
111,(주)강스템바이오텍,217730,Dec-18,-14294032.0,73194018.0,-13500909.0,66184838.0,-20.398794358309075,-19.528962052609273
112,(주)강스템바이오텍,217730,Dec-19,-26394472.0,113643697.0,-25001590.0,98625925.0,-25.34991687023468,-23.225636526062683
113,(주)강원랜드,35250,Dec-11,381175313.0,2711401782.0,393401121.0,2730283806.0,14.408799559059466,14.05823790227191
114,(주)강원랜드,35250,Dec-12,306228988.0,2906655321.0,296503993.0,2915385756.0,10.170317680594444,10.535442086564483
115,(주)강원랜드,35250,Dec-13,297596347.0,3102036846.0,293129468.0,3105430200.0,9.43925476090237,9.593578728239258
116,(주)강원랜드,35250,Dec-14,359348568.0,3375127289.0,363815729.0,3380461682.0,10.762308915886123,10.646963424791887
117,(주)강원랜드,35250,Dec-15,441629101.0,3690791830.0,430459518.0,3688060027.0,11.671705852091328,11.96570062310992
118,(주)강원랜드,35250,Dec-16,454533659.0,3978987574.0,454998593.0,3975979890.0,11.443684464913126,11.423349546755835
119,(주)강원랜드,35250,Dec-17,437540507.0,4185657487.0,437096330.0,4182527382.0,10.450531223802518,10.453328022155004
120,(주)강원랜드,35250,Dec-18,297236881.0,4231241354.0,297320114.0,4229630541.0,7.029458273433628,7.024815086924961
121,(주)강원랜드,35250,Dec-19,334653892.0,4438119306.0,335609508.0,4436461953.0,7.564800770421484,7.540443798966229
122,(주)강원에너지,114190,Nov-11,,,5754715.0,53719067.0,10.7126115946876,
123,(주)강원에너지,114190,Dec-12,,,8974549.0,89258208.0,10.054592402303214,
124,(주)강원에너지,114190,Dec-13,,,3922208.0,72441333.0,5.414323339411769,
125,(주)강원에너지,114190,Dec-14,,,1123194.0,67037639.0,1.6754677174713746,
126,(주)강원에너지,114190,Dec-15,102482.0,85457457.0,885783.0,80939019.0,1.0943831676536628,0.11992165879684438
127,(주)강원에너지,114190,Dec-16,-1125371.0,77186606.0,-762058.0,70850137.0,-1.0755914275790321,-1.4579874129975348
128,(주)강원에너지,114190,Dec-17,-6451819.0,93179394.0,-6291307.0,87781416.0,-7.1670147130003015,-6.924083451326159
129,(주)강원에너지,114190,Dec-18,1708887.0,93845576.0,1977524.0,89619750.0,2.206571654127578,1.820956376249425
130,(주)강원에너지,114190,Dec-19,-35647438.0,56602063.0,-33460765.0,55106032.0,-60.7206938797553,-62.97904371436073
131,(주)갤럭시아에스엠,11420,Dec-11,2909464.0,45110356.0,3000743.0,40711969.0,7.370665368702752,6.449658699213103
132,(주)갤럭시아에스엠,11420,Dec-12,389023.0,43979072.0,223810.0,40169876.0,0.5571588022825861,0.8845639125809659
133,(주)갤럭시아에스엠,11420,Dec-13,-1736750.0,37636664.0,-1420345.0,34158874.0,-4.1580556782989975,-4.6145163131355105
134,(주)갤럭시아에스엠,11420,Dec-14,-255270.0,45274078.0,-931106.0,40528250.0,-2.297424635902118,-0.5638325754529998
135,(주)갤럭시아에스엠,11420,Dec-15,1863773.0,68686992.0,2575902.0,67196553.0,3.8333841320699893,2.713429349184486
136,(주)갤럭시아에스엠,11420,Dec-16,-1562620.0,58444606.0,-1562620.0,55825556.0,-2.79911229186862,-2.673677019911812
137,(주)갤럭시아에스엠,11420,Dec-17,-5899738.0,49831109.0,-5899738.0,48958128.0,-12.05057922149311,-11.839467590416259
138,(주)갤럭시아에스엠,11420,Dec-18,-16003255.0,33253331.0,-15678085.0,33337692.0,-47.028105604911104,-48.1252690144034
139,(주)갤럭시아에스엠,11420,Dec-19,-1375316.0,28241598.0,-1375316.0,28241598.0,-4.869823584345333,-4.869823584345333
140,(주)경농,2100,Dec-11,509664.0,173774102.0,3154155.0,176741869.0,1.7846110929153975,0.29329111423058885
141,(주)경농,2100,Dec-12,10310339.0,269412832.0,6590012.0,203467698.0,3.238849244758252,3.8269665640870443
142,(주)경농,2100,Dec-13,13950249.0,255984725.0,13751960.0,214988593.0,6.3965998419274275,5.449641184644904
143,(주)경농,2100,Dec-14,7099305.0,284623063.0,9271741.0,230870852.0,4.015985959111027,2.494283114365894
144,(주)경농,2100,Dec-15,6980392.0,316341853.0,6488880.0,265109291.0,2.4476245157322682,2.2065976834244565
145,(주)경농,2100,Dec-16,6365805.0,320915151.0,5770891.0,266622289.0,2.164444323707685,1.983641152548762
146,(주)경농,2100,Dec-17,10079442.0,335873898.0,11539079.0,268967010.0,4.290146587122339,3.000960199652073
147,(주)경농,2100,Dec-18,4878426.0,357260541.0,9613575.0,285031873.0,3.372807012358228,1.3655093244680498
148,(주)경농,2100,Dec-19,4014664.0,370874091.0,7061857.0,297197088.0,2.3761528242160974,1.082487048144865
149,(주)경동나비엔,9450,Dec-11,9467023.0,263211016.0,9445090.0,224373470.0,4.209539568113824,3.596742698641458
150,(주)경동나비엔,9450,Dec-12,9169965.0,299729837.0,9214927.0,254627468.0,3.6189838717635916,3.0594101313977626
151,(주)경동나비엔,9450,Dec-13,11129597.0,354779867.0,9251575.0,301475800.0,3.06876206979134,3.137043004754269
152,(주)경동나비엔,9450,Dec-14,9380054.0,401658957.0,9082312.0,331089242.0,2.7431613135892827,2.335327978257933
153,(주)경동나비엔,9450,Dec-15,16752000.0,402084368.0,19320742.0,324848990.0,5.9476072251294365,4.16628979717013
154,(주)경동나비엔,9450,Dec-16,37469924.0,429754702.0,28636194.0,347643876.0,8.237220896708676,8.718909607183308
155,(주)경동나비엔,9450,Dec-17,27019124.0,503697210.0,16291264.0,391400492.0,4.162300337629621,5.364159948394394
156,(주)경동나비엔,9450,Dec-18,24748538.0,583595818.0,22818064.0,440513661.0,5.179876589570737,4.240698311515317
157,(주)경동나비엔,9450,Dec-19,27852090.0,609808343.0,20474157.0,461607017.0,4.435408528462643,4.567351417820795
158,(주)경동도시가스,267290,Dec-17,17798556.0,710280194.0,17678888.0,707917077.0,2.4973105713057975,2.5058499660205924
159,(주)경동도시가스,267290,Dec-18,34164798.0,778269612.0,33981432.0,775880913.0,4.379722639213835,4.389840933427065
160,(주)경동도시가스,267290,Dec-19,24638348.0,749999474.0,24355132.0,747453908.0,3.258412557527226,3.2851153706275804
161,(주)경동인베스트,12320,Dec-11,30327559.0,1001490869.0,50053289.0,941176098.0,5.318164061578198,3.0282411890866676
162,(주)경동인베스트,12320,Dec-12,42879202.0,1209924561.0,56917580.0,1168400020.0,4.8714121042209495,3.543956654996774
163,(주)경동인베스트,12320,Dec-13,49841905.0,1205008353.0,46253877.0,1161427092.0,3.982503707602509,4.136229004215044
164,(주)경동인베스트,12320,Dec-14,75930406.0,1320789066.0,44839494.0,1101071366.0,4.072351292077829,5.748866942846118
165,(주)경동인베스트,12320,Dec-15,-21251390.0,1167819522.0,-6095609.0,926392697.0,-0.6579940687939166,-1.8197495074928196
166,(주)경동인베스트,12320,Dec-16,19132415.0,1126122628.0,16356641.0,903818865.0,1.8097255582289709,1.698963729552196
167,(주)경동인베스트,12320,Dec-17,51930860.0,599276331.0,7248447.0,318031347.0,2.279161179668242,8.665595037491979
168,(주)경동인베스트,12320,Dec-18,29827973.0,592002536.0,1574966.0,318776653.0,0.4940656679772593,5.038487368912217
169,(주)경동인베스트,12320,Dec-19,8856009.0,605467383.0,-917643.0,316572482.0,-0.2898682141298687,1.4626731759058276
170,(주)경방,50,Dec-11,-1131177.0,1352324332.0,-1822388.0,1331930968.0,-0.1368230068812395,-0.08364687177720617
171,(주)경방,50,Dec-12,-7910168.0,1335039930.0,-7074187.0,1301719900.0,-0.5434492474149009,-0.592504225697579
172,(주)경방,50,Dec-13,14574395.0,1296989142.0,15103835.0,1261257414.0,1.1975219992641406,1.123709869885711
173,(주)경방,50,Dec-14,11488471.0,1301841379.0,14235818.0,1275008413.0,1.1165273777687614,0.8824785557841759
174,(주)경방,50,Dec-15,16692163.0,1318643312.0,21604723.0,1259512344.0,1.7153244351212171,1.265858845079404
175,(주)경방,50,Dec-16,29474988.0,1301910960.0,30977743.0,1237024388.0,2.504214411656369,2.2639787900702517
