,회사명,거래소코드,회계년도,매출액(IFRS연결),매입채무(IFRS연결),매출액(IFRS개별),매입채무(IFRS개별),매입채무회전율(개별),매입채무회전율(연결)
132,(주)갤럭시아에스엠,11420,Dec-12,55049732.0,1958766.0,37398255.0,1557553.0,24.010903641802237,28.10429219212504
133,(주)갤럭시아에스엠,11420,Dec-13,46437304.0,1576120.0,30903637.0,1162739.0,26.57830949164,29.46305103672309
134,(주)갤럭시아에스엠,11420,Dec-14,43885894.0,2389683.0,33027933.0,1548854.0,21.324109954844033,18.364734569396862
135,(주)갤럭시아에스엠,11420,Dec-15,62472754.0,2901363.0,53784932.0,2140769.0,25.12411754841368,21.53220882736838
136,(주)갤럭시아에스엠,11420,Dec-16,52626331.0,4302476.0,45665676.0,3486270.0,13.098720408918414,12.231638479796285
137,(주)갤럭시아에스엠,11420,Dec-17,37281280.0,2973757.0,36917656.0,2970352.0,12.42871417259638,12.536760737343368
138,(주)갤럭시아에스엠,11420,Dec-18,22060413.0,1700468.0,22030258.0,1695454.0,12.993722035513791,12.973142099704317
139,(주)갤럭시아에스엠,11420,Dec-19,28732679.0,1350936.0,28732679.0,1350936.0,21.268719613660455,21.268719613660455
140,(주)경농,2100,Dec-11,121253605.0,16144137.0,120728258.0,16127481.0,7.485871972194542,7.5106897940719906
141,(주)경농,2100,Dec-12,136970449.0,19656950.0,131021366.0,19491642.0,6.721925530953215,6.968041786747181
142,(주)경농,2100,Dec-13,196358952.0,17503694.0,139237273.0,17851709.0,7.799660693550405,11.218143553012295
143,(주)경농,2100,Dec-14,188483147.0,22336952.0,134806677.0,20530569.0,6.566144221331616,8.438176659017756
144,(주)경농,2100,Dec-15,196418710.0,23122407.0,137609256.0,21943145.0,6.271172887933794,8.494734566345103
145,(주)경농,2100,Dec-16,203984939.0,28340442.0,143209666.0,25261354.0,5.66912074467584,7.197662584090961
146,(주)경농,2100,Dec-17,206534382.0,29526311.0,143175105.0,25446317.0,5.626555112081642,6.994926728232321
147,(주)경농,2100,Dec-18,212654617.0,24114639.0,146216658.0,20300908.0,7.202468874791216,8.81848643888055
148,(주)경농,2100,Dec-19,227510941.0,27979140.0,151342037.0,23604107.0,6.411682382222721,8.131448679266054
149,(주)경동나비엔,9450,Dec-11,341246917.0,41324370.0,318269213.0,42204733.0,7.541078698448347,8.257764534583346
150,(주)경동나비엔,9450,Dec-12,379014259.0,56130651.0,341339118.0,54234882.0,6.2937191971764594,6.752358154549107
151,(주)경동나비엔,9450,Dec-13,414177562.0,50650491.0,371601179.0,51433487.0,7.224887921754168,8.177167759341168
152,(주)경동나비엔,9450,Dec-14,428985365.0,54242303.0,382392117.0,46764099.0,8.177044467380842,7.908686417683999
153,(주)경동나비엔,9450,Dec-15,512031120.0,65252087.0,448302084.0,54566199.0,8.215746968191793,7.8469692471292145
154,(주)경동나비엔,9450,Dec-16,583252904.0,83657318.0,506082201.0,76535655.0,6.612371724002362,6.971929269833872
155,(주)경동나비엔,9450,Dec-17,684660958.0,92109771.0,569819524.0,86703690.0,6.572033139535353,7.433098036906421
156,(주)경동나비엔,9450,Dec-18,726741615.0,77239026.0,618058456.0,69560024.0,8.885253633610017,9.408995071998966
157,(주)경동나비엔,9450,Dec-19,774290704.0,92666117.0,655419303.0,80630620.0,8.128665053053046,8.355704642291206
158,(주)경동도시가스,267290,Dec-17,871548284.0,295055522.0,870828897.0,295055522.0,2.951406877923132,2.953845019040179
159,(주)경동도시가스,267290,Dec-18,1606531867.0,328641465.0,1605687067.0,328641465.0,4.885832245787975,4.88840282829192
160,(주)경동도시가스,267290,Dec-19,1422707835.0,273615670.0,1421866212.0,273615670.0,5.196581803958816,5.199657735245938
161,(주)경동인베스트,12320,Dec-11,1847666903.0,422528843.0,1806174764.0,411238914.0,4.392032715075208,4.372877576549254
162,(주)경동인베스트,12320,Dec-12,2502642394.0,590272557.0,2403814656.0,574143486.0,4.186783817312176,4.239808143409927
163,(주)경동인베스트,12320,Dec-13,2788264380.0,534969558.0,2664100017.0,520836292.0,5.115042975922269,5.212005689490092
164,(주)경동인베스트,12320,Dec-14,2603059058.0,420962238.0,2399450987.0,410419461.0,5.846338234433771,6.183592785821326
165,(주)경동인베스트,12320,Dec-15,1604168482.0,252287992.0,1352478311.0,245967803.0,5.498598981265853,6.358481310517545
166,(주)경동인베스트,12320,Dec-16,1181902637.0,229971708.0,1021002691.0,227515846.0,4.487611342024942,5.1393393008152115
167,(주)경동인베스트,12320,Dec-17,195069859.0,2330818.0,612436.0,0.0,0.0,83.69158767437011
168,(주)경동인베스트,12320,Dec-18,228644016.0,6953228.0,7460898.0,0.0,0.0,32.88314664785909
169,(주)경동인베스트,12320,Dec-19,271765025.0,6446931.0,8641051.0,0.0,0.0,42.1541699453585
170,(주)경방,50,Dec-11,348136369.0,19598113.0,275746943.0,1642636.0,167.86856187250248,17.76376985886345
171,(주)경방,50,Dec-12,333620804.0,20758100.0,265409209.0,3879239.0,68.41785437813962,16.07183721053468
172,(주)경방,50,Dec-13,347189559.0,20361220.0,264782077.0,3610545.0,73.33576426827528,17.051510616750864
173,(주)경방,50,Dec-14,329036023.0,18551019.0,256979444.0,18354028.0,14.00125596408592,17.736816667591143
174,(주)경방,50,Dec-15,357628146.0,17651694.0,307744480.0,16820107.0,18.296226058490593,20.260273376594903
175,(주)경방,50,Dec-16,377445013.0,19400284.0,313876822.0,16642486.0,18.859972121953415,19.455643690576903
176,(주)경방,50,Dec-17,360788750.0,18728926.0,288103985.0,15212310.0,18.93887154547863,19.263718058365974
177,(주)경방,50,Dec-18,351438926.0,18980495.0,279085217.0,16114137.0,17.31927791106654,18.515793502751112
178,(주)경방,50,Dec-19,343892085.0,18966096.0,253552382.0,16840264.0,15.056318713293331,18.13193843371878
179,(주)경보제약,214390,Dec-15,,,178032632.0,16602104.0,10.723498178303183,
180,(주)경보제약,214390,Dec-16,,,186726170.0,15716878.0,11.880614585161252,
181,(주)경보제약,214390,Dec-17,,,191661374.0,15450647.0,12.404747451676295,
182,(주)경보제약,214390,Dec-18,,,201343596.0,15020329.0,13.404739403511067,
183,(주)경보제약,214390,Dec-19,,,191706189.0,15296391.0,12.53277253438409,
184,(주)경인양행,12610,Dec-11,233095049.0,22641016.0,128707611.0,9018541.0,14.271444904447405,10.295255698772529
185,(주)경인양행,12610,Dec-12,218604655.0,14019539.0,141304459.0,7778437.0,18.16617644393083,15.59285615596918
186,(주)경인양행,12610,Dec-13,260808400.0,18002898.0,183106757.0,14114039.0,12.973377571083656,14.487023144829237
187,(주)경인양행,12610,Dec-14,277181095.0,11497378.0,190395047.0,5356136.0,35.547089730357854,24.10820058277635
188,(주)경인양행,12610,Dec-15,263163677.0,14596934.0,175006703.0,7495266.0,23.348964933332585,18.02869540959766
189,(주)경인양행,12610,Dec-16,274873817.0,25656675.0,179267850.0,17120817.0,10.470753235666265,10.71354012162527
190,(주)경인양행,12610,Dec-17,299987729.0,15841108.0,193975818.0,7614574.0,25.474283656577505,18.937294600857467
191,(주)경인양행,12610,Dec-18,331102011.0,19996296.0,222659442.0,16868009.0,13.200102157877673,16.558167122551097
192,(주)경인양행,12610,Dec-19,358802386.0,16457652.0,245244968.0,14147013.0,17.335459294481456,21.801553830400593
193,(주)고려시멘트,198440,Dec-14,,,,,,
194,(주)고려시멘트,198440,Dec-15,,,,,,
195,(주)고려시멘트,198440,Dec-16,,,,,,
196,(주)고려시멘트,198440,Dec-17,,,87660276.0,5866237.0,14.943186918632847,
197,(주)고려시멘트,198440,Dec-18,,,85775723.0,4413490.0,19.4348968729962,
198,(주)고려시멘트,198440,Dec-19,,,70921781.0,3352457.0,21.15516500286208,
