,회사명,거래소코드,회계년도,이자보상배율,count,부실기업
340,(주)그래디언트,35080,19-Dec,10.13,0.0,
341,(주)그리티,204020,18-Dec,29.27,0.0,
342,(주)그리티,204020,19-Dec,4.95,0.0,
343,(주)그린플러스,186230,19-Dec,3.03,0.0,
344,(주)글로벌스탠다드테크놀로지,83450,11-Dec,21.14,0.0,
345,(주)글로벌스탠다드테크놀로지,83450,12-Dec,25.45,0.0,
346,(주)글로벌스탠다드테크놀로지,83450,13-Dec,46.16,0.0,
347,(주)글로벌스탠다드테크놀로지,83450,14-Dec,60.23,0.0,
348,(주)글로벌스탠다드테크놀로지,83450,15-Dec,60.28,0.0,
349,(주)글로벌스탠다드테크놀로지,83450,16-Dec,63.24,0.0,
350,(주)글로벌스탠다드테크놀로지,83450,17-Dec,212.37,0.0,
351,(주)글로벌스탠다드테크놀로지,83450,18-Dec,118.58,0.0,
352,(주)글로벌스탠다드테크놀로지,83450,19-Dec,122.37,0.0,
353,(주)금비,8870,11-Sep,3.74,0.0,
354,(주)금비,8870,12-Sep,2.7,0.0,
355,(주)금비,8870,13-Sep,3.03,0.0,
356,(주)금비,8870,14-Sep,2.84,0.0,
357,(주)금비,8870,15-Sep,8.69,0.0,
358,(주)금비,8870,16-Sep,13.77,0.0,
359,(주)금비,8870,17-Sep,9.07,0.0,
360,(주)금비,8870,18-Sep,10.0,0.0,
361,(주)금비,8870,19-Sep,9.6,0.0,
362,(주)금양,1570,11-Dec,2.0,0.0,
363,(주)금양,1570,12-Dec,1.68,0.0,
364,(주)금양,1570,13-Dec,1.61,0.0,
365,(주)금양,1570,14-Dec,1.52,0.0,
366,(주)금양,1570,15-Dec,2.52,0.0,
367,(주)금양,1570,16-Dec,3.26,0.0,
368,(주)금양,1570,17-Dec,3.57,0.0,
369,(주)금양,1570,18-Dec,3.72,0.0,
370,(주)금양,1570,19-Dec,2.53,0.0,
371,(주)금호에이치티,214330,15-Dec,20.53,0.0,
372,(주)금호에이치티,214330,16-Dec,11.57,0.0,
373,(주)금호에이치티,214330,17-Dec,7.78,0.0,
374,(주)금호에이치티,214330,18-Dec,3.66,0.0,
375,(주)금호에이치티,214330,19-Dec,0.35,0.0,
376,(주)금화피에스시,36190,11-Dec,0.0,0.0,0.0
377,(주)금화피에스시,36190,12-Dec,0.0,0.0,0.0
378,(주)금화피에스시,36190,13-Dec,4840.81,0.0,
379,(주)금화피에스시,36190,14-Dec,1424.85,0.0,
380,(주)금화피에스시,36190,15-Dec,2638.71,0.0,
381,(주)금화피에스시,36190,16-Dec,533.42,0.0,
