,회사명,거래소코드,회계년도,투자활동감소율여부(개별),투자활동감소율여부(연결)
551,(주)내츄럴엔도텍,168330,14-Dec,1,0
552,(주)내츄럴엔도텍,168330,15-Dec,0,0
553,(주)내츄럴엔도텍,168330,16-Dec,0,0
554,(주)내츄럴엔도텍,168330,17-Dec,0,0
555,(주)내츄럴엔도텍,168330,18-Dec,0,0
556,(주)내츄럴엔도텍,168330,19-Dec,0,0
557,(주)네오리진,94860,11-Dec,1,1
558,(주)네오리진,94860,12-Dec,1,0
559,(주)네오리진,94860,13-Dec,0,0
560,(주)네오리진,94860,14-Dec,0,0
561,(주)네오리진,94860,15-Dec,0,0
562,(주)네오리진,94860,16-Dec,0,0
563,(주)네오리진,94860,17-Dec,1,0
564,(주)네오리진,94860,18-Dec,0,0
565,(주)네오리진,94860,19-Dec,0,0
566,(주)네오셈,253590,16-Dec,0,0
567,(주)네오셈,253590,17-Dec,0,0
568,(주)네오셈,253590,18-Dec,0,0
