회사명,거래소코드,2011,2012,2013,2014,2015,2016,2017,2018,2019
(주)서원,21050,0,0,0,0,0,0,0,0,0
(주)서원인텍,93920,0,0,0,0,0,0,0,0,0
(주)서전기전,189860,0,0,0,0,0,0,0,1,1
(주)서진시스템,178320,0,0,0,0,0,0,0,0,1
(주)서진오토모티브,122690,0,1,0,0,0,0,0,0,0
(주)서플러스글로벌,140070,0,0,0,0,0,0,0,0,0
(주)서한,11370,0,0,0,1,0,0,0,1,0
(주)서흥,8490,0,1,0,0,0,0,0,0,0
(주)서희건설,35890,0,0,0,0,0,0,0,0,0
(주)선광,3100,0,0,0,0,0,0,0,0,0
(주)선앤엘,2820,0,0,0,0,0,0,0,0,0
(주)선익시스템,171090,0,0,0,0,0,0,0,0,0
(주)선진,136490,0,0,0,0,0,0,0,0,0
(주)성광벤드,14620,0,0,0,0,0,0,0,0,0
(주)성도이엔지,37350,0,0,0,0,0,0,0,0,0
(주)성안,11300,0,0,0,0,0,0,0,0,0
(주)성우하이텍,15750,0,0,0,0,0,0,0,0,0
(주)성창오토텍,80470,0,1,1,0,0,0,0,0,0
(주)세경하이테크,148150,0,0,0,0,0,0,0,0,0
(주)세동,53060,0,0,0,0,0,0,0,0,0
(주)세림비앤지,340440,0,0,0,0,0,0,0,0,0
(주)세보엠이씨,11560,0,0,0,0,0,0,0,0,0
(주)세아베스틸지주,1430,0,0,0,0,0,0,0,0,0
(주)세아제강,306200,0,0,0,0,0,0,0,0,0
(주)세아제강지주,3030,0,0,0,0,0,0,0,0,1
(주)세아특수강,19440,0,0,0,0,0,0,0,0,0
(주)세아홀딩스,58650,0,0,1,0,0,0,0,1,0
(주)세우글로벌,13000,0,0,0,0,0,0,0,0,0
(주)세운메디칼,100700,0,0,0,0,0,0,0,0,0
(주)세원물산,24830,0,0,0,0,0,0,0,0,0
(주)세원정공,21820,0,0,0,0,0,0,0,0,0
(주)세이브존아이앤씨,67830,0,0,0,0,0,0,0,0,0
(주)세종메디칼,258830,0,0,0,0,0,0,0,0,0
(주)세중,39310,0,0,0,0,0,0,0,0,0
(주)세진중공업,75580,0,0,0,0,0,0,0,0,0
(주)세진티에스,67770,0,0,0,0,0,0,0,0,0
(주)세코닉스,53450,0,1,1,0,0,0,0,0,1
(주)세토피아,222810,0,0,0,0,0,1,1,0,0
(주)세화피앤씨,252500,0,0,0,0,0,0,1,0,0
(주)센트랄모텍,308170,0,0,0,0,0,0,0,0,0
(주)센트럴인사이트,12600,0,0,0,1,0,0,0,0,0
(주)셀루메드,49180,0,1,0,0,0,1,0,0,0
(주)셀리드,299660,0,0,0,0,0,0,0,0,0
(주)셀리버리,268600,0,0,0,0,0,0,0,0,1
(주)셀바스에이아이,108860,0,0,0,0,0,0,0,1,0
(주)셀바스헬스케어,208370,0,0,0,0,0,0,0,0,0
(주)셀트리온,68270,0,0,0,0,0,0,0,0,0
(주)셀트리온제약,68760,0,1,0,0,1,1,0,0,0
(주)셀트리온헬스케어,91990,0,0,0,0,0,0,0,0,0
(주)셀피글로벌,68940,0,1,0,0,0,0,0,0,0
(주)소프트센,32680,0,0,1,1,0,0,0,0,0
(주)손오공,66910,0,0,0,0,0,1,0,0,0
(주)솔고바이오메디칼,43100,0,0,0,0,0,0,0,0,0
(주)솔루에타,154040,0,0,0,0,0,0,1,0,0
(주)솔본,35610,0,1,0,0,0,0,0,1,1
(주)쇼박스,86980,0,0,0,0,0,0,0,0,0
(주)수산아이앤티,50960,0,0,0,0,0,0,0,0,0
(주)수산중공업,17550,0,0,0,0,0,0,0,0,0
(주)수젠텍,253840,0,0,0,0,0,0,0,0,0
(주)슈프리마,236200,0,0,0,0,0,0,0,0,0
(주)슈프리마아이디,317770,0,0,0,0,0,0,0,0,0
(주)슈프리마에이치큐,94840,0,0,1,1,1,0,0,0,0
(주)슈피겐코리아,192440,0,0,0,0,1,1,0,1,1
(주)스마트솔루션즈,136510,0,0,0,0,0,0,1,1,0
(주)스맥,99440,0,0,0,0,0,0,0,0,0
(주)스카이문스테크놀로지,33790,0,0,0,0,0,0,0,0,0
(주)스킨앤스킨,159910,0,1,1,1,0,0,0,0,1
