회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),이자보상배율(이자비용)(IFRS연결),이자보상배율,,,
(주)남선알미늄,8350,16-Dec,12.45,77777777.77,12.45,,,
(주)남선알미늄,8350,17-Dec,8.89,77777777.77,8.89,,,
(주)남선알미늄,8350,18-Dec,5.28,5.19,5.19,,,
(주)남선알미늄,8350,19-Dec,8.58,7.9,7.9,,,
(주)남성,4270,11-Dec,1.37,-0.06,-0.06,,,
(주)남성,4270,12-Dec,0.96,-0.01,-0.01,,,
(주)남성,4270,13-Dec,0.96,0.39,0.39,,,
(주)남성,4270,14-Dec,1.35,0.41,0.41,,,
(주)남성,4270,15-Dec,1.29,0.65,0.65,,,
(주)남성,4270,16-Dec,1.25,1.01,1.01,,,
(주)남성,4270,17-Dec,1.9,1.79,1.79,,,
(주)남성,4270,18-Dec,1.15,0.23,0.23,,,
(주)남성,4270,19-Dec,2,0.13,0.13,,,
(주)내츄럴엔도텍,168330,13-Dec,675.61,77777777.77,675.61,,,
(주)내츄럴엔도텍,168330,14-Dec,4036.59,77777777.77,4036.59,,,
(주)내츄럴엔도텍,168330,15-Dec,-784.12,-805.99,-805.99,,,
(주)내츄럴엔도텍,168330,16-Dec,-34.43,-34.59,-34.59,,,
(주)내츄럴엔도텍,168330,17-Dec,-1.94,-1.96,-1.96,,,
(주)내츄럴엔도텍,168330,18-Dec,-4.35,-6.1,-6.1,,,
(주)내츄럴엔도텍,168330,19-Dec,-3.35,-4.35,-4.35,,,
(주)네오리진,94860,11-Dec,1.82,1.61,1.61,,,
(주)네오리진,94860,12-Dec,1.27,77777777.77,1.27,,,
(주)네오리진,94860,13-Dec,-2.65,77777777.77,-2.65,,,
(주)네오리진,94860,14-Dec,-8.5,77777777.77,-8.5,,,
(주)네오리진,94860,15-Dec,-19.24,77777777.77,-19.24,,,
(주)네오리진,94860,16-Dec,9.47,77777777.77,9.47,,,
(주)네오리진,94860,17-Dec,3.26,2.48,2.48,,,
(주)네오리진,94860,18-Dec,-12.63,77777777.77,-12.63,,,
(주)네오리진,94860,19-Dec,3.22,77777777.77,3.22,,,
(주)네오펙트,290660,18-Dec,-2.25,-5.77,-5.77,,,
(주)네오펙트,290660,19-Dec,-6.41,-15.37,-15.37,,,
(주)네이처셀,7390,11-Dec,-1.42,77777777.77,-1.42,,,
(주)네이처셀,7390,12-Dec,-0.67,77777777.77,-0.67,,,
(주)네이처셀,7390,13-Dec,1.54,77777777.77,1.54,,,
(주)네이처셀,7390,14-Dec,-2.98,77777777.77,-2.98,,,
(주)네이처셀,7390,15-Dec,-2.61,77777777.77,-2.61,,,
(주)네이처셀,7390,16-Dec,-7.91,77777777.77,-7.91,,,
(주)네이처셀,7390,17-Dec,-0.81,77777777.77,-0.81,,,
(주)네이처셀,7390,18-Dec,7.8,77777777.77,7.8,,,
(주)네이처셀,7390,19-Dec,8.3,77777777.77,8.3,,,
(주)네패스,33640,11-Dec,7.47,3.47,3.47,,,
(주)네패스,33640,12-Dec,9.08,7.99,7.99,,,
(주)네패스,33640,13-Dec,3.66,-0.1,-0.1,,,
(주)네패스,33640,14-Dec,1.18,0.66,0.66,,,
(주)네패스,33640,15-Dec,4.96,0.42,0.42,,,
(주)네패스,33640,16-Dec,3.85,1.36,1.36,,,
(주)네패스,33640,17-Dec,5.59,3.32,3.32,,,
(주)네패스,33640,18-Dec,6.86,4.79,4.79,,,
(주)네패스,33640,19-Dec,20.12,11.65,11.65,,,
(주)넥스트엔터테인먼트월드,160550,14-Dec,12.47,13.68,13.68,,,
(주)넥스트엔터테인먼트월드,160550,15-Dec,-1.46,-5.5,-5.5,,,
(주)넥스트엔터테인먼트월드,160550,16-Dec,19.82,14.66,14.66,,,
(주)넥스트엔터테인먼트월드,160550,17-Dec,-8.17,-6.92,-6.92,,,
(주)넥스트엔터테인먼트월드,160550,18-Dec,-6.22,-6.46,-6.46,,,
(주)넥스트엔터테인먼트월드,160550,19-Dec,-1.09,-3.05,-3.05,,,
(주)넥슨게임즈,225570,15-Dec,12.43,77777777.77,12.43,,,
(주)넥슨게임즈,225570,16-Dec,-2.22,77777777.77,-2.22,,,
(주)넥슨게임즈,225570,17-Dec,-62.24,77777777.77,-62.24,,,
(주)넥슨게임즈,225570,18-Dec,-236.72,77777777.77,-236.72,,,
(주)넥슨게임즈,225570,19-Dec,-30.19,77777777.77,-30.19,,,
(주)넵튠,217270,15-Dec,-3.35,77777777.77,-3.35,,,
(주)넵튠,217270,16-Dec,-30.44,-58.73,-58.73,,,
(주)넵튠,217270,17-Dec,-52.89,-51.27,-51.27,,,
(주)넵튠,217270,18-Dec,-66.34,-48.7,-48.7,,,
(주)넵튠,217270,19-Dec,13.33,-24.07,-24.07,,,
(주)노블엠앤비,106520,12-Dec,13.46,11.2,11.2,,,
(주)노블엠앤비,106520,13-Dec,19.14,17.99,17.99,,,
(주)노블엠앤비,106520,14-Dec,1.27,1.3,1.3,,,
(주)노블엠앤비,106520,15-Dec,-4.16,-4.2,-4.2,,,
(주)노블엠앤비,106520,16-Dec,-6.84,-6.13,-6.13,,,
(주)노블엠앤비,106520,17-Dec,-4.65,-4.91,-4.91,,,
(주)노블엠앤비,106520,18-Dec,-3.42,-3.67,-3.67,,,
(주)노블엠앤비,106520,19-Dec,1.22,-0.29,-0.29,,,
(주)녹십자엠에스,142280,14-Dec,9.68,77777777.77,9.68,,,
(주)녹십자엠에스,142280,15-Dec,3.46,2.64,2.64,,,
(주)녹십자엠에스,142280,16-Dec,-2.22,-3.5,-3.5,,,
(주)녹십자엠에스,142280,17-Dec,1.44,0.26,0.26,,,
(주)녹십자엠에스,142280,18-Dec,-5.39,-6.18,-6.18,,,
(주)녹십자엠에스,142280,19-Dec,-4.98,-5.1,-5.1,,,
(주)녹원씨엔아이,65560,11-Dec,2.19,2.99,2.99,,,
(주)녹원씨엔아이,65560,12-Dec,-12.85,-4.75,-4.75,,,
