,구분,코드,산업명,2011년,2011년.mid,2012년,2012년.mid,2012년 감소율,2013년,2013년.mid,2013년 감소율,2014년,2014년.mid,2014년 감소율,2015년,2015년.mid,2015년 감소율,2016년,2016년.mid,2016년 감소율,2017년,2017년.mid,2017년 감소율,2018년,2018년.mid,2018년 감소율,2019년,2019년.mid,2019년 감소율
80,브릿지바이오테라퓨틱스(주),288330,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,0,52.51,,0,52.32,,0,54.69,,61.76,57.6,#NAME?
81,삼성바이오로직스(주),207940,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,90.99,52.51,#NAME?,71.63,52.32,21.28,72.91,54.69,-1.79,72.63,57.6,0.38
82,삼성제약(주),1360,  의료용 물질 및 의약품 제조업,59.29,41.73,59.53,41.84,-0.4,62.92,43.25,-5.69,71.94,44.93,-14.34,71.38,48.21,0.78,81,52.51,-13.48,90.82,52.32,-12.12,85.03,54.69,6.38,78.91,57.6,7.2
83,삼아제약(주),9300,  의료용 물질 및 의약품 제조업,38.13,41.73,36.98,41.84,3.02,38.82,43.25,-4.98,38.64,44.93,0.46,38.8,48.21,-0.41,38.53,52.51,0.7,38.06,52.32,1.22,39.03,54.69,-2.55,38.95,57.6,0.2
84,삼일제약(주),520,  의료용 물질 및 의약품 제조업,60.13,41.73,58.54,41.84,2.64,58.79,43.25,-0.43,60.77,44.93,-3.37,58.03,48.21,4.51,57.48,52.51,0.95,55.85,52.32,2.84,63.51,54.69,-13.72,61.62,57.6,2.98
85,삼진제약(주),5500,  의료용 물질 및 의약품 제조업,39.81,41.73,41.74,41.84,-4.85,39.08,43.25,6.37,44.37,44.93,-13.54,44.65,48.21,-0.63,45.95,52.51,-2.91,44.56,52.32,3.03,45.09,54.69,-1.19,50.1,57.6,-11.11
86,삼천당제약(주),250,  의료용 물질 및 의약품 제조업,46.9,41.73,50.33,41.84,-7.31,48.26,43.25,4.11,49.43,44.93,-2.42,50.94,48.21,-3.05,51.35,52.51,-0.8,52.32,52.32,-1.89,53.53,54.69,-2.31,47.11,57.6,11.99
87,신신제약(주),2800,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,0,52.51,,65.33,52.32,#NAME?,65.79,54.69,-0.7,65.82,57.6,-0.05
88,신일제약(주),12790,  의료용 물질 및 의약품 제조업,51.1,41.73,53.72,41.84,-5.13,50.1,43.25,6.74,49.56,44.93,1.08,50.66,48.21,-2.22,52.51,52.51,-3.65,55.62,52.32,-5.92,60.8,54.69,-9.31,58.98,57.6,2.99
89,신풍제약(주),19170,  의료용 물질 및 의약품 제조업,55.51,41.73,60.84,41.84,-9.6,57.31,43.25,5.8,55.51,44.93,3.14,57.36,48.21,-3.33,55.83,52.51,2.67,57.88,52.32,-3.67,60.82,54.69,-5.08,61.21,57.6,-0.64
90,아이큐어(주),175250,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,0,52.51,,0,52.32,,65.62,54.69,#NAME?,61.65,57.6,6.05
91,안국약품(주),1540,  의료용 물질 및 의약품 제조업,50.09,41.73,56.75,41.84,-13.3,56.44,43.25,0.55,58.63,44.93,-3.88,58.67,48.21,-0.07,59.2,52.51,-0.9,49.3,52.32,16.72,46.6,54.69,5.48,48.76,57.6,-4.64
92,알리코제약(주),260660,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,0,52.51,,0,52.32,,38.24,54.69,#NAME?,36.55,57.6,4.42
93,애니젠(주),196300,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,63.88,52.51,#NAME?,48.77,52.32,23.65,126.33,54.69,-159.03,71.18,57.6,43.66
94,앱클론(주),174900,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,0,52.51,,43.11,52.32,#NAME?,42.2,54.69,2.11,9.57,57.6,77.32
95,에스티팜(주),237690,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,53.59,52.51,#NAME?,60.68,52.32,-13.23,97.43,54.69,-60.56,101.94,57.6,-4.63
96,에이비엘바이오(주),298380,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,0,52.51,,0,52.32,,0,54.69,,0,57.6,
97,에이프로젠제약(주),3060,  의료용 물질 및 의약품 제조업,50.61,41.73,65.02,41.84,-28.47,64.97,43.25,0.08,95.54,44.93,-47.05,85.02,48.21,11.01,85.87,52.51,-1,87.46,52.32,-1.85,86.4,54.69,1.21,87.75,57.6,-1.56
98,영진약품(주),3520,  의료용 물질 및 의약품 제조업,60.11,41.73,64.86,41.84,-7.9,63.6,43.25,1.94,63.49,44.93,0.17,61.92,48.21,2.47,63.11,52.51,-1.92,64.7,52.32,-2.52,67.04,54.69,-3.62,63.82,57.6,4.8
99,올리패스(주),244460,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,0,52.51,,0,52.32,,0,54.69,,63.78,57.6,#NAME?
100,우진비앤지(주),18620,  의료용 물질 및 의약품 제조업,67.91,41.73,66.63,41.84,1.88,68.41,43.25,-2.67,64.48,44.93,5.74,72.08,48.21,-11.79,72.35,52.51,-0.37,77.85,52.32,-7.6,93.98,54.69,-20.72,72.8,57.6,22.54
101,이연제약(주),102460,  의료용 물질 및 의약품 제조업,36.3,41.73,41.12,41.84,-13.28,42.12,43.25,-2.43,43.43,44.93,-3.11,41.5,48.21,4.44,42.29,52.51,-1.9,42.46,52.32,-0.4,44.29,54.69,-4.31,43.55,57.6,1.67
102,일동제약(주),249420,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,51.68,52.51,#NAME?,50.92,52.32,1.47,49.42,54.69,2.95,55.17,57.6,-11.63
