,회사명,거래소코드,회계년도,배당금감소율여부
273,(주)골프존뉴딘홀딩스,121440,Dec-19,0
274,(주)공구우먼,366030,Dec-17,0
275,(주)공구우먼,366030,Dec-18,0
276,(주)공구우먼,366030,Dec-19,0
277,(주)광림,14200,Dec-10,0
278,(주)광림,14200,Dec-11,0
279,(주)광림,14200,Dec-12,0
280,(주)광림,14200,Dec-13,1
281,(주)광림,14200,Dec-14,0
282,(주)광림,14200,Dec-15,0
283,(주)광림,14200,Dec-16,0
284,(주)광림,14200,Dec-17,0
285,(주)광림,14200,Dec-18,0
286,(주)광림,14200,Dec-19,0
287,(주)광명전기,17040,Dec-10,0
288,(주)광명전기,17040,Dec-11,0
289,(주)광명전기,17040,Dec-12,0
290,(주)광명전기,17040,Dec-13,0
291,(주)광명전기,17040,Dec-14,0
292,(주)광명전기,17040,Dec-15,0
293,(주)광명전기,17040,Dec-16,0
294,(주)광명전기,17040,Dec-17,0
295,(주)광명전기,17040,Dec-18,0
296,(주)광명전기,17040,Dec-19,0
297,(주)광무,29480,Dec-10,0
298,(주)광무,29480,Dec-11,0
299,(주)광무,29480,Dec-12,0
300,(주)광무,29480,Dec-13,0
301,(주)광무,29480,Dec-14,0
302,(주)광무,29480,Dec-15,0
303,(주)광무,29480,Dec-16,0
304,(주)광무,29480,Dec-17,0
305,(주)광무,29480,Dec-18,0
306,(주)광무,29480,Dec-19,0
307,(주)광주신세계,37710,Dec-10,0
308,(주)광주신세계,37710,Dec-11,0
309,(주)광주신세계,37710,Dec-12,0
310,(주)광주신세계,37710,Dec-13,0
311,(주)광주신세계,37710,Dec-14,0
312,(주)광주신세계,37710,Dec-15,0
313,(주)광주신세계,37710,Dec-16,0
314,(주)광주신세계,37710,Dec-17,0
315,(주)광주신세계,37710,Dec-18,0
316,(주)광주신세계,37710,Dec-19,0
317,(주)구영테크,53270,Dec-10,0
318,(주)구영테크,53270,Dec-11,0
319,(주)구영테크,53270,Dec-12,0
320,(주)구영테크,53270,Dec-13,0
321,(주)구영테크,53270,Dec-14,0
322,(주)구영테크,53270,Dec-15,0
323,(주)구영테크,53270,Dec-16,0
324,(주)구영테크,53270,Dec-17,1
325,(주)구영테크,53270,Dec-18,0
326,(주)구영테크,53270,Dec-19,1
327,(주)국동,5320,Dec-10,0
328,(주)국동,5320,Dec-11,0
329,(주)국동,5320,Dec-12,0
330,(주)국동,5320,Dec-13,0
331,(주)국동,5320,Dec-14,0
332,(주)국동,5320,Dec-15,0
333,(주)국동,5320,Dec-16,0
334,(주)국동,5320,Dec-17,0
335,(주)국동,5320,Dec-18,0
336,(주)국동,5320,Dec-19,0
337,(주)국보,1140,Dec-10,0
338,(주)국보,1140,Dec-11,0
339,(주)국보,1140,Dec-12,1
340,(주)국보,1140,Dec-13,0
341,(주)국보,1140,Dec-14,0
342,(주)국보,1140,Dec-15,0
343,(주)국보,1140,Dec-16,0
344,(주)국보,1140,Dec-17,1
345,(주)국보,1140,Dec-18,0
346,(주)국보,1140,Dec-19,0
347,(주)국보디자인,66620,Dec-10,0
348,(주)국보디자인,66620,Dec-11,0
349,(주)국보디자인,66620,Dec-12,0
350,(주)국보디자인,66620,Dec-13,0
351,(주)국보디자인,66620,Dec-14,0
352,(주)국보디자인,66620,Dec-15,0
353,(주)국보디자인,66620,Dec-16,0
354,(주)국보디자인,66620,Dec-17,0
355,(주)국보디자인,66620,Dec-18,0
356,(주)국보디자인,66620,Dec-19,0
357,(주)국순당,43650,Dec-10,0
358,(주)국순당,43650,Dec-11,0
359,(주)국순당,43650,Dec-12,1
360,(주)국순당,43650,Dec-13,0
361,(주)국순당,43650,Dec-14,1
362,(주)국순당,43650,Dec-15,0
363,(주)국순당,43650,Dec-16,0
364,(주)국순당,43650,Dec-17,0
365,(주)국순당,43650,Dec-18,0
366,(주)국순당,43650,Dec-19,0
367,(주)국영지앤엠,6050,Dec-10,0
368,(주)국영지앤엠,6050,Dec-11,0
369,(주)국영지앤엠,6050,Dec-12,1
370,(주)국영지앤엠,6050,Dec-13,0
371,(주)국영지앤엠,6050,Dec-14,1
372,(주)국영지앤엠,6050,Dec-15,0
373,(주)국영지앤엠,6050,Dec-16,1
374,(주)국영지앤엠,6050,Dec-17,0
375,(주)국영지앤엠,6050,Dec-18,0
376,(주)국영지앤엠,6050,Dec-19,0
377,(주)국전약품,307750,Dec-18,0
378,(주)국전약품,307750,Dec-19,0
379,(주)그래디언트,35080,Dec-10,0
380,(주)그래디언트,35080,Dec-11,0
381,(주)그래디언트,35080,Dec-12,0
382,(주)그래디언트,35080,Dec-13,0
383,(주)그래디언트,35080,Dec-14,0
384,(주)그래디언트,35080,Dec-15,0
385,(주)그래디언트,35080,Dec-16,0
386,(주)그래디언트,35080,Dec-17,0
387,(주)그래디언트,35080,Dec-18,0
388,(주)그래디언트,35080,Dec-19,0
389,(주)그리티,204020,Dec-10,0
390,(주)그리티,204020,Dec-11,0
391,(주)그리티,204020,Dec-12,0
392,(주)그리티,204020,Dec-13,0
393,(주)그리티,204020,Dec-14,0
394,(주)그리티,204020,Dec-15,0
395,(주)그리티,204020,Dec-16,1
396,(주)그리티,204020,Dec-17,0
397,(주)그리티,204020,Dec-18,0
398,(주)그리티,204020,Dec-19,0
399,(주)그린플러스,186230,Dec-10,0
400,(주)그린플러스,186230,Dec-11,0
401,(주)그린플러스,186230,Dec-12,0
402,(주)그린플러스,186230,Dec-13,0
403,(주)그린플러스,186230,Dec-14,0
404,(주)그린플러스,186230,Dec-15,0
405,(주)그린플러스,186230,Dec-16,0
406,(주)그린플러스,186230,Dec-17,0
407,(주)그린플러스,186230,Dec-18,0
408,(주)그린플러스,186230,Dec-19,0
409,(주)글로벌스탠다드테크놀로지,83450,Dec-10,0
410,(주)글로벌스탠다드테크놀로지,83450,Dec-11,0
411,(주)글로벌스탠다드테크놀로지,83450,Dec-12,0
412,(주)글로벌스탠다드테크놀로지,83450,Dec-13,0
413,(주)글로벌스탠다드테크놀로지,83450,Dec-14,0
414,(주)글로벌스탠다드테크놀로지,83450,Dec-15,0
415,(주)글로벌스탠다드테크놀로지,83450,Dec-16,1
416,(주)글로벌스탠다드테크놀로지,83450,Dec-17,0
417,(주)글로벌스탠다드테크놀로지,83450,Dec-18,0
418,(주)글로벌스탠다드테크놀로지,83450,Dec-19,1
419,(주)금비,8870,Sep-10,0
420,(주)금비,8870,Sep-11,0
421,(주)금비,8870,Sep-12,0
422,(주)금비,8870,Sep-13,1
423,(주)금비,8870,Sep-14,0
424,(주)금비,8870,Sep-15,0
425,(주)금비,8870,Sep-16,0
426,(주)금비,8870,Sep-17,0
427,(주)금비,8870,Sep-18,0
428,(주)금비,8870,Sep-19,0
429,(주)금양,1570,Dec-10,0
430,(주)금양,1570,Dec-11,0
431,(주)금양,1570,Dec-12,0
432,(주)금양,1570,Dec-13,0
433,(주)금양,1570,Dec-14,0
434,(주)금양,1570,Dec-15,0
435,(주)금양,1570,Dec-16,0
436,(주)금양,1570,Dec-17,1
437,(주)금양,1570,Dec-18,0
438,(주)금양,1570,Dec-19,0
439,(주)금호에이치티,214330,Dec-10,0
440,(주)금호에이치티,214330,Dec-11,0
441,(주)금호에이치티,214330,Dec-12,0
442,(주)금호에이치티,214330,Dec-13,0
443,(주)금호에이치티,214330,Dec-14,0
444,(주)금호에이치티,214330,Dec-15,0
445,(주)금호에이치티,214330,Dec-16,1
446,(주)금호에이치티,214330,Dec-17,1
447,(주)금호에이치티,214330,Dec-18,1
448,(주)금호에이치티,214330,Dec-19,1
449,(주)금화피에스시,36190,Dec-10,0
450,(주)금화피에스시,36190,Dec-11,0
451,(주)금화피에스시,36190,Dec-12,0
452,(주)금화피에스시,36190,Dec-13,0
453,(주)금화피에스시,36190,Dec-14,0
454,(주)금화피에스시,36190,Dec-15,0
455,(주)금화피에스시,36190,Dec-16,0
456,(주)금화피에스시,36190,Dec-17,0
457,(주)금화피에스시,36190,Dec-18,0
458,(주)금화피에스시,36190,Dec-19,0
459,(주)기가레인,49080,Dec-10,0
460,(주)기가레인,49080,Dec-13,0
461,(주)기가레인,49080,Dec-14,0
462,(주)기가레인,49080,Dec-15,0
463,(주)기가레인,49080,Dec-16,1
464,(주)기가레인,49080,Dec-17,0
465,(주)기가레인,49080,Dec-18,0
466,(주)기가레인,49080,Dec-19,0
467,(주)기산텔레콤,35460,Dec-10,0
468,(주)기산텔레콤,35460,Dec-11,0
469,(주)기산텔레콤,35460,Dec-12,0
470,(주)기산텔레콤,35460,Dec-13,0
471,(주)기산텔레콤,35460,Dec-14,0
472,(주)기산텔레콤,35460,Dec-15,0
473,(주)기산텔레콤,35460,Dec-16,0
474,(주)기산텔레콤,35460,Dec-17,0
475,(주)기산텔레콤,35460,Dec-18,0
476,(주)기산텔레콤,35460,Dec-19,0
477,(주)까뮤이앤씨,13700,Dec-10,0
478,(주)까뮤이앤씨,13700,Dec-11,0
479,(주)까뮤이앤씨,13700,Dec-12,1
480,(주)까뮤이앤씨,13700,Dec-13,0
481,(주)까뮤이앤씨,13700,Dec-14,0
482,(주)까뮤이앤씨,13700,Dec-15,0
483,(주)까뮤이앤씨,13700,Dec-16,0
484,(주)까뮤이앤씨,13700,Dec-17,1
485,(주)까뮤이앤씨,13700,Dec-18,0
486,(주)까뮤이앤씨,13700,Dec-19,0
487,(주)까스텔바작,308100,Dec-16,0
488,(주)까스텔바작,308100,Dec-17,0
489,(주)까스텔바작,308100,Dec-18,0
490,(주)까스텔바작,308100,Dec-19,0
491,(주)나노,187790,Dec-14,0
