회사명,거래소코드,회계년도,자본증가율여부(개별),자본증가율여부(연결),차입전략
(주)그래디언트,35080,17-Dec,#DIV/0!,#DIV/0!,0
(주)그래디언트,35080,18-Dec,#DIV/0!,#DIV/0!,0
(주)그래디언트,35080,19-Dec,#DIV/0!,#DIV/0!,1
(주)금호에이치티,214330,15-Dec,#DIV/0!,#DIV/0!,0
(주)금호에이치티,214330,16-Dec,#DIV/0!,#DIV/0!,0
(주)금호에이치티,214330,17-Dec,#DIV/0!,#DIV/0!,0
(주)금호에이치티,214330,18-Dec,#DIV/0!,#DIV/0!,0
(주)금호에이치티,214330,19-Dec,#DIV/0!,#DIV/0!,1
(주)기가레인,49080,13-Dec,#DIV/0!,#DIV/0!,0
(주)기가레인,49080,14-Dec,#DIV/0!,#DIV/0!,0
(주)기가레인,49080,15-Dec,#DIV/0!,#DIV/0!,0
(주)기가레인,49080,16-Dec,#DIV/0!,#DIV/0!,0
(주)기가레인,49080,17-Dec,#DIV/0!,#DIV/0!,0
(주)기가레인,49080,18-Dec,#DIV/0!,#DIV/0!,0
(주)기가레인,49080,19-Dec,#DIV/0!,#DIV/0!,0
(주)기산텔레콤,35460,11-Dec,#DIV/0!,#DIV/0!,0
(주)기산텔레콤,35460,12-Dec,#DIV/0!,#DIV/0!,0
(주)기산텔레콤,35460,13-Dec,#DIV/0!,#DIV/0!,1
(주)기산텔레콤,35460,14-Dec,#DIV/0!,#DIV/0!,0
(주)기산텔레콤,35460,15-Dec,#DIV/0!,#DIV/0!,0
(주)기산텔레콤,35460,16-Dec,#DIV/0!,#DIV/0!,1
(주)기산텔레콤,35460,17-Dec,#DIV/0!,#DIV/0!,0
(주)기산텔레콤,35460,18-Dec,#DIV/0!,#DIV/0!,0
(주)기산텔레콤,35460,19-Dec,#DIV/0!,#DIV/0!,1
(주)까뮤이앤씨,13700,11-Dec,#DIV/0!,#DIV/0!,0
(주)까뮤이앤씨,13700,12-Dec,#DIV/0!,#DIV/0!,0
(주)까뮤이앤씨,13700,13-Dec,#DIV/0!,#DIV/0!,0
