,회사,코드,년도,2012년 감소율여부,2013년 감소율여부,2014년 감소율여부,2015년 감소율여부,2016년 감소율여부,2017년 감소율여부,2018년 감소율여부,2019년 감소율여부
146,(주)대한항공,3490,      비유동금융부채(*)(IFRS)(천원),0,0,0,1,0,0,0,0
147,(주)대현,16090,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
148,(주)대호에이엘,69460,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
149,(주)대호특수강,21040,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
150,(주)더 미동,161570,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
151,(주)더네이쳐홀딩스,298540,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
152,(주)더블유게임즈,192080,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
153,(주)더블유아이,73570,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
154,(주)더블유에스아이,299170,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
155,(주)더존비즈온,12510,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,1,0,0,1
156,(주)덕산테코피아,317330,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
157,(주)덕성,4830,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,1,0
158,(주)덕신하우징,90410,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
159,(주)데이타솔루션,263800,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
160,(주)덱스터스튜디오,206560,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
161,(주)덴티스,261200,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
162,(주)덴티움,145720,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
