,회사명,거래소코드,회계년도,이자보상배율,부실기업
342,넥스턴바이오사이언스,89140,Dec-13,284.57,
343,넥스턴바이오사이언스,89140,Dec-14,2169.07,
344,넥스턴바이오사이언스,89140,Dec-15,7799.11,
345,넥스턴바이오사이언스,89140,Dec-16,97436.72,
346,넥스턴바이오사이언스,89140,Dec-17,1532.55,
347,넥스턴바이오사이언스,89140,Dec-18,-624.03,
348,넥스턴바이오사이언스,89140,Dec-19,2394.07,
349,넥스트아이,137940,Dec-11,17771.19,0.0
350,넥스트아이,137940,Dec-12,4655.9,0.0
351,넥스트아이,137940,Dec-13,7777.0,0.0
352,넥스트아이,137940,Dec-14,102.65,0.0
353,넥스트아이,137940,Dec-15,100.62,0.0
354,넥스트아이,137940,Dec-16,6.38,0.0
355,넥스트아이,137940,Dec-17,0.84,0.0
356,넥스트아이,137940,Dec-18,5.06,0.0
357,넥스트아이,137940,Dec-19,3.95,0.0
358,넥스트엔터테인먼트월드,160550,Dec-14,13.68,0.0
359,넥스트엔터테인먼트월드,160550,Dec-15,-5.5,0.0
360,넥스트엔터테인먼트월드,160550,Dec-16,14.66,0.0
361,넥스트엔터테인먼트월드,160550,Dec-17,-6.92,0.0
362,넥스트엔터테인먼트월드,160550,Dec-18,-6.46,1.0
363,넥스트엔터테인먼트월드,160550,Dec-19,-3.05,0.0
364,노블엠앤비,106520,Dec-12,11.2,0.0
365,노블엠앤비,106520,Dec-13,17.99,0.0
366,노블엠앤비,106520,Dec-14,1.3,0.0
367,노블엠앤비,106520,Dec-15,-4.2,0.0
368,노블엠앤비,106520,Dec-16,-6.13,1.0
369,노블엠앤비,106520,Dec-17,-4.91,0.0
370,노블엠앤비,106520,Dec-18,-3.67,1.0
371,노블엠앤비,106520,Dec-19,-0.29,1.0
372,녹십자엠에스,142280,Dec-14,9.68,0.0
373,녹십자엠에스,142280,Dec-15,2.64,
374,녹십자엠에스,142280,Dec-16,-3.5,
375,녹십자엠에스,142280,Dec-17,0.26,1.0
376,녹십자엠에스,142280,Dec-18,-6.18,1.0
377,녹십자엠에스,142280,Dec-19,-5.1,1.0
378,녹원씨엔아이,65560,Dec-11,2.99,0.0
379,녹원씨엔아이,65560,Dec-12,-4.75,
380,녹원씨엔아이,65560,Dec-13,-10.45,1.0
381,녹원씨엔아이,65560,Dec-14,-6.5,1.0
382,녹원씨엔아이,65560,Dec-15,1.06,1.0
383,녹원씨엔아이,65560,Dec-16,-3.27,1.0
384,녹원씨엔아이,65560,Dec-17,2.53,1.0
385,녹원씨엔아이,65560,Dec-18,2.98,1.0
386,녹원씨엔아이,65560,Dec-19,2.87,1.0
387,누리플랜,69140,Dec-11,5.57,0.0
388,누리플랜,69140,Dec-12,-2.1,
389,누리플랜,69140,Dec-13,-3.78,1.0
390,누리플랜,69140,Dec-14,-7.07,1.0
391,누리플랜,69140,Dec-15,2.97,1.0
392,누리플랜,69140,Dec-16,2.68,1.0
393,누리플랜,69140,Dec-17,1.71,1.0
394,누리플랜,69140,Dec-18,-3.53,1.0
395,누리플랜,69140,Dec-19,-0.94,1.0
396,누리플렉스,40160,Dec-11,0.79,0.0
397,누리플렉스,40160,Dec-12,-3.57,1.0
398,누리플렉스,40160,Dec-13,2.55,1.0
399,누리플렉스,40160,Dec-14,1.32,1.0
400,누리플렉스,40160,Dec-15,16.93,1.0
401,누리플렉스,40160,Dec-16,26.21,1.0
402,누리플렉스,40160,Dec-17,1.9,1.0
403,누리플렉스,40160,Dec-18,11.96,1.0
404,누리플렉스,40160,Dec-19,8.52,1.0
405,뉴로스,126870,Dec-12,5.1,0.0
406,뉴로스,126870,Dec-13,4.27,
407,뉴로스,126870,Dec-14,-0.05,
408,뉴로스,126870,Dec-15,0.61,1.0
409,뉴로스,126870,Dec-16,1.49,1.0
410,뉴로스,126870,Dec-17,0.89,1.0
411,뉴로스,126870,Dec-18,0.47,1.0
412,뉴로스,126870,Dec-19,-2.37,1.0
413,뉴보텍,60260,Dec-11,-4.5,0.0
414,뉴보텍,60260,Dec-12,1.06,
415,뉴보텍,60260,Dec-13,1.11,
416,뉴보텍,60260,Dec-14,-0.72,
417,뉴보텍,60260,Dec-15,6.79,
418,뉴보텍,60260,Dec-16,7.02,
419,뉴보텍,60260,Dec-17,-4.56,
420,뉴보텍,60260,Dec-18,0.82,1.0
421,뉴보텍,60260,Dec-19,4.51,1.0
422,뉴인텍,12340,Dec-11,0.99,0.0
423,뉴인텍,12340,Dec-12,-3.18,1.0
424,뉴인텍,12340,Dec-13,-1.14,1.0
425,뉴인텍,12340,Dec-14,-3.15,1.0
426,뉴인텍,12340,Dec-15,-0.66,1.0
427,뉴인텍,12340,Dec-16,-9.04,1.0
428,뉴인텍,12340,Dec-17,-1.93,1.0
429,뉴인텍,12340,Dec-18,-3.18,1.0
430,뉴인텍,12340,Dec-19,0.34,1.0
431,뉴프렉스,85670,Dec-11,0.81,0.0
432,뉴프렉스,85670,Dec-12,3.14,
433,뉴프렉스,85670,Dec-13,0.97,
434,뉴프렉스,85670,Dec-14,2.23,
435,뉴프렉스,85670,Dec-15,-0.8,
436,뉴프렉스,85670,Dec-16,0.53,1.0
437,뉴프렉스,85670,Dec-17,5.58,1.0
438,뉴프렉스,85670,Dec-18,5.58,1.0
439,뉴프렉스,85670,Dec-19,-3.81,1.0
440,다날,64260,Dec-11,-0.33,0.0
441,다날,64260,Dec-12,-0.31,1.0
442,다날,64260,Dec-13,0.79,1.0
443,다날,64260,Dec-14,1.06,1.0
444,다날,64260,Dec-15,0.3,1.0
445,다날,64260,Dec-16,1.74,1.0
446,다날,64260,Dec-17,6.12,1.0
447,다날,64260,Dec-18,1.85,1.0
448,다날,64260,Dec-19,1.85,1.0
449,다산네트웍스,39560,Dec-11,-1.06,0.0
450,다산네트웍스,39560,Dec-12,1.56,
451,다산네트웍스,39560,Dec-13,2.41,
452,다산네트웍스,39560,Dec-14,0.98,
453,다산네트웍스,39560,Dec-15,0.09,1.0
454,다산네트웍스,39560,Dec-16,-2.88,1.0
455,다산네트웍스,39560,Dec-17,0.01,1.0
456,다산네트웍스,39560,Dec-18,3.2,1.0
