,회사명,거래소코드,회계년도,이자보상배율,부실기업,이보배2,회생기업2
423,뉴인텍,12340,12-Dec,-3.18,1,-1.14,
424,뉴인텍,12340,13-Dec,-1.14,1,-3.15,
425,뉴인텍,12340,14-Dec,-3.15,1,-0.66,
426,뉴인텍,12340,15-Dec,-0.66,1,-9.04,
427,뉴인텍,12340,16-Dec,-9.04,1,-1.93,
428,뉴인텍,12340,17-Dec,-1.93,1,-3.18,
429,뉴인텍,12340,18-Dec,-3.18,1,0.34,
430,뉴인텍,12340,19-Dec,0.34,1,,
431,뉴프렉스,85670,11-Dec,0.81,0,3.14,
432,뉴프렉스,85670,12-Dec,3.14,0,0.97,
433,뉴프렉스,85670,13-Dec,0.97,0,2.23,
434,뉴프렉스,85670,14-Dec,2.23,0,-0.8,
435,뉴프렉스,85670,15-Dec,-0.8,0,0.53,
436,뉴프렉스,85670,16-Dec,0.53,1,5.58,
437,뉴프렉스,85670,17-Dec,5.58,0,5.58,
438,뉴프렉스,85670,18-Dec,5.58,0,-3.81,
439,뉴프렉스,85670,19-Dec,-3.81,0,,
440,다날,64260,11-Dec,-0.33,0,-0.31,
441,다날,64260,12-Dec,-0.31,1,0.79,
442,다날,64260,13-Dec,0.79,1,1.06,
443,다날,64260,14-Dec,1.06,0,0.3,
444,다날,64260,15-Dec,0.3,0,1.74,
445,다날,64260,16-Dec,1.74,0,6.12,
446,다날,64260,17-Dec,6.12,0,1.85,
447,다날,64260,18-Dec,1.85,0,1.85,
448,다날,64260,19-Dec,1.85,0,,
449,다산네트웍스,39560,11-Dec,-1.06,0,1.56,
450,다산네트웍스,39560,12-Dec,1.56,0,2.41,
451,다산네트웍스,39560,13-Dec,2.41,0,0.98,
452,다산네트웍스,39560,14-Dec,0.98,0,0.09,
453,다산네트웍스,39560,15-Dec,0.09,1,-2.88,
454,다산네트웍스,39560,16-Dec,-2.88,1,0.01,
455,다산네트웍스,39560,17-Dec,0.01,1,3.2,
456,다산네트웍스,39560,18-Dec,3.2,0,-0.03,
457,다산네트웍스,39560,19-Dec,-0.03,0,,
458,다이나믹디자인,145210,15-Dec,2.92,0,-453.35,
459,다이나믹디자인,145210,16-Dec,-453.35,0,-0.96,
460,다이나믹디자인,145210,17-Dec,-0.96,1,-4.73,
461,다이나믹디자인,145210,18-Dec,-4.73,1,-2.21,
462,다이나믹디자인,145210,19-Dec,-2.21,1,,
463,대구백화점,6370,18-Dec,-3.05,0,-2.12,
464,대구백화점,6370,19-Dec,-2.12,1,,
465,대동,490,11-Dec,2.44,0,0.1,
466,대동,490,12-Dec,0.1,0,1.04,
467,대동,490,13-Dec,1.04,0,1.01,
468,대동,490,14-Dec,1.01,0,0.81,
469,대동,490,15-Dec,0.81,0,-1.84,
470,대동,490,16-Dec,-1.84,1,2.22,
471,대동,490,17-Dec,2.22,0,0.5,
472,대동,490,18-Dec,0.5,0,2.19,
473,대동,490,19-Dec,2.19,0,,
474,대동스틸,48470,11-Dec,3.04,0,-1.39,
475,대동스틸,48470,12-Dec,-1.39,0,3.27,
476,대동스틸,48470,13-Dec,3.27,0,2.92,
