,회사명,거래소코드,회계년도,이자보상배율,부실기업
384,(주)금화피에스시,36190,2019,280.27,
385,(주)기가레인,49080,2013,5.72,
386,(주)기가레인,49080,2014,7.6,
387,(주)기가레인,49080,2015,-13.79,
388,(주)기가레인,49080,2016,-4.14,1.0
389,(주)기가레인,49080,2017,1.96,
390,(주)기가레인,49080,2018,-0.71,
391,(주)기가레인,49080,2019,-8.09,1.0
392,(주)기산텔레콤,35460,2011,-3.73,
393,(주)기산텔레콤,35460,2012,0.71,1.0
394,(주)기산텔레콤,35460,2013,4.99,
395,(주)기산텔레콤,35460,2014,2.53,
396,(주)기산텔레콤,35460,2015,2.72,
397,(주)기산텔레콤,35460,2016,-5.83,
398,(주)기산텔레콤,35460,2017,-6.37,1.0
399,(주)기산텔레콤,35460,2018,-5.52,1.0
400,(주)기산텔레콤,35460,2019,6.63,
401,(주)까뮤이앤씨,13700,2011,-14.28,
402,(주)까뮤이앤씨,13700,2012,0.46,1.0
403,(주)까뮤이앤씨,13700,2013,-0.14,1.0
404,(주)까뮤이앤씨,13700,2014,0.4,1.0
405,(주)까뮤이앤씨,13700,2015,1.65,
406,(주)까뮤이앤씨,13700,2016,1.92,
407,(주)까뮤이앤씨,13700,2017,4.85,
408,(주)까뮤이앤씨,13700,2018,2.29,
409,(주)까뮤이앤씨,13700,2019,5.87,
410,(주)까스텔바작,308100,2019,214.89,
411,(주)나노,187790,2014,,
412,(주)나노,187790,2015,-4.06,
413,(주)나노,187790,2016,-5.47,1.0
414,(주)나노,187790,2017,0.96,1.0
415,(주)나노,187790,2018,1.22,
416,(주)나노,187790,2019,-0.54,
417,(주)나노브릭,286750,2019,-3.38,
418,(주)나노신소재,121600,2011,9.69,
419,(주)나노신소재,121600,2012,-2.32,
420,(주)나노신소재,121600,2013,4.32,
421,(주)나노신소재,121600,2014,24.79,
422,(주)나노신소재,121600,2015,86.73,
423,(주)나노신소재,121600,2016,122.39,
424,(주)나노신소재,121600,2017,114.62,
425,(주)나노신소재,121600,2018,127.97,
426,(주)나노신소재,121600,2019,42.91,
427,(주)나노엔텍,39860,2011,-12.31,
428,(주)나노엔텍,39860,2012,-5.04,1.0
429,(주)나노엔텍,39860,2013,-0.44,1.0
430,(주)나노엔텍,39860,2014,-8.4,1.0
431,(주)나노엔텍,39860,2015,-32.63,1.0
432,(주)나노엔텍,39860,2016,-42.07,1.0
433,(주)나노엔텍,39860,2017,3.38,
434,(주)나노엔텍,39860,2018,18.0,
435,(주)나노엔텍,39860,2019,133.96,
436,(주)나무가,190510,2015,8.35,
437,(주)나무가,190510,2016,-0.37,
438,(주)나무가,190510,2017,-18.62,1.0
439,(주)나무가,190510,2018,1.01,
440,(주)나무가,190510,2019,1.15,
441,(주)나스미디어,89600,2013,,
442,(주)나스미디어,89600,2014,,
443,(주)나스미디어,89600,2015,,
444,(주)나스미디어,89600,2016,171.59,
445,(주)나스미디어,89600,2017,147.4,
446,(주)나스미디어,89600,2018,326.73,
447,(주)나스미디어,89600,2019,35.89,
448,(주)나이벡,138610,2011,-3.91,
449,(주)나이벡,138610,2012,-2.68,1.0
450,(주)나이벡,138610,2013,-5.06,1.0
451,(주)나이벡,138610,2014,-5.51,1.0
452,(주)나이벡,138610,2015,-3.41,1.0
453,(주)나이벡,138610,2016,-3.51,1.0
454,(주)나이벡,138610,2017,-1.81,1.0
455,(주)나이벡,138610,2018,-4.64,1.0
456,(주)나이벡,138610,2019,-2.23,1.0
457,(주)나이스디앤비,130580,2011,39.1,
458,(주)나이스디앤비,130580,2012,,
459,(주)나이스디앤비,130580,2013,48.46,
460,(주)나이스디앤비,130580,2014,51.13,
461,(주)나이스디앤비,130580,2015,,
462,(주)나이스디앤비,130580,2016,,
463,(주)나이스디앤비,130580,2017,,
464,(주)나이스디앤비,130580,2018,,
465,(주)나이스디앤비,130580,2019,323.47,
466,(주)나이스홀딩스,34310,2011,23.73,
467,(주)나이스홀딩스,34310,2012,42.71,
468,(주)나이스홀딩스,34310,2013,27.01,
469,(주)나이스홀딩스,34310,2014,16.68,
470,(주)나이스홀딩스,34310,2015,14.86,
471,(주)나이스홀딩스,34310,2016,17.14,
472,(주)나이스홀딩스,34310,2017,15.51,
473,(주)나이스홀딩스,34310,2018,9.62,
474,(주)나이스홀딩스,34310,2019,8.47,
475,(주)나인테크,267320,2017,-88.77,
476,(주)나인테크,267320,2018,599.55,
477,(주)나인테크,267320,2019,23.02,
478,(주)남선알미늄,8350,2011,0.85,
479,(주)남선알미늄,8350,2012,-0.73,1.0
480,(주)남선알미늄,8350,2013,3.16,
481,(주)남선알미늄,8350,2014,4.69,
482,(주)남선알미늄,8350,2015,7.95,
483,(주)남선알미늄,8350,2016,12.45,
484,(주)남선알미늄,8350,2017,8.89,
485,(주)남선알미늄,8350,2018,5.19,
486,(주)남선알미늄,8350,2019,7.9,
487,(주)남성,4270,2011,-0.06,
488,(주)남성,4270,2012,-0.01,1.0
489,(주)남성,4270,2013,0.39,1.0
490,(주)남성,4270,2014,0.41,1.0
491,(주)남성,4270,2015,0.65,1.0
492,(주)남성,4270,2016,1.01,
493,(주)남성,4270,2017,1.79,
494,(주)남성,4270,2018,0.23,
495,(주)남성,4270,2019,0.13,1.0
496,(주)내츄럴엔도텍,168330,2013,675.61,
497,(주)내츄럴엔도텍,168330,2014,4036.59,
498,(주)내츄럴엔도텍,168330,2015,-805.99,
499,(주)내츄럴엔도텍,168330,2016,-34.59,1.0
500,(주)내츄럴엔도텍,168330,2017,-1.96,1.0
501,(주)내츄럴엔도텍,168330,2018,-6.1,1.0
502,(주)내츄럴엔도텍,168330,2019,-4.35,1.0
503,(주)네오리진,94860,2011,1.61,
504,(주)네오리진,94860,2012,1.27,
505,(주)네오리진,94860,2013,-2.65,
506,(주)네오리진,94860,2014,-8.5,1.0
507,(주)네오리진,94860,2015,-19.24,1.0
508,(주)네오리진,94860,2016,9.47,
509,(주)네오리진,94860,2017,2.48,
510,(주)네오리진,94860,2018,-12.63,
511,(주)네오리진,94860,2019,3.22,
512,(주)네오셈,253590,2018,,
513,(주)네오셈,253590,2019,-7.64,
514,(주)네오오토,212560,2015,9.39,
515,(주)네오오토,212560,2016,10.05,
516,(주)네오오토,212560,2017,1.7,
517,(주)네오오토,212560,2018,2.49,
518,(주)네오오토,212560,2019,0.84,
519,(주)네오위즈,95660,2011,16.86,
520,(주)네오위즈,95660,2012,12.72,
521,(주)네오위즈,95660,2013,10.3,
522,(주)네오위즈,95660,2014,5.0,
523,(주)네오위즈,95660,2015,4.15,
524,(주)네오위즈,95660,2016,31.06,
525,(주)네오위즈,95660,2017,81.79,
526,(주)네오위즈,95660,2018,590.79,
527,(주)네오위즈,95660,2019,296.81,
528,(주)네오위즈홀딩스,42420,2011,29.73,
529,(주)네오위즈홀딩스,42420,2012,20.9,
530,(주)네오위즈홀딩스,42420,2013,17.47,
531,(주)네오위즈홀딩스,42420,2014,17.44,
532,(주)네오위즈홀딩스,42420,2015,196.79,
533,(주)네오위즈홀딩스,42420,2016,452.43,
534,(주)네오위즈홀딩스,42420,2017,58.57,
535,(주)네오위즈홀딩스,42420,2018,248.6,
536,(주)네오위즈홀딩스,42420,2019,268.11,
537,(주)네오크레마,311390,2019,3.38,
538,(주)네오티스,85910,2011,61.44,
539,(주)네오티스,85910,2012,33.52,
540,(주)네오티스,85910,2013,7.82,
541,(주)네오티스,85910,2014,6.55,
542,(주)네오티스,85910,2015,4.06,
543,(주)네오티스,85910,2016,5.32,
544,(주)네오티스,85910,2017,7.31,
545,(주)네오티스,85910,2018,6.77,
546,(주)네오티스,85910,2019,4.37,
547,(주)네오팜,92730,2011,37.77,
548,(주)네오팜,92730,2012,28.19,
549,(주)네오팜,92730,2013,188.23,
550,(주)네오팜,92730,2014,629.34,
551,(주)네오팜,92730,2015,8584.92,
552,(주)네오팜,92730,2016,,
553,(주)네오팜,92730,2017,,
