,회사명,거래소코드,회계년도,이자보상배율,이보배2,부실기업,회생기업1,회생기업2
264,나노신소재,121600,2016-12,122.39,114.62,0.0,,
265,나노신소재,121600,2017-12,114.62,127.97,0.0,,
266,나노신소재,121600,2018-12,127.97,42.91,0.0,,
267,나노신소재,121600,2019-12,42.91,,0.0,,
269,나무가,190510,2016-12,-0.37,-18.62,1.0,,
272,나무가,190510,2019-12,1.15,,0.0,,
274,나이벡,138610,2012-12,-2.68,-5.06,1.0,,
275,나이벡,138610,2013-12,-5.06,-5.51,1.0,,
276,나이벡,138610,2014-12,-5.51,-3.41,1.0,,
277,나이벡,138610,2015-12,-3.41,-3.51,1.0,,
278,나이벡,138610,2016-12,-3.51,-1.81,1.0,,
279,나이벡,138610,2017-12,-1.81,-4.64,1.0,,
280,나이벡,138610,2018-12,-4.64,-2.23,1.0,,
281,나이벡,138610,2019-12,-2.23,,1.0,,
283,남성,4270,2012-12,-0.01,0.39,1.0,,
284,남성,4270,2013-12,0.39,0.41,1.0,,
285,남성,4270,2014-12,0.41,0.65,1.0,,
286,남성,4270,2015-12,0.65,1.01,1.0,,
287,남성,4270,2016-12,1.01,1.79,0.0,,
288,남성,4270,2017-12,1.79,0.23,0.0,,
289,남성,4270,2018-12,0.23,0.13,1.0,,
290,남성,4270,2019-12,0.13,,1.0,,
292,내츄럴엔도텍,168330,2014-12,4036.59,-805.99,0.0,,
293,내츄럴엔도텍,168330,2015-12,-805.99,-34.59,1.0,,
294,내츄럴엔도텍,168330,2016-12,-34.59,-1.96,1.0,,
295,내츄럴엔도텍,168330,2017-12,-1.96,-6.1,1.0,,
296,내츄럴엔도텍,168330,2018-12,-6.1,-4.35,1.0,,
297,내츄럴엔도텍,168330,2019-12,-4.35,,1.0,,
299,네오리진,94860,2012-12,1.27,-2.65,0.0,,
300,네오리진,94860,2013-12,-2.65,-8.5,1.0,,
301,네오리진,94860,2014-12,-8.5,-19.24,1.0,,
302,네오리진,94860,2015-12,-19.24,9.47,1.0,,
303,네오리진,94860,2016-12,9.47,2.48,0.0,,
304,네오리진,94860,2017-12,2.48,-12.63,0.0,,
305,네오리진,94860,2018-12,-12.63,3.22,1.0,,
306,네오리진,94860,2019-12,3.22,,0.0,,
308,네오오토,212560,2016-12,10.05,1.7,0.0,,
