,회사명,거래소코드,회계년도,이자보상배율,이보배2,부실기업,회생기업1,회생기업2
176,구영테크,53270,12-Dec,1.29,1.39,0,1,
177,구영테크,53270,13-Dec,1.39,1.38,0,,1
178,구영테크,53270,14-Dec,1.38,1.97,0,,
179,구영테크,53270,15-Dec,1.97,1.65,0,,
180,구영테크,53270,16-Dec,1.65,2.37,0,,
181,구영테크,53270,17-Dec,2.37,1.47,0,,
182,구영테크,53270,18-Dec,1.47,1.33,0,,
183,구영테크,53270,19-Dec,1.33,,0,,
184,국동,5320,11-Dec,0.5,3.42,1,,
185,국동,5320,12-Dec,3.42,3.64,0,1,
186,국동,5320,13-Dec,3.64,5.32,0,,1
187,국동,5320,14-Dec,5.32,4.08,0,,
188,국동,5320,15-Dec,4.08,5.25,0,,
189,국동,5320,16-Dec,5.25,-2.28,0,,
190,국동,5320,17-Dec,-2.28,2.53,1,,
191,국동,5320,18-Dec,2.53,-1.78,0,,
192,국동,5320,19-Dec,-1.78,,1,,
193,국보,1140,11-Dec,0.75,0.64,1,,
194,국보,1140,12-Dec,0.64,0.36,1,,
195,국보,1140,13-Dec,0.36,-1.31,1,,
196,국보,1140,14-Dec,-1.31,-1.55,1,,
197,국보,1140,15-Dec,-1.55,0.14,1,,
198,국보,1140,16-Dec,0.14,-2.66,1,,
199,국보,1140,17-Dec,-2.66,-4.03,1,,
200,국보,1140,18-Dec,-4.03,-0.35,1,,
201,국보,1140,19-Dec,-0.35,,1,,
202,국순당,43650,11-Dec,167.22,172.69,0,,
203,국순당,43650,12-Dec,172.69,9.21,0,,
204,국순당,43650,13-Dec,9.21,9.17,0,,
205,국순당,43650,14-Dec,9.17,-334.84,0,,
206,국순당,43650,15-Dec,-334.84,-327.25,1,,
207,국순당,43650,16-Dec,-327.25,-12.28,1,,
208,국순당,43650,17-Dec,-12.28,-7.85,1,,
209,국순당,43650,18-Dec,-7.85,-4.32,1,,
210,국순당,43650,19-Dec,-4.32,,1,,
211,국영지앤엠,6050,11-Dec,-170.81,-4.57,1,,
212,국영지앤엠,6050,12-Dec,-4.57,2.35,1,,
213,국영지앤엠,6050,13-Dec,2.35,5.13,0,,
214,국영지앤엠,6050,14-Dec,5.13,-15.79,0,,
215,국영지앤엠,6050,15-Dec,-15.79,3.4,1,,
216,국영지앤엠,6050,16-Dec,3.4,17.57,0,,
217,국영지앤엠,6050,17-Dec,17.57,-18.31,0,,
218,국영지앤엠,6050,18-Dec,-18.31,15.75,1,,
219,국영지앤엠,6050,19-Dec,15.75,,0,,
220,그래디언트,35080,11-Dec,-48.06,1.38,1,,
221,그래디언트,35080,12-Dec,1.38,7.5,0,1,
222,그래디언트,35080,13-Dec,7.5,14.81,0,,1
223,그래디언트,35080,14-Dec,14.81,26.27,0,,
224,그래디언트,35080,15-Dec,26.27,13.02,0,,
225,그래디언트,35080,16-Dec,13.02,13.33,0,,
226,그래디언트,35080,17-Dec,13.33,8.44,0,,
227,그래디언트,35080,18-Dec,8.44,10.13,0,,
228,그래디언트,35080,19-Dec,10.13,,0,,
229,금호에이치티,214330,15-Dec,20.53,11.57,0,,
230,금호에이치티,214330,16-Dec,11.57,7.78,0,,
231,금호에이치티,214330,17-Dec,7.78,3.66,0,,
232,금호에이치티,214330,18-Dec,3.66,0.35,0,,
233,금호에이치티,214330,19-Dec,0.35,,1,,
234,기가레인,49080,13-Dec,5.72,7.6,0,,
235,기가레인,49080,14-Dec,7.6,-13.79,0,,
236,기가레인,49080,15-Dec,-13.79,-4.14,1,,
237,기가레인,49080,16-Dec,-4.14,1.96,1,,
238,기가레인,49080,17-Dec,1.96,-0.71,0,,
239,기가레인,49080,18-Dec,-0.71,-8.09,1,,
240,기가레인,49080,19-Dec,-8.09,,1,,
241,기산텔레콤,35460,11-Dec,-3.73,0.71,1,,
242,기산텔레콤,35460,12-Dec,0.71,4.99,1,,
243,기산텔레콤,35460,13-Dec,4.99,2.53,0,,
244,기산텔레콤,35460,14-Dec,2.53,2.72,0,,
245,기산텔레콤,35460,15-Dec,2.72,-5.83,0,,
246,기산텔레콤,35460,16-Dec,-5.83,-6.37,1,,
247,기산텔레콤,35460,17-Dec,-6.37,-5.52,1,,
248,기산텔레콤,35460,18-Dec,-5.52,6.63,1,,
249,기산텔레콤,35460,19-Dec,6.63,,0,,
250,까뮤이앤씨,13700,11-Dec,-14.28,0.46,1,,
251,까뮤이앤씨,13700,12-Dec,0.46,-0.14,1,,
252,까뮤이앤씨,13700,13-Dec,-0.14,0.4,1,,
253,까뮤이앤씨,13700,14-Dec,0.4,1.65,1,,
254,까뮤이앤씨,13700,15-Dec,1.65,1.92,0,,
255,까뮤이앤씨,13700,16-Dec,1.92,4.85,0,,
256,까뮤이앤씨,13700,17-Dec,4.85,2.29,0,,
257,까뮤이앤씨,13700,18-Dec,2.29,5.87,0,,
258,까뮤이앤씨,13700,19-Dec,5.87,,0,,
259,나노신소재,121600,11-Dec,9.69,-2.32,0,,
260,나노신소재,121600,12-Dec,-2.32,4.32,1,,
261,나노신소재,121600,13-Dec,4.32,24.79,0,1,
262,나노신소재,121600,14-Dec,24.79,86.73,0,,1
263,나노신소재,121600,15-Dec,86.73,122.39,0,,
264,나노신소재,121600,16-Dec,122.39,114.62,0,,
265,나노신소재,121600,17-Dec,114.62,127.97,0,,
266,나노신소재,121600,18-Dec,127.97,42.91,0,,
267,나노신소재,121600,19-Dec,42.91,,0,,
268,나무가,190510,15-Dec,8.35,-0.37,0,,
269,나무가,190510,16-Dec,-0.37,-18.62,1,,
270,나무가,190510,17-Dec,-18.62,1.01,1,,
271,나무가,190510,18-Dec,1.01,1.15,0,,
272,나무가,190510,19-Dec,1.15,,0,,
273,나이벡,138610,11-Dec,-3.91,-2.68,1,,
274,나이벡,138610,12-Dec,-2.68,-5.06,1,,
275,나이벡,138610,13-Dec,-5.06,-5.51,1,,
276,나이벡,138610,14-Dec,-5.51,-3.41,1,,
277,나이벡,138610,15-Dec,-3.41,-3.51,1,,
278,나이벡,138610,16-Dec,-3.51,-1.81,1,,
279,나이벡,138610,17-Dec,-1.81,-4.64,1,,
280,나이벡,138610,18-Dec,-4.64,-2.23,1,,
281,나이벡,138610,19-Dec,-2.23,,1,,
282,남성,4270,11-Dec,-0.06,-0.01,1,,
283,남성,4270,12-Dec,-0.01,0.39,1,,
284,남성,4270,13-Dec,0.39,0.41,1,,
285,남성,4270,14-Dec,0.41,0.65,1,,
286,남성,4270,15-Dec,0.65,1.01,1,,
287,남성,4270,16-Dec,1.01,1.79,0,,
288,남성,4270,17-Dec,1.79,0.23,0,,
289,남성,4270,18-Dec,0.23,0.13,1,,
290,남성,4270,19-Dec,0.13,,1,,
291,내츄럴엔도텍,168330,13-Dec,675.61,4036.59,0,,
292,내츄럴엔도텍,168330,14-Dec,4036.59,-805.99,0,,
293,내츄럴엔도텍,168330,15-Dec,-805.99,-34.59,1,,
294,내츄럴엔도텍,168330,16-Dec,-34.59,-1.96,1,,
295,내츄럴엔도텍,168330,17-Dec,-1.96,-6.1,1,,
296,내츄럴엔도텍,168330,18-Dec,-6.1,-4.35,1,,
297,내츄럴엔도텍,168330,19-Dec,-4.35,,1,,
298,네오리진,94860,11-Dec,1.61,1.27,0,,
299,네오리진,94860,12-Dec,1.27,-2.65,0,,
300,네오리진,94860,13-Dec,-2.65,-8.5,1,,
301,네오리진,94860,14-Dec,-8.5,-19.24,1,,
302,네오리진,94860,15-Dec,-19.24,9.47,1,,
303,네오리진,94860,16-Dec,9.47,2.48,0,,
304,네오리진,94860,17-Dec,2.48,-12.63,0,,
305,네오리진,94860,18-Dec,-12.63,3.22,1,,
306,네오리진,94860,19-Dec,3.22,,0,,
307,네오오토,212560,15-Dec,9.39,10.05,0,,
308,네오오토,212560,16-Dec,10.05,1.7,0,,
309,네오오토,212560,17-Dec,1.7,2.49,0,,
310,네오오토,212560,18-Dec,2.49,0.84,0,,
311,네오오토,212560,19-Dec,0.84,,1,,
312,네이블커뮤니케이션즈,153460,12-Dec,71.34,4.62,0,,
313,네이블커뮤니케이션즈,153460,13-Dec,4.62,126.65,0,,
314,네이블커뮤니케이션즈,153460,14-Dec,126.65,126.65,0,,
315,네이블커뮤니케이션즈,153460,15-Dec,126.65,126.65,0,,
316,네이블커뮤니케이션즈,153460,16-Dec,126.65,-454.29,0,,
317,네이블커뮤니케이션즈,153460,17-Dec,-454.29,-454.29,1,,
318,네이블커뮤니케이션즈,153460,18-Dec,-454.29,-454.29,1,,
319,네이블커뮤니케이션즈,153460,19-Dec,-454.29,,1,,
320,네이처셀,7390,11-Dec,-1.42,-0.67,1,,
321,네이처셀,7390,12-Dec,-0.67,1.54,1,,
322,네이처셀,7390,13-Dec,1.54,-2.98,0,,
323,네이처셀,7390,14-Dec,-2.98,-2.61,1,,
324,네이처셀,7390,15-Dec,-2.61,-7.91,1,,
325,네이처셀,7390,16-Dec,-7.91,-0.81,1,,
326,네이처셀,7390,17-Dec,-0.81,7.8,1,,
327,네이처셀,7390,18-Dec,7.8,8.3,0,,
328,네이처셀,7390,19-Dec,8.3,,0,,
329,네패스,33640,11-Dec,3.47,7.99,0,,
330,네패스,33640,12-Dec,7.99,-0.1,0,,
331,네패스,33640,13-Dec,-0.1,0.66,1,,
332,네패스,33640,14-Dec,0.66,0.42,1,,
333,네패스,33640,15-Dec,0.42,1.36,1,,
