,회사명,거래소코드,회계년도,이자보상배율,부실기업,이보배2,회생여부
318,네이블커뮤니케이션즈,153460,Dec-16,7777.0,0.0,-7777.0,
319,네이블커뮤니케이션즈,153460,Dec-17,-7777.0,0.0,-7777.0,
320,네이블커뮤니케이션즈,153460,Dec-18,-7777.0,1.0,-454.29,
321,네이블커뮤니케이션즈,153460,Dec-19,-454.29,1.0,,
322,네이처셀,7390,Dec-11,-1.42,0.0,-0.67,
323,네이처셀,7390,Dec-12,-0.67,1.0,1.54,
324,네이처셀,7390,Dec-13,1.54,0.0,-2.98,1.0
325,네이처셀,7390,Dec-14,-2.98,0.0,-2.61,
326,네이처셀,7390,Dec-15,-2.61,1.0,-7.91,
327,네이처셀,7390,Dec-16,-7.91,1.0,-0.81,
328,네이처셀,7390,Dec-17,-0.81,1.0,7.8,
329,네이처셀,7390,Dec-18,7.8,0.0,8.3,1.0
330,네이처셀,7390,Dec-19,8.3,0.0,,
331,네패스,33640,Dec-11,3.47,0.0,7.99,
332,네패스,33640,Dec-12,7.99,0.0,-0.1,
333,네패스,33640,Dec-13,-0.1,0.0,0.66,
334,네패스,33640,Dec-14,0.66,1.0,0.42,
335,네패스,33640,Dec-15,0.42,1.0,1.36,
336,네패스,33640,Dec-16,1.36,0.0,3.32,1.0
337,네패스,33640,Dec-17,3.32,0.0,4.79,
338,네패스,33640,Dec-18,4.79,0.0,11.65,
339,네패스,33640,Dec-19,11.65,0.0,,
340,넥스턴바이오사이언스,89140,Dec-11,40.44,0.0,158.14,
341,넥스턴바이오사이언스,89140,Dec-12,158.14,0.0,284.57,
342,넥스턴바이오사이언스,89140,Dec-13,284.57,0.0,2169.07,
343,넥스턴바이오사이언스,89140,Dec-14,2169.07,0.0,7799.11,
344,넥스턴바이오사이언스,89140,Dec-15,7799.11,0.0,97436.72,
345,넥스턴바이오사이언스,89140,Dec-16,97436.72,0.0,1532.55,
346,넥스턴바이오사이언스,89140,Dec-17,1532.55,0.0,-624.03,
347,넥스턴바이오사이언스,89140,Dec-18,-624.03,0.0,2394.07,
348,넥스턴바이오사이언스,89140,Dec-19,2394.07,0.0,,
349,넥스트아이,137940,Dec-11,17771.19,0.0,4655.9,
350,넥스트아이,137940,Dec-12,4655.9,0.0,7777.0,
351,넥스트아이,137940,Dec-13,7777.0,0.0,102.65,
352,넥스트아이,137940,Dec-14,102.65,0.0,100.62,
353,넥스트아이,137940,Dec-15,100.62,0.0,6.38,
354,넥스트아이,137940,Dec-16,6.38,0.0,0.84,
355,넥스트아이,137940,Dec-17,0.84,0.0,5.06,
356,넥스트아이,137940,Dec-18,5.06,0.0,3.95,
357,넥스트아이,137940,Dec-19,3.95,0.0,,
358,넥스트엔터테인먼트월드,160550,Dec-14,13.68,0.0,-5.5,
359,넥스트엔터테인먼트월드,160550,Dec-15,-5.5,0.0,14.66,
360,넥스트엔터테인먼트월드,160550,Dec-16,14.66,0.0,-6.92,
361,넥스트엔터테인먼트월드,160550,Dec-17,-6.92,0.0,-6.46,
362,넥스트엔터테인먼트월드,160550,Dec-18,-6.46,1.0,-3.05,
363,넥스트엔터테인먼트월드,160550,Dec-19,-3.05,1.0,,
364,노블엠앤비,106520,Dec-12,11.2,0.0,17.99,
365,노블엠앤비,106520,Dec-13,17.99,0.0,1.3,
366,노블엠앤비,106520,Dec-14,1.3,0.0,-4.2,
367,노블엠앤비,106520,Dec-15,-4.2,0.0,-6.13,
368,노블엠앤비,106520,Dec-16,-6.13,1.0,-4.91,
369,노블엠앤비,106520,Dec-17,-4.91,1.0,-3.67,
370,노블엠앤비,106520,Dec-18,-3.67,1.0,-0.29,
371,노블엠앤비,106520,Dec-19,-0.29,1.0,,
372,녹십자엠에스,142280,Dec-14,9.68,0.0,2.64,
373,녹십자엠에스,142280,Dec-15,2.64,0.0,-3.5,
374,녹십자엠에스,142280,Dec-16,-3.5,0.0,0.26,
375,녹십자엠에스,142280,Dec-17,0.26,1.0,-6.18,
