회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),자산(*)(IFRS)(천원),매출원가(*)(IFRS연결)(천원),매출원가(*)(IFRS)(천원),재고자산(*)(IFRS연결)(천원),재고자산(*)(IFRS)(천원),매출채권(IFRS연결)(천원),매출채권(IFRS)(천원),유형자산(*)(IFRS연결)(천원),유형자산(*)(IFRS)(천원),매입채무(IFRS연결)(천원),매입채무(IFRS)(천원),자본(*)(IFRS연결)(천원),자본(*)(IFRS)(천원),부채(*)(IFRS연결)(천원),부채(*)(IFRS)(천원),유동자산(*)(IFRS연결)(천원),유동자산(*)(IFRS)(천원)
(주)TCC스틸,002710,2013/12,500832754,419483813,543708595,444204925,474104834,385343144,117184576,62722660,68316114,56753518,156557380,71255687,38783690,26136889,205738102,210086242,337970494,234118683,220034732,0
(주)TCC스틸,002710,2014/12,518995240,401323585,551000563,461297588,483588495,364984531,124343812,59114758,86970515,60593854,151621286,68743151,37920178,25941466,189038004,210093654,361962559,251203934,233224033,0
(주)TCC스틸,002710,2015/12,495795871,350074629,376394571,330651742,451936886,311691285,48965898,45683627,67719623,42872200,71859909,50635593,38223007,19400602,86012476,76555951,290382095,254095791,240184174,0
(주)TCC스틸,002710,2016/12,444453635,317235565,282914735,250878191,402898839,281559457,51850499,44890754,57654611,48126701,64693517,43730610,25582561,22801657,103337634,92623510,179577101,158254682,120777516,0
(주)TCC스틸,002710,2017/12,391370092,333762378,278692540,248896237,356978389,304470552,52771855,48077587,48408783,43217757,58943990,45541678,20150484,19063388,100915803,89627045,177776736,159269192,120243911,0
(주)TCC스틸,002710,2018/12,413176279,351301866,304781579,268135677,377890304,320798763,69197191,62280830,42246665,41140973,55878504,43204124,33048342,28341813,112246210,98351707,192535369,169783970,152165969,0
(주)TCC스틸,002710,2019/12,437173902,339334364,314210087,270265082,405618477,312320391,72619098,67392895,45242999,33268239,59322335,47129444,29636313,21237292,116843135,97501452,197366953,172763630,148991647,0
(주)가비아,079940,2010/12,40623302,26065926,52912228,34383172,21744253,14343735,31377,0,3789149,2225336,19870745,5447766,514799,492865,37225655,21535028,15686573,12848144,23312665,0
(주)가비아,079940,2011/12,52838864,33792831,64954440,37295822,29173840,20761832,14450,14450,4866865,1964346,22149161,7163470,434923,393317,48665742,24298687,16288697,12997135,28837190,0
(주)가비아,079940,2012/12,69058144,38482449,85244515,51795749,40302408,23494026,248459,92459,6524566,2041083,37833915,23749485,2521761,2569817,58945247,31165211,26299269,20630538,31997486,0
(주)가비아,079940,2013/12,70675565,40507693,91231294,52151784,38882747,24558241,93612,81039,6448247,1986939,37047584,22732962,1861578,1268027,68600227,34822978,22631067,17328806,37411881,0
(주)가비아,079940,2014/12,80432047,43906243,98544072,55984243,45275795,26874841,0,0,0,2648057,37099200,22313113,2865111,2370341,75509702,38147677,23034370,17836566,41920706,0
(주)가비아,079940,2015/12,91648622,48446932,105081568,57657418,50078893,28806524,0,0,8120801,2327391,36916970,22210592,2028679,1496985,84096148,42470259,20985420,15187159,52239105,0
(주)가비아,079940,2016/12,102178978,49430564,125796754,61160981,54998617,28802628,1363738,0,14103577,2458491,43221838,22429866,5050880,1575303,95951841,45413712,29844914,15747269,60241586,0
(주)가비아,079940,2017/12,116217941,52365659,133382584,64986436,60313364,30561799,1675464,0,19164658,2897556,45452326,22362004,7351096,2413820,99896520,47662984,33486064,17323452,66113388,0
(주)가비아,079940,2018/12,128728438,55197652,151440505,69315988,65751367,31654603,1982294,0,20324111,2873894,49107084,24425180,3929911,1771040,114187490,49832912,37253015,19483076,78058272,0
(주)가비아,079940,2019/12,148306878,58254105,199916131,82964911,75650385,34532096,2643604,0,25159207,3227148,85359914,39724951,4480341,2058371,134959139,54084066,64956993,28880845,86880807,0
(주)강스템바이오텍,217730,2015/12,,1484593,,24982626,,252810,,334913,,298840,,2980005,,125108,,21237036,,3745591,,0
(주)강스템바이오텍,217730,2016/12,,842805,,47441769,,57688,,582808,,170110,,4039297,,276004,,22976911,,24464858,,0
