회사명,거래소코드,회계년도,부가가치(IFRS연결),유형자산(IFRS연결),건설중인자산(IFRS연결),부가가치(IFRS개별),유형자산(IFRS개별),건설중인자산(IFRS개별)
(주)경동인베스트,12320,13-Dec,140991.69,0,4888482,93436.7,293643578,1641063
(주)경동인베스트,12320,14-Dec,81588.6,0,34044603,93996.69,299563689,1062458
(주)경동인베스트,12320,15-Dec,-30690.54,0,65029399,34539.58,317414775,1586269
(주)경동인베스트,12320,16-Dec,26071.34,0,988138,72056.94,320740081,988138
(주)경동인베스트,12320,17-Dec,58509.5,0,0,-608.84,9664453,0
(주)경동인베스트,12320,18-Dec,128174.79,0,0,2304.64,12131746,0
(주)경동인베스트,12320,19-Dec,129681.42,0,0,78.98,2798610,0
(주)경방,50,11-Dec,85127.47,0,1268081,79256.78,307701501,992682
(주)경방,50,12-Dec,80728.78,0,11609300,75544.51,301773723,795823
(주)경방,50,13-Dec,109135.73,0,491110,99612.08,280675994,35500
(주)경방,50,14-Dec,105032.79,0,14367607,97566.02,269480797,0
(주)경방,50,15-Dec,117114.75,0,0,107949.86,258275719,0
(주)경방,50,16-Dec,125709.78,0,4119815,109992.25,248710695,0
(주)경방,50,17-Dec,125830.72,0,31288305,109353.53,229435458,0
(주)경방,50,18-Dec,98012.24,0,8604420,88599.95,214332809,0
(주)경방,50,19-Dec,127253.44,164146930,10999934,80679.67,64860661,4981471
(주)경보제약,214390,15-Dec,,,,64338.21,74892236,2382400
(주)경보제약,214390,16-Dec,,,,62027.13,83949070,253350
(주)경보제약,214390,17-Dec,,,,70313.62,78497115,110810
(주)경보제약,214390,18-Dec,,,,68893.82,76497132,687000
(주)경보제약,214390,19-Dec,,,,63450.36,88116421,3088918
(주)경인양행,12610,11-Dec,55925.52,0,856441,25633.29,69431560,8000
(주)경인양행,12610,12-Dec,50537.66,0,33200,29938.88,67259638,33200
(주)경인양행,12610,13-Dec,60639.47,0,709553,48021.56,72282759,517400
(주)경인양행,12610,14-Dec,73075.28,0,10961,47119.14,77811393,10960
(주)경인양행,12610,15-Dec,67632.25,0,715567,35639.84,76154669,715566
(주)경인양행,12610,16-Dec,75607,0,6705222,40282.61,77953872,4952266
(주)경인양행,12610,17-Dec,77094.24,0,1820834,39415.23,86525558,1652336
(주)경인양행,12610,18-Dec,98776.24,0,5415837,56886.72,90678289,2860150
(주)경인양행,12610,19-Dec,111001.57,0,28559797,58827.05,119519529,28509395
(주)고려시멘트,198440,14-Dec,,,,,,
(주)고려시멘트,198440,15-Dec,,,,,,
(주)고려시멘트,198440,16-Dec,,,,,,
(주)고려시멘트,198440,17-Dec,,,,14885.67,47901220,1051906
(주)고려시멘트,198440,18-Dec,,,,19051.09,48776544,606140
(주)고려시멘트,198440,19-Dec,,,,16208.11,51139394,1102999
(주)고영테크놀러지,98460,11-Dec,28970.09,0,1005353,27718.99,14869610,1005353
(주)고영테크놀러지,98460,12-Dec,32628.63,0,0,28550.06,15336664,864368
(주)고영테크놀러지,98460,13-Dec,31220.69,0,686155,28707.49,14690294,686155
(주)고영테크놀러지,98460,14-Dec,46699.29,2344631,0,42596.7,19812580,0
(주)고영테크놀러지,98460,15-Dec,46544.16,0,0,43429.68,19340953,0
(주)고영테크놀러지,98460,16-Dec,62157.4,0,0,52985.52,23462507,0
(주)고영테크놀러지,98460,17-Dec,65695.26,0,0,58409.3,24158929,0
(주)고영테크놀러지,98460,18-Dec,86343.44,0,586717,75984.96,32377941,586717
(주)고영테크놀러지,98460,19-Dec,80742.92,0,1418345,73465.3,35418136,1216523
(주)골드앤에스,35290,11-Dec,15570.49,0,0,14658.86,995140,0
(주)골드앤에스,35290,12-Dec,7635.89,0,0,7893.95,851327,0
(주)골드앤에스,35290,13-Dec,1375.8,0,0,-1958.86,810357,0
(주)골드앤에스,35290,14-Dec,4010.26,0,0,1806.61,502559,0
(주)골드앤에스,35290,15-Dec,1377.12,0,0,-3739.74,299779,0
(주)골드앤에스,35290,16-Dec,4764.12,0,0,4792.12,193816,0
(주)골드앤에스,35290,17-Dec,-4291.99,0,225000,-4235.05,336869,225000
(주)골드앤에스,35290,18-Dec,-311.92,0,547793,11.61,11191043,547793
(주)골드앤에스,35290,19-Dec,-15967.57,0,3215877,-16227.48,3722968,3215877
(주)골드퍼시픽,38530,11-Dec,,,,4434.65,10069863,0
(주)골드퍼시픽,38530,12-Dec,,,,4958.14,8743387,0
(주)골드퍼시픽,38530,13-Dec,-4290.42,0,0,-3602.2,7249195,0
(주)골드퍼시픽,38530,14-Dec,1554.55,0,0,-2264.04,5643164,0
(주)골드퍼시픽,38530,15-Dec,-2786.97,0,0,-7836.3,2580222,0
(주)골드퍼시픽,38530,16-Dec,,,,-19661.53,1333057,0
(주)골드퍼시픽,38530,17-Dec,,,,1313.87,1297094,0
(주)골드퍼시픽,38530,18-Dec,-1488.34,0,0,-1459.51,83408,0
(주)골드퍼시픽,38530,19-Dec,,,,-25252.68,908909,0
(주)골프존,215000,15-Dec,,0,315424,,74039599,315424
(주)골프존,215000,16-Dec,82752.48,0,1052532,69940.02,69486714,1902531
(주)골프존,215000,17-Dec,86594.02,0,1536294,71718.52,66800539,1873793
(주)골프존,215000,18-Dec,63252.87,0,4058657,60657.91,81753994,4084449
(주)골프존,215000,19-Dec,99662.42,0,3931002,87478.96,110267389,3816277
(주)골프존뉴딘홀딩스,121440,11-Dec,68848.89,0,183263,65510.64,49239742,161565
(주)골프존뉴딘홀딩스,121440,12-Dec,121408.57,0,4276584,108386.02,136357274,3745339
(주)골프존뉴딘홀딩스,121440,13-Dec,104828.51,0,16688544,89965.12,136081977,16762949
(주)골프존뉴딘홀딩스,121440,14-Dec,165410.32,0,24004610,110458.29,178117980,501520
(주)골프존뉴딘홀딩스,121440,15-Dec,25820.5,0,340740,3300.63,98347480,133200
(주)골프존뉴딘홀딩스,121440,16-Dec,50468.4,0,2625852,-9300.74,98552925,1487569
(주)골프존뉴딘홀딩스,121440,17-Dec,23288.31,666390,2852226,-6328.61,92900686,864094
(주)골프존뉴딘홀딩스,121440,18-Dec,60807.94,0,2471139,19639.69,83633825,131527
