회사명,거래소코드,회계년도,[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[제조]매출액(수익)(*)(IFRS),[제조]부채(*)(IFRS),[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결),[제조]매출액(수익)(*)(IFRS연결),[제조]부채(*)(IFRS연결)
(주)고려시멘트,198440,2017/12,3161867,87660276,38487512,,,
(주)고려시멘트,198440,2018/12,1728759,85775723,41025871,,,
(주)고려시멘트,198440,2019/12,2862239,70921781,38590195,,,
(주)고영테크놀러지,098460,2010/12,8589259,71207683,14478891,9501283,72956931,15523546
(주)고영테크놀러지,098460,2011/12,12776648,80200892,16635495,13903738,86130810,17383474
(주)고영테크놀러지,098460,2012/12,10610309,100791139,18928736,11397833,107841666,19950870
(주)고영테크놀러지,098460,2013/12,12177046,103933681,21277632,13282913,111902729,22632008
(주)고영테크놀러지,098460,2014/12,23831965,135531589,23524948,25603240,142840131,25885224
(주)고영테크놀러지,098460,2015/12,15161650,138554625,26600137,16569102,145904431,27381980
(주)고영테크놀러지,098460,2016/12,17957289,153254768,36760049,29234878,171793841,37853661
(주)고영테크놀러지,098460,2017/12,7492877,188934907,40860118,19941301,203368626,43890214
(주)고영테크놀러지,098460,2018/12,44999013,219818022,50714272,21765311,238208865,53192797
(주)고영테크놀러지,098460,2019/12,26124765,209480760,55999383,29168422,222057035,61812656
(주)골드앤에스,035290,2010/12,8898983,50487261,22607430,8981019,50487261,23416085
(주)골드앤에스,035290,2011/12,8673653,47522791,23709321,8628850,47522791,24240316
(주)골드앤에스,035290,2012/12,2427629,43889087,24809934,2478990,43889087,26432789
(주)골드앤에스,035290,2013/12,-2348440,36607591,24695648,-204052,39548810,38315150
(주)골드앤에스,035290,2014/12,-462082,29428881,19800028,-991208,31287203,34445853
(주)골드앤에스,035290,2015/12,2167956,22197935,8605906,1708284,22197935,8941840
(주)골드앤에스,035290,2016/12,1667960,15893494,4193998,1679723,15893494,4403117
(주)골드앤에스,035290,2017/12,-940910,12802035,3890051,361216,12802035,3827858
(주)골드앤에스,035290,2018/12,-2810496,8680452,28605618,-3136830,8680452,28693062
(주)골드앤에스,035290,2019/12,-6246635,7642733,21097263,-6506543,7642733,21187743
(주)골드퍼시픽,038530,2010/12,-117555,10718074,2041689,,,
(주)골드퍼시픽,038530,2011/12,1749769,11236925,5643796,,,
(주)골드퍼시픽,038530,2012/12,-4543789,10491048,6933139,,,
(주)골드퍼시픽,038530,2013/12,-4333969,6488691,13401333,-2334044,7167832,17496573
(주)골드퍼시픽,038530,2014/12,-5423532,4855121,15034120,-4905537,16486257,25380917
(주)골드퍼시픽,038530,2015/12,-7136666,6121489,7380179,-5635841,18635305,7380179
(주)골드퍼시픽,038530,2016/12,-6549921,9588100,9232425,,,
(주)골드퍼시픽,038530,2017/12,-878680,5031439,21203473,,,
(주)골드퍼시픽,038530,2018/12,-2028216,5580994,17201663,-3626992,5708281,17738744
(주)골드퍼시픽,038530,2019/12,-3541143,11323125,51876425,,,
(주)골프존,215000,2015/12,41872803,184085342,66566259,44345997,201560389,69278343
(주)골프존,215000,2016/12,32717567,196864993,61749251,35237011,216964342,67265600
(주)골프존,215000,2017/12,79436410,171859065,57616911,80376887,200105321,64290538
(주)골프존,215000,2018/12,34481459,191571105,57141835,32883976,198705194,59138246
(주)골프존,215000,2019/12,38567865,239051647,99331248,39501603,247018099,112544404
(주)골프존뉴딘홀딩스,121440,2011/12,46694787,209788389,25141723,46128334,215793737,29085545
(주)골프존뉴딘홀딩스,121440,2012/12,73950383,276341690,101615001,61269978,289629366,129285917
(주)골프존뉴딘홀딩스,121440,2013/12,72616582,340005073,162390400,63430820,365126358,213296141
(주)골프존뉴딘홀딩스,121440,2014/12,30858148,387066126,112963321,28790402,429589619,275651284
(주)골프존뉴딘홀딩스,121440,2015/12,-16346800,29389093,33959695,-15266617,164536448,215964752
(주)골프존뉴딘홀딩스,121440,2016/12,5618275,27652102,55051510,15895535,243275475,232685516
(주)골프존뉴딘홀딩스,121440,2017/12,-1147880,23499543,56170310,-1173648,213756902,255588307
(주)골프존뉴딘홀딩스,121440,2018/12,-4416464,16100354,78906181,-20158087,223036801,288773468
(주)골프존뉴딘홀딩스,121440,2019/12,2640435,26897482,87456888,5656323,228935651,329187192
(주)광림,014200,2010/12,-4298360,93434519,55343796,,,
(주)광림,014200,2011/12,11879861,106495363,29675945,,,
(주)광림,014200,2012/12,2753017,85322569,26263800,,,
(주)광림,014200,2013/12,14536213,103442134,36795801,,,
(주)광림,014200,2014/12,-3582919,92553612,54024876,-6344996,231446314,115915632
(주)광림,014200,2015/12,-2663712,237222890,65439447,,,
(주)광림,014200,2016/12,3288372,87302967,61859263,3288372,87302967,116090771
(주)광림,014200,2017/12,8658598,99421336,193026086,-15250032,135191558,100367615
(주)광림,014200,2018/12,1251490,75493055,115448249,-13294713,136595300,97737400
(주)광림,014200,2019/12,639491,93241157,132819619,-12235587,145864184,161696117
(주)광명전기,017040,2010/12,6532998,68250250,39074602,8219127,103512739,55811051
(주)광명전기,017040,2011/12,1814521,57967857,43005031,1765403,92382628,60950408
(주)광명전기,017040,2012/12,1183806,79318302,49081920,3436380,117216514,68072142
(주)광명전기,017040,2013/12,615721,90344376,44690725,3129414,117852824,51063085
(주)광명전기,017040,2014/12,8403184,115801471,52251735,11464334,134778387,59883994
(주)광명전기,017040,2015/12,13723720,93000177,36443563,18501076,116316957,43628267
(주)광명전기,017040,2016/12,2813219,96931493,39069932,4502682,96942911,48795959
(주)광명전기,017040,2017/12,5270038,105083042,43450530,6647411,101561159,56068919
(주)광명전기,017040,2018/12,-4019510,96949804,36169226,-3815893,114110654,53074770
(주)광명전기,017040,2019/12,23614371,125009206,46405743,20495932,131864294,51313845
(주)광무,029480,2010/12,6384958,80284671,56496192,6887997,81747132,57046447
(주)광무,029480,2011/12,9882003,50359203,36539844,8460656,51755052,38114862
(주)광무,029480,2012/12,-5777036,40406860,23645347,-5808549,41178683,26281385
(주)광무,029480,2013/12,-759831,10105219,17543532,-971186,20534276,26597916
(주)광무,029480,2014/12,1529973,38409667,19357078,,,
(주)광무,029480,2015/12,-550286,17648493,13388763,,,
(주)광무,029480,2016/12,154459,26429957,21036538,,,
(주)광무,029480,2017/12,247467,21540953,15398329,,,
(주)광무,029480,2018/12,-889612,20707286,16322215,-1324743,23074941,17702532
(주)광무,029480,2019/12,-2567529,25244176,34954525,-2435580,36483979,40295715
(주)광주신세계,037710,2010/12,58641255,207799414,66974125,,,
(주)광주신세계,037710,2011/12,58007847,219613514,70539083,,,
(주)광주신세계,037710,2012/12,56319963,213803173,69047125,,,
(주)광주신세계,037710,2013/12,57337481,206606675,247664982,,,
(주)광주신세계,037710,2014/12,50217757,204820461,204133762,,,
(주)광주신세계,037710,2015/12,52123039,205331892,168114362,,,
(주)광주신세계,037710,2016/12,50122658,210423594,121212540,,,
(주)광주신세계,037710,2017/12,51294766,209647360,75655139,,,
(주)광주신세계,037710,2018/12,53868560,135213362,75548265,,,
(주)광주신세계,037710,2019/12,74340570,154879496,91233250,,,
(주)구영테크,053270,2010/12,5553988,60777103,60798062,6928438,150546089,106224014
(주)구영테크,053270,2011/12,299063,62527619,66978384,1574250,147832315,112838066
(주)구영테크,053270,2012/12,3400845,65451015,80138360,11791408,155788988,124476132
(주)구영테크,053270,2013/12,6156243,76282590,66787227,11048296,172747316,110206350
(주)구영테크,053270,2014/12,-1477205,77799749,59346118,3399363,170528694,103644323
(주)구영테크,053270,2015/12,9373875,87109177,58694581,17308908,172083049,104929726
(주)구영테크,053270,2016/12,12368645,75320433,62465401,19282164,148301597,108968199
(주)구영테크,053270,2017/12,3339453,74298129,92481970,5515131,149833357,131198641
(주)구영테크,053270,2018/12,-2316059,81928926,88631025,3263344,195238339,133745074
(주)구영테크,053270,2019/12,9760503,93132845,82365983,7656129,230853336,134865616
(주)국동,005320,2010/12,194279,110608935,41073027,1740655,152156795,62959713
(주)국동,005320,2011/12,-547564,100097439,39597506,-963482,154293577,62332735
(주)국동,005320,2012/12,2881390,91524436,33038005,4976107,138172746,56385558
(주)국동,005320,2013/12,-1572579,95716049,34247141,-2405589,147860227,57628398
(주)국동,005320,2014/12,-1689994,117861978,39056428,-12910,186086561,60632031
(주)국동,005320,2015/12,1327414,102431161,43846686,3908416,170296068,62532443
(주)국동,005320,2016/12,-2263482,127275873,46046814,747703,197368723,72400997
(주)국동,005320,2017/12,-3177835,130016453,36515485,-6827943,191602989,63676354
(주)국동,005320,2018/12,-4000973,136811631,38965464,-3944667,219550054,74659657
(주)국동,005320,2019/12,9576372,116180044,42506527,3901005,223077183,68242500
(주)국보,001140,2010/12,-203403,108593661,61003170,-900863,118744324,61729392
(주)국보,001140,2011/12,2837703,118304924,63540967,3249944,130636214,64402912
(주)국보,001140,2012/12,-3331024,109183947,62297482,-3613866,122343037,64701450
(주)국보,001140,2013/12,3388938,108994114,67236888,2809735,117073443,68547122
(주)국보,001140,2014/12,54417,89859741,66613157,-238084,97520169,68385263
(주)국보,001140,2015/12,-691347,85267457,63045201,-837022,91618545,64675995
(주)국보,001140,2016/12,175508,77773715,64287142,507314,87333326,66033326
