회사명,거래소코드,회계년도,매출액(IFRS연결),유동자산(IFRS연결),재고자산(IFRS연결),매출액(IFRS개별),유동자산(IFRS개별),재고자산(IFRS개별)
(주)강원에너지,114190,Dec-19,42549622,30544232,118784,42549622,30346449,118784
(주)갤럭시아에스엠,11420,Dec-11,47331427,24658098,20209,31931418,17322791,0
(주)갤럭시아에스엠,11420,Dec-12,55049732,24752609,37487,37398255,21665386,0
(주)갤럭시아에스엠,11420,Dec-13,46437304,19899780,126351,30903637,15680160,0
(주)갤럭시아에스엠,11420,Dec-14,43885894,26742964,508736,33027933,21910144,404356
(주)갤럭시아에스엠,11420,Dec-15,62472754,44426010,11280,53784932,40480215,0
(주)갤럭시아에스엠,11420,Dec-16,52626331,37929417,0,45665676,33508731,0
(주)갤럭시아에스엠,11420,Dec-17,37281280,28750883,0,36917656,25522603,0
(주)갤럭시아에스엠,11420,Dec-18,22060413,14251248,0,22030258,14317048,0
(주)갤럭시아에스엠,11420,Dec-19,28732679,13644588,0,28732679,13644588,0
(주)경농,2100,Dec-11,121253605,94363834,70194121,120728258,85897543,70007203
(주)경농,2100,Dec-12,136970449,142516976,102583675,131021366,88973571,69708618
(주)경농,2100,Dec-13,196358952,129526582,98860077,139237273,90491612,70268926
(주)경농,2100,Dec-14,188483147,139646908,98308244,134806677,92163573,69968941
(주)경농,2100,Dec-15,196418710,161184139,115444315,137609256,110823037,84302523
(주)경농,2100,Dec-16,203984939,156061222,115876266,143209666,113338004,89356248
(주)경농,2100,Dec-17,206534382,163437464,119704437,143175105,114661596,91796107
(주)경농,2100,Dec-18,212654617,169982099,120967753,146216658,124295854,91526504
(주)경농,2100,Dec-19,227510941,185020093,133714688,151342037,138697201,101542875
(주)경동나비엔,9450,Dec-11,341246917,129512842,60788326,318269213,109967953,41637076
(주)경동나비엔,9450,Dec-12,379014259,145371681,59527947,341339118,123218302,33893618
(주)경동나비엔,9450,Dec-13,414177562,134043087,71724409,371601179,104914630,37417214
(주)경동나비엔,9450,Dec-14,428985365,159947056,83525372,382392117,134136648,40963230
(주)경동나비엔,9450,Dec-15,512031120,158254944,87185691,448302084,129837058,39239496
(주)경동나비엔,9450,Dec-16,583252904,175420277,89997026,506082201,145915928,41128987
(주)경동나비엔,9450,Dec-17,684660958,230894567,110374505,569819524,175839342,57016736
(주)경동나비엔,9450,Dec-18,726741615,287001959,150049770,618058456,209454208,74930222
(주)경동나비엔,9450,Dec-19,774290704,274279157,138114361,655419303,214093729,66299991
(주)경동도시가스,267290,Dec-17,871548284,376858740,1111165,870828897,374489353,1111165
(주)경동도시가스,267290,Dec-18,1606531867,444232799,1299646,1605687067,441723742,1299646
(주)경동도시가스,267290,Dec-19,1422707835,395154174,1333402,1421866212,392458231,1333402
(주)경동인베스트,12320,Dec-11,1847666903,610411619,6238419,1806174764,563584969,837931
(주)경동인베스트,12320,Dec-12,2502642394,814034002,20579836,2403814656,753036515,1073025
(주)경동인베스트,12320,Dec-13,2788264380,778164231,13656418,2664100017,724069045,759346
(주)경동인베스트,12320,Dec-14,2603059058,766552554,18386682,2399450987,631297926,1014437
(주)경동인베스트,12320,Dec-15,1604168482,571798491,8347076,1352478311,459634757,958537
(주)경동인베스트,12320,Dec-16,1181902637,508994824,10949433,1021002691,394847821,1016660
(주)경동인베스트,12320,Dec-17,195069859,238339688,14232992,612436,110951332,0
