회사명,거래소코드,회계년도,유동자산(IFRS연결),유동부채(IFRS연결),유동자산(IFRS개별),유동부채(IFRS개별)
(주)고영테크놀러지,98460,Dec-15,121834639,21007557,124933566,20345674
(주)고영테크놀러지,98460,Dec-16,154891864,27477608,156029191,26393379
(주)고영테크놀러지,98460,Dec-17,161356541,32283948,159374622,29687984
(주)고영테크놀러지,98460,Dec-18,227563739,40471875,231667150,38506988
(주)고영테크놀러지,98460,Dec-19,225797248,38413935,229213476,34506180
(주)골드앤에스,35290,Dec-11,23477041,21734828,23165184,21203833
(주)골드앤에스,35290,Dec-12,26661256,20697748,27310447,19364629
(주)골드앤에스,35290,Dec-13,15792977,29802347,17985887,22293201
(주)골드앤에스,35290,Dec-14,15072221,25047175,15782408,14232991
(주)골드앤에스,35290,Dec-15,15364121,7942854,15122533,7606920
(주)골드앤에스,35290,Dec-16,8660668,3670098,8552277,3460979
(주)골드앤에스,35290,Dec-17,10831000,3198537,10974294,3260731
(주)골드앤에스,35290,Dec-18,21031370,28003279,21031370,27915835
(주)골드앤에스,35290,Dec-19,3910189,21055498,3910189,20965017
(주)골드퍼시픽,38530,Dec-11,,,15105931,2479288
(주)골드퍼시픽,38530,Dec-12,,,19029706,3581856
(주)골드퍼시픽,38530,Dec-13,16708814,10776770,15961156,8833269
(주)골드퍼시픽,38530,Dec-14,23894969,17941676,15761409,8600544
(주)골드퍼시픽,38530,Dec-15,14304863,4089090,14304863,4089090
(주)골드퍼시픽,38530,Dec-16,,,5438550,6684024
(주)골드퍼시픽,38530,Dec-17,,,17215160,20748043
(주)골드퍼시픽,38530,Dec-18,23990386,12191199,22006122,11654119
(주)골드퍼시픽,38530,Dec-19,,,28455147,50456375
(주)골프존,215000,Dec-15,81295773,50803120,71290784,48712106
(주)골프존,215000,Dec-16,89781733,56451253,75788492,51807444
(주)골프존,215000,Dec-17,160591890,51918381,142686039,45867329
(주)골프존,215000,Dec-18,145265354,54339957,134088763,52508860
(주)골프존,215000,Dec-19,81730468,61066134,70491340,54396575
(주)골프존뉴딘홀딩스,121440,Dec-11,276277197,27175102,249046740,23959622
(주)골프존뉴딘홀딩스,121440,Dec-12,267312187,127906398,267719852,100380679
(주)골프존뉴딘홀딩스,121440,Dec-13,280228001,210617017,315880696,158799918
(주)골프존뉴딘홀딩스,121440,Dec-14,176744598,192439743,174950116,109937606
(주)골프존뉴딘홀딩스,121440,Dec-15,97152205,103565383,45672526,8367004
(주)골프존뉴딘홀딩스,121440,Dec-16,102314350,144628383,63048320,13600183
(주)골프존뉴딘홀딩스,121440,Dec-17,117348020,120725767,46961353,37343445
(주)골프존뉴딘홀딩스,121440,Dec-18,99968915,209277715,59445798,53590836
(주)골프존뉴딘홀딩스,121440,Dec-19,125716505,85327312,30696570,13311280
(주)광림,14200,Dec-11,,,49443117,23686842
(주)광림,14200,Dec-12,,,53533329,20807441
(주)광림,14200,Dec-13,,,66494275,28060377
(주)광림,14200,Dec-14,149961809,85772868,53880127,42077415
(주)광림,14200,Dec-15,,,57623469,54386273
(주)광림,14200,Dec-16,88113464,105795434,51509785,55787503
(주)광림,14200,Dec-17,78175789,73471288,255751980,162860814
(주)광림,14200,Dec-18,75325405,89327971,145430179,100481370
(주)광림,14200,Dec-19,114526470,148515736,82568345,126333888
(주)광명전기,17040,Dec-11,70952226,52472085,50517306,39343749
(주)광명전기,17040,Dec-12,80616850,59112462,59736559,44663856
(주)광명전기,17040,Dec-13,78305715,45597121,64082992,40492046
(주)광명전기,17040,Dec-14,93730239,53299701,76850052,47016155
(주)광명전기,17040,Dec-15,83058514,37684895,63045495,31780232
(주)광명전기,17040,Dec-16,72296041,43304256,62147467,32825028
(주)광명전기,17040,Dec-17,72825667,41093650,64686772,37309556
(주)광명전기,17040,Dec-18,69980314,36256155,59981263,30574801
(주)광명전기,17040,Dec-19,87126906,45133574,77171530,40976226
(주)광무,29480,Dec-11,37578091,33725662,35909129,32194731
(주)광무,29480,Dec-12,23778931,20318859,16266767,18995980
(주)광무,29480,Dec-13,14314055,21611943,7025489,14232527
(주)광무,29480,Dec-14,,,9475626,14741069
(주)광무,29480,Dec-15,,,5286509,6483577
(주)광무,29480,Dec-16,,,11893960,13291212
(주)광무,29480,Dec-17,,,14949942,13555844
(주)광무,29480,Dec-18,17301470,14986294,12582516,13577977
(주)광무,29480,Dec-19,39307761,36140360,33233586,32525952
(주)광주신세계,37710,Dec-11,,,260854658,66163614
(주)광주신세계,37710,Dec-12,,,287723501,65950254
(주)광주신세계,37710,Dec-13,,,25873334,145034010
(주)광주신세계,37710,Dec-14,,,24561635,100591603
(주)광주신세계,37710,Dec-15,,,33510638,167220829
(주)광주신세계,37710,Dec-16,,,32426270,120554131
(주)광주신세계,37710,Dec-17,,,33243825,74984335
(주)광주신세계,37710,Dec-18,,,77504431,74818605
(주)광주신세계,37710,Dec-19,,,103160925,75664224
(주)구영테크,53270,Dec-11,58842369,104279859,40821654,60331304
(주)구영테크,53270,Dec-12,66346373,115585365,48964877,72155820
(주)구영테크,53270,Dec-13,53694228,89109382,36391962,57510219
(주)구영테크,53270,Dec-14,57115595,79347724,40628726,48915659
(주)구영테크,53270,Dec-15,58836903,68834054,41055597,39444816
(주)구영테크,53270,Dec-16,54139890,67161561,39434041,37678727
(주)구영테크,53270,Dec-17,64140319,81848867,52077454,56414032
(주)구영테크,53270,Dec-18,60744298,75014258,43158029,43472159
(주)구영테크,53270,Dec-19,70165074,89345198,37519675,46819127
(주)국동,5320,Dec-11,39415062,55840092,22715717,39383056
(주)국동,5320,Dec-12,39351863,49512946,17991148,32784070
(주)국동,5320,Dec-13,48642552,51305589,24414342,33963447
(주)국동,5320,Dec-14,60454108,43845038,36105772,30973623
(주)국동,5320,Dec-15,63906154,44926359,34533151,36237475
(주)국동,5320,Dec-16,83256355,47910562,51330735,30079724
(주)국동,5320,Dec-17,66343830,48234584,39587109,32582779
(주)국동,5320,Dec-18,83767312,63170690,46980024,38965464
(주)국동,5320,Dec-19,89543258,42862482,54839302,25921567
(주)국보,1140,Dec-11,41337436,54216640,39894724,53436541
(주)국보,1140,Dec-12,39130945,53242160,36506928,51610685
(주)국보,1140,Dec-13,37418409,55559279,35691910,54445568
(주)국보,1140,Dec-14,31669967,55303602,30298511,54035255
(주)국보,1140,Dec-15,26759792,52453525,25758664,51329699
(주)국보,1140,Dec-16,26046898,54893083,24610414,53668775
(주)국보,1140,Dec-17,18529522,45812874,17793062,44683851
(주)국보,1140,Dec-18,11759027,28126737,11593846,27888972
(주)국보,1140,Dec-19,70457619,75280895,17297097,36694538
(주)국보디자인,66620,Dec-11,59455203,31069394,57200948,29769233
(주)국보디자인,66620,Dec-12,74341481,34306810,72788158,33598419
(주)국보디자인,66620,Dec-13,102871707,59554141,95233392,54303853
(주)국보디자인,66620,Dec-14,106963249,54113739,99218627,51738972
(주)국보디자인,66620,Dec-15,107093318,54622328,96703601,50472332
(주)국보디자인,66620,Dec-16,128985094,66972237,118586463,66004387
(주)국보디자인,66620,Dec-17,135628503,61606792,127549210,60446916
(주)국보디자인,66620,Dec-18,142346121,62027834,127871195,53791955
(주)국보디자인,66620,Dec-19,194818591,94320054,169956490,80917421
(주)국순당,43650,Dec-11,82405755,16472336,77580053,15617190
(주)국순당,43650,Dec-12,87400525,13830374,81287902,12855993
(주)국순당,43650,Dec-13,100545624,13705357,84404848,11998667
(주)국순당,43650,Dec-14,99291581,14219171,86268346,13596481
(주)국순당,43650,Dec-15,97221146,10740663,82905503,11430600
(주)국순당,43650,Dec-16,85261001,10786059,71906088,9512046
(주)국순당,43650,Dec-17,86651908,12226432,75544356,10643502
(주)국순당,43650,Dec-18,72906719,11783237,62941465,10033456
(주)국순당,43650,Dec-19,78834555,33853250,60930981,6655759
(주)국영지앤엠,6050,Dec-11,,,25252313,16858375
(주)국영지앤엠,6050,Dec-12,,,21149484,6229917
(주)국영지앤엠,6050,Dec-13,,,25059260,12262531
(주)국영지앤엠,6050,Dec-14,,,22615829,7438655
(주)국영지앤엠,6050,Dec-15,,,27918404,12570854
(주)국영지앤엠,6050,Dec-16,,,29575531,11692874
(주)국영지앤엠,6050,Dec-17,,,29995395,11239458
(주)국영지앤엠,6050,Dec-18,,,25138635,8586831
(주)국영지앤엠,6050,Dec-19,,,32068324,12276270
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,278334197,340898793,24034151,114323068
(주)그래디언트,35080,Dec-12,240486033,269391513,14309378,28699017
