회사명,거래소코드,회계년도,[제조]자본(*)(IFRS연결),[제조]당기순이익(손실)(IFRS연결),[제조]자본(*)(IFRS),[제조]당기순이익(손실)(IFRS)
(주)갤럭시아에스엠,011420,2018/12,26472162,-16003255,26797332,-15678085
(주)갤럭시아에스엠,011420,2019/12,21798750,-1375316,21798750,-1375316
(주)경농,002100,2010/12,147965840,8679619,148352110,9486115
(주)경농,002100,2011/12,142986220,509664,146016982,3154155
(주)경농,002100,2012/12,151738994,10310339,151500247,6590012
(주)경농,002100,2013/12,163157512,13950249,162696463,13751960
(주)경농,002100,2014/12,168915900,7099305,168998955,9271741
(주)경농,002100,2015/12,174667648,6980392,173056378,6488880
(주)경농,002100,2016/12,183969132,6365805,176722752,5770891
(주)경농,002100,2017/12,192152986,10079442,182959158,11539079
(주)경농,002100,2018/12,201453891,4878426,187066687,9613575
(주)경농,002100,2019/12,201885272,4014664,190892614,7061857
(주)경동나비엔,009450,2010/12,160449250,7841073,136756722,5953556
(주)경동나비엔,009450,2011/12,168114574,9467023,143268094,9445090
(주)경동나비엔,009450,2012/12,175875394,9169965,152201349,9214927
(주)경동나비엔,009450,2013/12,187280988,11129597,161494784,9251575
(주)경동나비엔,009450,2014/12,190021880,9380054,167984480,9082312
(주)경동나비엔,009450,2015/12,206076609,16752000,185208256,19320742
(주)경동나비엔,009450,2016/12,238762190,37469924,210193123,28636194
(주)경동나비엔,009450,2017/12,256506497,27019124,222028494,16291264
(주)경동나비엔,009450,2018/12,280103616,24748538,240355951,22818064
(주)경동나비엔,009450,2019/12,301042624,27852090,254559521,20474157
(주)경동도시가스,267290,2017/12,294331882,17798556,292628586,17678888
(주)경동도시가스,267290,2018/12,320490074,34164798,318760537,33981432
(주)경동도시가스,267290,2019/12,339612043,24638348,337701666,24355132
(주)경동인베스트,012320,2010/12,376913014,42209499,365245365,41515269
(주)경동인베스트,012320,2011/12,407862543,30327559,412912132,50053289
(주)경동인베스트,012320,2012/12,446509347,42879202,468921996,56917580
(주)경동인베스트,012320,2013/12,498740561,49841905,516833582,46253877
(주)경동인베스트,012320,2014/12,607451423,75930406,560802056,44839494
(주)경동인베스트,012320,2015/12,576479441,-21251390,548528455,-6095609
(주)경동인베스트,012320,2016/12,587924566,19132415,556247783,16356641
(주)경동인베스트,012320,2017/12,400403090,51930860,309789000,7248447
(주)경동인베스트,012320,2018/12,397867310,29827973,310422538,1574966
(주)경동인베스트,012320,2019/12,414533638,8856009,308309156,-917643
(주)경방,000050,2010/12,632800486,20060632,680065508,23831171
(주)경방,000050,2011/12,629704391,-1131177,676624221,-1822388
(주)경방,000050,2012/12,620704205,-7910168,669735441,-7074187
(주)경방,000050,2013/12,636438555,14574395,685569176,15103835
(주)경방,000050,2014/12,647668814,11488471,651570419,14235818
(주)경방,000050,2015/12,662952918,16692163,671770865,21604723
(주)경방,000050,2016/12,679843399,29474988,690245544,30977743
(주)경방,000050,2017/12,699134073,25315361,710964923,25679379
(주)경방,000050,2018/12,708769347,20189241,729185709,29198252
(주)경방,000050,2019/12,741553199,43621631,740731873,22223943
(주)경보제약,214390,2015/12,,,122817151,26109623
(주)경보제약,214390,2016/12,,,129402340,12705930
(주)경보제약,214390,2017/12,,,141509596,17963310
(주)경보제약,214390,2018/12,,,149012165,13116049
(주)경보제약,214390,2019/12,,,149163504,5285239
(주)경인양행,012610,2010/12,176138097,8279011,157685148,3367162
(주)경인양행,012610,2011/12,176292506,2886360,158882273,2788642
(주)경인양행,012610,2012/12,174988685,2093491,162112825,4475441
(주)경인양행,012610,2013/12,189744314,10215710,178074513,12327177
(주)경인양행,012610,2014/12,198238667,10148247,186433506,9090269
