회사명,거래소코드,회계년도,당기자본(IFRS연결),전기자본(IFRS연결),당기자본(IFRS개별),전기자본(IFRS개별)
(주)고려시멘트,198440,Dec-14,,,,
(주)고려시멘트,198440,Dec-15,,,,
(주)고려시멘트,198440,Dec-16,,,,
(주)고려시멘트,198440,Dec-17,,,77394108,77394108
(주)고려시멘트,198440,Dec-18,,,86510962,86510962
(주)고려시멘트,198440,Dec-19,,,88445378,88445378
(주)고영테크놀러지,98460,Dec-11,69622726,69622726,70382391,70382391
(주)고영테크놀러지,98460,Dec-12,83401095,83401095,84090906,84090906
(주)고영테크놀러지,98460,Dec-13,98319609,98319609,100051693,100051693
(주)고영테크놀러지,98460,Dec-14,115835240,115835240,118348519,118348519
(주)고영테크놀러지,98460,Dec-15,131475647,131475647,133570714,133570714
(주)고영테크놀러지,98460,Dec-16,157267580,157267580,157572806,157572806
(주)고영테크놀러지,98460,Dec-17,161317171,161317171,164836232,164836232
(주)고영테크놀러지,98460,Dec-18,225866639,225866639,229271175,229271175
(주)고영테크놀러지,98460,Dec-19,243668528,243668528,252020628,252020628
(주)골드앤에스,35290,Dec-11,22436829,22436829,22637807,22637807
(주)골드앤에스,35290,Dec-12,25517817,25517817,26252682,26252682
(주)골드앤에스,35290,Dec-13,13127355,13127355,9813150,9813150
(주)골드앤에스,35290,Dec-14,12082621,12082621,9084260,9084260
(주)골드앤에스,35290,Dec-15,15160254,15160254,14991660,14991660
(주)골드앤에스,35290,Dec-16,14268527,13462426,14102143,13296043
(주)골드앤에스,35290,Dec-17,13346076,13346076,13104737,13104737
(주)골드앤에스,35290,Dec-18,13779569,12576392,13867013,12663837
(주)골드앤에스,35290,Dec-19,-5091573,-5091573,-5001092,-5001092
(주)골드퍼시픽,38530,Dec-11,,,21829724,21829724
(주)골드퍼시픽,38530,Dec-12,,22928402,22928402,22928402
(주)골드퍼시픽,38530,Dec-13,16190999,16190999,17116411,17116411
(주)골드퍼시픽,38530,Dec-14,16567915,16567915,16902289,16902289
(주)골드퍼시픽,38530,Dec-15,21193149,,20115559,21193149
(주)골드퍼시픽,38530,Dec-16,,,1889641,1889641
(주)골드퍼시픽,38530,Dec-17,,5364494,5364494,5364494
(주)골드퍼시픽,38530,Dec-18,20086698,,20086698,20086698
(주)골드퍼시픽,38530,Dec-19,,,21069318,21069318
(주)골프존,215000,Dec-15,108853909,108853909,105063093,105063093
(주)골프존,215000,Dec-16,120648626,120648626,115886579,115886579
(주)골프존,215000,Dec-17,189381881,189381881,181394935,181394935
(주)골프존,215000,Dec-18,194919561,194919561,197436844,197436844
(주)골프존,215000,Dec-19,200042879,200042879,205529589,205529589
(주)골프존뉴딘홀딩스,121440,Dec-11,348968757,348968757,348104397,348104397
(주)골프존뉴딘홀딩스,121440,Dec-12,411636973,411636973,410999847,410999847
(주)골프존뉴딘홀딩스,121440,Dec-13,424543916,424543916,427556455,427556455
(주)골프존뉴딘홀딩스,121440,Dec-14,486385956,486385956,473636026,473636026
