회사명,거래소코드,회계년도,매출액증가율(IFRS),재고자산증가율(IFRS),자기자본증가율(IFRS)
(주)국전약품,307750,Dec-18,,,
(주)국전약품,307750,Dec-19,,,
(주)그래디언트,35080,Dec-11,9.8,0,-8.22
(주)그래디언트,35080,Dec-12,17.36,0,23.04
(주)그래디언트,35080,Dec-13,-28.79,0,-2.27
(주)그래디언트,35080,Dec-14,-2.35,0,4.4
(주)그래디언트,35080,Dec-15,66,0,2.72
(주)그래디언트,35080,Dec-16,28.33,0,-9.78
(주)그래디언트,35080,Dec-17,-24.41,0,-15.56
(주)그래디언트,35080,Dec-18,-1.98,0,-1.07
(주)그래디언트,35080,Dec-19,-28.75,0,-1.58
(주)그리티,204020,Dec-18,-5.83,17.59,35.98
(주)그리티,204020,Dec-19,3.36,6.3,1.06
(주)그린플러스,186230,Dec-19,-6.28,-4.45,56.64
(주)글로벌스탠다드테크놀로지,83450,Dec-11,-11.99,185.18,10.99
(주)글로벌스탠다드테크놀로지,83450,Dec-12,54.38,17.65,26.65
(주)글로벌스탠다드테크놀로지,83450,Dec-13,25.72,-0.49,17.35
(주)글로벌스탠다드테크놀로지,83450,Dec-14,8.97,-23.88,16.48
(주)글로벌스탠다드테크놀로지,83450,Dec-15,-6.85,-29.72,8.86
(주)글로벌스탠다드테크놀로지,83450,Dec-16,2.19,133.45,6.92
(주)글로벌스탠다드테크놀로지,83450,Dec-17,89.06,-7.01,26.69
(주)글로벌스탠다드테크놀로지,83450,Dec-18,-25.29,-33.79,7.97
(주)글로벌스탠다드테크놀로지,83450,Dec-19,30.41,49.77,24.45
(주)금비,8870,Sep-11,24.66,47.32,-2.46
(주)금비,8870,Sep-12,-8.08,-2.37,-0.45
(주)금비,8870,Sep-13,-1.52,12.01,-0.43
(주)금비,8870,Sep-14,-1.6,-11.6,-2.65
(주)금비,8870,Sep-15,16,9.21,2.09
(주)금비,8870,Sep-16,7.15,10.7,6.34
(주)금비,8870,Sep-17,-19.88,-11.56,0.81
(주)금비,8870,Sep-18,12.96,-3.94,3.21
(주)금비,8870,Sep-19,0.76,4.98,1.28
(주)금양,1570,Dec-11,11.24,23.3,2.26
(주)금양,1570,Dec-12,7.29,3.41,5.2
(주)금양,1570,Dec-13,21.95,17.43,0.36
(주)금양,1570,Dec-14,4.47,31.04,2.33
(주)금양,1570,Dec-15,10.51,-13.88,0.48
(주)금양,1570,Dec-16,5.61,-27.19,-52.38
(주)금양,1570,Dec-17,-6.33,25.38,40.53
(주)금양,1570,Dec-18,0.58,4.04,57.39
(주)금양,1570,Dec-19,-10.39,17.2,-28.83
(주)금호에이치티,214330,Dec-15,3.74,23.83,32.43
(주)금호에이치티,214330,Dec-16,4.38,0.21,12.9
(주)금호에이치티,214330,Dec-17,-12.78,3.13,5.23
(주)금호에이치티,214330,Dec-18,14.36,47.98,34.34
(주)금호에이치티,214330,Dec-19,17.16,0,37.92
(주)금화피에스시,36190,Dec-11,-15.27,0,17.29
(주)금화피에스시,36190,Dec-12,30.8,0,20.9
(주)금화피에스시,36190,Dec-13,44.73,0,22.64
(주)금화피에스시,36190,Dec-14,6.59,0,12.08
(주)금화피에스시,36190,Dec-15,17.95,0,12.12
(주)금화피에스시,36190,Dec-16,2.35,0,12.47
(주)금화피에스시,36190,Dec-17,-13.18,0,10.2
(주)금화피에스시,36190,Dec-18,15.49,0,19.89
(주)금화피에스시,36190,Dec-19,-11.34,0,7.75
(주)기가레인,49080,Dec-13,0,0,0
(주)기가레인,49080,Dec-14,1.49,5.56,23.14
(주)기가레인,49080,Dec-15,-35.83,-39.29,-15.07
(주)기가레인,49080,Dec-16,14.92,-15.55,-12.83
(주)기가레인,49080,Dec-17,27.67,290.41,56.01
(주)기가레인,49080,Dec-18,27.59,58.93,-24.88
(주)기가레인,49080,Dec-19,-44.74,-57.42,-58.3
(주)기산텔레콤,35460,Dec-11,-42.86,-8.32,-20.4
(주)기산텔레콤,35460,Dec-12,35.53,-51.13,4.43
(주)기산텔레콤,35460,Dec-13,-1.77,10.56,6.4
(주)기산텔레콤,35460,Dec-14,-13.96,-7.42,0.95
(주)기산텔레콤,35460,Dec-15,9.85,-9.84,6.3
(주)기산텔레콤,35460,Dec-16,-46.01,-11.01,-3.36
(주)기산텔레콤,35460,Dec-17,19.81,81,-5.3
(주)기산텔레콤,35460,Dec-18,-15.91,-49.99,-17.47
(주)기산텔레콤,35460,Dec-19,22.85,-20.2,7.3
(주)까뮤이앤씨,13700,Dec-11,-58.95,-42.86,-71.78
(주)까뮤이앤씨,13700,Dec-12,1.03,13.16,-11.54
(주)까뮤이앤씨,13700,Dec-13,-8.14,-78.26,-17.29
(주)까뮤이앤씨,13700,Dec-14,47.86,31.56,5.88
(주)까뮤이앤씨,13700,Dec-15,7.12,-7.76,28.26
(주)까뮤이앤씨,13700,Dec-16,5.54,-2.51,11.63
(주)까뮤이앤씨,13700,Dec-17,23.24,8.48,15.64
(주)까뮤이앤씨,13700,Dec-18,-32.46,34.3,0.77
(주)까뮤이앤씨,13700,Dec-19,143.7,-38.26,19.09
(주)까스텔바작,308100,Dec-19,-11.97,6.47,22.34
(주)나노,187790,Dec-14,,,
(주)나노,187790,Dec-15,0,0,0
(주)나노,187790,Dec-16,24.18,-34.64,-15.01
(주)나노,187790,Dec-17,62.04,-11.6,36.75
(주)나노,187790,Dec-18,14.34,17.45,20.17
(주)나노,187790,Dec-19,12.22,16.04,7.89
(주)나노브릭,286750,Dec-19,8.2,20.81,828.34
(주)나노신소재,121600,Dec-11,20.34,71.64,124.46
(주)나노신소재,121600,Dec-12,-29.38,1.09,-2.55
(주)나노신소재,121600,Dec-13,13.46,-0.98,2.18
(주)나노신소재,121600,Dec-14,4.1,16.79,6.29
(주)나노신소재,121600,Dec-15,54.48,-7.48,20.07
(주)나노신소재,121600,Dec-16,-4.7,3.04,5.02
(주)나노신소재,121600,Dec-17,10.84,3.59,6.86
(주)나노신소재,121600,Dec-18,14.66,29.14,7.03
(주)나노신소재,121600,Dec-19,-6.42,-5.6,5.6
(주)나노엔텍,39860,Dec-11,-13.3,-7.29,1.84
(주)나노엔텍,39860,Dec-12,3.62,21.4,-21.32
(주)나노엔텍,39860,Dec-13,40.63,-1.84,9.19
(주)나노엔텍,39860,Dec-14,6.21,-2.98,53.13
(주)나노엔텍,39860,Dec-15,-7.91,-22.65,27.59
