회사명,거래소코드,회계년도,당기매출액(IFRS연결),전기매출액(IFRS연결),당기매출액(IFRS개별),전기매출액(IFRS개별)
(주)기가레인,49080,Dec-19,72769411,54585852,63361399,45177840
(주)기산텔레콤,35460,Dec-11,65679195,65679195,36332290,36332290
(주)기산텔레콤,35460,Dec-12,74315907,74315907,49240507,49240507
(주)기산텔레콤,35460,Dec-13,79463728,79463728,48367030,48367030
(주)기산텔레콤,35460,Dec-14,74512326,74512326,41612762,41612762
(주)기산텔레콤,35460,Dec-15,79710503,79710503,45712905,45712905
(주)기산텔레콤,35460,Dec-16,59172319,59172319,24679656,24679656
(주)기산텔레콤,35460,Dec-17,63467585,63467585,29568090,29568090
(주)기산텔레콤,35460,Dec-18,56445716,56445716,24864346,24864346
(주)기산텔레콤,35460,Dec-19,67054955,67054955,30545683,30545683
(주)까뮤이앤씨,13700,Dec-11,,,90048208,90048208
(주)까뮤이앤씨,13700,Dec-12,,,90976586,90976586
(주)까뮤이앤씨,13700,Dec-13,,,83568532,83568532
(주)까뮤이앤씨,13700,Dec-14,,,123567918,123567918
(주)까뮤이앤씨,13700,Dec-15,,,132370311,132370311
(주)까뮤이앤씨,13700,Dec-16,,,139708060,139708060
