회사명,거래소코드,회계년도,당기순이익(IFRS연결),전기순이익(IFRS연결),당기순이익(IFRS개별),전기순이익(IFRS개별)
(주)경보제약,214390,Dec-18,,,13116049,13116049
(주)경보제약,214390,Dec-19,,,5285239,5285239
(주)경인양행,12610,Dec-11,2886360,2886360,2788642,2788642
(주)경인양행,12610,Dec-12,2093491,2093491,4475441,4475441
(주)경인양행,12610,Dec-13,10215710,10215710,12327177,12327177
(주)경인양행,12610,Dec-14,10148247,10148247,9090269,9090269
(주)경인양행,12610,Dec-15,3670895,3670895,107330,107330
(주)경인양행,12610,Dec-16,6837522,6837522,3724987,3724987
(주)경인양행,12610,Dec-17,4779249,4779249,531273,531273
(주)경인양행,12610,Dec-18,13801882,13801882,7419717,7419717
(주)경인양행,12610,Dec-19,16372880,16372880,4797711,4797711
(주)고려시멘트,198440,Dec-14,,,,
(주)고려시멘트,198440,Dec-15,,,,
(주)고려시멘트,198440,Dec-16,,,,
(주)고려시멘트,198440,Dec-17,,,1003761,1003761
(주)고려시멘트,198440,Dec-18,,,4645869,4645869
(주)고려시멘트,198440,Dec-19,,,3396444,3396444
(주)고영테크놀러지,98460,Dec-11,15634438,15634438,16580579,16580579
(주)고영테크놀러지,98460,Dec-12,15221925,15221925,14836215,14836215
(주)고영테크놀러지,98460,Dec-13,13933294,13933294,14816762,14816762
(주)고영테크놀러지,98460,Dec-14,22111066,22111066,22775832,22775832
(주)고영테크놀러지,98460,Dec-15,23530903,23530903,23271756,23271756
(주)고영테크놀러지,98460,Dec-16,29723733,29723733,28063238,28063238
(주)고영테크놀러지,98460,Dec-17,26734105,26734105,28907302,28907302
(주)고영테크놀러지,98460,Dec-18,42309672,42309672,42430216,42430216
(주)고영테크놀러지,98460,Dec-19,29559680,29559680,34702997,34702997
(주)골드앤에스,35290,Dec-11,1002287,1002287,1101095,1101095
(주)골드앤에스,35290,Dec-12,-6467495,-6467494,-6036290,-6036290
(주)골드앤에스,35290,Dec-13,-16837473,-16837473,-16378087,-16378087
(주)골드앤에스,35290,Dec-14,-9319175,-9319175,-8058617,-8058617
(주)골드앤에스,35290,Dec-15,-9502547,-9502547,-9396462,-9396462
(주)골드앤에스,35290,Dec-16,390367,-971491,388207,-973651
(주)골드앤에스,35290,Dec-17,-7975875,-7975875,-8062623,-8062623
(주)골드앤에스,35290,Dec-18,-4380399,-5583576,-4045846,-5249022
(주)골드앤에스,35290,Dec-19,-24883278,-24883278,-24883215,-24883215
(주)골드퍼시픽,38530,Dec-11,,,990336,990336
(주)골드퍼시픽,38530,Dec-12,,254546,254546,254546
(주)골드퍼시픽,38530,Dec-13,-9381353,-9381353,-8455942,-8455942
(주)골드퍼시픽,38530,Dec-14,-7390326,-7390326,-7306525,-7306525
(주)골드퍼시픽,38530,Dec-15,-10215946,,-12525668,-10215946
(주)골드퍼시픽,38530,Dec-16,,,-23433498,-23433498
(주)골드퍼시픽,38530,Dec-17,,-965087,-965087,-965087
(주)골드퍼시픽,38530,Dec-18,-4471963,,-4380343,-4471963
(주)골드퍼시픽,38530,Dec-19,,,-31603970,-31603970
(주)골프존,215000,Dec-15,36533155,36533155,33262807,33262807
(주)골프존,215000,Dec-16,36536248,36536248,35913366,35913366
(주)골프존,215000,Dec-17,79392004,79392004,75544308,75544308
(주)골프존,215000,Dec-18,20419449,20419449,21663391,21663391
(주)골프존,215000,Dec-19,16213888,16213888,19704546,19704546
(주)골프존뉴딘홀딩스,121440,Dec-11,46487063,46487064,47591974,47591974
(주)골프존뉴딘홀딩스,121440,Dec-12,73354594,73354594,72099265,72099265
(주)골프존뉴딘홀딩스,121440,Dec-13,2803470,2803470,4493226,4493226
(주)골프존뉴딘홀딩스,121440,Dec-14,79234486,79234486,63571492,63571492
(주)골프존뉴딘홀딩스,121440,Dec-15,871101274,871101274,890006593,890006593
(주)골프존뉴딘홀딩스,121440,Dec-16,2876449,2876449,-20255655,-20255655
(주)골프존뉴딘홀딩스,121440,Dec-17,-21585123,-21585123,-21778628,-20921250
(주)골프존뉴딘홀딩스,121440,Dec-18,-7527390,-7527390,-7653686,-7653686
(주)골프존뉴딘홀딩스,121440,Dec-19,-34848135,-34095600,-30341791,-29589256
(주)광림,14200,Dec-11,,,2583332,2583332
(주)광림,14200,Dec-12,,,586385,586385
(주)광림,14200,Dec-13,,1630750,1630750,1630750
(주)광림,14200,Dec-14,-237860,,1137559,-237860
(주)광림,14200,Dec-15,,9223597,9223597,3286700
(주)광림,14200,Dec-16,-1896521,-1896521,437352,437352
(주)광림,14200,Dec-17,-23602051,-23602051,86196134,86196134
(주)광림,14200,Dec-18,-28445678,-28445678,-58294056,-58294056
(주)광림,14200,Dec-19,-14006972,-6019563,-68290742,24489126
(주)광명전기,17040,Dec-11,-1825104,-1825104,-75153,-75153
(주)광명전기,17040,Dec-12,407617,407617,-1564026,-1564026
(주)광명전기,17040,Dec-13,6473480,6473480,5301060,5301060
(주)광명전기,17040,Dec-14,9107331,9107331,6978508,6978508
(주)광명전기,17040,Dec-15,8891002,8891002,3442541,3442541
(주)광명전기,17040,Dec-16,11593891,11593891,15612709,15612709
(주)광명전기,17040,Dec-17,-2043260,-2043260,-1349854,-1349854
(주)광명전기,17040,Dec-18,2718092,2718092,3182514,3182514
(주)광명전기,17040,Dec-19,7118200,7118200,6470387,6470387
(주)광무,29480,Dec-11,-50127229,-52601661,-51537196,-54011628
(주)광무,29480,Dec-12,-10689029,-10689029,-15113066,-15113066
(주)광무,29480,Dec-13,-28721377,,-33154332,-28721377
(주)광무,29480,Dec-14,,,-859721,-859721
(주)광무,29480,Dec-15,,,-2727754,-2727754
(주)광무,29480,Dec-16,,,95615,95615
(주)광무,29480,Dec-17,,-3352682,-3352682,-3352682
(주)광무,29480,Dec-18,-5120760,-5120760,-4875184,-4875184
(주)광무,29480,Dec-19,-6421201,-6421201,-6275093,-6275093
(주)광주신세계,37710,Dec-11,,,52281979,52281979
(주)광주신세계,37710,Dec-12,,,53769536,53769536
(주)광주신세계,37710,Dec-13,,,48569715,48569715
(주)광주신세계,37710,Dec-14,,,42236355,42236355
(주)광주신세계,37710,Dec-15,,,45901413,45901413
(주)광주신세계,37710,Dec-16,,,45554028,45554028
(주)광주신세계,37710,Dec-17,,,47846191,47846191
(주)광주신세계,37710,Dec-18,,,45093180,45093180
(주)광주신세계,37710,Dec-19,,,47668959,47668959
(주)구영테크,53270,Dec-11,-647883,-647883,985788,985788
(주)구영테크,53270,Dec-12,1633009,1633009,1250176,1250176
(주)구영테크,53270,Dec-13,2179847,2179847,1137402,1137402
(주)구영테크,53270,Dec-14,2236588,2236588,1326679,1326679
(주)구영테크,53270,Dec-15,4158785,4158785,3196300,3196300
(주)구영테크,53270,Dec-16,2542450,2542450,3920237,3920237
(주)구영테크,53270,Dec-17,1357296,1357296,1239184,1239184
(주)구영테크,53270,Dec-18,5920905,5920905,3912117,3912117
(주)구영테크,53270,Dec-19,3387486,3387486,1558141,1558141
(주)국동,5320,Dec-11,-7212195,-7212195,-12930687,-12930687
(주)국동,5320,Dec-12,5142066,5142066,262553,262553
(주)국동,5320,Dec-13,4009323,4009323,2373991,2373991
(주)국동,5320,Dec-14,8898694,8898694,4692501,4692501
(주)국동,5320,Dec-15,5235608,5235608,5321778,5321778
(주)국동,5320,Dec-16,6208749,6208749,4379974,4379974
(주)국동,5320,Dec-17,-8967738,-8967738,-6593433,-6593433
(주)국동,5320,Dec-18,2111761,2111761,1351547,1351547
(주)국동,5320,Dec-19,-4523376,-4523376,-6989987,-6989987
(주)국보,1140,Dec-11,-37903,-37903,-176708,-176708
(주)국보,1140,Dec-12,-874559,,-1916073,-1916073
(주)국보,1140,Dec-13,-3846673,-3846673,-3766842,-3766842
(주)국보,1140,Dec-14,-6999514,-6999514,-6633427,-6633427
