회사명,거래소코드,회계년도,매출액(IFRS연결),매출원가(IFRS연결),매출액(IFRS개별),매출원가(IFRS개별)
(주)경동인베스트,12320,Dec-19,271765025,223338232,8641051,3929209
(주)경방,50,Dec-11,348136369,258814443,275746943,246411496
(주)경방,50,Dec-12,333620804,260837041,265409209,250600103
(주)경방,50,Dec-13,347189559,251468225,264782077,223418883
(주)경방,50,Dec-14,329036023,238357806,256979444,209067504
(주)경방,50,Dec-15,357628146,255868653,307744480,209467360
(주)경방,50,Dec-16,377445013,268352680,313876822,210095763
(주)경방,50,Dec-17,360788750,253442168,288103985,188372022
(주)경방,50,Dec-18,351438926,244043108,279085217,177815403
(주)경방,50,Dec-19,343892085,244396020,253552382,151563044
(주)경보제약,214390,Dec-15,,,178032632,129475387
(주)경보제약,214390,Dec-16,,,186726170,142622767
(주)경보제약,214390,Dec-17,,,191661374,137038683
(주)경보제약,214390,Dec-18,,,201343596,152082417
(주)경보제약,214390,Dec-19,,,191706189,150990036
(주)경인양행,12610,Dec-11,233095049,198818643,128707611,109831813
(주)경인양행,12610,Dec-12,218604655,190167857,141304459,120613769
(주)경인양행,12610,Dec-13,260808400,217483383,183106757,147883856
(주)경인양행,12610,Dec-14,277181095,228191361,190395047,153646031
(주)경인양행,12610,Dec-15,263163677,220123025,175006703,148385606
(주)경인양행,12610,Dec-16,274873817,228042128,179267850,150776725
(주)경인양행,12610,Dec-17,299987729,252841704,193975818,164845854
(주)경인양행,12610,Dec-18,331102011,255365574,222659442,169805543
(주)경인양행,12610,Dec-19,358802386,274054354,245244968,188265694
(주)고려시멘트,198440,Dec-14,,,,
(주)고려시멘트,198440,Dec-15,,,,
(주)고려시멘트,198440,Dec-16,,,,
(주)고려시멘트,198440,Dec-17,,,87660276,75974602
(주)고려시멘트,198440,Dec-18,,,85775723,73108112
(주)고려시멘트,198440,Dec-19,,,70921781,65599490
(주)고영테크놀러지,98460,Dec-11,86130810,36970902,80200892,34339828
(주)고영테크놀러지,98460,Dec-12,107841666,46349851,100791139,46250331
(주)고영테크놀러지,98460,Dec-13,111902729,49977494,103933681,48746666
(주)고영테크놀러지,98460,Dec-14,142840131,60262407,135531589,61382298
(주)고영테크놀러지,98460,Dec-15,145904431,56896177,138554625,56961633
(주)고영테크놀러지,98460,Dec-16,171793841,63856136,153254768,61186100
(주)고영테크놀러지,98460,Dec-17,203368626,71899522,188934907,73639302
(주)고영테크놀러지,98460,Dec-18,238208865,89336707,219818022,88093203
(주)고영테크놀러지,98460,Dec-19,222057035,80865005,209480760,81602341
(주)골드앤에스,35290,Dec-11,47522791,32544786,47522791,33020367
(주)골드앤에스,35290,Dec-12,43889087,31012456,43889087,31475407
(주)골드앤에스,35290,Dec-13,39548810,28127986,36607591,26382626
(주)골드앤에스,35290,Dec-14,31287203,23453716,29428881,21706823
(주)골드앤에스,35290,Dec-15,22197935,15199451,22197935,15542053
(주)골드앤에스,35290,Dec-16,15893494,9347753,15893494,9636887
(주)골드앤에스,35290,Dec-17,12802035,8002687,12802035,8220762
(주)골드앤에스,35290,Dec-18,8680452,4405757,8680452,4348267
(주)골드앤에스,35290,Dec-19,7642733,6293120,7642733,6293120
(주)골드퍼시픽,38530,Dec-11,,,11236925,6637040
(주)골드퍼시픽,38530,Dec-12,,,10491048,7335464
(주)골드퍼시픽,38530,Dec-13,7167832,8242393,6488691,7623009
(주)골드퍼시픽,38530,Dec-14,16486257,17957521,4855121,8095405
(주)골드퍼시픽,38530,Dec-15,18635305,19680341,6121489,8377506
(주)골드퍼시픽,38530,Dec-16,,,9588100,8116354
(주)골드퍼시픽,38530,Dec-17,,,5031439,1988881
(주)골드퍼시픽,38530,Dec-18,5708281,1408824,5580994,1408824
(주)골드퍼시픽,38530,Dec-19,,,11323125,8029376
(주)골프존,215000,Dec-15,201560389,80622893,184085342,60628407
(주)골프존,215000,Dec-16,216964342,87427908,196864993,75591746
(주)골프존,215000,Dec-17,200105321,69036405,171859065,61708564
(주)골프존,215000,Dec-18,198705194,77580938,191571105,77184826
(주)골프존,215000,Dec-19,247018099,93859565,239051647,96463711
(주)골프존뉴딘홀딩스,121440,Dec-11,215793737,100364106,209788389,101810790
(주)골프존뉴딘홀딩스,121440,Dec-12,289629366,131624220,276341690,119729808
(주)골프존뉴딘홀딩스,121440,Dec-13,365126358,186981066,340005073,153062630
(주)골프존뉴딘홀딩스,121440,Dec-14,429589619,219364035,387066126,171180827
(주)골프존뉴딘홀딩스,121440,Dec-15,164536448,109081059,29389093,7714195
(주)골프존뉴딘홀딩스,121440,Dec-16,243275475,126201483,27652102,512580
(주)골프존뉴딘홀딩스,121440,Dec-17,213756902,112978779,23499543,681186
(주)골프존뉴딘홀딩스,121440,Dec-18,223036801,129202466,16100354,630040
(주)골프존뉴딘홀딩스,121440,Dec-19,228935651,140609926,26897482,25361094
(주)광림,14200,Dec-11,,,106495363,89277042
(주)광림,14200,Dec-12,,,85322569,74514327
(주)광림,14200,Dec-13,,,103442134,89450125
(주)광림,14200,Dec-14,231446314,175450887,92553612,79081364
(주)광림,14200,Dec-15,,,237222890,178239093
(주)광림,14200,Dec-16,87302967,75002299,87302967,75002299
(주)광림,14200,Dec-17,135191558,131160374,99421336,84130277
(주)광림,14200,Dec-18,136595300,122536264,75493055,62505909
(주)광림,14200,Dec-19,145864184,134964602,93241157,78615222
(주)광명전기,17040,Dec-11,92382628,81102005,57967857,51994278
(주)광명전기,17040,Dec-12,117216514,102591227,79318302,70522943
(주)광명전기,17040,Dec-13,117852824,98728241,90344376,76118777
(주)광명전기,17040,Dec-14,134778387,114780200,115801471,100019085
(주)광명전기,17040,Dec-15,116316957,98659704,93000177,83525805
(주)광명전기,17040,Dec-16,96942911,87732377,96931493,87560184
(주)광명전기,17040,Dec-17,101561159,92454439,105083042,95422477
(주)광명전기,17040,Dec-18,114110654,103304003,96949804,87318774
(주)광명전기,17040,Dec-19,131864294,117038701,125009206,111565450
(주)광무,29480,Dec-11,51755052,42251012,50359203,40419633
(주)광무,29480,Dec-12,41178683,33757502,40406860,33220101
(주)광무,29480,Dec-13,20534276,22621739,10105219,10221619
(주)광무,29480,Dec-14,,,38409667,31532738
(주)광무,29480,Dec-15,,,17648493,13652964
(주)광무,29480,Dec-16,,,26429957,21752231
(주)광무,29480,Dec-17,,,21540953,17503183
(주)광무,29480,Dec-18,23074941,17769834,20707286,17118006
(주)광무,29480,Dec-19,36483979,21870776,25244176,20873726
(주)광주신세계,37710,Dec-11,,,219613514,80698060
(주)광주신세계,37710,Dec-12,,,213803173,76996157
(주)광주신세계,37710,Dec-13,,,206606675,73016518
(주)광주신세계,37710,Dec-14,,,204820461,71460629
(주)광주신세계,37710,Dec-15,,,205331892,67952823
(주)광주신세계,37710,Dec-16,,,210423594,69014284
(주)광주신세계,37710,Dec-17,,,209647360,68619341
(주)광주신세계,37710,Dec-18,,,135213362,17733154
(주)광주신세계,37710,Dec-19,,,154879496,18569711
(주)구영테크,53270,Dec-11,147832315,129730219,62527619,50904676
(주)구영테크,53270,Dec-12,155788988,134266189,65451015,53454413
(주)구영테크,53270,Dec-13,172747316,150485036,76282590,63114137
(주)구영테크,53270,Dec-14,170528694,148057799,77799749,64482528
(주)구영테크,53270,Dec-15,172083049,146639036,87109177,72768430
(주)구영테크,53270,Dec-16,148301597,125781105,75320433,61393389
(주)구영테크,53270,Dec-17,149833357,127099113,74298129,61735712
(주)구영테크,53270,Dec-18,195238339,172978813,81928926,69673553
