회사명,거래소코드,회계년도,기계장치(IFRS연결,기계장치(IFRS),합계_기말인원
(주)국보디자인,66620,Dec-16,74246,74246,352
(주)국보디자인,66620,Dec-17,74246,74246,387
(주)국보디자인,66620,Dec-18,74246,74246,341
(주)국보디자인,66620,Dec-19,74246,74246,331
(주)국순당,43650,Dec-11,37977112,35768471,410
(주)국순당,43650,Dec-12,37873852,36200024,377
(주)국순당,43650,Dec-13,38829929,36351213,365
(주)국순당,43650,Dec-14,35594356,33656876,350
(주)국순당,43650,Dec-15,35902951,33779876,336
(주)국순당,43650,Dec-16,36166018,33924751,309
(주)국순당,43650,Dec-17,35509492,33850894,256
(주)국순당,43650,Dec-18,27767135,33856566,260
(주)국순당,43650,Dec-19,19306821,27193293,248
(주)국영지앤엠,6050,Dec-11,,5169325,105
(주)국영지앤엠,6050,Dec-12,,8103634,98
(주)국영지앤엠,6050,Dec-13,,8240134,102
(주)국영지앤엠,6050,Dec-14,,8684854,120
(주)국영지앤엠,6050,Dec-15,,9104500,105
(주)국영지앤엠,6050,Dec-16,,10438007,113
(주)국영지앤엠,6050,Dec-17,,11563324,111
(주)국영지앤엠,6050,Dec-18,,11603124,107
(주)국영지앤엠,6050,Dec-19,,10331384,115
(주)국전약품,307750,Dec-18,,,1
(주)국전약품,307750,Dec-19,,,1
(주)그래디언트,35080,Dec-11,18272734,364590,59
(주)그래디언트,35080,Dec-12,22505630,0,14
(주)그래디언트,35080,Dec-13,23366760,0,18
(주)그래디언트,35080,Dec-14,20716482,0,25
(주)그래디언트,35080,Dec-15,17496313,0,19
(주)그래디언트,35080,Dec-16,18758588,0,11
(주)그래디언트,35080,Dec-17,17213858,0,12
(주)그래디언트,35080,Dec-18,18738691,0,10
(주)그래디언트,35080,Dec-19,28206337,0,32
(주)그리티,204020,Dec-18,26232,26232,94
(주)그리티,204020,Dec-19,39232,39232,96
(주)그린플러스,186230,Dec-19,2625420,2530113,95
(주)글로벌스탠다드테크놀로지,83450,Dec-11,156977,128509,214
(주)글로벌스탠다드테크놀로지,83450,Dec-12,290735,255767,267
(주)글로벌스탠다드테크놀로지,83450,Dec-13,320734,285767,306
(주)글로벌스탠다드테크놀로지,83450,Dec-14,320735,285767,361
(주)글로벌스탠다드테크놀로지,83450,Dec-15,187725,151766,392
(주)글로벌스탠다드테크놀로지,83450,Dec-16,152473,124774,435
(주)글로벌스탠다드테크놀로지,83450,Dec-17,106145,50721,584
(주)글로벌스탠다드테크놀로지,83450,Dec-18,249876,38895,605
(주)글로벌스탠다드테크놀로지,83450,Dec-19,466508,27070,594
(주)금양,1570,Dec-11,9450861,4062791,75
(주)금양,1570,Dec-12,15113292,4545491,79
(주)금양,1570,Dec-13,15483064,4627792,85
(주)금양,1570,Dec-14,13089932,4775743,102
(주)금양,1570,Dec-15,15912754,2267098,101
(주)금양,1570,Dec-16,20570015,7340271,114
(주)금양,1570,Dec-17,20979223,7440067,109
(주)금양,1570,Dec-18,22091005,7899669,104
(주)금양,1570,Dec-19,22525637,11126217,96
(주)금호에이치티,214330,Dec-15,42225522,34400721,555
(주)금호에이치티,214330,Dec-16,45288746,36357524,514
(주)금호에이치티,214330,Dec-17,45499207,36661014,472
(주)금호에이치티,214330,Dec-18,47884291,37643448,512
(주)금호에이치티,214330,Dec-19,53060771,40331768,525
(주)금화피에스시,36190,Dec-11,,4472096,523
(주)금화피에스시,36190,Dec-12,,1066158,561
(주)금화피에스시,36190,Dec-13,1790642,1066158,615
(주)금화피에스시,36190,Dec-14,2122016,1127957,704
(주)금화피에스시,36190,Dec-15,1649936,1127958,776
(주)금화피에스시,36190,Dec-16,2871313,1505958,839
(주)금화피에스시,36190,Dec-17,3297406,1702357,818
(주)금화피에스시,36190,Dec-18,4060703,1754558,1396
(주)금화피에스시,36190,Dec-19,4211415,1372858,876
(주)기가레인,49080,Dec-13,23657767,22062618,305
