회사명,거래소코드,회계년도,매출액(IFRS연결),매출채권(IFRS연결),매출액(IFRS개별),매출채권(IFRS개별)
(주)경방,50,Dec-11,348136369,31118341,275746943,32135932
(주)경방,50,Dec-12,333620804,31458436,265409209,31453366
(주)경방,50,Dec-13,347189559,34166562,264782077,31058761
(주)경방,50,Dec-14,329036023,35219398,256979444,32233594
(주)경방,50,Dec-15,357628146,37901704,307744480,31721636
(주)경방,50,Dec-16,377445013,38823607,313876822,31731834
(주)경방,50,Dec-17,360788750,34640336,288103985,27595270
(주)경방,50,Dec-18,351438926,42175729,279085217,29371128
(주)경방,50,Dec-19,343892085,37797870,253552382,24474870
(주)경보제약,214390,Dec-15,,,178032632,46116955
(주)경보제약,214390,Dec-16,,,186726170,50452400
(주)경보제약,214390,Dec-17,,,191661374,55984549
(주)경보제약,214390,Dec-18,,,201343596,67195051
(주)경보제약,214390,Dec-19,,,191706189,52833419
(주)경인양행,12610,Dec-11,233095049,58900677,128707611,47702972
(주)경인양행,12610,Dec-12,218604655,56308561,141304459,0
(주)경인양행,12610,Dec-13,260808400,69253772,183106757,0
(주)경인양행,12610,Dec-14,277181095,64789479,190395047,40378430
(주)경인양행,12610,Dec-15,263163677,60317420,175006703,40536511
(주)경인양행,12610,Dec-16,274873817,64396864,179267850,44658202
(주)경인양행,12610,Dec-17,299987729,68522442,193975818,45961158
(주)경인양행,12610,Dec-18,331102011,82567584,222659442,61097103
(주)경인양행,12610,Dec-19,358802386,80961683,245244968,55723288
(주)고려시멘트,198440,Dec-14,,,,
(주)고려시멘트,198440,Dec-15,,,,
(주)고려시멘트,198440,Dec-16,,,,
(주)고려시멘트,198440,Dec-17,,,87660276,30481250
(주)고려시멘트,198440,Dec-18,,,85775723,32476313
(주)고려시멘트,198440,Dec-19,,,70921781,25700956
(주)고영테크놀러지,98460,Dec-11,86130810,23215229,80200892,25227493
(주)고영테크놀러지,98460,Dec-12,107841666,29150759,100791139,31988780
(주)고영테크놀러지,98460,Dec-13,111902729,32324265,103933681,38176088
(주)고영테크놀러지,98460,Dec-14,142840131,38484841,135531589,47690802
(주)고영테크놀러지,98460,Dec-15,145904431,47462104,138554625,64256973
