회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(IFRS연결),매출액(IFRS연결),영업활동으로 인한 현금흐름(IFRS개별),매출액(IFRS개별)
(주)경동인베스트,12320,Dec-12,150571070,2502642394,154970428,2403814656
(주)경동인베스트,12320,Dec-13,69233629,2788264380,54868445,2664100017
(주)경동인베스트,12320,Dec-14,20818461,2603059058,16430931,2399450987
(주)경동인베스트,12320,Dec-15,-50279018,1604168482,-32486622,1352478311
(주)경동인베스트,12320,Dec-16,26876328,1181902637,32578235,1021002691
(주)경동인베스트,12320,Dec-17,60158090,195069859,49566809,612436
(주)경동인베스트,12320,Dec-18,12513851,228644016,1728544,7460898
(주)경동인베스트,12320,Dec-19,32390710,271765025,1024556,8641051
(주)경방,50,Dec-11,-14647398,348136369,-11592653,275746943
(주)경방,50,Dec-12,17789061,333620804,27341666,265409209
(주)경방,50,Dec-13,51153970,347189559,50395794,264782077
(주)경방,50,Dec-14,23819336,329036023,29566345,256979444
(주)경방,50,Dec-15,39920580,357628146,44076364,307744480
(주)경방,50,Dec-16,67981079,377445013,61707854,313876822
(주)경방,50,Dec-17,57866501,360788750,51272565,288103985
(주)경방,50,Dec-18,12093896,351438926,29443002,279085217
(주)경방,50,Dec-19,66875285,343892085,65270564,253552382
(주)경보제약,214390,Dec-15,,,4240142,178032632
(주)경보제약,214390,Dec-16,,,25328803,186726170
(주)경보제약,214390,Dec-17,,,25805146,191661374
(주)경보제약,214390,Dec-18,,,-1138159,201343596
(주)경보제약,214390,Dec-19,,,23668111,191706189
(주)경인양행,12610,Dec-11,9839673,233095049,10022891,128707611
(주)경인양행,12610,Dec-12,20801833,218604655,14914670,141304459
(주)경인양행,12610,Dec-13,1046809,260808400,-1601346,183106757
(주)경인양행,12610,Dec-14,18368986,277181095,15097174,190395047
(주)경인양행,12610,Dec-15,5444861,263163677,-1240907,175006703
(주)경인양행,12610,Dec-16,19013689,274873817,8421999,179267850
(주)경인양행,12610,Dec-17,5323456,299987729,652491,193975818
(주)경인양행,12610,Dec-18,1873412,331102011,911833,222659442
(주)경인양행,12610,Dec-19,6768170,358802386,-2222389,245244968
(주)고려시멘트,198440,Dec-14,,,,
(주)고려시멘트,198440,Dec-15,,,,
(주)고려시멘트,198440,Dec-16,,,,
(주)고려시멘트,198440,Dec-17,,,3161867,87660276
(주)고려시멘트,198440,Dec-18,,,1728759,85775723
(주)고려시멘트,198440,Dec-19,,,2862239,70921781
(주)고영테크놀러지,98460,Dec-11,13903738,86130810,12776648,80200892
(주)고영테크놀러지,98460,Dec-12,11397833,107841666,10610309,100791139
(주)고영테크놀러지,98460,Dec-13,13282913,111902729,12177046,103933681
(주)고영테크놀러지,98460,Dec-14,25603240,142840131,23831965,135531589
(주)고영테크놀러지,98460,Dec-15,16569102,145904431,15161650,138554625
(주)고영테크놀러지,98460,Dec-16,29234878,171793841,17957289,153254768
(주)고영테크놀러지,98460,Dec-17,19941301,203368626,7492877,188934907
(주)고영테크놀러지,98460,Dec-18,21765311,238208865,44999013,219818022
(주)고영테크놀러지,98460,Dec-19,29168422,222057035,26124765,209480760
(주)골드앤에스,35290,Dec-11,8628850,47522791,8673653,47522791
(주)골드앤에스,35290,Dec-12,2478990,43889087,2427629,43889087
(주)골드앤에스,35290,Dec-13,-204052,39548810,-2348440,36607591
(주)골드앤에스,35290,Dec-14,-991208,31287203,-462082,29428881
(주)골드앤에스,35290,Dec-15,1708284,22197935,2167956,22197935
(주)골드앤에스,35290,Dec-16,1679723,15893494,1667960,15893494
(주)골드앤에스,35290,Dec-17,361216,12802035,-940910,12802035
(주)골드앤에스,35290,Dec-18,-3136830,8680452,-2810496,8680452
(주)골드앤에스,35290,Dec-19,-6506543,7642733,-6246635,7642733
(주)골드퍼시픽,38530,Dec-11,,,1749769,11236925
