회사명,거래소코드,회계년도,부가가치(IFRS연결),매출액(IFRS연결),부가가치(IFRS개별),매출액(IFRS개별)
(주)경동도시가스,267290,Dec-18,105468.98,1606531867,97564.13,1605687067
(주)경동도시가스,267290,Dec-19,95819.67,1422707835,86578.45,1421866212
(주)경동인베스트,12320,Dec-11,92451.05,1847666903,95768.55,1806174764
(주)경동인베스트,12320,Dec-12,135007.2,2502642394,107979.21,2403814656
(주)경동인베스트,12320,Dec-13,140991.69,2788264380,93436.7,2664100017
(주)경동인베스트,12320,Dec-14,81588.6,2603059058,93996.69,2399450987
(주)경동인베스트,12320,Dec-15,-30690.54,1604168482,34539.58,1352478311
(주)경동인베스트,12320,Dec-16,26071.34,1181902637,72056.94,1021002691
(주)경동인베스트,12320,Dec-17,58509.5,195069859,-608.84,612436
(주)경동인베스트,12320,Dec-18,128174.79,228644016,2304.64,7460898
(주)경동인베스트,12320,Dec-19,129681.42,271765025,78.98,8641051
(주)경방,50,Dec-11,85127.47,348136369,79256.78,275746943
(주)경방,50,Dec-12,80728.78,333620804,75544.51,265409209
(주)경방,50,Dec-13,109135.73,347189559,99612.08,264782077
(주)경방,50,Dec-14,105032.79,329036023,97566.02,256979444
(주)경방,50,Dec-15,117114.75,357628146,107949.86,307744480
(주)경방,50,Dec-16,125709.78,377445013,109992.25,313876822
(주)경방,50,Dec-17,125830.72,360788750,109353.53,288103985
(주)경방,50,Dec-18,98012.24,351438926,88599.95,279085217
(주)경방,50,Dec-19,127253.44,343892085,80679.67,253552382
(주)경보제약,214390,Dec-15,,,64338.21,178032632
(주)경보제약,214390,Dec-16,,,62027.13,186726170
(주)경보제약,214390,Dec-17,,,70313.62,191661374
(주)경보제약,214390,Dec-18,,,68893.82,201343596
(주)경보제약,214390,Dec-19,,,63450.36,191706189
(주)경인양행,12610,Dec-11,55925.52,233095049,25633.29,128707611
(주)경인양행,12610,Dec-12,50537.66,218604655,29938.88,141304459
(주)경인양행,12610,Dec-13,60639.47,260808400,48021.56,183106757
(주)경인양행,12610,Dec-14,73075.28,277181095,47119.14,190395047
(주)경인양행,12610,Dec-15,67632.25,263163677,35639.84,175006703
(주)경인양행,12610,Dec-16,75607,274873817,40282.61,179267850
(주)경인양행,12610,Dec-17,77094.24,299987729,39415.23,193975818
(주)경인양행,12610,Dec-18,98776.24,331102011,56886.72,222659442
(주)경인양행,12610,Dec-19,111001.57,358802386,58827.05,245244968
(주)고려시멘트,198440,Dec-14,,,,
(주)고려시멘트,198440,Dec-15,,,,
(주)고려시멘트,198440,Dec-16,,,,
(주)고려시멘트,198440,Dec-17,,,14885.67,87660276
(주)고려시멘트,198440,Dec-18,,,19051.09,85775723
(주)고려시멘트,198440,Dec-19,,,16208.11,70921781
(주)고영테크놀러지,98460,Dec-11,28970.09,86130810,27718.99,80200892
(주)고영테크놀러지,98460,Dec-12,32628.63,107841666,28550.06,100791139
(주)고영테크놀러지,98460,Dec-13,31220.69,111902729,28707.49,103933681
(주)고영테크놀러지,98460,Dec-14,46699.29,142840131,42596.7,135531589
(주)고영테크놀러지,98460,Dec-15,46544.16,145904431,43429.68,138554625
(주)고영테크놀러지,98460,Dec-16,62157.4,171793841,52985.52,153254768
(주)고영테크놀러지,98460,Dec-17,65695.26,203368626,58409.3,188934907
(주)고영테크놀러지,98460,Dec-18,86343.44,238208865,75984.96,219818022
(주)고영테크놀러지,98460,Dec-19,80742.92,222057035,73465.3,209480760
(주)골드앤에스,35290,Dec-11,15570.49,47522791,14658.86,47522791
(주)골드앤에스,35290,Dec-12,7635.89,43889087,7893.95,43889087
(주)골드앤에스,35290,Dec-13,1375.8,39548810,-1958.86,36607591
(주)골드앤에스,35290,Dec-14,4010.26,31287203,1806.61,29428881
(주)골드앤에스,35290,Dec-15,1377.12,22197935,-3739.74,22197935
(주)골드앤에스,35290,Dec-16,4764.12,15893494,4792.12,15893494
(주)골드앤에스,35290,Dec-17,-4291.99,12802035,-4235.05,12802035
(주)골드앤에스,35290,Dec-18,-311.92,8680452,11.61,8680452
(주)골드앤에스,35290,Dec-19,-15967.57,7642733,-16227.48,7642733
(주)골드퍼시픽,38530,Dec-11,,,4434.65,11236925
(주)골드퍼시픽,38530,Dec-12,,,4958.14,10491048
(주)골드퍼시픽,38530,Dec-13,-4290.42,7167832,-3602.2,6488691
(주)골드퍼시픽,38530,Dec-14,1554.55,16486257,-2264.04,4855121
(주)골드퍼시픽,38530,Dec-15,-2786.97,18635305,-7836.3,6121489
(주)골드퍼시픽,38530,Dec-16,,,-19661.53,9588100
(주)골드퍼시픽,38530,Dec-17,,,1313.87,5031439
(주)골드퍼시픽,38530,Dec-18,-1488.34,5708281,-1459.51,5580994
(주)골드퍼시픽,38530,Dec-19,,,-25252.68,11323125
(주)골프존,215000,Dec-15,,201560389,,184085342
(주)골프존,215000,Dec-16,82752.48,216964342,69940.02,196864993
(주)골프존,215000,Dec-17,86594.02,200105321,71718.52,171859065
(주)골프존,215000,Dec-18,63252.87,198705194,60657.91,191571105
(주)골프존,215000,Dec-19,99662.42,247018099,87478.96,239051647
(주)골프존뉴딘홀딩스,121440,Dec-11,68848.89,215793737,65510.64,209788389
(주)골프존뉴딘홀딩스,121440,Dec-12,121408.57,289629366,108386.02,276341690
(주)골프존뉴딘홀딩스,121440,Dec-13,104828.51,365126358,89965.12,340005073
(주)골프존뉴딘홀딩스,121440,Dec-14,165410.32,429589619,110458.29,387066126
(주)골프존뉴딘홀딩스,121440,Dec-15,25820.5,164536448,3300.63,29389093
(주)골프존뉴딘홀딩스,121440,Dec-16,50468.4,243275475,-9300.74,27652102
(주)골프존뉴딘홀딩스,121440,Dec-17,23288.31,213756902,-6328.61,23499543
(주)골프존뉴딘홀딩스,121440,Dec-18,60807.94,223036801,19639.69,16100354
(주)골프존뉴딘홀딩스,121440,Dec-19,30323.24,228935651,-17313.43,26897482
(주)광림,14200,Dec-11,,,15697.65,106495363
(주)광림,14200,Dec-12,,,10280.56,85322569
(주)광림,14200,Dec-13,,,11826.55,103442134
(주)광림,14200,Dec-14,34136.72,231446314,12621.85,92553612
(주)광림,14200,Dec-15,,,46963.35,237222890
(주)광림,14200,Dec-16,9774.59,87302967,12766.74,87302967
(주)광림,14200,Dec-17,9886.97,135191558,121763.98,99421336
(주)광림,14200,Dec-18,-58751.81,136595300,-63701.87,75493055
(주)광림,14200,Dec-19,22505.39,145864184,-65585.59,93241157
(주)광명전기,17040,Dec-11,12700.72,92382628,8524.07,57967857
(주)광명전기,17040,Dec-12,13422.2,117216514,7812.51,79318302
(주)광명전기,17040,Dec-13,22856.32,117852824,16789.22,90344376
(주)광명전기,17040,Dec-14,24682.31,134778387,20049.23,115801471
(주)광명전기,17040,Dec-15,23499.45,116316957,14620.46,93000177
(주)광명전기,17040,Dec-16,16207.87,96942911,30170.87,96931493
(주)광명전기,17040,Dec-17,9525.8,101561159,8812.49,105083042
(주)광명전기,17040,Dec-18,17755.15,114110654,15738.2,96949804
(주)광명전기,17040,Dec-19,20753.67,131864294,19713.93,125009206
(주)광무,29480,Dec-11,-31297.66,51755052,-34287.6,50359203
(주)광무,29480,Dec-12,2867.93,41178683,-2546.32,40406860
(주)광무,29480,Dec-13,-19191.93,20534276,-27128.53,10105219
(주)광무,29480,Dec-14,,,7685.26,38409667
(주)광무,29480,Dec-15,,,4969.66,17648493
(주)광무,29480,Dec-16,,,7028.95,26429957
(주)광무,29480,Dec-17,,,4347.69,21540953
(주)광무,29480,Dec-18,3161.84,23074941,2567.43,20707286
(주)광무,29480,Dec-19,6253.03,36483979,3691.03,25244176
(주)광주신세계,37710,Dec-11,,,81174.22,219613514
(주)광주신세계,37710,Dec-12,,,78930.35,213803173
(주)광주신세계,37710,Dec-13,,,77074.43,206606675
(주)광주신세계,37710,Dec-14,,,75546.09,204820461
(주)광주신세계,37710,Dec-15,,,78789.64,205331892
(주)광주신세계,37710,Dec-16,,,79200.71,210423594
(주)광주신세계,37710,Dec-17,,,79390.39,209647360
(주)광주신세계,37710,Dec-18,,,74360.77,135213362
(주)광주신세계,37710,Dec-19,,,84867.5,154879496
