회사명,거래소코드,회계년도,매출액(IFRS연결),매출원가(IFRS연결),판관비(IFRS연결),매출액(IFRS개별),매출원가(IFRS개별),판관비(IFRS개별)
(주)고영테크놀러지,98460,Dec-19,222057035,80865005,107860718,209480760,81602341,87820454
(주)골드앤에스,35290,Dec-11,47522791,32544786,13406161,47522791,33020367,12842845
(주)골드앤에스,35290,Dec-12,43889087,31012456,15207506,43889087,31475407,14776821
(주)골드앤에스,35290,Dec-13,39548810,28127986,17913933,36607591,26382626,15207067
(주)골드앤에스,35290,Dec-14,31287203,23453716,10913085,29428881,21706823,10040836
(주)골드앤에스,35290,Dec-15,22197935,15199451,5854717,22197935,15542053,5593861
(주)골드앤에스,35290,Dec-16,15893494,9347753,6143671,15893494,9636887,5866965
(주)골드앤에스,35290,Dec-17,12802035,8002687,8493390,12802035,8220762,8271390
(주)골드앤에스,35290,Dec-18,8680452,4405757,8941725,8680452,4348267,8891313
(주)골드앤에스,35290,Dec-19,7642733,6293120,8491730,7642733,6293120,8491730
(주)골드퍼시픽,38530,Dec-11,,,,11236925,6637040,2281112
(주)골드퍼시픽,38530,Dec-12,,,,10491048,7335464,2428682
(주)골드퍼시픽,38530,Dec-13,7167832,8242393,5063021,6488691,7623009,4450221
(주)골드퍼시픽,38530,Dec-14,16486257,17957521,4348050,4855121,8095405,2735104
(주)골드퍼시픽,38530,Dec-15,18635305,19680341,7198088,6121489,8377506,5941733
(주)골드퍼시픽,38530,Dec-16,,,,9588100,8116354,9996865
(주)골드퍼시픽,38530,Dec-17,,,,5031439,1988881,2104961
(주)골드퍼시픽,38530,Dec-18,5708281,1408824,5203460,5580994,1408824,4678410
(주)골드퍼시픽,38530,Dec-19,,,,11323125,8029376,6714790
(주)골프존,215000,Dec-15,201560389,80622893,71355052,184085342,60628407,75828799
(주)골프존,215000,Dec-16,216964342,87427908,84093965,196864993,75591746,77311791
(주)골프존,215000,Dec-17,200105321,69036405,93611339,171859065,61708564,76621692
(주)골프존,215000,Dec-18,198705194,77580938,92963990,191571105,77184826,85300585
(주)골프존,215000,Dec-19,247018099,93859565,120861039,239051647,96463711,106388878
(주)골프존뉴딘홀딩스,121440,Dec-11,215793737,100364106,61499627,209788389,101810790,55068379
(주)골프존뉴딘홀딩스,121440,Dec-12,289629366,131624220,89002498,276341690,119729808,82729840
(주)골프존뉴딘홀딩스,121440,Dec-13,365126358,186981066,97656135,340005073,153062630,102494761
(주)골프존뉴딘홀딩스,121440,Dec-14,429589619,219364035,107831868,387066126,171180827,114518182
(주)골프존뉴딘홀딩스,121440,Dec-15,164536448,109081059,64804972,29389093,7714195,35478722
(주)골프존뉴딘홀딩스,121440,Dec-16,243275475,126201483,80068007,27652102,512580,32702609
(주)골프존뉴딘홀딩스,121440,Dec-17,213756902,112978779,82355498,23499543,681186,29642657
(주)골프존뉴딘홀딩스,121440,Dec-18,223036801,129202466,92720103,16100354,630040,26475864
(주)골프존뉴딘홀딩스,121440,Dec-19,228935651,140609926,91951161,26897482,25361094,19492596
(주)광림,14200,Dec-11,,,,106495363,89277042,13979880
(주)광림,14200,Dec-12,,,,85322569,74514327,9486661
(주)광림,14200,Dec-13,,,,103442134,89450125,10681092
(주)광림,14200,Dec-14,231446314,175450887,53809936,92553612,79081364,11561595
(주)광림,14200,Dec-15,,,,237222890,178239093,57657130
(주)광림,14200,Dec-16,87302967,75002299,12128894,87302967,75002299,12128894
(주)광림,14200,Dec-17,135191558,131160374,16400734,99421336,84130277,12986902
(주)광림,14200,Dec-18,136595300,122536264,15103531,75493055,62505909,10784223
(주)광림,14200,Dec-19,145864184,134964602,21882738,93241157,78615222,10806603
(주)광명전기,17040,Dec-11,92382628,81102005,10784506,57967857,51994278,4489788
(주)광명전기,17040,Dec-12,117216514,102591227,10437536,79318302,70522943,5229217
(주)광명전기,17040,Dec-13,117852824,98728241,8343100,90344376,76118777,5782227
(주)광명전기,17040,Dec-14,134778387,114780200,7536526,115801471,100019085,5512307
(주)광명전기,17040,Dec-15,116316957,98659704,8315158,93000177,83525805,5634873
(주)광명전기,17040,Dec-16,96942911,87732377,5593800,96931493,87560184,5552391
(주)광명전기,17040,Dec-17,101561159,92454439,6908967,105083042,95422477,5905693
(주)광명전기,17040,Dec-18,114110654,103304003,7549135,96949804,87318774,6660054
(주)광명전기,17040,Dec-19,131864294,117038701,6839756,125009206,111565450,6130677
(주)광무,29480,Dec-11,51755052,42251012,19087540,50359203,40419633,17275285
(주)광무,29480,Dec-12,41178683,33757502,13198130,40406860,33220101,12801293
(주)광무,29480,Dec-13,20534276,22621739,11817507,10105219,10221619,6782906
(주)광무,29480,Dec-14,,,,38409667,31532738,5454577
(주)광무,29480,Dec-15,,,,17648493,13652964,4615892
