회사명,거래소코드,회계년도,매출액(IFRS연결),자본(IFRS연결),매출액(IFRS개별),자본(IFRS개별)
(주)광명전기,17040,Dec-18,114110654,98748349,96949804,87989865
(주)광명전기,17040,Dec-19,131864294,105398860,125009206,94186043
(주)광무,29480,Dec-11,51755052,37831616,50359203,49296267
(주)광무,29480,Dec-12,41178683,29507217,40406860,36518143
(주)광무,29480,Dec-13,20534276,8786699,10105219,11346800
(주)광무,29480,Dec-14,,,38409667,8505450
(주)광무,29480,Dec-15,,,17648493,7744452
(주)광무,29480,Dec-16,,,26429957,8053231
(주)광무,29480,Dec-17,,,21540953,13552175
(주)광무,29480,Dec-18,23074941,10729216,20707286,9695091
(주)광무,29480,Dec-19,36483979,22844122,25244176,22202195
(주)광주신세계,37710,Dec-11,,,219613514,310214632
(주)광주신세계,37710,Dec-12,,,213803173,361615843
(주)광주신세계,37710,Dec-13,,,206606675,408690826
(주)광주신세계,37710,Dec-14,,,204820461,448624926
(주)광주신세계,37710,Dec-15,,,205331892,491380796
(주)광주신세계,37710,Dec-16,,,210423594,534290186
(주)광주신세계,37710,Dec-17,,,209647360,579363832
(주)광주신세계,37710,Dec-18,,,135213362,620656716
(주)광주신세계,37710,Dec-19,,,154879496,661189861
(주)구영테크,53270,Dec-11,147832315,36633264,62527619,27962532
(주)구영테크,53270,Dec-12,155788988,36686891,65451015,29302171
(주)구영테크,53270,Dec-13,172747316,39023837,76282590,30762180
(주)구영테크,53270,Dec-14,170528694,52212920,77799749,42200180
(주)구영테크,53270,Dec-15,172083049,56401223,87109177,44066560
(주)구영테크,53270,Dec-16,148301597,57780291,75320433,46429602
(주)구영테크,53270,Dec-17,149833357,55811041,74298129,47102417
(주)구영테크,53270,Dec-18,195238339,68827896,81928926,57861349
(주)구영테크,53270,Dec-19,230853336,71704257,93132845,58668784
(주)국동,5320,Dec-11,154293577,5829570,100097439,2694312
(주)국동,5320,Dec-12,138172746,9422729,91524436,2775119
(주)국동,5320,Dec-13,147860227,15412210,95716049,5947778
(주)국동,5320,Dec-14,186086561,28639367,117861978,14336568
(주)국동,5320,Dec-15,170296068,31226110,102431161,22395455
(주)국동,5320,Dec-16,197368723,51725723,127275873,40069999
(주)국동,5320,Dec-17,191602989,42630725,130016453,38638770
(주)국동,5320,Dec-18,219550054,48475045,136811631,41762492
(주)국동,5320,Dec-19,223077183,65481226,116180044,54349558
(주)국보,1140,Dec-11,130636214,34466553,118304924,33874415
(주)국보,1140,Dec-12,122343037,33793391,109183947,31655538
(주)국보,1140,Dec-13,117073443,29768264,108994114,27678685
(주)국보,1140,Dec-14,97520169,22620239,89859741,20984752
(주)국보,1140,Dec-15,91618545,18409444,85267457,17113465
(주)국보,1140,Dec-16,87333326,15275562,77773715,13200649
(주)국보,1140,Dec-17,78255522,17848563,74662255,16039171
(주)국보,1140,Dec-18,71549828,13412206,66929948,11578143
(주)국보,1140,Dec-19,89087334,28604010,58296078,12278837
(주)국보디자인,66620,Dec-11,130689686,48143562,123203000,48472432
(주)국보디자인,66620,Dec-12,119402993,57564527,118458574,58283419
(주)국보디자인,66620,Dec-13,163518536,65598063,153216189,64945696
(주)국보디자인,66620,Dec-14,176373907,74350888,158268803,70452085
(주)국보디자인,66620,Dec-15,192608497,83307386,157657615,75467148
(주)국보디자인,66620,Dec-16,201410031,86928845,191620729,80282408
(주)국보디자인,66620,Dec-17,270658405,99283826,262522024,94380512
(주)국보디자인,66620,Dec-18,254259835,108600438,231093439,103598968
(주)국보디자인,66620,Dec-19,269005976,123363884,237054909,112076012
(주)국순당,43650,Dec-11,127686247,178114387,124279594,174045265
(주)국순당,43650,Dec-12,118697826,191625826,115146725,186305726
(주)국순당,43650,Dec-13,99173525,194567775,96140591,185985822
(주)국순당,43650,Dec-14,91863604,196810690,89173752,186838479
(주)국순당,43650,Dec-15,77443124,198167277,74955341,186118215
(주)국순당,43650,Dec-16,69701266,194018641,68425801,183188543
(주)국순당,43650,Dec-17,62761236,221539252,60087461,191745752
(주)국순당,43650,Dec-18,61496072,215679919,52679104,203499644
(주)국순당,43650,Dec-19,102095769,204958649,48045002,196923842
(주)국영지앤엠,6050,Dec-11,,,42569848,32733005
(주)국영지앤엠,6050,Dec-12,,,43781593,45960267
(주)국영지앤엠,6050,Dec-13,,,55789778,46345349
(주)국영지앤엠,6050,Dec-14,,,51491847,47240880
(주)국영지앤엠,6050,Dec-15,,,40107647,48972537
(주)국영지앤엠,6050,Dec-16,,,51456556,50558041
(주)국영지앤엠,6050,Dec-17,,,62861661,52611544
(주)국영지앤엠,6050,Dec-18,,,56301480,51748308
(주)국영지앤엠,6050,Dec-19,,,73013468,52826451
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,428571939,328872047,9501248,334573662
(주)그래디언트,35080,Dec-12,454225001,396658401,11150621,411656935
(주)그래디언트,35080,Dec-13,2930521926,751939530,7939840,402332194
(주)그래디언트,35080,Dec-14,3135027346,900343355,7753595,420045194
(주)그래디언트,35080,Dec-15,3536848758,903808796,12870821,431479123
(주)그래디언트,35080,Dec-16,3845761388,840330799,16516754,389295611
(주)그래디언트,35080,Dec-17,3541486629,742316982,12485184,328719925
(주)그래디언트,35080,Dec-18,3440906300,714481098,12237889,325218418
(주)그래디언트,35080,Dec-19,3412333826,669586510,8719700,320088192
(주)그리티,204020,Dec-18,119259702,74460588,117056356,74051025
(주)그리티,204020,Dec-19,123079831,74181103,120984485,74833748
(주)그린플러스,186230,Dec-19,48831866,37391337,39502728,36772875
(주)글로벌스탠다드테크놀로지,83450,Dec-11,41504144,27594673,40662578,26355250
(주)글로벌스탠다드테크놀로지,83450,Dec-12,64812103,36008304,62774905,33379017
(주)글로벌스탠다드테크놀로지,83450,Dec-13,80982977,42629997,78917554,39169886
(주)글로벌스탠다드테크놀로지,83450,Dec-14,89122994,50846053,85992839,45624394
(주)글로벌스탠다드테크놀로지,83450,Dec-15,84422579,56675666,80102292,49667680
(주)글로벌스탠다드테크놀로지,83450,Dec-16,90819412,60779819,81859588,53103831
(주)글로벌스탠다드테크놀로지,83450,Dec-17,162835484,78275559,154761834,67278478
(주)글로벌스탠다드테크놀로지,83450,Dec-18,129850197,85807825,115619452,72640818
(주)글로벌스탠다드테크놀로지,83450,Dec-19,168231754,103310701,150777009,90403163
(주)금양,1570,Dec-11,109810009,45175687,100918699,43024251
(주)금양,1570,Dec-12,122905331,45542580,108275608,45261596
(주)금양,1570,Dec-13,156304448,45554255,132045280,45422689
(주)금양,1570,Dec-14,158550531,44489985,137946044,46481587
(주)금양,1570,Dec-15,158999533,57953744,152450369,46703110
(주)금양,1570,Dec-16,168681746,34480745,161001876,22239137
(주)금양,1570,Dec-17,180373683,57595446,150809075,31251974
(주)금양,1570,Dec-18,205441375,79456336,151676398,49187838
(주)금양,1570,Dec-19,172723864,68287064,135915020,35004819
(주)금호에이치티,214330,Dec-15,203071984,81388280,181779820,82117294
(주)금호에이치티,214330,Dec-16,208574892,86282030,189733826,92714230
(주)금호에이치티,214330,Dec-17,179707629,90754420,165485490,97560824
(주)금호에이치티,214330,Dec-18,209260006,124851870,189250383,131065067
(주)금호에이치티,214330,Dec-19,251095062,172630689,221734443,180769966
(주)금화피에스시,36190,Dec-11,,,82738193,76345247
(주)금화피에스시,36190,Dec-12,,,108224285,92305175
(주)금화피에스시,36190,Dec-13,166122419,117616926,156630832,113200802
(주)금화피에스시,36190,Dec-14,189631759,133525938,166948026,126877795
(주)금화피에스시,36190,Dec-15,235969690,149051009,196919865,142256701
(주)금화피에스시,36190,Dec-16,235018376,168709929,201547339,159990222
(주)금화피에스시,36190,Dec-17,205781841,184227358,174993150,176303850
(주)금화피에스시,36190,Dec-18,233326733,220727038,202098199,211366403
(주)금화피에스시,36190,Dec-19,209435314,239409631,179177462,227742546
