회사명,거래소코드,회계년도,매출액(IFRS연결),자산(IFRS연결),매출액(IFRS개별),자산(IFRS개별)
(주)고영테크놀러지,98460,Dec-12,107841666,103351965,100791139,103019642
(주)고영테크놀러지,98460,Dec-13,111902729,120951617,103933681,121329325
(주)고영테크놀러지,98460,Dec-14,142840131,141720465,135531589,141873467
(주)고영테크놀러지,98460,Dec-15,145904431,158857627,138554625,160170850
(주)고영테크놀러지,98460,Dec-16,171793841,195121241,153254768,194332855
(주)고영테크놀러지,98460,Dec-17,203368626,205207385,188934907,205696350
(주)고영테크놀러지,98460,Dec-18,238208865,279059436,219818022,279985447
(주)고영테크놀러지,98460,Dec-19,222057035,305481184,209480760,308020011
(주)골드앤에스,35290,Dec-11,47522791,46677146,47522791,46347129
(주)골드앤에스,35290,Dec-12,43889087,51950606,43889087,51062616
(주)골드앤에스,35290,Dec-13,39548810,51442505,36607591,34508798
(주)골드앤에스,35290,Dec-14,31287203,46528474,29428881,28884288
(주)골드앤에스,35290,Dec-15,22197935,24102094,22197935,23597566
(주)골드앤에스,35290,Dec-16,15893494,18671644,15893494,18296141
(주)골드앤에스,35290,Dec-17,12802035,17173934,12802035,16994788
(주)골드앤에스,35290,Dec-18,8680452,42472631,8680452,42472631
(주)골드앤에스,35290,Dec-19,7642733,16096170,7642733,16096170
(주)골드퍼시픽,38530,Dec-11,,,11236925,27473520
(주)골드퍼시픽,38530,Dec-12,,,10491048,29861540
(주)골드퍼시픽,38530,Dec-13,7167832,33687572,6488691,30517744
(주)골드퍼시픽,38530,Dec-14,16486257,41948832,4855121,31936409
(주)골드퍼시픽,38530,Dec-15,18635305,28573328,6121489,27495738
(주)골드퍼시픽,38530,Dec-16,,,9588100,11122066
(주)골드퍼시픽,38530,Dec-17,,,5031439,26567967
(주)골드퍼시픽,38530,Dec-18,5708281,37825442,5580994,37288362
(주)골드퍼시픽,38530,Dec-19,,,11323125,72945743
(주)골프존,215000,Dec-15,201560389,178132253,184085342,171629353
(주)골프존,215000,Dec-16,216964342,187914226,196864993,177635830
(주)골프존,215000,Dec-17,200105321,253672419,171859065,239011847
(주)골프존,215000,Dec-18,198705194,254057808,191571105,254578679
(주)골프존,215000,Dec-19,247018099,312587283,239051647,304860836
(주)골프존뉴딘홀딩스,121440,Dec-11,215793737,378054302,209788389,373246120
(주)골프존뉴딘홀딩스,121440,Dec-12,289629366,540922890,276341690,512614848
(주)골프존뉴딘홀딩스,121440,Dec-13,365126358,637840057,340005073,589946855
(주)골프존뉴딘홀딩스,121440,Dec-14,429589619,762037240,387066126,586599347
(주)골프존뉴딘홀딩스,121440,Dec-15,164536448,767325175,29389093,585663015
(주)골프존뉴딘홀딩스,121440,Dec-16,243275475,760772930,27652102,561892958
(주)골프존뉴딘홀딩스,121440,Dec-17,213756902,756500949,23499543,536244772
(주)골프존뉴딘홀딩스,121440,Dec-18,223036801,774743339,16100354,563387103
