회사명,거래소코드,회계년도,[제조]CASH FLOW 대 차입금비율(IFRS연결),[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결),[제조]      장기차입금(*)(IFRS연결),[제조]      단기차입금(*)(IFRS연결),[제조]         유동성장기차입금(IFRS연결),[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[제조]      장기차입금(*)(IFRS),[제조]      단기차입금(*)(IFRS),[제조]         유동성장기차입금(IFRS)
(주)골프존,215000,2018/12,295.46,32883976,833330,18333320,0,34481459,833330,18333320,0
(주)골프존,215000,2019/12,63.58,39501603,0,833330,0,38567865,0,833330,0
(주)골프존뉴딘홀딩스,121440,2011/12,8554.85,46128334,493741,0,204061,46694787,0,0,0
(주)골프존뉴딘홀딩스,121440,2012/12,60.75,61269978,0,88100000,300000,73950383,0,64000000,0
(주)골프존뉴딘홀딩스,121440,2013/12,61.37,63430820,0,101600000,0,72616582,0,54000000,0
(주)골프존뉴딘홀딩스,121440,2014/12,23.63,28790402,75000000,120100000,0,30858148,0,49000000,0
(주)골프존뉴딘홀딩스,121440,2015/12,3.63,-15266617,103000000,83445000,0,-16346800,24000000,3105000,0
(주)골프존뉴딘홀딩스,121440,2016/12,0.16,15895535,75000000,117840000,0,5618275,40000000,7000000,0
(주)골프존뉴딘홀딩스,121440,2017/12,3.54,-1173648,121107143,86932857,0,-1147880,16000000,9300000,24000000
(주)골프존뉴딘홀딩스,121440,2018/12,-4.76,-20158087,45693452,177783524,0,-4416464,10000000,9300000,40000000
(주)골프존뉴딘홀딩스,121440,2019/12,-2.87,5656323,186266105,44591854,0,2640435,54200000,9300000,0
(주)광림,014200,2011/12,,,,,,11879861,277562,11706716,76097
(주)광림,014200,2012/12,,,,,,2753017,206386,11373551,71176
(주)광림,014200,2013/12,,,,,,14536213,2280310,13065781,104647
(주)광림,014200,2014/12,-7.79,-6344996,19923952,61083096,458284,-3582919,4942101,29422885,458284
(주)광림,014200,2015/12,,,,,,-2663712,2593514,38865656,479264
(주)광림,014200,2016/12,5.8,3288372,313681,54889147,1491614,3288372,313681,39984398,1366338
(주)광림,014200,2017/12,-9.13,-15250032,562200,46280279,251481,8658598,562200,40930850,251481
(주)광림,014200,2018/12,-22.57,-13294713,1900000,40784486,62200,1251490,1900000,35456356,62200
(주)광림,014200,2019/12,-11.9,-12235587,6239252,36955189,1884595,639491,1400000,30190012,500000
(주)광명전기,017040,2011/12,19.15,1765403,425000,25565143,75000,1814521,425000,20710000,75000
(주)광명전기,017040,2012/12,9.29,3436380,325000,27567759,100000,1183806,325000,23532459,100000
(주)광명전기,017040,2013/12,15.73,3129414,225000,20546525,100000,615721,225000,18790000,100000
(주)광명전기,017040,2014/12,38.2,11464334,0,19100429,0,8403184,0,17790000,0
(주)광명전기,017040,2015/12,89.72,18501076,0,16700000,0,13723720,0,15500000,0
(주)광명전기,017040,2016/12,55.56,4502682,0,20700000,0,2813219,0,12500000,0
(주)광명전기,017040,2017/12,21.32,6647411,9358000,16200000,592000,5270038,0,14500000,0
(주)광명전기,017040,2018/12,5.13,-3815893,10802000,16200000,599000,-4019510,0,14500000,0
(주)광명전기,017040,2019/12,51.48,20495932,0,16200000,0,23614371,0,14500000,0
(주)광무,029480,2011/12,35.63,8460656,0,18255969,0,9882003,0,17715969,0
(주)광무,029480,2012/12,-35.87,-5808549,0,11206671,0,-5777036,0,11208688,0
(주)광무,029480,2013/12,-22.55,-971186,0,12634238,0,-759831,0,12634238,0
(주)광무,029480,2014/12,,,,,,1529973,0,7635126,0
(주)광무,029480,2015/12,,,,,,-550286,4070000,1501000,0
(주)광무,029480,2016/12,,,,,,154459,4070000,860015,0
(주)광무,029480,2017/12,,,,,,247467,0,845932,0
(주)광무,029480,2018/12,-16.12,-1324743,0,4570000,0,-889612,0,4570000,0
(주)광무,029480,2019/12,-7.8,-2435580,0,5798283,0,-2567529,0,4270000,0
(주)광주신세계,037710,2011/12,,,,,,58007847,0,0,0
(주)광주신세계,037710,2012/12,,,,,,56319963,0,0,0
(주)광주신세계,037710,2013/12,,,,,,57337481,0,80200000,0
(주)광주신세계,037710,2014/12,,,,,,50217757,0,35800000,0
(주)광주신세계,037710,2015/12,,,,,,52123039,0,0,0
(주)광주신세계,037710,2016/12,,,,,,50122658,0,50900000,0
(주)광주신세계,037710,2017/12,,,,,,51294766,0,5600000,0
(주)광주신세계,037710,2018/12,,,,,,53868560,0,0,0
(주)광주신세계,037710,2019/12,,,,,,74340570,0,0,0
(주)구영테크,053270,2011/12,4.96,1574250,3906227,66559168,5360888,299063,1616657,35083497,4108320
(주)구영테크,053270,2012/12,7.05,11791408,4191949,81126552,4388171,3400845,2553333,49924751,3283323
(주)구영테크,053270,2013/12,14.23,11048296,16281076,54734786,4019470,6156243,4034607,37101932,1748727
(주)구영테크,053270,2014/12,9.6,3399363,16833438,51875791,4551905,-1477205,2915390,32676392,1994217
(주)구영테크,053270,2015/12,13.75,17308908,22945474,38854405,6478766,9373875,6356430,23734320,2891600
