회사명,거래소코드,회계년도,당기순이익(IFRS연결),당기자본(IFRS연결),전기자본(IFRS연결),당기순이익(IFRS개별),당기자본(IFRS개별),전기자본(IFRS개별)
(주)경동도시가스,267290,Dec-19,24638348,339612043,339612043,24355132,337701666,337701666
(주)경동인베스트,12320,Dec-11,30327559,407862543,407862543,50053289,412912132,412912132
(주)경동인베스트,12320,Dec-12,42879202,446509347,446509347,56917580,468921996,468921996
(주)경동인베스트,12320,Dec-13,49841905,498740561,500659801,46253877,516833582,516833582
(주)경동인베스트,12320,Dec-14,75930406,607451423,607451423,44839494,560802056,560802056
(주)경동인베스트,12320,Dec-15,-21251390,576479441,576479441,-6095609,548528455,548528455
(주)경동인베스트,12320,Dec-16,19132415,587924566,587924566,16356641,556247783,556247783
(주)경동인베스트,12320,Dec-17,51930860,400403090,400403090,7248447,309789000,309789000
(주)경동인베스트,12320,Dec-18,29827973,397867310,407855604,1574966,310422538,310422538
(주)경동인베스트,12320,Dec-19,8856009,414533638,414533638,-917643,308309156,308309156
(주)경방,50,Dec-11,-1131177,629704391,629704391,-1822388,676624221,676624221
(주)경방,50,Dec-12,-7910168,620704205,620704205,-7074187,669735441,669735441
(주)경방,50,Dec-13,14574395,636438555,636438555,15103835,685569176,685569176
(주)경방,50,Dec-14,11488471,647668814,647668814,14235818,651570419,651570419
(주)경방,50,Dec-15,16692163,662952918,662952918,21604723,671770865,671770865
(주)경방,50,Dec-16,29474988,679843399,679843399,30977743,690245544,690245544
(주)경방,50,Dec-17,25315361,699134073,699134073,25679379,710964923,710964923
(주)경방,50,Dec-18,20189241,708769347,708769347,29198252,729185709,729185709
(주)경방,50,Dec-19,43621631,741553199,741553199,22223943,740731873,740731873
(주)경보제약,214390,Dec-15,,,,26109623,122817151,122817151
(주)경보제약,214390,Dec-16,,,,12705930,129402340,129402340
(주)경보제약,214390,Dec-17,,,,17963310,141509596,141509596
(주)경보제약,214390,Dec-18,,,,13116049,149012165,149012165
(주)경보제약,214390,Dec-19,,,,5285239,149163504,149163504
(주)경인양행,12610,Dec-11,2886360,176292506,176292506,2788642,158882273,158882273
(주)경인양행,12610,Dec-12,2093491,174988685,174988685,4475441,162112825,162112825
(주)경인양행,12610,Dec-13,10215710,189744314,189744314,12327177,178074513,178074513
(주)경인양행,12610,Dec-14,10148247,198238667,198238667,9090269,186433506,186433506
(주)경인양행,12610,Dec-15,3670895,201125304,201125304,107330,185903130,185903130
(주)경인양행,12610,Dec-16,6837522,208293196,208293196,3724987,191021720,191021720
(주)경인양행,12610,Dec-17,4779249,210934933,210934933,531273,190844102,190844102
(주)경인양행,12610,Dec-18,13801882,223759383,223759383,7419717,198237400,198237400
(주)경인양행,12610,Dec-19,16372880,237433141,237433141,4797711,201086327,201086327
(주)고려시멘트,198440,Dec-14,,,,,,
(주)고려시멘트,198440,Dec-15,,,,,,
(주)고려시멘트,198440,Dec-16,,,,,,
(주)고려시멘트,198440,Dec-17,,,,1003761,77394108,77394108
(주)고려시멘트,198440,Dec-18,,,,4645869,86510962,86510962
(주)고려시멘트,198440,Dec-19,,,,3396444,88445378,88445378
(주)고영테크놀러지,98460,Dec-11,15634438,69622726,69622726,16580579,70382391,70382391
(주)고영테크놀러지,98460,Dec-12,15221925,83401095,83401095,14836215,84090906,84090906
(주)고영테크놀러지,98460,Dec-13,13933294,98319609,98319609,14816762,100051693,100051693
(주)고영테크놀러지,98460,Dec-14,22111066,115835240,115835240,22775832,118348519,118348519
(주)고영테크놀러지,98460,Dec-15,23530903,131475647,131475647,23271756,133570714,133570714
(주)고영테크놀러지,98460,Dec-16,29723733,157267580,157267580,28063238,157572806,157572806
(주)고영테크놀러지,98460,Dec-17,26734105,161317171,161317171,28907302,164836232,164836232
(주)고영테크놀러지,98460,Dec-18,42309672,225866639,225866639,42430216,229271175,229271175
(주)고영테크놀러지,98460,Dec-19,29559680,243668528,243668528,34702997,252020628,252020628
(주)골드앤에스,35290,Dec-11,1002287,22436829,22436829,1101095,22637807,22637807
(주)골드앤에스,35290,Dec-12,-6467495,25517817,25517817,-6036290,26252682,26252682
(주)골드앤에스,35290,Dec-13,-16837473,13127355,13127355,-16378087,9813150,9813150
(주)골드앤에스,35290,Dec-14,-9319175,12082621,12082621,-8058617,9084260,9084260
(주)골드앤에스,35290,Dec-15,-9502547,15160254,15160254,-9396462,14991660,14991660
(주)골드앤에스,35290,Dec-16,390367,14268527,13462426,388207,14102143,13296043
(주)골드앤에스,35290,Dec-17,-7975875,13346076,13346076,-8062623,13104737,13104737
(주)골드앤에스,35290,Dec-18,-4380399,13779569,12576392,-4045846,13867013,12663837
(주)골드앤에스,35290,Dec-19,-24883278,-5091573,-5091573,-24883215,-5001092,-5001092
(주)골드퍼시픽,38530,Dec-11,,,,990336,21829724,21829724
(주)골드퍼시픽,38530,Dec-12,,,22928402,254546,22928402,22928402
(주)골드퍼시픽,38530,Dec-13,-9381353,16190999,16190999,-8455942,17116411,17116411
(주)골드퍼시픽,38530,Dec-14,-7390326,16567915,16567915,-7306525,16902289,16902289
(주)골드퍼시픽,38530,Dec-15,-10215946,21193149,,-12525668,20115559,21193149
(주)골드퍼시픽,38530,Dec-16,,,,-23433498,1889641,1889641
(주)골드퍼시픽,38530,Dec-17,,,5364494,-965087,5364494,5364494
(주)골드퍼시픽,38530,Dec-18,-4471963,20086698,,-4380343,20086698,20086698
(주)골드퍼시픽,38530,Dec-19,,,,-31603970,21069318,21069318
(주)골프존,215000,Dec-15,36533155,108853909,108853909,33262807,105063093,105063093
(주)골프존,215000,Dec-16,36536248,120648626,120648626,35913366,115886579,115886579
(주)골프존,215000,Dec-17,79392004,189381881,189381881,75544308,181394935,181394935
(주)골프존,215000,Dec-18,20419449,194919561,194919561,21663391,197436844,197436844
(주)골프존,215000,Dec-19,16213888,200042879,200042879,19704546,205529589,205529589
(주)골프존뉴딘홀딩스,121440,Dec-11,46487063,348968757,348968757,47591974,348104397,348104397
(주)골프존뉴딘홀딩스,121440,Dec-12,73354594,411636973,411636973,72099265,410999847,410999847
(주)골프존뉴딘홀딩스,121440,Dec-13,2803470,424543916,424543916,4493226,427556455,427556455
(주)골프존뉴딘홀딩스,121440,Dec-14,79234486,486385956,486385956,63571492,473636026,473636026
(주)골프존뉴딘홀딩스,121440,Dec-15,871101274,551360423,551360423,890006593,551703320,551703320
(주)골프존뉴딘홀딩스,121440,Dec-16,2876449,528087415,528087415,-20255655,506841449,506841449
(주)골프존뉴딘홀딩스,121440,Dec-17,-21585123,500912642,500912642,-21778628,480074463,501169371
(주)골프존뉴딘홀딩스,121440,Dec-18,-7527390,485969871,485969871,-7653686,484480922,484480922
(주)골프존뉴딘홀딩스,121440,Dec-19,-34848135,447197508,443293494,-30341791,450069457,446165444
(주)광림,14200,Dec-11,,,,2583332,56677106,56677106
(주)광림,14200,Dec-12,,,,586385,63502275,63502275
(주)광림,14200,Dec-13,,,64796802,1630750,64796802,64796802
(주)광림,14200,Dec-14,-237860,128970849,,1137559,66259380,128970849
(주)광림,14200,Dec-15,,,80899308,9223597,80899308,69805171
(주)광림,14200,Dec-16,-1896521,113505965,111769640,437352,90221084,90221084
(주)광림,14200,Dec-17,-23602051,107690687,107690687,86196134,176556237,176556237
(주)광림,14200,Dec-18,-28445678,90075229,90075229,-58294056,120931215,120931215
(주)광림,14200,Dec-19,-14006972,90772137,104625546,-68290742,60749234,158104583
(주)광명전기,17040,Dec-11,-1825104,62936103,62936103,-75153,56987613,56987613
(주)광명전기,17040,Dec-12,407617,62992204,62992204,-1564026,55136666,55136666
(주)광명전기,17040,Dec-13,6473480,69847678,69847678,5301060,60793004,60793004
(주)광명전기,17040,Dec-14,9107331,78696030,78696030,6978508,67539909,67539909
