회사명,거래소코드,회계년도,이자비용(IFRS연결),장기차입금(IFRS연결),단기차입금(IFRS연결),회사채(IFRS연결),이자비용(IFRS개별),장기차입금(IFRS개별),단기차입금(IFRS개별),회사채(IFRS개별)
(주)경동나비엔,9450,Dec-19,0,23688184,64709266,0,0,10000000,29500000,0
(주)경동도시가스,267290,Dec-17,0,12987389,0,0,0,12987389,0,0
(주)경동도시가스,267290,Dec-18,0,12123582,0,0,0,12123582,0,0
(주)경동도시가스,267290,Dec-19,0,11201253,0,0,0,11201253,0,0
(주)경동인베스트,12320,Dec-11,0,38332383,13793100,0,0,14732383,0,0
(주)경동인베스트,12320,Dec-12,0,35850519,9800000,0,0,13350519,0,0
(주)경동인베스트,12320,Dec-13,0,29855917,13489951,0,0,12355917,0,0
(주)경동인베스트,12320,Dec-14,0,56403180,6551550,0,0,11523080,0,0
(주)경동인베스트,12320,Dec-15,0,107469867,16766667,0,0,13017117,0,0
(주)경동인베스트,12320,Dec-16,0,99594003,15300000,0,0,13267953,0,0
(주)경동인베스트,12320,Dec-17,0,83460730,15181825,0,0,0,0,0
(주)경동인베스트,12320,Dec-18,0,71906166,9000000,0,0,0,0,0
(주)경동인베스트,12320,Dec-19,0,62256400,22000000,0,0,0,0,0
(주)경방,50,Dec-11,0,52825075,151249110,0,0,51339915,135849110,0
(주)경방,50,Dec-12,0,297503511,99503292,0,0,280141533,81369628,0
(주)경방,50,Dec-13,0,275230163,76186522,0,0,258404523,54775180,0
(주)경방,50,Dec-14,0,9985627,174843423,0,0,0,160771349,0
(주)경방,50,Dec-15,0,235918778,130833677,0,0,210000000,96327221,0
(주)경방,50,Dec-16,0,225494443,95137531,0,0,185000000,66373522,0
(주)경방,50,Dec-17,0,16667775,56680582,0,0,0,29757475,0
(주)경방,50,Dec-18,0,165400578,98123875,0,0,130000000,51994467,0
(주)경방,50,Dec-19,0,149162959,122000203,0,0,120000000,89828826,0
(주)경보제약,214390,Dec-15,,,,,0,5000000,34090028,0
(주)경보제약,214390,Dec-16,,,,,0,0,41082535,0
(주)경보제약,214390,Dec-17,,,,,0,451100,28375875,0
(주)경보제약,214390,Dec-18,,,,,0,451100,42120856,0
(주)경보제약,214390,Dec-19,,,,,0,405000,53647070,0
(주)경인양행,12610,Dec-11,0,18002059,68608252,0,0,13856450,46049234,0
(주)경인양행,12610,Dec-12,0,415000,58180937,0,0,0,46608296,0
(주)경인양행,12610,Dec-13,0,2415000,70278679,0,0,0,60151840,0
(주)경인양행,12610,Dec-14,0,12485227,58862976,0,0,10000000,47461532,0
(주)경인양행,12610,Dec-15,0,439220,77495111,0,0,0,65001741,0
(주)경인양행,12610,Dec-16,0,760665,71049658,0,0,0,61492592,0
(주)경인양행,12610,Dec-17,0,8360241,86431633,0,0,8000000,71449907,0
(주)경인양행,12610,Dec-18,0,19416459,107171462,0,0,16133260,89584775,0
(주)경인양행,12610,Dec-19,0,30503057,140233691,0,0,24357240,115964069,0
(주)고려시멘트,198440,Dec-14,,,,,,,,
(주)고려시멘트,198440,Dec-15,,,,,,,,
(주)고려시멘트,198440,Dec-16,,,,,,,,
(주)고려시멘트,198440,Dec-17,,,,,0,2285714,5200000,0
(주)고려시멘트,198440,Dec-18,,,,,0,914286,11800000,0
(주)고려시멘트,198440,Dec-19,,,,,0,0,11160000,0
(주)고영테크놀러지,98460,Dec-11,0,0,0,0,0,0,0,0
(주)고영테크놀러지,98460,Dec-12,0,0,0,0,0,0,0,0
(주)고영테크놀러지,98460,Dec-13,0,0,0,0,0,0,0,0
(주)고영테크놀러지,98460,Dec-14,0,255725,0,0,0,0,0,0
(주)고영테크놀러지,98460,Dec-15,0,108243,0,0,0,0,0,0
(주)고영테크놀러지,98460,Dec-16,0,0,0,0,0,0,0,0
(주)고영테크놀러지,98460,Dec-17,0,0,0,0,0,0,0,0
(주)고영테크놀러지,98460,Dec-18,0,0,0,0,0,0,0,0
(주)고영테크놀러지,98460,Dec-19,0,0,0,0,0,0,0,0
(주)골드앤에스,35290,Dec-11,0,0,12411157,0,0,0,12178458,0
(주)골드앤에스,35290,Dec-12,0,0,13447513,0,0,0,12742845,0
(주)골드앤에스,35290,Dec-13,0,4878557,18087011,0,0,0,13094067,0
(주)골드앤에스,35290,Dec-14,0,2702826,14350632,0,0,0,6441078,0
(주)골드앤에스,35290,Dec-15,0,0,220684,0,0,0,0,0
(주)골드앤에스,35290,Dec-16,0,0,1615384,0,0,0,1400000,0
(주)골드앤에스,35290,Dec-17,0,0,1550000,0,0,0,1550000,0
(주)골드앤에스,35290,Dec-18,0,0,2000000,0,0,0,2000000,0
(주)골드앤에스,35290,Dec-19,0,0,1900000,0,0,0,1900000,0
(주)골드퍼시픽,38530,Dec-11,,,,,0,0,0,0
(주)골드퍼시픽,38530,Dec-12,,,,,0,0,0,0
(주)골드퍼시픽,38530,Dec-13,0,2190540,3176547,0,0,300000,1950000,0
(주)골드퍼시픽,38530,Dec-14,0,2114583,10162200,0,0,240063,4820000,0
(주)골드퍼시픽,38530,Dec-15,0,149996,1150000,0,0,149996,1150000,0
(주)골드퍼시픽,38530,Dec-16,,,,,0,0,0,0
(주)골드퍼시픽,38530,Dec-17,,,,,0,0,0,0
(주)골드퍼시픽,38530,Dec-18,0,5440000,46122,0,0,5440000,46122,0
(주)골드퍼시픽,38530,Dec-19,,,,,0,0,7000000,0
(주)골프존,215000,Dec-15,0,15000000,20000000,0,0,15000000,20000000,0
(주)골프존,215000,Dec-16,0,7499970,27500030,0,0,7499970,27500030,0
(주)골프존,215000,Dec-17,0,9166650,23333320,0,0,9166650,23333320,0
(주)골프존,215000,Dec-18,0,833330,18333320,0,0,833330,18333320,0
(주)골프존,215000,Dec-19,0,0,833330,0,0,0,833330,0
(주)골프존뉴딘홀딩스,121440,Dec-11,0,493741,0,0,0,0,0,0
(주)골프존뉴딘홀딩스,121440,Dec-12,0,0,88100000,0,0,0,64000000,0
(주)골프존뉴딘홀딩스,121440,Dec-13,0,0,101600000,0,0,0,54000000,0
(주)골프존뉴딘홀딩스,121440,Dec-14,0,75000000,120100000,0,0,0,49000000,0
(주)골프존뉴딘홀딩스,121440,Dec-15,0,103000000,83445000,0,0,24000000,3105000,0
(주)골프존뉴딘홀딩스,121440,Dec-16,0,75000000,117840000,0,0,40000000,7000000,0
(주)골프존뉴딘홀딩스,121440,Dec-17,0,121107143,86932857,0,0,16000000,9300000,0
(주)골프존뉴딘홀딩스,121440,Dec-18,0,45693452,177783524,0,0,10000000,9300000,0
(주)골프존뉴딘홀딩스,121440,Dec-19,0,186266105,44591854,0,0,54200000,9300000,0
(주)광림,14200,Dec-11,,,,,0,277562,11706716,0
(주)광림,14200,Dec-12,,,,,0,206386,11373551,0
(주)광림,14200,Dec-13,,,,,0,2280310,13065781,0
(주)광림,14200,Dec-14,0,19923952,61083096,0,0,4942101,29422885,0
(주)광림,14200,Dec-15,,,,,0,2593514,38865656,0
(주)광림,14200,Dec-16,0,313681,54889147,0,0,313681,39984398,0
(주)광림,14200,Dec-17,0,562200,46280279,0,0,562200,40930850,0
(주)광림,14200,Dec-18,0,1900000,40784486,0,0,1900000,35456356,0
(주)광림,14200,Dec-19,0,6239252,36955189,0,0,1400000,30190012,0
(주)광명전기,17040,Dec-11,0,425000,25565143,0,0,425000,20710000,0
(주)광명전기,17040,Dec-12,0,325000,27567759,0,0,325000,23532459,0
(주)광명전기,17040,Dec-13,0,225000,20546525,0,0,225000,18790000,0
(주)광명전기,17040,Dec-14,0,0,19100429,0,0,0,17790000,0
(주)광명전기,17040,Dec-15,0,0,16700000,0,0,0,15500000,0
(주)광명전기,17040,Dec-16,0,0,20700000,0,0,0,12500000,0
(주)광명전기,17040,Dec-17,0,9358000,16200000,0,0,0,14500000,0
(주)광명전기,17040,Dec-18,0,10802000,16200000,0,0,0,14500000,0
(주)광명전기,17040,Dec-19,0,0,16200000,0,0,0,14500000,0
(주)광무,29480,Dec-11,0,0,18255969,0,0,0,17715969,0
(주)광무,29480,Dec-12,0,0,11206671,0,0,0,11208688,0
